_EF_ZIP_CODE_REF_EZ.CITY_NAME,V_EF_ZIP_CODE_REF_EZ.COUNTY_NAME,V_EF_ZIP_CODE_REF_EZ.STATE_ABBR,V_EF_ZIP_CODE_REF_EZ.ZIP_CODE
MCCOOK,COOK,IL,60525
MCINTYRE,WEBSTER,LA,71055
MCLEAN,MCLEAN,IL,61754
MEADOW CREEK,WHITLEY,KY,40759
MEADOWBROOK,ALLEN,IN,46774
MEDFORD,DELAWARE,IN,47302
MEDICINE LODGE,BARBER,KS,67104
MELROSE,CHEROKEE,KS,66725
MELROSE PARK,COOK,IL,60160
MENDOLA VILLAGE,JOHNSON,KY,41222
MENTOR,CAMPBELL,KY,41007
METAIRIE,JEFFERSON,LA,70055
METTAWA,LAKE,IL,60045
MEXICO,CRITTENDEN,KY,42064
MIAMI,MIAMI,IN,46959
MIDDLEBORO,WAYNE,IN,47374
MIDDLETOWN,JEFFERSON,KY,40243
MIGRATE,FAYETTE,KY,41903
MILAN,SUMNER,KS,67105
MILBURN,CARLISLE,KY,42070
MILFORD,BRACKEN,KY,41061
MILL GROVE,BLACKFORD,IN,47348
MILLCREEK,UNION,IL,62961
MILMINE,PIATT,IL,61855
MIMA,MORGAN,KY,41472
MINERAL,BUREAU,IL,61344
MINERAL,CHEROKEE,KS,66782
MINORCA,CONCORDIA,LA,71334
MIRACLE,BELL,KY,40856
MIRE,ACADIA,LA,70578
MITCHELL,MADISON,IL,62040
MODESTO,MACOUPIN,IL,62667
MODOC,SCOTT,KS,67863
MONETTE FERRY,RAPIDES,LA,71447
MONEY CREEK,MCLEAN,IL,61753
MONROE,ADAMS,IN,46772
MONROE,OUACHITA,LA,71212
MONT ZION,LINCOLN,LA,71253
MONTEREY,OWEN,KY,40359
MONTEREY,STARKE,IN,46960
MONTGOMERY WARD,COOK,IL,60671
MONTPELIER,TANGIPAHOA,LA,70422
MOORE,DE KALB,IN,46721
MOOREFIELD,NICHOLAS,KY,40350
MOORES PRAIRIE,JEFFERSON,IL,62810
MOORESVILLE,MORGAN,IN,46158
MOORINGSPORT,CADDO,LA,71060
MORGAN,PENDLETON,KY,41040
MORGANFIELD,UNION,KY,42437
MOROCCO,NEWTON,IN,47963
MORRILL,BROWN,KS,66515
MORRIS,RIPLEY,IN,47033
MORSE,ACADIA,LA,70559
MOUNT AIRY,ST JOHN THE BAPTIST,LA,70076
MOUNT AUBURN,SHELBY,IN,46124
MOUNT CARBON,JACKSON,IL,62966
MOUNT GREENWOOD,COOK,IL,60655
MOUNT SAINT FRANCIS,FLOYD,IN,47146
MOUTHCARD,PIKE,KY,41548
MT MORRIS,OGLE,IL,61054
MT OLIVE,MACOUPIN,IL,62069
MT ZION,MACON,IL,62549
MUNCIE,DELAWARE,IN,47304
MUNSON,HENRY,IL,61238
MUNSTER,LA SALLE,IL,61364
NANCY,PULASKI,KY,42544
NAPERVILLE,DU PAGE,IL,60564
NAPLES,BOYD,KY,41105
NAPLES,MORGAN,IL,62665
NAVARRE,DICKINSON,KS,67451
NEON,LETCHER,KY,41840
NETTLECREEK,KENDALL,IL,60541
NEUTRAL,CHEROKEE,KS,66725
NEVADA MILLS,STEUBEN,IN,46703
NEW ALMELO,NORTON,KS,67645
NEW BEDFORD,BUREAU,IL,61346
NEW CONCORD,CALLOWAY,KY,42076
NEW HAVEN,NELSON,KY,40051
NEW IBERIA,IBERIA,LA,70563
NEW LIBERTY,MASSAC,IL,62910
NEW LISBON,HENRY,IN,47366
NEW MILFORD,WINNEBAGO,IL,61109
NEW ORLEANS,ORLEANS,LA,70117
NEW ORLEANS,ORLEANS,LA,70130
NEW ORLEANS,ORLEANS,LA,70148
NEW ORLEANS,ORLEANS,LA,70151
NEW ORLEANS,ORLEANS,LA,70154
NEW ORLEANS,ORLEANS,LA,70163
NEW ORLEANS,ORLEANS,LA,70177
NEW ORLEANS,ORLEANS,LA,70182
NEW ORLEANS,ORLEANS,LA,70185
NEW ORLEANS,ORLEANS,LA,70189
NEW PALESTINE,HANCOCK,IN,46163
NEW POINT,DECATUR,IN,47263
NEW ZION,JACKSON,KY,40447
NEW ZION,TANGIPAHOA,LA,70444
NEWBERRY,GREENE,IN,47449
NEWPORT,CAMPBELL,KY,41075
NEWPORT,CAMPBELL,KY,41076
NICHOLASVILLE,JESSAMINE,KY,40356
NIOTAZE,CHAUTAUQUA,KS,67355
NOBLESVILLE,HAMILTON,IN,46060
NOBLESVILLE,HAMILTON,IN,46061
NOLES LANDING,WEBSTER,LA,71073
NORA,JO DAVIESS,IL,61059
NORTH HENDERSON,MERCER,IL,61466
NORTH SALEM,HENDRICKS,IN,46165
NORTH SUBURBAN,DU PAGE,IL,60132
NORTHEAST,OUACHITA,LA,71201
NORTON,NORTON,KS,67654
NORTON,ORANGE,IN,47432
NOTNAC,TENSAS,LA,71357
NUCKOLS,MCLEAN,KY,42352
OAK BROOK,DU PAGE,IL,60570
OAK PARK,COOK,IL,60304
OAKLEY,LOGAN,KS,67748
OAKWOOD,VERMILION,IL,61858
OAKWOOD HILLS,MCHENRY,IL,60013
OATSVILLE,PIKE,IN,47567
OBERLIN,DECATUR,KS,67749
ODELL,LIVINGSTON,IL,60460
OGDEN,CHAMPAIGN,IL,61859
OGLE,CLAY,KY,40962
OKOLONA,JEFFERSON,KY,40259
OLMSTED,PULASKI,IL,62970
OPDYKE,JEFFERSON,IL,62872
OPHIR,MORGAN,KY,41459
ORA,STARKE,IN,46968
ORLANDO,ROCKCASTLE,KY,40460
ORLEANS,ORANGE,IN,47452
OSAWATOMIE,MIAMI,KS,66064
OTIS GRANT COLLINS,COOK,IL,60623
OVERLAND,JOHNSON,KS,66208
OVERLAND PARK,JOHNSON,KS,66206
OVERLAND PARK,JOHNSON,KS,66209
OWENSBORO,DAVIESS,KY,42303
OWENSBORO,DAVIESS,KY,42304
PADUCAH,MCCRACKEN,KY,42001
PAINCOURTVILLE,ASSUMPTION,LA,70391
PAINT MILL LAKE,VIGO,IN,47802
PAOLA,MIAMI,KS,66071
PARIS,EDGAR,IL,61944
PARK,GOVE,KS,67751
PARK CITY,BARREN,KY,42160
PARK CITY,SEDGWICK,KS,67147
PARKSVILLE,BOYLE,KY,40464
PATTONSBURG,MARSHALL,IL,61369
PAW PAW,LEE,IL,61353
PAYNEVILLE,MEADE,KY,40157
PEARL CITY,STEPHENSON,IL,61062
PECATONICA,WINNEBAGO,IL,61063
PENALOSA,KINGMAN,KS,67035
PENDLETON,JEFFERSON,IL,62810
PEORIA,PEORIA,IL,61603
PEORIA,PEORIA,IL,61614
PEORIA,PEORIA,IL,61628
PEORIA,PEORIA,IL,61629
PEORIA,PEORIA,IL,61635
PEORIA,PEORIA,IL,61636
PEORIA,PEORIA,IL,61640
PEORIA,PEORIA,IL,61643
PEORIA,PEORIA,IL,61644
PEORIA,PEORIA,IL,61656
PEORIA,TAZEWELL,IL,61611
PERCY,RANDOLPH,IL,62272
PERSHING,WAYNE,IN,47370
PERU,MIAMI,IN,46970
PETERSVILLE,LEWIS,KY,41179
PETROLEUM,WELLS,IN,46778
PETROLIA,NEOSHO,KS,66720
PHILLIPSBURG,PHILLIPS,KS,67661
PIASA,MACOUPIN,IL,62079
PIERCEVILLE,FINNEY,KS,67868
PIKEVILLE,PIKE,KY,41501
PILOT KNOB,WASHINGTON,IL,62263
PINE KNOT,MCCREARY,KY,42635
PINE MOUNTAIN,HARLAN,KY,40810
PINE RIDGE,VIGO,IN,47885
PINE RIDGE,WOLFE,KY,41360
PINKSTAFF,LAWRENCE,IL,62439
PITTSBURG,CRAWFORD,KS,66762
PLATTVILLE,KENDALL,IL,60560
PLUM TREE,HUNTINGTON,IN,46792
PLUMMERS LNDG,FLEMING,KY,41081
PLYMOUTH,MARSHALL,IN,46563
POINDEXTER,HARRISON,KY,41031
POLAND,OWEN,IN,47868
POLO,OGLE,IL,61064
POLSGROVE,CARROLL,IL,61053
PONTOON BEACH,MADISON,IL,62040
POPLAR CITY,MASON,IL,62633
PORT ALLEN,WEST BATON ROUGE,LA,70767
POTTERS FORK,LETCHER,KY,41537
POWHATTAN,BROWN,KS,66527
PRAIRIE VIEW,LAKE,IL,60069
PRAIRIE VILLAGE,JOHNSON,KS,66202
PREBLE,ADAMS,IN,46782
PRESTON,PRATT,KS,67583
PRIDE,UNION,KY,42437
PRIMROSE,LEE,KY,41362
PRINCEVILLE,PEORIA,IL,61559
PROSPECT,GRANT,LA,71407
PROSPECT HEIGHTS,COOK,IL,60070
PULASKI,PULASKI,KY,42567
PUTNAMVILLE,PUTNAM,IN,46170
RAMONA,MARION,KS,67475
RAMSEY,FAYETTE,IL,62080
RAMSEY,HARRISON,IN,47166
RANDOLPH,MCLEAN,IL,61745
RANDOLPH,METCALFE,KY,42129
RAPATEE,FULTON,IL,61544
RAYMOND,RICE,KS,67573
REDBUD,HARLAN,KY,40828
REGION,EDMONSON,KY,42275
REIFFSBURG,WELLS,IN,46714
RENFRO VALLEY,ROCKCASTLE,KY,40473
RENTCHLER,SAINT CLAIR,IL,62221
REPLACEMENT LENS INC,PEORIA,IL,61638
REPUBLIC,REPUBLIC,KS,66964
REVELO,MCCREARY,KY,42638
RIGDON,MADISON,IN,46036
RINARD,WAYNE,IL,62878
RINGO,CRAWFORD,KS,66743
RISING SUN,WHITE,IL,62821
RISINGER WOODS,CADDO,LA,71107
RIVER GROVE,COOK,IL,60171
RIVERDALE,SUMNER,KS,67152
RIVERTON,CALDWELL,LA,71418
RIVERWOOD,SAINT TAMMANY,LA,70433
ROACHDALE,PUTNAM,IN,46172
ROARING SPRING,TRIGG,KY,42211
ROBBS,JOHNSON,IL,62985
ROBEIN,TAZEWELL,IL,61611
ROBINSON,BROWN,KS,66532
ROBINSON,CRAWFORD,IL,62454
ROCK ISLAND,ROCK ISLAND,IL,61204
ROCK ISLAND ARSONAL,ROCK ISLAND,IL,61299
ROCKFIELD,CARROLL,IN,46977
ROCKFORD,WINNEBAGO,IL,61109
ROCKFORD,WINNEBAGO,IL,61126
ROCKHOUSE,PIKE,KY,41561
ROELAND PARK,JOHNSON,KS,66205
ROME,PERRY,IN,47574
ROODHOUSE,GREENE,IL,62082
ROPER,WILSON,KS,66714
ROSEDALE,JERSEY,IL,62031
ROSELAND,COOK,IL,60628
ROSEMONT,COOK,IL,60018
ROSEMONT,COOK,IL,60019
ROUND LAKE PARK,LAKE,IL,60073
ROWDY,PERRY,KY,41367
ROYAL CENTER,CASS,IN,46978
ROYALTON,FRANKLIN,IL,62983
ROYER LAKE,LAGRANGE,IN,46761
RR DONNELLEY & SONS,MONTGOMERY,IN,47939
RUPLE,CLAIBORNE,LA,71038
RUSSELL SPRINGS,LOGAN,KS,67764
RUSTON,LINCOLN,LA,71270
RUSTON,LINCOLN,LA,71273
S BEND,ST JOSEPH,IN,46601
SAINT CHARLES,KANE,IL,60174
SAINT FRANCIS,MARION,KY,40062
SAINT MARYS,ALLEN,IN,46808
SALEM,MARION,IL,62881
SALINE CITY,CLAY,IN,47840
SALT GUM,KNOX,KY,40935
SAMPLE,BRECKINRIDGE,KY,40143
SAN PIERRE,STARKE,IN,46374
SANDY HILL,VERNON,LA,71446
SANDY HOOK,ELLIOTT,KY,41171
SANDYTOWN,VERMILLION,IN,47842
SAREPTA,WEBSTER,LA,71071
SAWYER,PRATT,KS,67134
SCALESMOUND,JO DAVIESS,IL,61075
SCAMMON,CHEROKEE,KS,66773
SCENIC HILL,MARTIN,IN,47553
SCHAEFERVILLE,TAZEWELL,IL,61554
SCHAPVILLE,JO DAVIESS,IL,61028
SCHAUMBURG,COOK,IL,60179
SCHAUMBURG,COOK,IL,60193
SCHAUMBURG,COOK,IL,60196
SCHULINES,RANDOLPH,IL,62286
SCHULTZTOWN,OHIO,KY,42320
SCOTLANDVILLE,EAST BATON ROUGE,LA,70811
SCOTT AIR FORCE BASE,SAINT CLAIR,IL,62225
SCOTT CITY,SULLIVAN,IN,47879
SEARS ROEBUCK AND COMPANY,COOK,IL,60179
SEBREE,WEBSTER,KY,42455
SECOR,WOODFORD,IL,61771
SEDAN,CHAUTAUQUA,KS,67361
SEDAN,DE KALB,IN,46793
SELECTIVE SERVICE,LAKE,IL,60086
SELVIN,SPENCER,IN,47523
SEVERANCE,DONIPHAN,KS,66087
SEXTONS CREEK,CLAY,KY,40983
SHABBONA,DE KALB,IL,60550
SHADY NOOK,LAGRANGE,IN,46795
SHANNON,CARROLL,IL,61078
SHANNON,MASON,KY,41055
SHARON,BARBER,KS,67138
SHATUC,CLINTON,IL,62231
SHAWNEE,JOHNSON,KS,66203
SHAWNEE MISSION,JOHNSON,KS,66201
SHAWNEE MISSION,JOHNSON,KS,66206
SHAWNEE MISSION,JOHNSON,KS,66207
SHAWNEE MISSION,JOHNSON,KS,66211
SHAWNEE MISSION,JOHNSON,KS,66214
SHAWNEE MISSION,JOHNSON,KS,66215
SHAWNEE MISSION,JOHNSON,KS,66220
SHAWNEE MISSION,JOHNSON,KS,66251
SHAWNEE MISSION,JOHNSON,KS,66276
SHAWS,LEE,IL,61310
SHERBURNE,FLEMING,KY,41041
SHERMAN,SANGAMON,IL,62684
SHILOH,SAINT CLAIR,IL,62221
SHIRLEY,MCLEAN,IL,61772
SHOBONIER,FAYETTE,IL,62885
SHOKOKON,HENDERSON,IL,61425
SHREVEPORT,CADDO,LA,71148
SHREVEPORT,CADDO,LA,71153
SHREVEPORT,CADDO,LA,71156
SHREVEPORT,CADDO,LA,71161
SHREVEPORT,CADDO,LA,71166
SHUMWAY,EFFINGHAM,IL,62461
SIMPSON,HUNTINGTON,IN,46750
SIMSBORO,LINCOLN,LA,71275
SIZEROCK,LESLIE,KY,41762
SKIDMORE,CHEROKEE,KS,66773
SLAUGHTERS,WEBSTER,KY,42456
SLIDELL,SAINT TAMMANY,LA,70458
SLIDELL,SAINT TAMMANY,LA,70469
SLIGO,BOSSIER,LA,71037
SM,JOHNSON,KS,66222
SM,JOHNSON,KS,66227
SMILAX,LESLIE,KY,41764
SMITHVILLE,PEORIA,IL,61536
SMOCKVILLE,CLAY,IN,47837
SO FORT MITCHELL,KENTON,KY,41017
SO NEWPORT,CAMPBELL,KY,41071
SOLON MILLS,MCHENRY,IL,60071
SOMONAUK,DE KALB,IL,60552
SOUTH BARRINGTON,LAKE,IL,60010
SOUTH BEND,ST JOSEPH,IN,46604
SOUTH BEND,ST JOSEPH,IN,46614
SOUTH BEND,ST JOSEPH,IN,46616
SOUTH BEND,ST JOSEPH,IN,46660
SOUTH CALUMET AVENUE,LAKE,IN,46324
SOUTH HUTCHINSON,RENO,KS,67505
SOUTH MILFORD,LAGRANGE,IN,46786
SOUTH PORTSMOUTH,GREENUP,KY,41174
SOUTH STREATOR,LA SALLE,IL,61364
SOUTH WILMINGTON,GRUNDY,IL,60474
SOUTHERN VIEW,SANGAMON,IL,62703
SOUTHFIELD,CADDO,LA,71105
SPANISH LAKE,NATCHITOCHES,LA,71469
SPEARSVILLE,JOHNSON,IN,46181
SPEIGHT,PIKE,KY,41572
SPELTERVILLE,VIGO,IN,47805
SPENCE,CAMPBELL,KY,41071
SPIVEY,KINGMAN,KS,67142
SPLANE PLACE,OUACHITA,LA,71291
SPRING GARDEN,JEFFERSON,IL,62846
SPRING HILL,JOHNSON,KS,66083
SPRING HILL ESTATES,VIGO,IN,47802
SPRINGFIELD,SANGAMON,IL,62723
ST ANNE,KANKAKEE,IL,60964
ST BERNARD GROVE,SAINT BERNARD,LA,70075
ST CATHARINE,WASHINGTON,KY,40061
ST MATTHEWS,JEFFERSON,KY,40207
ST PAUL,SHELBY,IN,47272
STAFFORD,STAFFORD,KS,67578
STANLEY,JOHNSON,KS,66223
STARK,NEOSHO,KS,66775
STATE REV 3667,SANGAMON,IL,62736
STAUNTON,CLAY,IN,47881
STERLINGTON,OUACHITA,LA,71280
STOCKTON,ROOKS,KS,67669
STONINGTON,LAWRENCE,IN,47446
STRATFORD,OGLE,IL,61064
STRAUGHN,HENRY,IN,47387
STRONG CITY,CHASE,KS,66869
SUGAR RIDGE,CLAY,IN,47840
SULPHUR,CALCASIEU,LA,70663
SULPHUR,HENRY,KY,40070
SUMMERSVILLE,JEFFERSON,IL,62864
SUMMERVILLE,JERSEY,IL,62063
SUMMERVILLE,LA SALLE,LA,71465
SUMMIT,COOK,IL,60501
SUMMITT,BOYD,KY,41101
SUMNER,LAWRENCE,IL,62466
SUN CITY,BARBER,KS,67143
SUNBEAM,MERCER,IL,61231
SUSIE,WAYNE,KY,42633
SWAMPERS,FRANKLIN,LA,71295
SWAN CREEK,WARREN,IL,61473
SWANSEA,SAINT CLAIR,IL,62220
SWEET LAKE,CALCASIEU,LA,70605
SWEET WATER,MENARD,IL,62642
SWEETSER,GRANT,IN,46987
SYCAMORE,DE KALB,IL,60178
SYCAMORE,MONTGOMERY,KS,67363
SYMERTON,WILL,IL,60481
TANGLEWOOD,RAPIDES,LA,71301
TANKSLEY,CLAY,KY,40962
TAYLORSVILLE,SPENCER,KY,40071
TAYLORVILLE,CHRISTIAN,IL,62568
TEFFT,JASPER,IN,46380
TELL CITY,PERRY,IN,47586
TENNESSEE,MCDONOUGH,IL,62374
TERRE HAUTE,VIGO,IN,47801
TESCOTT,OTTAWA,KS,67484
THEBES,ALEXANDER,IL,62990
THURMAN,ALLEN,IN,46774
TILTON,FLEMING,KY,41041
TIOGA,RAPIDES,LA,71477
TIPPECANOE,MARSHALL,IN,46570
TIPTON,MONROE,IL,62298
TOAD HOP,VIGO,IN,47885
TOLER,PIKE,KY,41514
TOMPKINSVILLE,MONROE,KY,42167
TOONERVILLE,PIKE,KY,41548
TOPEKA,SHAWNEE,KS,66608
TOPEKA,SHAWNEE,KS,66619
TOPEKA,SHAWNEE,KS,66628
TOPEKA,SHAWNEE,KS,66629
TOPEKA,SHAWNEE,KS,66699
TORO,SABINE,LA,71429
TOURISTVILLE,WAYNE,KY,42633
TOWANDA,BUTLER,KS,67144
TRAPPIST,NELSON,KY,40051
TREVLAC,BROWN,IN,47448
TRINITY,CATAHOULA,LA,71343
TROY,MADISON,IL,62294
TROY,PERRY,IN,47588
TROY,SPENCER,IN,47588
TUNKER,WHITLEY,IN,46787
TUNNELTON,LAWRENCE,IN,47467
TWELVE MILE,CASS,IN,46988
ULLIN,PULASKI,IL,62992
ULYSSES,LAWRENCE,KY,41264
UNCLE SAM,SAINT JAMES,LA,70792
UNDERWOOD,CLARK,IN,47177
UNIVERSITY PARK,COOK,IL,60466
UPLAND,GRANT,IN,46989
UTILITY,CATAHOULA,LA,71343
VARNEY,PIKE,KY,41571
VEEDERSBURG,FOUNTAIN,IN,47987
VENTERS,PIKE,KY,41522
VENTRESS,POINTE COUPEE,LA,70783
VERGENNES,JACKSON,IL,62994
VERNON HILLS,LAKE,IL,60061
VIRGIL,KANE,IL,60151
VIXEN,CALDWELL,LA,71418
W LAFAYETTE,TIPPECANOE,IN,47906
W LAFAYETTE,TIPPECANOE,IN,47996
W MIDDLETON,HOWARD,IN,46995
WADESVILLE,POSEY,IN,47638
WADSWORTH,LAKE,IL,60083
WALDO,MAGOFFIN,KY,41632
WALDO,MCLEAN,IL,61744
WALLINS,HARLAN,KY,40873
WALNUT,BUREAU,IL,61376
WALNUT HTS,LAWRENCE,IN,47421
WALTON,BOONE,KY,41094
WAPELLA,DEWITT,IL,61777
WARE,UNION,IL,62952
WARRENSBURG,MACON,IL,62573
WASHINGTON,WASHINGTON,KS,66968
WATERFORD,FULTON,IL,61542
WATERGAP,FLOYD,KY,41653
WATERLOO,DE KALB,IN,46793
WATHENA,DONIPHAN,KS,66090
WEEKSBURY,FLOYD,KY,41667
WEIR,CHEROKEE,KS,66781
WELGE,RANDOLPH,IL,62288
WELLS,OTTAWA,KS,67467
WELLSBURG,BRACKEN,KY,41043
WEST CITY,FRANKLIN,IL,62812
WEST FAIRVIEW,BOYD,KY,41101
WEST MILTMORE,LAKE,IL,60046
WEST SALEM,EDWARDS,IL,62476
WEST UNION,CLARK,IL,62477
WEST VAN LEAR,JOHNSON,KY,41268
WESTERN SPRINGS,COOK,IL,60558
WETHERSFIELD,WHITESIDE,IL,61277
WEYANOKE,WEST FELICIANA,LA,70787
WHEATLAND,KNOX,IN,47597
WHITCOMB HEIGHTS,VIGO,IN,47885
WHITE PLAINS,HOPKINS,KY,42464
WHITEHALL,AVOYELLES,LA,71322
WHITEVILLE,AVOYELLES,LA,71322
WICHITA,SEDGWICK,KS,67204
WICHITA,SEDGWICK,KS,67214
WICHITA,SEDGWICK,KS,67221
WILDER,CAMPBELL,KY,41076
WILDSVILLE,CONCORDIA,LA,71377
WILLARD,CARTER,KY,41181
WILLEYS,CHRISTIAN,IL,62568
WILLIAMSBURG,WAYNE,IN,47393
WILLOW BROOK,DU PAGE,IL,60527
WILLOW GROVE,BRACKEN,KY,41043
WILLOW SPRINGS,COOK,IL,60480
WILMORE,COMANCHE,KS,67155
WILSON LAKE,WHITLEY,IN,46725
WINNEBAGO,WINNEBAGO,IL,61088
WINONA LAKE,KOSCIUSKO,IN,46590
WINSLOW,PIKE,IN,47598
WITTENSVILLE,JOHNSON,KY,41274
WOLF,CARTER,KY,41164
WOLF COAL,BREATHITT,KY,41339
WOLF LAKE,UNION,IL,62998
WONDER LAKE,VIGO,IN,47802
WOODLAWN,JEFFERSON DAVIS,LA,70640
WOODSIDE,SAINT LANDRY,LA,71353
WOODSTOCK,MCHENRY,IL,60098
WOOTON,LESLIE,KY,41776
WORTH,COOK,IL,60482
WW GRAINGER INC,COOK,IL,60038
YALE,JASPER,IL,62481
YATES,MCLEAN,IL,61726
YELLOW ROCK,LEE,KY,41311
YEOWARDVILLE,WHITESIDE,IL,61071
YOCKEY,LAWRENCE,IN,47446
YORK,CLARK,IL,62477
YORKTOWN,DELAWARE,IN,47396
YOUNGSTOWN,VIGO,IN,47802
YOUNGSTOWN ACRES,VIGO,IN,47802
ZACHARY,EAST BATON ROUGE,LA,70791
ZENDA,KINGMAN,KS,67159
ZIMMER,AVOYELLES,LA,71355
ZIMMERDALE,HARVEY,KS,67114
ZULU,ALLEN,IN,46773
ABINGDON,KNOX,IL,61410
ACTON,MARION,IN,46259
ADAIR,MCDONOUGH,IL,61411
AFLEX,PIKE,KY,41514
AGENDA,REPUBLIC,KS,66930
AGRICULTURAL CENSUS,CLARK,IN,47144
ALAMO,MONTGOMERY,IN,47916
ALBANY,RANDOLPH,IN,47320
ALBERS,CLINTON,IL,62215
ALCALDE,PULASKI,KY,42501
ALERT,DECATUR,IN,47283
ALEXANDRIA,RAPIDES,LA,71309
ALFALFA,RAPIDES,LA,71409
ALFORDSVILLE,MARTIN,IN,47553
ALGONQUIN,MCHENRY,IL,60102
ALLEMAND,TERREBONNE,LA,70360
ALLENDALE,WABASH,IL,62410
ALLENTOWN,TAZEWELL,IL,61568
ALTAMONT,EFFINGHAM,IL,62411
ALTO PASS,UNION,IL,62905
ALTONA,DE KALB,IN,46738
ALTRO,BREATHITT,KY,41339
ALVIN,VERMILION,IL,61811
AMBOY,MIAMI,IN,46911
AMITE,TANGIPAHOA,LA,70422
ANCONA,LIVINGSTON,IL,61311
ANDALE,SEDGWICK,KS,67001
ANDERSONVILLE,FRANKLIN,IN,47024
ANGOLA,STEUBEN,IN,46703
ANNAPOLIS,CRAWFORD,IL,62413
ANTELOPE,MARION,KS,66858
APACHE ACRES,VIGO,IN,47805
ARBA,RANDOLPH,IN,47355
ARCHER,SANGAMON,IL,62707
ARENZVILLE,CASS,IL,62611
ARGO FAY,CARROLL,IL,61053
ARI,WHITLEY,IN,46723
ARLINGTON HTS,COOK,IL,60004
ARTHUR,DOUGLAS,IL,61911
ASHER,LESLIE,KY,40803
ASHKUM,IROQUOIS,IL,60911
ASHLEY,STEUBEN,IN,46705
ATCHISON,ATCHISON,KS,66002
ATHOL,SMITH,KS,66932
ATKINSON,HENRY,IL,61235
ATTERBURY,JOHNSON,IN,46124
ATTICA,FOUNTAIN,IN,47918
ATTILA,WILLIAMSON,IL,62974
ATWOOD,DOUGLAS,IL,61913
AUBURN,SHAWNEE,KS,66402
AUDUBON,MONTGOMERY,IL,62075
AUGUSTA,BRACKEN,KY,41002
AURORA,KANE,IL,60507
AVAWAM,PERRY,KY,41713
AZUCENA,TENSAS,LA,71375
BABCOCK,ROCK ISLAND,IL,61244
BALCOM,UNION,IL,62906
BALL,RAPIDES,LA,71405
BALL STATE UNIVERSITY,DELAWARE,IN,47306
BANDANA,BALLARD,KY,42022
BANDON,PERRY,IN,47514
BANNER,FLOYD,KY,41603
BARNARD,LINCOLN,KS,67418
BARNES,WASHINGTON,KS,66933
BARNETTS CREEK,JOHNSON,KY,41256
BARRICK CORNER,CLAY,IN,47841
BARRINGTON,LAKE,IL,60011
BARTLETT,LABETTE,KS,67332
BASSETT,ALLEN,KS,66749
BASTROP,MOREHOUSE,LA,71220
BATON ROUGE,EAST BATON ROUGE,LA,70804
BATON ROUGE,EAST BATON ROUGE,LA,70806
BATON ROUGE,EAST BATON ROUGE,LA,70810
BATON ROUGE,EAST BATON ROUGE,LA,70821
BATON ROUGE,EAST BATON ROUGE,LA,70833
BATON ROUGE,EAST BATON ROUGE,LA,70836
BAYOU CURRENT,SAINT LANDRY,LA,71353
BEAR CREEK,BIENVILLE,LA,71008
BECKEMEYER,CLINTON,IL,62219
BEDFORD PARK,COOK,IL,60638
BEE RIDGE,CLAY,IN,47834
BELLE UNION,PUTNAM,IN,46120
BELLWOOD,COOK,IL,60104
BELMONT,BROWN,IN,47448
BENSON,SABINE,LA,71419
BENTON,FRANKLIN,IL,62812
BERNE,ADAMS,IN,46711
BETHEL,NATCHITOCHES,LA,71450
BETHESDA,WAYNE,KY,42633
BEULAH HEIGHTS,SALINE,IL,62930
BEVERLY MANOR,TAZEWELL,IL,61571
BEVERLY SHORES,PORTER,IN,46301
BICKNELL,KNOX,IN,47512
BIG READY,EDMONSON,KY,42275
BISHOP,MASON,IL,61532
BLACKBURN,CLAIBORNE,LA,71038
BLAINE,JAY,IN,47371
BLAIR,CLAY,IL,62858
BLAIRS MILL,MORGAN,KY,41472
BLAIRSVILLE,WILLIAMSON,IL,62918
BLANKS,POINTE COUPEE,LA,70756
BLAZE,MORGAN,KY,41472
BLM,MCLEAN,IL,61704
BLOOMINGTON,MONROE,IN,47401
BLOOMINGTON,MONROE,IN,47403
BLOUNTSVILLE,HENRY,IN,47354
BLUE LAKE,WHITLEY,IN,46723
BLUE MOUND,MACON,IL,62513
BLUE RIVER,FLOYD,KY,41607
BLUFF CITY,SCHUYLER,IL,62624
BODEN,MERCER,IL,61281
BOGLE CORNER,GREENE,IN,47438
BOSKYDELL,JACKSON,IL,62901
BOSSIER CITY,BOSSIER,LA,71172
BOUNDRY,JAY,IN,47371
BOURBONNAIS,KANKAKEE,IL,60914
BOWLING GREEN,CLAY,IN,47833
BOWLING GREEN,SHELBY,IL,62422
BRAMBLE,MARTIN,IN,47553
BRANCH,ACADIA,LA,70516
BRANDENBURG,MEADE,KY,40108
BRAZIL,CLAY,IN,47834
BREEZEWOOD PK,DELAWARE,IN,47302
BREMEN,RANDOLPH,IL,62233
BRETZVILLE,DUBOIS,IN,47542
BRIDGEVIEW,COOK,IL,60455
BRIGHTON,LAGRANGE,IN,46746
BRISTOL,ELKHART,IN,46507
BROADLANDS,CHAMPAIGN,IL,61816
BROADVIEW,COOK,IL,60153
BROADVIEW PK PLZ,LAWRENCE,IN,47421
BROADWELL,LOGAN,IL,62634
BROOKS,BULLITT,KY,40109
BROWNELL,NESS,KS,67521
BRUSHY PRAIRIE,LAGRANGE,IN,46761
BRYANT,FULTON,IL,61519
BRYANT,JAY,IN,47326
BRYANTSVILLE,LAWRENCE,IN,47446
BUCKHART,SANGAMON,IL,62563
BUFFALO,SANGAMON,IL,62515
