carrier,quart,origincty,origin,destcty,destination,passengers,marketshare,avgfare,minincrement,maxincrement,minshare,maxshare,pax3xmin
US,20081,17960,"Charlotte, North Carolina,",48880,"Las Vegas, Nevada,",35140,62,273,125,275,6,9,14
DL,20081,17960,"Charlotte, North Carolina,",51410,"Los Angeles, California,",5680,12,171,125,200,39,5,8
UA,20081,17960,"Charlotte, North Carolina,",51410,"Los Angeles, California,",7560,16,210,125,275,18,5,9
US,20081,17960,"Charlotte, North Carolina,",51410,"Los Angeles, California,",24610,51,354,175,275,10,6,19
NW,20081,17960,"Charlotte, North Carolina,",57180,"Memphis, Tennessee,",5430,29,184,75,225,18,10,18
US,20081,17960,"Charlotte, North Carolina,",57180,"Memphis, Tennessee,",10780,57,224,100,600,6,6,18
AA,20081,17960,"Charlotte, North Carolina,",57560,"Miami, Florida,",15210,36,145,100,225,22,7,3
US,20081,17960,"Charlotte, North Carolina,",57560,"Miami, Florida,",20910,50,196,125,300,15,7,5
NW,20081,17960,"Charlotte, North Carolina,",57970,"Minneapolis/St.Paul, Minnesota,",19360,59,202,125,250,35,7,10
US,20081,17960,"Charlotte, North Carolina,",57970,"Minneapolis/St.Paul, Minnesota,",9560,29,231,125,400,26,10,16
US,20081,17960,"Charlotte, North Carolina,",62860,"Nashville, Tennessee,",17270,80,263,100,325,8,18,28
FL,20081,17960,"Charlotte, North Carolina,",63580,"New Orleans, Louisiana,",3120,15,125,100,175,57,8,3
US,20081,17960,"Charlotte, North Carolina,",63580,"New Orleans, Louisiana,",13760,68,217,100,250,10,6,20
B6,20081,17960,"Charlotte, North Carolina,",63760,"New York, New York,",28950,15,132,75,225,14,6,2
US,20081,17960,"Charlotte, North Carolina,",63760,"New York, New York,",123560,65,169,75,225,9,10,9
FL,20081,17960,"Charlotte, North Carolina,",66600,"Orlando, Florida,",15170,20,114,75,150,8,12,4
US,20081,17960,"Charlotte, North Carolina,",66600,"Orlando, Florida,",51650,69,154,100,250,19,5,5
US,20081,17960,"Charlotte, North Carolina,",69880,"Philadelphia, Pennsylvania,",29820,81,338,125,325,9,12,24
US,20081,17960,"Charlotte, North Carolina,",69980,"Phoenix, Arizona,",18650,60,343,200,300,8,6,10
US,20081,17960,"Charlotte, North Carolina,",70470,"Pittsburgh, Pennsylvania,",17750,78,279,100,500,9,7,36
DL,20081,17960,"Charlotte, North Carolina,",79520,"San Diego, California,",2910,16,180,125,225,25,9,7
US,20081,17960,"Charlotte, North Carolina,",79520,"San Diego, California,",9980,54,290,175,275,6,7,11
UA,20081,17960,"Charlotte, North Carolina,",79830,"San Francisco, California,",4350,15,334,125,375,9,6,24
US,20081,17960,"Charlotte, North Carolina,",79830,"San Francisco, California,",17840,60,344,175,300,8,5,14
DL,20081,17960,"Charlotte, North Carolina,",82630,"Seattle, Washington,",5440,29,194,125,200,31,5,9
NW,20081,17960,"Charlotte, North Carolina,",82630,"Seattle, Washington,",3150,17,172,100,225,7,8,9
US,20081,17960,"Charlotte, North Carolina,",82630,"Seattle, Washington,",5170,27,336,175,300,9,9,15
FL,20081,17960,"Charlotte, North Carolina,",87870,"Tampa, Florida,",4130,11,136,100,175,6,16,3
US,20081,17960,"Charlotte, North Carolina,",87870,"Tampa, Florida,",28940,75,207,125,250,17,10,8
UA,20081,17960,"Charlotte, North Carolina,",96460,"Washington, D.C.,",4940,12,263,100,575,14,6,34
US,20081,17960,"Charlotte, North Carolina,",96460,"Washington, D.C.,",33070,82,297,125,575,9,11,26
AA,20081,18500,"Chicago, Illinois,",19270,"Cincinnati, Ohio,",11160,31,291,125,450,12,6,32
DL,20081,18500,"Chicago, Illinois,",19270,"Cincinnati, Ohio,",11460,32,310,125,450,5,5,31
UA,20081,18500,"Chicago, Illinois,",19270,"Cincinnati, Ohio,",12640,35,312,100,500,6,6,47
AA,20081,18500,"Chicago, Illinois,",19770,"Cleveland, Ohio,",10220,11,127,75,175,14,7,6
UA,20081,18500,"Chicago, Illinois,",19770,"Cleveland, Ohio,",27420,29,128,75,150,26,16,10
WN,20081,18500,"Chicago, Illinois,",19770,"Cleveland, Ohio,",53930,57,92,75,150,41,32,0
AA,20081,18500,"Chicago, Illinois,",20570,"Columbus, Ohio,",27660,24,119,75,175,23,6,6
UA,20081,18500,"Chicago, Illinois,",20570,"Columbus, Ohio,",31940,28,113,75,150,30,13,5
WN,20081,18500,"Chicago, Illinois,",20570,"Columbus, Ohio,",55170,48,96,75,150,36,34,0
AA,20081,18500,"Chicago, Illinois,",23210,"Dallas/Ft.Worth, Texas,",165590,63,183,100,275,14,9,12
TZ,20081,18500,"Chicago, Illinois,",23210,"Dallas/Ft.Worth, Texas,",31580,12,114,100,125,47,34,1
UA,20081,18500,"Chicago, Illinois,",23210,"Dallas/Ft.Worth, Texas,",39900,15,184,100,275,5,13,9
AA,20081,18500,"Chicago, Illinois,",24090,"Denver, Colorado,",52530,19,129,75,175,21,7,10
F9,20081,18500,"Chicago, Illinois,",24090,"Denver, Colorado,",49090,18,117,75,175,12,5,7
UA,20081,18500,"Chicago, Illinois,",24090,"Denver, Colorado,",111780,41,176,100,275,27,7,8
WN,20081,18500,"Chicago, Illinois,",24090,"Denver, Colorado,",57280,21,117,75,275,12,6,7
AA,20081,18500,"Chicago, Illinois,",24260,"Detroit, Michigan,",23960,13,110,75,150,32,12,6
NW,20081,18500,"Chicago, Illinois,",24260,"Detroit, Michigan,",83070,45,101,75,150,43,18,5
UA,20081,18500,"Chicago, Illinois,",24260,"Detroit, Michigan,",28530,15,118,75,200,25,5,5
WN,20081,18500,"Chicago, Illinois,",24260,"Detroit, Michigan,",46000,25,101,75,150,29,45,0
AA,20081,18500,"Chicago, Illinois,",26930,"El Paso, Texas,",16290,75,191,125,375,29,6,3
WN,20081,18500,"Chicago, Illinois,",26930,"El Paso, Texas,",2990,14,226,125,375,27,20,5
AA,20081,18500,"Chicago, Illinois,",29420,"Ft. Lauderdale, Florida,",51570,24,177,100,225,20,6,8
UA,20081,18500,"Chicago, Illinois,",29420,"Ft. Lauderdale, Florida,",41770,20,180,100,275,15,5,9
WN,20081,18500,"Chicago, Illinois,",29420,"Ft. Lauderdale, Florida,",79500,37,161,75,325,11,7,19
AA,20081,18500,"Chicago, Illinois,",29540,"Ft. Myers, Florida,",44920,21,180,75,225,15,6,20
FL,20081,18500,"Chicago, Illinois,",29540,"Ft. Myers, Florida,",33360,15,145,75,225,20,5,15
NK,20081,18500,"Chicago, Illinois,",29540,"Ft. Myers, Florida,",38260,18,162,75,250,8,8,18
U5,20081,18500,"Chicago, Illinois,",29540,"Ft. Myers, Florida,",24630,11,134,75,175,10,5,10
WN,20081,18500,"Chicago, Illinois,",29540,"Ft. Myers, Florida,",50850,24,168,75,325,12,7,21
AA,20081,18500,"Chicago, Illinois,",35510,"Hartford, Ct/Springfield, Ma,",11330,17,174,100,250,14,8,9
UA,20081,18500,"Chicago, Illinois,",35510,"Hartford, Ct/Springfield, Ma,",35280,53,186,100,250,11,9,9
WN,20081,18500,"Chicago, Illinois,",35510,"Hartford, Ct/Springfield, Ma,",16930,25,157,100,250,9,20,0
AA,20081,18500,"Chicago, Illinois,",37320,"Houston, Texas,",25830,16,174,100,350,13,6,14
CO,20081,18500,"Chicago, Illinois,",37320,"Houston, Texas,",54570,35,193,100,350,7,8,18
UA,20081,18500,"Chicago, Illinois,",37320,"Houston, Texas,",20080,13,207,125,350,18,9,5
WN,20081,18500,"Chicago, Illinois,",37320,"Houston, Texas,",51490,33,171,100,350,8,10,14
AA,20081,18500,"Chicago, Illinois,",38490,"Indianapolis, Indiana,",14300,38,109,75,125,30,24,7
UA,20081,18500,"Chicago, Illinois,",38490,"Indianapolis, Indiana,",11570,31,121,75,200,29,7,9
WN,20081,18500,"Chicago, Illinois,",38490,"Indianapolis, Indiana,",11820,31,84,75,125,37,45,0
AA,20081,18500,"Chicago, Illinois,",38530,"Indio/Palm Springs, California,",23170,77,240,150,275,9,6,7
UA,20081,18500,"Chicago, Illinois,",38530,"Indio/Palm Springs, California,",5520,18,290,200,300,21,9,5
AA,20081,18500,"Chicago, Illinois,",40140,"Jacksonville, Florida,",8790,17,180,100,250,11,5,9
UA,20081,18500,"Chicago, Illinois,",40140,"Jacksonville, Florida,",23230,45,191,100,300,19,6,12
WN,20081,18500,"Chicago, Illinois,",40140,"Jacksonville, Florida,",9380,18,180,100,300,8,13,1
AA,20081,18500,"Chicago, Illinois,",42650,"Kansas City, Missouri,",39970,27,102,75,150,40,15,3
UA,20081,18500,"Chicago, Illinois,",42650,"Kansas City, Missouri,",27350,19,114,75,150,26,21,4
WN,20081,18500,"Chicago, Illinois,",42650,"Kansas City, Missouri,",79000,54,101,75,175,33,7,0
AA,20081,18500,"Chicago, Illinois,",48880,"Las Vegas, Nevada,",71610,21,188,125,200,18,15,5
UA,20081,18500,"Chicago, Illinois,",48880,"Las Vegas, Nevada,",71410,21,192,125,250,10,8,3
US,20081,18500,"Chicago, Illinois,",48880,"Las Vegas, Nevada,",62970,19,170,100,225,8,5,7
WN,20081,18500,"Chicago, Illinois,",48880,"Las Vegas, Nevada,",124380,37,157,75,200,8,11,14
AA,20081,18500,"Chicago, Illinois,",50670,"Little Rock, Arkansas,",13680,57,168,100,225,8,13,5
WN,20081,18500,"Chicago, Illinois,",50670,"Little Rock, Arkansas,",9360,39,160,125,225,16,28,0
B6,20081,18500,"Chicago, Illinois,",51200,"Long Beach, California,",30120,98,158,125,200,34,8,1
WN,20081,18500,"Chicago, Illinois,",51210,"Islip/Long Island, New York,",39360,99,99,75,225,53,8,3
AA,20081,18500,"Chicago, Illinois,",51410,"Los Angeles, California,",113930,40,206,125,225,30,5,8
UA,20081,18500,"Chicago, Illinois,",51410,"Los Angeles, California,",87020,30,269,150,350,8,9,8
WN,20081,18500,"Chicago, Illinois,",51410,"Los Angeles, California,",65860,23,177,125,350,28,8,0
AA,20081,18500,"Chicago, Illinois,",51510,"Louisville, Kentucky,",10160,19,130,75,125,17,29,11
UA,20081,18500,"Chicago, Illinois,",51510,"Louisville, Kentucky,",9510,18,131,75,175,24,7,12
WN,20081,18500,"Chicago, Illinois,",51510,"Louisville, Kentucky,",32430,61,93,75,150,35,8,0
UA,20081,18500,"Chicago, Illinois,",53970,"Manchester, New Hampshire,",14850,37,175,125,250,26,10,3
WN,20081,18500,"Chicago, Illinois,",53970,"Manchester, New Hampshire,",24430,60,154,100,250,10,20,0
AA,20081,18500,"Chicago, Illinois,",57180,"Memphis, Tennessee,",12540,38,233,100,325,6,5,24
NW,20081,18500,"Chicago, Illinois,",57180,"Memphis, Tennessee,",9220,28,232,100,325,9,5,22
UA,20081,18500,"Chicago, Illinois,",57180,"Memphis, Tennessee,",8750,27,258,100,550,10,8,29
AA,20081,18500,"Chicago, Illinois,",57560,"Miami, Florida,",108890,72,184,100,225,21,7,11
FL,20081,18500,"Chicago, Illinois,",57560,"Miami, Florida,",17660,12,149,100,225,22,5,4
AA,20081,18500,"Chicago, Illinois,",57970,"Minneapolis/St.Paul, Minnesota,",44200,16,117,75,200,32,6,6
NW,20081,18500,"Chicago, Illinois,",57970,"Minneapolis/St.Paul, Minnesota,",141810,52,106,75,150,35,13,5
UA,20081,18500,"Chicago, Illinois,",57970,"Minneapolis/St.Paul, Minnesota,",59360,22,132,75,200,19,6,9
AA,20081,18500,"Chicago, Illinois,",62860,"Nashville, Tennessee,",28790,27,129,75,150,16,16,9
WN,20081,18500,"Chicago, Illinois,",62860,"Nashville, Tennessee,",65970,63,98,75,175,36,6,0
AA,20081,18500,"Chicago, Illinois,",63580,"New Orleans, Louisiana,",30500,47,184,125,225,23,7,5
UA,20081,18500,"Chicago, Illinois,",63580,"New Orleans, Louisiana,",15490,24,200,125,250,16,5,6
WN,20081,18500,"Chicago, Illinois,",63580,"New Orleans, Louisiana,",13360,21,184,125,275,19,14,0
AA,20081,18500,"Chicago, Illinois,",63760,"New York, New York,",255830,42,175,100,225,22,6,9
CO,20081,18500,"Chicago, Illinois,",63760,"New York, New York,",70770,12,197,125,300,32,10,7
UA,20081,18500,"Chicago, Illinois,",63760,"New York, New York,",170810,28,193,100,275,14,6,10
UA,20081,18500,"Chicago, Illinois,",64500,"Norfolk, Virginia,",13860,47,180,125,225,30,7,4
WN,20081,18500,"Chicago, Illinois,",64500,"Norfolk, Virginia,",11850,40,148,125,225,34,6,0
TZ,20081,18500,"Chicago, Illinois,",65420,"Oakland, California,",6420,12,128,100,225,29,5,2
UA,20081,18500,"Chicago, Illinois,",65420,"Oakland, California,",6030,11,231,125,275,10,9,8
WN,20081,18500,"Chicago, Illinois,",65420,"Oakland, California,",38480,70,163,125,275,36,6,0
AA,20081,18500,"Chicago, Illinois,",65840,"Oklahoma City, Oklahoma,",9400,42,185,125,275,26,11,4
UA,20081,18500,"Chicago, Illinois,",65840,"Oklahoma City, Oklahoma,",7170,32,192,125,275,24,12,3
WN,20081,18500,"Chicago, Illinois,",65840,"Oklahoma City, Oklahoma,",5140,23,197,125,300,20,9,0
AA,20081,18500,"Chicago, Illinois,",66060,"Omaha, Nebraska,",12350,16,112,75,150,30,12,7
UA,20081,18500,"Chicago, Illinois,",66060,"Omaha, Nebraska,",22330,29,118,75,150,27,18,6
WN,20081,18500,"Chicago, Illinois,",66060,"Omaha, Nebraska,",42240,54,93,75,150,46,20,0
AA,20081,18500,"Chicago, Illinois,",66180,"Ontario, California,",2010,10,246,125,300,9,7,12
UA,20081,18500,"Chicago, Illinois,",66180,"Ontario, California,",3360,17,250,125,325,8,6,10
US,20081,18500,"Chicago, Illinois,",66180,"Ontario, California,",4070,21,208,125,275,9,11,4
WN,20081,18500,"Chicago, Illinois,",66180,"Ontario, California,",7840,40,218,125,400,24,7,8
AA,20081,18500,"Chicago, Illinois,",66600,"Orlando, Florida,",68660,20,170,100,225,21,5,9
FL,20081,18500,"Chicago, Illinois,",66600,"Orlando, Florida,",46870,14,147,100,225,20,6,4
UA,20081,18500,"Chicago, Illinois,",66600,"Orlando, Florida,",89660,27,175,100,250,11,8,7
WN,20081,18500,"Chicago, Illinois,",66600,"Orlando, Florida,",115840,34,147,75,300,10,6,13
AA,20081,18500,"Chicago, Illinois,",69880,"Philadelphia, Pennsylvania,",34780,18,150,100,200,17,17,4
UA,20081,18500,"Chicago, Illinois,",69880,"Philadelphia, Pennsylvania,",57280,30,180,125,200,32,22,5
US,20081,18500,"Chicago, Illinois,",69880,"Philadelphia, Pennsylvania,",48830,26,172,100,200,10,26,6
WN,20081,18500,"Chicago, Illinois,",69880,"Philadelphia, Pennsylvania,",43580,23,154,100,225,10,9,0
AA,20081,18500,"Chicago, Illinois,",69980,"Phoenix, Arizona,",87520,29,190,100,250,20,5,11
UA,20081,18500,"Chicago, Illinois,",69980,"Phoenix, Arizona,",49310,16,198,125,275,13,5,3
US,20081,18500,"Chicago, Illinois,",69980,"Phoenix, Arizona,",63720,21,200,100,250,6,8,12
WN,20081,18500,"Chicago, Illinois,",69980,"Phoenix, Arizona,",93740,31,184,100,350,8,7,11
UA,20081,18500,"Chicago, Illinois,",70470,"Pittsburgh, Pennsylvania,",44420,44,115,75,125,39,22,7
WN,20081,18500,"Chicago, Illinois,",70470,"Pittsburgh, Pennsylvania,",46940,47,86,75,150,49,8,0
UA,20081,18500,"Chicago, Illinois,",71790,"Portland, Oregon,",25500,51,280,175,375,5,13,5
WN,20081,18500,"Chicago, Illinois,",71790,"Portland, Oregon,",15430,31,166,125,225,28,6,2
AA,20081,18500,"Chicago, Illinois,",73020,"Providence, Rhode Island,",5340,11,189,100,250,7,7,12
UA,20081,18500,"Chicago, Illinois,",73020,"Providence, Rhode Island,",15960,33,178,125,250,24,11,2
WN,20081,18500,"Chicago, Illinois,",73020,"Providence, Rhode Island,",25180,52,155,100,250,10,20,0
AA,20081,18500,"Chicago, Illinois,",74830,"Raleigh/Durham, North Carolina,",34290,43,135,100,200,17,13,3
UA,20081,18500,"Chicago, Illinois,",74830,"Raleigh/Durham, North Carolina,",18520,23,158,100,200,20,17,5
WN,20081,18500,"Chicago, Illinois,",74830,"Raleigh/Durham, North Carolina,",23070,29,140,100,200,14,19,0
AA,20081,18500,"Chicago, Illinois,",75500,"Reno, Nevada,",12860,45,180,125,225,37,6,4
WN,20081,18500,"Chicago, Illinois,",75500,"Reno, Nevada,",11030,38,168,125,375,35,6,2
AA,20081,18500,"Chicago, Illinois,",75820,"Richmond, Virginia,",9970,41,218,125,300,13,7,8
UA,20081,18500,"Chicago, Illinois,",75820,"Richmond, Virginia,",9780,40,292,125,400,6,6,25
US,20081,18500,"Chicago, Illinois,",75820,"Richmond, Virginia,",2610,11,178,125,225,15,7,4
UA,20081,18500,"Chicago, Illinois,",77850,"Sacramento, California,",15270,43,282,200,375,7,13,3
WN,20081,18500,"Chicago, Illinois,",77850,"Sacramento, California,",14520,41,170,125,375,38,5,3
AA,20081,18500,"Chicago, Illinois,",78460,"St. Louis, Missouri,",60120,43,104,75,150,30,22,3
WN,20081,18500,"Chicago, Illinois,",78460,"St. Louis, Missouri,",65170,47,101,75,150,28,39,0
AA,20081,18500,"Chicago, Illinois,",79070,"Salt Lake City, Utah,",17020,21,185,125,225,19,7,3
DL,20081,18500,"Chicago, Illinois,",79070,"Salt Lake City, Utah,",28840,35,184,125,225,21,7,3
UA,20081,18500,"Chicago, Illinois,",79070,"Salt Lake City, Utah,",14740,18,242,125,350,8,7,8
WN,20081,18500,"Chicago, Illinois,",79070,"Salt Lake City, Utah,",15420,19,188,125,350,11,8,0
AA,20081,18500,"Chicago, Illinois,",79360,"San Antonio, Texas,",34460,53,178,100,225,11,7,12
UA,20081,18500,"Chicago, Illinois,",79360,"San Antonio, Texas,",8890,14,237,125,375,6,7,7
WN,20081,18500,"Chicago, Illinois,",79360,"San Antonio, Texas,",17580,27,179,100,375,7,10,15
AA,20081,18500,"Chicago, Illinois,",79520,"San Diego, California,",41500,31,185,125,225,31,6,5
UA,20081,18500,"Chicago, Illinois,",79520,"San Diego, California,",35100,26,230,125,325,9,6,8
WN,20081,18500,"Chicago, Illinois,",79520,"San Diego, California,",47430,36,172,125,325,27,6,0
AA,20081,18500,"Chicago, Illinois,",79830,"San Francisco, California,",55560,33,211,125,225,22,6,8
UA,20081,18500,"Chicago, Illinois,",79830,"San Francisco, California,",78090,46,302,175,325,21,7,8
WN,20081,18500,"Chicago, Illinois,",79830,"San Francisco, California,",25790,15,155,125,225,39,6,0
AA,20081,18500,"Chicago, Illinois,",80050,"San Jose, California,",19680,35,178,100,275,5,7,7
UA,20081,18500,"Chicago, Illinois,",80050,"San Jose, California,",19480,34,217,125,300,15,9,6
WN,20081,18500,"Chicago, Illinois,",80050,"San Jose, California,",15230,27,166,125,275,33,6,0
AA,20081,18500,"Chicago, Illinois,",80650,"Santa Ana, California,",46500,55,196,125,275,15,5,4
UA,20081,18500,"Chicago, Illinois,",80650,"Santa Ana, California,",28630,34,232,125,350,9,6,8
FL,20081,18500,"Chicago, Illinois,",82080,"Sarasota/Bradenton, Florida,",31910,62,157,100,250,13,6,8
U5,20081,18500,"Chicago, Illinois,",82080,"Sarasota/Bradenton, Florida,",12610,25,142,100,200,29,5,5
AA,20081,18500,"Chicago, Illinois,",82630,"Seattle, Washington,",28280,26,191,125,325,28,5,7
AS,20081,18500,"Chicago, Illinois,",82630,"Seattle, Washington,",21870,20,189,125,225,29,6,7
UA,20081,18500,"Chicago, Illinois,",82630,"Seattle, Washington,",31830,30,240,125,325,5,10,8
WN,20081,18500,"Chicago, Illinois,",82630,"Seattle, Washington,",20300,19,167,125,325,31,7,0
AA,20081,18500,"Chicago, Illinois,",87870,"Tampa, Florida,",42290,21,166,100,200,14,7,7
UA,20081,18500,"Chicago, Illinois,",87870,"Tampa, Florida,",53170,26,166,100,250,11,5,7
WN,20081,18500,"Chicago, Illinois,",87870,"Tampa, Florida,",74900,37,160,75,300,8,7,17
AA,20081,18500,"Chicago, Illinois,",91940,"Tucson, Arizona,",31780,62,198,125,250,24,7,4
WN,20081,18500,"Chicago, Illinois,",91940,"Tucson, Arizona,",14880,29,186,125,250,26,6,2
AA,20081,18500,"Chicago, Illinois,",92080,"Tulsa, Oklahoma,",15000,60,165,100,250,6,12,4
UA,20081,18500,"Chicago, Illinois,",92080,"Tulsa, Oklahoma,",4760,19,185,125,250,14,16,3
WN,20081,18500,"Chicago, Illinois,",92080,"Tulsa, Oklahoma,",4790,19,194,125,275,12,9,0
AA,20081,18500,"Chicago, Illinois,",96460,"Washington, D.C.,",52070,21,155,100,275,46,6,6
UA,20081,18500,"Chicago, Illinois,",96460,"Washington, D.C.,",146430,58,206,100,275,26,11,11
WN,20081,18500,"Chicago, Illinois,",96460,"Washington, D.C.,",41500,16,116,100,200,58,15,0
AA,20081,18500,"Chicago, Illinois,",97160,"West Palm Beach, Florida,",32110,45,178,100,225,22,6,9
UA,20081,18500,"Chicago, Illinois,",97160,"West Palm Beach, Florida,",22200,31,161,100,225,15,7,4
AA,20081,18500,"Chicago, Illinois,",97390,"White Plains, New York,",20140,58,241,100,300,5,8,25
UA,20081,18500,"Chicago, Illinois,",97390,"White Plains, New York,",12830,37,250,125,325,15,6,12
AA,20081,19270,"Cincinnati, Ohio,",23210,"Dallas/Ft.Worth, Texas,",9750,49,318,150,400,10,9,23
DL,20081,19270,"Cincinnati, Ohio,",23210,"Dallas/Ft.Worth, Texas,",9240,46,318,150,375,6,5,19
DL,20081,19270,"Cincinnati, Ohio,",29420,"Ft. Lauderdale, Florida,",18250,87,245,125,250,5,6,16
DL,20081,19270,"Cincinnati, Ohio,",29540,"Ft. Myers, Florida,",18220,54,221,150,250,15,7,6
U5,20081,19270,"Cincinnati, Ohio,",29540,"Ft. Myers, Florida,",14200,42,161,100,225,9,6,6
DL,20081,19270,"Cincinnati, Ohio,",48880,"Las Vegas, Nevada,",18810,89,274,150,275,8,15,11
DL,20081,19270,"Cincinnati, Ohio,",51410,"Los Angeles, California,",16310,80,394,225,500,8,5,12
AA,20081,19270,"Cincinnati, Ohio,",63760,"New York, New York,",5510,13,312,125,375,13,5,29
DL,20081,19270,"Cincinnati, Ohio,",63760,"New York, New York,",32070,76,368,125,375,8,6,36
DL,20081,19270,"Cincinnati, Ohio,",66600,"Orlando, Florida,",30180,94,203,100,250,8,6,16
DL,20081,19270,"Cincinnati, Ohio,",69880,"Philadelphia, Pennsylvania,",9550,50,286,150,400,12,10,9
US,20081,19270,"Cincinnati, Ohio,",69880,"Philadelphia, Pennsylvania,",8670,46,308,150,425,9,12,7
DL,20081,19270,"Cincinnati, Ohio,",87870,"Tampa, Florida,",21260,76,208,100,375,13,6,20
U5,20081,19270,"Cincinnati, Ohio,",87870,"Tampa, Florida,",4460,16,124,75,150,8,19,7
DL,20081,19270,"Cincinnati, Ohio,",96460,"Washington, D.C.,",18000,84,333,100,350,8,16,51
AA,20081,19770,"Cleveland, Ohio,",23210,"Dallas/Ft.Worth, Texas,",15340,70,242,125,400,18,7,17
CO,20081,19770,"Cleveland, Ohio,",24090,"Denver, Colorado,",8220,45,215,125,275,16,5,6
UA,20081,19770,"Cleveland, Ohio,",24090,"Denver, Colorado,",6520,36,229,125,325,9,7,7
CO,20081,19770,"Cleveland, Ohio,",29420,"Ft. Lauderdale, Florida,",35250,74,190,125,200,14,8,3
US,20081,19770,"Cleveland, Ohio,",29420,"Ft. Lauderdale, Florida,",4780,10,187,125,250,11,9,3
CO,20081,19770,"Cleveland, Ohio,",29540,"Ft. Myers, Florida,",34910,59,190,125,325,15,6,4
U5,20081,19770,"Cleveland, Ohio,",29540,"Ft. Myers, Florida,",18520,31,159,100,200,6,6,5
CO,20081,19770,"Cleveland, Ohio,",37320,"Houston, Texas,",28940,84,246,125,475,24,10,24
CO,20081,19770,"Cleveland, Ohio,",48880,"Las Vegas, Nevada,",62080,73,183,125,200,28,9,7
WN,20081,19770,"Cleveland, Ohio,",48880,"Las Vegas, Nevada,",16340,19,164,125,200,34,11,4
CO,20081,19770,"Cleveland, Ohio,",51410,"Los Angeles, California,",33290,75,264,125,525,12,7,24
CO,20081,19770,"Cleveland, Ohio,",57560,"Miami, Florida,",13670,62,197,125,250,9,7,3
WN,20081,19770,"Cleveland, Ohio,",62860,"Nashville, Tennessee,",17960,92,108,75,175,10,6,0
AA,20081,19770,"Cleveland, Ohio,",63760,"New York, New York,",12460,15,166,75,175,16,6,23
CO,20081,19770,"Cleveland, Ohio,",63760,"New York, New York,",60340,74,237,100,425,11,17,37
CO,20081,19770,"Cleveland, Ohio,",66600,"Orlando, Florida,",62230,58,153,75,175,9,9,15
WN,20081,19770,"Cleveland, Ohio,",66600,"Orlando, Florida,",37380,35,104,75,150,36,7,4
CO,20081,19770,"Cleveland, Ohio,",69980,"Phoenix, Arizona,",31070,68,200,125,225,18,6,6
US,20081,19770,"Cleveland, Ohio,",69980,"Phoenix, Arizona,",7330,16,218,100,375,5,5,18
WN,20081,19770,"Cleveland, Ohio,",69980,"Phoenix, Arizona,",4900,11,183,125,400,33,6,6
CO,20081,19770,"Cleveland, Ohio,",79830,"San Francisco, California,",15570,69,245,125,250,13,19,14
UA,20081,19770,"Cleveland, Ohio,",79830,"San Francisco, California,",2370,11,314,125,300,10,7,25
CO,20081,19770,"Cleveland, Ohio,",87870,"Tampa, Florida,",34880,65,166,100,325,15,6,11
U5,20081,19770,"Cleveland, Ohio,",87870,"Tampa, Florida,",7470,14,133,100,150,17,16,1
CO,20081,19770,"Cleveland, Ohio,",97160,"West Palm Beach, Florida,",14970,81,190,125,250,13,6,4
AA,20081,20410,"Colorado Springs, Colorado,",23210,"Dallas/Ft.Worth, Texas,",21560,96,168,125,250,40,7,6
G4,20081,20410,"Colorado Springs, Colorado,",48880,"Las Vegas, Nevada,",13290,48,84,75,150,62,7,1
UA,20081,20410,"Colorado Springs, Colorado,",48880,"Las Vegas, Nevada,",3790,14,151,100,225,21,9,2
US,20081,20410,"Colorado Springs, Colorado,",48880,"Las Vegas, Nevada,",8570,31,105,75,150,38,7,5
US,20081,20410,"Colorado Springs, Colorado,",69980,"Phoenix, Arizona,",17260,89,159,125,275,40,8,1
AA,20081,20570,"Columbus, Ohio,",23210,"Dallas/Ft.Worth, Texas,",35090,82,202,125,300,26,6,7
AA,20081,20570,"Columbus, Ohio,",24090,"Denver, Colorado,",2830,13,174,150,200,46,10,2
UA,20081,20570,"Columbus, Ohio,",24090,"Denver, Colorado,",14390,64,257,175,400,8,6,2
WN,20081,20570,"Columbus, Ohio,",24090,"Denver, Colorado,",2410,11,178,125,375,34,6,4
CO,20081,20570,"Columbus, Ohio,",37320,"Houston, Texas,",11650,57,254,125,425,19,19,35
WN,20081,20570,"Columbus, Ohio,",37320,"Houston, Texas,",5270,26,189,125,375,36,11,4
US,20081,20570,"Columbus, Ohio,",48880,"Las Vegas, Nevada,",27910,43,169,125,225,33,10,3
WN,20081,20570,"Columbus, Ohio,",48880,"Las Vegas, Nevada,",29440,45,162,125,225,37,5,4
AA,20081,20570,"Columbus, Ohio,",51410,"Los Angeles, California,",2920,12,252,125,275,18,6,14
DL,20081,20570,"Columbus, Ohio,",51410,"Los Angeles, California,",5790,25,250,125,250,21,6,17
UA,20081,20570,"Columbus, Ohio,",51410,"Los Angeles, California,",2620,11,271,125,300,15,6,17
US,20081,20570,"Columbus, Ohio,",51410,"Los Angeles, California,",4040,17,217,125,300,28,8,9
WN,20081,20570,"Columbus, Ohio,",51410,"Los Angeles, California,",4160,18,202,125,400,41,9,11
NW,20081,20570,"Columbus, Ohio,",57970,"Minneapolis/St.Paul, Minnesota,",16290,70,279,175,275,12,43,8
UA,20081,20570,"Columbus, Ohio,",57970,"Minneapolis/St.Paul, Minnesota,",2740,12,185,125,275,15,7,4
