 
"Organization Name - Effective 29-JUN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"DARTMOUTH COLLEGE","5F32GM073307-03","7227467","Karp, Xantha ","Genetics of postdauer developmental timing in C elegans","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 49,928","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5G13LM009017-02","7282344","Nelson, William A","Handbook for Rural Health Care Ethics","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 67,453","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K01CA109567-02","7253368","Savellano, Mark David","New Strategies for Photoimmunodetection/therapy","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 133,935","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K01DK067119-05","7219525","Ernst, Patricia A","MII Regulation of Hematopoiesis","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 137,970","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K07CA102327-03","7277612","Andrew, Angeline Sanderson","Bladder Cancer Prognostic Indicators","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 144,180","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K07CA113949-02","7288745","Sutherland, Lisa A","TV Watching Exposure, Eating and Nutrition Study","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 144,180","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K08AI069915-02","7194211","Lahey, Timothy P","Mechanisms of Regulatory T cell Suppression of HIV-specific Cellular Immunity","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 122,663","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K08HL076658-04","7237251","Rzucidlo, Eva Maria","mTOR Regulation of VSMC Differentiation","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 115,066","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K08NS044298-06","7277777","Lee, Stephen L","Genetic Analysis of Parkinsonism in an Ohio Amish Family","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 165,721","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K22DE016542-02","7190037","Hogan, Deborah A","Chemical inhibition of Candida albicans filamentation","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 135,000","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K23DA016574-04","7225203","Mcgovern, Mark P","Cognitive Therapy for PTSD in Addiction Treatment","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 189,157","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K23NS045830-03","7262607","Wishart, Heather A","Neural Mechanisms of Cognitive and Motor Symptoms in MS","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 178,740","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5K25CA106863-03","7189039","Jiang, Shudong ","Pressure-enhanced near-infrared breast cancer imaging","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 96,151","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5P01CA080139-07","7228435","Paulsen, Keith D","Alternative Breast Cancer Imaging Modalities","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 1,548,194","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5P01GM068087-04","7218051","Dunlap, Jay C","Functional Analysis of a Model Filamentous Fungus","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 1,532,831","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5P20RR016437-07","7247174","Green, William R","Center for Molecular, Cellular, and Translational Immunological Research","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 2,328,944","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5P20RR018787-05","7250852","Stanton, Bruce A","Cellular and Molecular Mechanisms of Lung Disease","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 2,135,836","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5P30CA023108-29","7248017","Israel, Mark A","Cancer Center Support Grant","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 3,012,185","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5P42ES007373-13","7218715","Hamilton, Joshua W","Toxic Metals in the Northeast: From Biological To Envir*","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 3,058,307","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5P60AR048094-05","7197305","Weinstein, James N","NIAMS MCRC in  Musculoskeletal Diseases","ORTHOPAEDIC SURGERY","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 1,129,176","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AA014698-05","7281296","Yeh, Hermes H","Ethanol Consumption and Muscarinic Tone in Medial Septum","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AA015591-03","7227527","Sargent, James D","Media Influences on Early Onset Alcohol Use","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 306,686","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AG023590-03","7179314","Shworak, Nicholas W","3OST1 Deficiency and Cardiovascular Disease","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 242,583","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI037142-11","7242636","Cheung, Ambrose L","Characterization of sar-agr Interactions in S. aureus","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 310,526","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI041930-10","7186644","Bzik, David J","T.gondii pyrimidine synthesis as a chemotherapy target","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 337,079","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI047441-08","7214733","Cheung, Ambrose L","In Vivo Gene Expression in Staphyloccus Aureus","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 408,170","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI048667-07","7190518","Noelle, Randolph J","Effector Mechanisms in Graft Tolerance","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 388,157","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI051360-05","7210710","Otoole, George A","Mechanisms of Biofilm Antibiotic Resistance","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 337,079","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI051427-05","7162155","Speck, Nancy A","Runx1 as a Marker for Stem Sells","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 462,512","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI051547-05","7214680","Guyre, Paul ","Glucocorticoid/cytokine mechanisms in endotoxemia.","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 374,531","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI056114-03","7215203","Cheung, Ambrose L","Rat, a regulator of autolysis in S. aureus","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 449,213","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AI059694-04","7268789","Moore, Jason H","Bioinformatics Strategies: Biodefense Vaccine Research","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 518,741","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01AR049834-05","7256255","Rigby, William Frederickcarson","REGULATION OF CD154 EXPRESSION","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 301,685","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA050157-14","7266277","Green, William R","The Pathogenesis of MAIDS and Specific T Cell Responses","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 289,962","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA050224-14","7150017","Eastman, Alan R","Cell Death Induced by Anticancer Agents","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA055248-16","7247977","Cole, Michael D","Essential Effectors of Myc function","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 485,411","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA057359-15","7264480","Craig, Ruth W","MODIFICATIONS MATTER IN MCL1 TURNOVER AND CELL VIABILITY","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 308,120","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA058343-14","7161315","Speck, Nancy A","Biochemistry of Leukemia Virus Core Binding Factor","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 405,444","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA059005-14","7163807","Baron, John A","Aspirin/Folate Prevention of Large Bowel Polyps","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 605,742","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA077267-07","7214059","Brinckerhoff, Constance E","Invasive Behavior of Tumor Cells Producing Collagenase-1","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 238,793","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA078814-09","7161381","Sporn, Michael B","New Triterpenoids for Cancer Chemoprevention & Therapy","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA080320-09","7171755","Cole, Michael D","MYC Dependent Pathways in Apoptosis and Lymphomagenesis","NORRIS COTTON CANCER CENTER","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 341,132","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA082628-10","7228797","Robbins, David J","RECONSTITUTION OF A HEDGEHOG SIGNALING COMPLEX","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 307,020","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA084463-08","7225208","Sanchez, Yolanda ","Dissection of the DNA damage checkpoint pathways","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 307,019","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA087546-07","7230503","Dmitrovsky, Ethan ","Retinoid Cancer Prevention Mechanisms","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 273,883","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA091436-05","7197325","Noelle, Randolph J","Regulation of DCs and CMIby TNF family members","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 300,000","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA098286-05","7250263","Baron, John A","Colorectal Chemoprevention with Calcium and Vitamin D","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 3,415,081","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA101207-05","7236736","Sporn, Michael B","Chemoprevention of ER-Negative Breast Cancer","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 333,333","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA101306-05","7195814","Korc, Murray ","Role of Glypican-1 in Pancreatic Cancer","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 320,862","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA101704-05","7163532","Hegel, Mark T","Improving Palliative Care for Patients with Cancer","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 504,496","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA101748-05","7258867","Sentman, Charles L","NK effector mechanisms during NK-lymphoma interactions","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 266,666","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA102687-05","7258440","Korc, Murray ","Role of Neuropillins in Pancreatic Cancer","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 300,000","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA103642-04","7224932","Usherwood, Edward John","Immune surveillance in murine gammaherpesvirus infection","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 279,728","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA104312-04","7257220","Spinella, Michael J","Retinoid Tumor Differentiation Mechanisms","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 248,648","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA105038-03","7247947","Ahmed, Yasmath ","APC Tumor Suppressor in Cell Differentiation and Death","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 239,551","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA107124-03","7263853","Welch, H Gilbert","Assessing Treatment-Related Harms in Prostate Cancer","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 267,926","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA108539-03","7209060","Direnzo, James ","Role of DN-p63 in Preservation of Self Renewal","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 228,179","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA108896-04","7258451","Noelle, Randolph J","BCMA: Controlling the survival of differentiated B cells","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 248,647","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA108918-03","7229497","Dalton, Madeline A","Movie Influence on Adolesent Smoking: A Follow-up Study","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 572,805","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA109558-03","7248732","Pogue, Brian William","Fluorescence Imaging to Optimize Cancer Therapy","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 299,439","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA111422-03","7231984","Dmitrovsky, Ethan ","Cyclin D as a Retinoid Molecular Target","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 299,439","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA119014-02","7267635","Dietrich, Allen J","RCT/Increase Colon Cancer Screening/Medicaid Managed Care","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 509,968","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA120777-02","7253104","Turk, Mary J","Mechanisms of Concomitant Tumor Immunity","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 275,593","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01CA120919-02","7254860","Khan, Mohammad Nadeem","Oxygen Guided Hypofractionated Radiotherapy for Gliomas","RADIOLOGY","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 275,593","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DA011276-10","7195051","Deleo, Joyce A","Alternatives to Opioids for Chronic Pain: Part IV","ANESTHESIOLOGY","ANESTHESIOLOGY","SCHOOLS OF MEDICINE","$ 310,526","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DA018255-03","7216943","Clark, Ann S","AAS and the Neurobiology of Social Behaviors","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 341,131","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DA022582-02","7290373","Heatherton, Todd F","Effects of Social Context on the Neural Correlates of Cue Reactivity","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 310,526","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DC007172-03","7237821","Cohen, Yale E","Auditory response properties of the prefrontal cortex","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 227,421","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5R01DE011375-13","7215691","Sundstrom, Paula ","Proteins of Candida albicans-an AIDS-related Pathogen","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 379,035","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
