station name,"latitude, degree","latitude, minutes","longitude, degree","longitude, minutes","elevation, feet","observed gravity, mGal","free-air anomaly, mGal","simple bouguer anomaly, mGal",inner terrain correction,"total terrain correction, mGal",D=590 m for inner terrain correction,"complete bouguer anomaly, mGal","isostatic anomaly, mGal"
06jt265,34,1.96,115,30.98,1668.1,979480.42,-13.94,-70.83,0.23,1.05,D,-70.43,-15.3
06jt068,33,55.03,115,28.01,1302.6,979499.17,-19.89,-64.32,0.94,2.23,D,-62.61,-10.45
06jt069,33,55.23,115,28.14,1258.2,979500.16,-23.36,-66.27,0.5,1.59,D,-65.18,-12.9
06jt070,33,55.43,115,28,1218.3,979499.27,-28.28,-69.83,0.28,1.2,D,-69.12,-16.85
06jt071,33,55.66,115,27.79,1206,979493.68,-35.35,-76.48,0.02,0.75,D,-76.21,-23.97
06jt072,33,55.88,115,27.77,1177,979490.9,-41.16,-81.3,0.01,0.64,D,-81.14,-28.84
06jt073,33,56.09,115,27.77,1149.3,979489.38,-45.58,-84.78,0.01,0.59,D,-84.65,-32.28
06jt074,33,56.31,115,27.77,1119.5,979488.75,-49.32,-87.5,0.02,0.57,D,-87.39,-34.96
06jt075,33,56.54,115,27.79,1096.9,979488.7,-51.82,-89.23,0.02,0.54,D,-89.13,-36.62
06jt076,33,56.75,115,27.78,1069.8,979489.25,-54.11,-90.59,0.01,0.52,D,-90.51,-37.95
06jt077,33,56.98,115,27.78,1066.2,979489.32,-54.7,-91.06,0,0.51,D,-90.99,-38.37
06jt078,33,57.21,115,27.77,1086.1,979488.23,-54.24,-91.28,0,0.5,D,-91.22,-38.55
06jt079,33,57.45,115,27.77,1104.3,979487.51,-53.58,-91.24,0.01,0.51,D,-91.18,-38.45
06jt080,33,57.67,115,27.78,1123.1,979487.05,-52.58,-90.88,0.01,0.52,D,-90.82,-38.03
06jt081,33,57.88,115,27.75,1142.1,979486.91,-51.22,-90.18,0.01,0.53,D,-90.11,-37.28
06jt082,33,58.11,115,27.7,1165.7,979486.61,-49.63,-89.38,0.01,0.55,D,-89.3,-36.45
06jt083,33,58.33,115,27.56,1203.1,979486.05,-46.97,-88.01,0.02,0.61,D,-87.89,-35.05
06jt084,33,58.58,115,27.54,1229.6,979485.79,-45.09,-87.03,0.02,0.65,D,-86.88,-33.98
06jt085,33,58.78,115,27.42,1266.6,979485.23,-42.45,-85.65,0.02,0.7,D,-85.46,-32.56
06jt086,33,59,115,27.32,1301.8,979484.59,-40.09,-84.49,0.02,0.78,D,-84.23,-31.33
06jt087,33,59.18,115,27.18,1339.8,979483.66,-37.69,-83.39,0.03,0.88,D,-83.04,-30.16
06jt088,33,59.38,115,27.04,1380.2,979482.51,-35.32,-82.4,0.03,1.04,D,-81.91,-29.06
06jt089,33,59.58,115,26.87,1424.1,979481.4,-32.58,-81.15,0.04,1.32,D,-80.4,-27.58
06jt090,33,59.83,115,26.7,1477.4,979480.92,-28.4,-78.79,0.66,2.48,D,-76.89,-24.09
06jt266,33,55.2,115,29.42,1292.5,979497.16,-23.09,-67.17,1.09,2.53,D,-65.16,-12.23
06jt267,33,55.41,115,29.42,1231.4,979497.44,-28.85,-70.85,0.14,1.32,D,-70.02,-17.02
06jt268,33,55.63,115,29.42,1183,979494.38,-36.77,-77.12,0.03,0.97,D,-76.62,-23.56
06jt269,33,55.86,115,29.41,1152.5,979492.34,-42,-81.3,0.02,0.8,D,-80.97,-27.85
06jt270,33,56.08,115,29.45,1126,979491.55,-45.59,-83.99,0.02,0.7,D,-83.75,-30.56
06jt271,33,56.3,115,29.45,1097.8,979492.11,-47.99,-85.43,0.02,0.64,D,-85.23,-31.98
06jt272,33,56.51,115,29.45,1090.9,979491.55,-49.49,-86.69,0.01,0.58,D,-86.56,-33.25
06jt273,33,56.73,115,29.46,1093.6,979491.29,-49.8,-87.1,0.01,0.53,D,-87.01,-33.64
06jt274,33,56.95,115,29.45,1093,979491.16,-50.29,-87.57,0,0.49,D,-87.52,-34.1
06jt275,33,57.17,115,29.45,1100,979491.05,-50.05,-87.57,0,0.47,D,-87.55,-34.08
06jt276,33,57.38,115,29.46,1114.8,979490.56,-49.44,-87.47,0,0.44,D,-87.48,-33.95
06jt277,33,57.6,115,29.45,1131.2,979489.93,-48.84,-87.42,0.01,0.44,D,-87.44,-33.87
06jt278,33,57.81,115,29.46,1151.6,979489.27,-47.87,-87.15,0,0.42,D,-87.2,-33.57
06jt279,33,58.03,115,29.46,1173.8,979488.56,-46.8,-86.84,0,0.41,D,-86.9,-33.23
06jt280,33,58.25,115,29.45,1190,979488,-46.15,-86.73,0,0.41,D,-86.8,-33.09
06jt281,33,58.47,115,29.46,1208.8,979487.53,-45.15,-86.38,0,0.42,D,-86.45,-32.67
06jt282,33,58.68,115,29.45,1229.3,979487.24,-43.81,-85.74,0.01,0.44,D,-85.79,-31.97
06jt283,33,58.9,115,29.46,1253.7,979486.94,-42.12,-84.88,0,0.43,D,-84.95,-31.09
06jt284,33,59.11,115,29.45,1291.3,979486.85,-38.97,-83.01,0.02,0.47,D,-83.05,-29.15
06jt285,33,59.33,115,29.46,1297.7,979486.69,-38.83,-83.09,0,0.46,D,-83.15,-29.19
06jt286,33,59.45,115,29.23,1305.2,979486.34,-38.65,-83.16,0.02,0.51,D,-83.18,-29.3
06jt287,33,59.55,115,29.01,1316.7,979485.79,-38.25,-83.16,0.01,0.53,D,-83.16,-29.35
06jt288,33,59.67,115,28.79,1338.5,979484.61,-37.55,-83.2,0.01,0.57,D,-83.17,-29.44
06jt289,33,59.78,115,28.57,1364.5,979483.21,-36.66,-83.2,0.01,0.61,D,-83.13,-29.49
06jt290,33,59.91,115,28.36,1388.3,979482.32,-35.49,-82.84,0.02,0.7,D,-82.69,-29.12
06jt291,34,0.05,115,28.15,1425.8,979480.88,-33.6,-82.23,0.03,0.83,D,-81.97,-28.47
06jt292,34,0.18,115,27.95,1462.6,979479.76,-31.44,-81.32,0.03,0.98,D,-80.92,-27.49
06jt293,34,0.3,115,27.73,1490.3,979481.33,-27.43,-78.26,0.34,1.6,D,-77.25,-23.89
06jt294,34,0.36,115,27.67,1536.9,979477.89,-26.57,-78.99,1.02,2.37,D,-77.22,-23.88
06jt091,33,58.41,116,0.9,3675,979334.79,34.11,-91.23,0.05,2.27,D,-90.16,-20.46
06jt092,33,57.98,116,1.01,3597.8,979340.71,33.37,-89.34,0.07,2.24,D,-88.27,-18.7
06jt093,33,57.58,116,1.08,3525.4,979346.55,32.96,-87.28,0.19,2.42,D,-86.01,-16.58
06jt094,33,57.79,116,0.99,3544.4,979345.37,33.27,-87.61,0.05,2.22,D,-86.56,-17.08
06jt095,33,58.2,116,0.97,3636.3,979337.81,33.78,-90.24,0.05,2.24,D,-89.19,-19.55
06jt096,33,58.62,116,0.83,3711.5,979332.84,35.3,-91.29,0.05,2.31,D,-90.18,-20.43
06jt097,33,59.3,116,1.33,3899.9,979324.51,43.73,-89.28,0.05,2.45,D,-88.06,-17.83
06jt098,33,58.95,116,1.64,3912.8,979323.13,44.05,-89.4,0.05,2.5,D,-88.14,-17.92
06jt099,33,58.64,116,2.01,3957.9,979319.65,45.24,-89.74,0.09,2.63,D,-88.36,-18.13
06jt100,33,58.37,116,2.42,4040.5,979312.21,45.95,-91.86,0.08,2.75,D,-90.37,-20.11
06jt101,33,58.23,116,2.9,4139.3,979306.31,49.53,-91.64,0.08,2.86,D,-90.06,-19.69
06jt102,33,58.26,116,2.64,4072.8,979309.98,46.91,-92,0.08,2.78,D,-90.49,-20.2
06jt103,33,58.5,116,2.21,3984.9,979316.64,44.97,-90.94,0.1,2.69,D,-89.5,-19.25
06jt104,33,58.79,116,1.82,3933.5,979321.45,44.54,-89.62,0.07,2.57,D,-88.29,-18.07
06jt105,33,59.11,116,1.47,3909.2,979323.19,43.55,-89.78,0.04,2.47,D,-88.55,-18.34
PB001,33,54.11,115,50.05,1784.3,979441.14,-31.33,-92.19,0.01,1.33,D,-91.55,-28.42
PB002,33,54.35,115,49.98,1764.9,979442.25,-32.38,-92.58,0,1.24,D,-92.02,-28.82
PB003,33,54.54,115,49.83,1745.2,979443.75,-33,-92.52,0.01,1.23,D,-91.97,-28.77
PB004,33,54.72,115,49.64,1732.5,979445.44,-32.76,-91.85,0.03,1.24,D,-91.28,-28.1
PB005,33,54.91,115,49.51,1744.9,979445.83,-31.47,-90.98,0.05,1.22,D,-90.43,-27.26
PB006,33,55.14,115,49.37,1655.6,979453.09,-32.92,-89.39,0.05,1.52,D,-88.51,-25.32
PB007,33,55.32,115,49.25,1639.1,979455.87,-31.95,-87.85,0.02,1.66,D,-86.83,-23.63
PB008,33,55.5,115,49.12,1632.1,979457.56,-31.17,-86.83,0.01,1.89,D,-85.58,-22.38
PB009,33,55.68,115,49.03,1631.3,979459.02,-30.03,-85.67,0.08,2.33,D,-83.97,-20.77
PB010,33,55.82,115,48.94,1651.2,979458.49,-28.89,-85.2,0.86,3.51,D,-82.33,-19.13
PB011,33,55.48,115,48.82,1622.8,979459.08,-30.49,-85.84,0.04,2.09,D,-84.39,-21.35
PB012,33,55.51,115,48.11,1605.1,979460.77,-30.51,-85.25,0.52,3.3,D,-82.59,-19.91
PB013,33,55.3,115,48.17,1605.6,979459.38,-31.56,-86.32,0.03,2.12,D,-84.83,-22.19
PB014,33,55.12,115,48.26,1622.7,979456.93,-32.15,-87.5,0.05,1.77,D,-86.36,-23.73
PB015,33,54.93,115,48.34,1680.8,979452.6,-30.75,-88.08,0.06,1.4,D,-87.33,-24.73
PB016,33,54.74,115,48.49,1731,979447.77,-30.6,-89.63,0.01,1.15,D,-89.15,-26.54
PB017,33,54.57,115,48.62,1721.7,979447.39,-31.61,-90.33,0.03,1.18,D,-89.82,-27.19
PB018,33,54.37,115,48.78,1741.5,979446.13,-30.73,-90.13,0.02,1.15,D,-89.65,-27.03
PB019,33,54.17,115,48.95,1766.5,979444.53,-29.7,-89.95,0.02,1.16,D,-89.47,-26.84
PB020,33,53.95,115,49.11,1794.3,979442.08,-29.23,-90.43,0.02,1.21,D,-89.91,-27.29
PB021,33,53.74,115,49.25,1827,979439.76,-28.18,-90.5,0.03,1.29,D,-89.91,-27.31
PB022,33,53.55,115,49.37,1862.8,979437.9,-26.41,-89.94,0.02,1.37,D,-89.28,-26.72
PB023,33,53.25,115,49.63,1898.7,979436.44,-24.08,-88.83,0.43,2.07,D,-87.49,-24.94
PB024,33,53.47,115,49.75,1855.2,979439.07,-25.84,-89.12,0.07,1.63,D,-88.2,-25.49
PB025,33,53.71,115,49.9,1837.5,979438.81,-28.1,-90.77,0.02,1.45,D,-90.02,-27.12
PB026,33,56.41,115,24.9,1052.3,979499.16,-45.37,-81.26,0.02,0.67,D,-81.01,-29.91
PB027,33,56.62,115,24.83,1094.2,979495.83,-45.05,-82.37,0.03,0.69,D,-82.13,-31.01
PB028,33,56.77,115,24.58,1144.5,979494.25,-42.11,-81.14,0.03,0.73,D,-80.87,-29.84
PB029,33,56.96,115,24.36,1210.9,979492.25,-38.13,-79.43,0.03,0.79,D,-79.12,-28.13
PB030,33,57.08,115,24.12,1266.4,979491.04,-34.29,-77.48,0.04,0.88,D,-77.11,-26.2
PB031,33,57.19,115,23.89,1320.8,979489.51,-30.85,-75.9,0.04,0.95,D,-75.48,-24.64
PB032,33,57.33,115,23.66,1372,979487.9,-27.84,-74.64,0.04,1.06,D,-74.12,-23.34
PB033,33,57.54,115,23.33,1493.7,979483.24,-21.35,-72.29,0.39,1.59,D,-71.3,-20.61
PB034,33,57.84,115,23.47,1495.4,979479.19,-25.66,-76.66,0.04,1.25,D,-76,-25.16
PB035,33,58.39,115,23.54,1612.6,979473.27,-21.32,-76.32,0.09,1.64,D,-75.31,-24.3
PB036,33,58.24,115,23.89,1522.7,979477.28,-25.56,-77.49,0.05,1.32,D,-76.77,-25.63
PB037,33,58.11,115,24.05,1473.6,979478.53,-28.75,-79,0.04,1.19,D,-78.4,-27.22
PB038,33,57.94,115,24.23,1412.5,979481.05,-31.74,-79.91,0.05,1.09,D,-79.38,-28.17
PB039,33,57.78,115,24.4,1355.5,979483.83,-34.09,-80.32,0.05,1,D,-79.87,-28.63
PB040,33,57.62,115,24.61,1307.9,979485.92,-36.26,-80.86,0.05,0.92,D,-80.47,-29.17
PB041,33,57.45,115,24.8,1250.1,979488.27,-39.11,-81.74,0.03,0.83,D,-81.42,-30.09
PB042,33,57.28,115,24.98,1200.7,979489.61,-42.18,-83.13,0.03,0.76,D,-82.85,-31.48
PB043,33,57.1,115,25.14,1157,979490.54,-45.1,-84.57,0.02,0.69,D,-84.34,-32.95
PB044,33,56.94,115,25.27,1125.7,979491.28,-47.08,-85.48,0.02,0.66,D,-85.28,-33.88
PB045,33,56.78,115,25.42,1096.2,979492.14,-48.78,-86.16,0.02,0.62,D,-85.99,-34.55
PB046,33,56.64,115,25.56,1073.5,979493.49,-49.37,-85.98,0.01,0.59,D,-85.82,-34.36
PB047,33,56.49,115,25.72,1061.2,979494.41,-49.39,-85.59,0.01,0.58,D,-85.44,-33.95
PB048,33,56.32,115,25.87,1031.3,979497.74,-48.64,-83.81,0.03,0.64,D,-83.59,-32.07
PB049,33,56.17,115,26.02,1081.1,979496.59,-44.9,-81.77,0.06,0.62,D,-81.59,-30.04
PB050,33,55.99,115,26.13,1133.4,979496.89,-39.43,-78.08,0.07,0.62,D,-77.92,-26.39
PB051,33,55.8,115,26.2,1201.2,979498.27,-31.4,-72.37,0.16,0.72,D,-72.14,-20.65
PB052,33,55.71,115,26.15,1296.4,979495.43,-25.16,-69.38,0.17,0.77,D,-69.13,-17.69
PB053,33,55.84,115,25.82,1203.3,979498.14,-31.39,-72.43,0.19,0.74,D,-72.17,-20.84
PB054,33,55.88,115,25.44,1167.2,979498.88,-34.1,-73.91,0.24,0.79,D,-73.59,-22.41
PB055,33,56.11,115,25.4,1029.5,979504.41,-41.84,-76.96,0.13,0.8,D,-76.58,-25.34
PB056,33,56.26,115,25.14,1028.9,979501.54,-44.98,-80.07,0.02,0.68,D,-79.82,-28.66
PB057,33,46.91,115,47.81,3124.4,979358.13,21.71,-84.85,0.02,1.8,D,-84.12,-26.35
PB058,33,54.69,115,51.96,1775,979442.82,-31.34,-91.88,0,1.46,D,-91.1,-26.8
PB059,33,54.91,115,51.9,1754.1,979444.74,-31.69,-91.52,0,1.43,D,-90.76,-26.4
PB060,33,55.14,115,51.83,1736.3,979447.76,-30.67,-89.88,0,1.42,D,-89.14,-24.72
PB061,33,55.38,115,51.75,1722.8,979451.27,-28.76,-87.52,0,1.42,D,-86.76,-22.28
PB062,33,55.61,115,51.7,1715,979453.41,-27.67,-86.17,0,1.44,D,-85.39,-20.85
PB063,33,55.83,115,51.66,1707.9,979455.43,-26.63,-84.88,0,1.49,D,-84.05,-19.45
PB064,33,56.05,115,51.6,1705.3,979457.96,-24.65,-82.81,0.01,1.58,D,-81.89,-17.24
PB065,33,56.28,115,51.5,1749.4,979457.61,-21.17,-80.84,0.05,1.6,D,-79.92,-15.26
PB066,33,56.54,115,51.34,1814.4,979455.1,-17.93,-79.82,0.35,1.87,D,-78.65,-13.99
PB067,33,56.81,115,51.3,1860.4,979452.76,-16.32,-79.78,0.3,1.94,D,-78.55,-13.84
PB068,33,57.05,115,51.39,1927.2,979448.67,-14.47,-80.2,0.42,2.16,D,-78.77,-13.96
PB069,33,57.01,115,50.95,1868.7,979449.82,-18.76,-82.5,0.06,1.97,D,-81.24,-16.67
PB070,33,56.95,115,50.54,1851.4,979450.75,-19.38,-82.52,0.06,2.07,D,-81.15,-16.81
PB071,33,56.85,115,50.15,1910.9,979446.89,-17.5,-82.67,0.24,2.13,D,-81.27,-17.18
PB072,33,56.65,115,50.24,1836.5,979451.08,-20.03,-82.66,0.08,1.84,D,-81.53,-17.43
PB073,33,56.46,115,50.34,1757.3,979455.25,-23.04,-82.98,0.07,1.81,D,-81.84,-17.72
PB074,33,56.29,115,50.4,1729,979456.14,-24.58,-83.55,0.04,1.69,D,-82.53,-18.43
PB075,33,56.09,115,50.47,1705.5,979456.83,-25.82,-83.99,0.03,1.59,D,-83.06,-18.99
PB076,33,55.88,115,50.54,1678.1,979458.14,-26.79,-84.02,0.04,1.59,D,-83.09,-19.04
PB077,33,55.65,115,50.65,1676.9,979456.91,-27.81,-85.01,0.01,1.49,D,-84.17,-20.14
PB078,33,55.42,115,50.72,1690.3,979454.39,-28.75,-86.4,0.01,1.41,D,-85.65,-21.66
PB079,33,55.23,115,50.76,1698.9,979451.11,-30.96,-88.9,0.01,1.38,D,-88.18,-24.24
PB080,33,55.02,115,50.82,1713.8,979447.74,-32.63,-91.09,0.01,1.35,D,-90.4,-26.51
PB081,33,54.83,115,50.88,1725.6,979445.27,-33.73,-92.58,0.01,1.35,D,-91.9,-28.06
PB082,33,54.64,115,50.94,1739,979443.48,-33.99,-93.3,0.01,1.37,D,-92.61,-28.82
PB083,33,54.32,115,51.09,1761.9,979441.71,-33.16,-93.26,0.01,1.46,D,-92.47,-28.74
PB084,33,54.13,115,51.3,1789.2,979440.99,-31.05,-92.07,0.01,1.55,D,-91.22,-27.48
PB085,33,53.95,115,51.53,1816.9,979440.43,-28.76,-90.72,0.02,1.69,D,-89.73,-25.97
PB086,33,54.18,115,51.81,1818.8,979440.47,-28.86,-90.89,0.01,1.58,D,-90.01,-26.01
PB087,33,54.44,115,51.97,1797.4,979441.49,-30.21,-91.52,0.01,1.52,D,-90.68,-26.49
PB088,33,49.69,115,45.48,2479.6,979398.94,-1.99,-86.56,0.08,1.26,D,-86.19,-27.29
PB089,33,53.08,115,43.86,1894.8,979444.13,-16.52,-81.14,0.01,0.7,D,-81.16,-21.43
PB090,33,56.59,115,42.29,1438.2,979490.21,-18.27,-67.33,0.01,0.75,D,-67.15,-7.26
PB091,33,56.65,115,42.84,1442.5,979492.07,-16.09,-65.29,0.07,0.87,D,-65,-4.8
PB092,33,56.68,115,43.35,1452.5,979490.09,-17.18,-66.71,0.11,0.97,D,-66.32,-5.85
PB093,33,56.31,115,43.45,1463.3,979487.57,-18.16,-68.07,0.12,0.94,D,-67.71,-7.26
PB094,33,56.13,115,43.56,1474.3,979484.35,-20.1,-70.38,0.01,0.82,D,-70.15,-9.69
PB095,33,55.91,115,43.72,1482.7,979478.26,-25.09,-75.66,0.02,0.82,D,-75.42,-14.92
PB096,33,55.69,115,43.91,1506.4,979473.64,-27.17,-78.55,0.01,0.78,D,-78.37,-17.83
PB097,33,55.52,115,44.02,1526,979470.63,-28.1,-80.15,0.02,0.76,D,-79.99,-19.43
PB098,33,55.31,115,44.16,1552.5,979467.6,-28.35,-81.3,0.02,0.74,D,-81.17,-20.61
PB099,33,55.11,115,44.32,1579.6,979465.63,-27.49,-81.37,0.02,0.73,D,-81.26,-20.67
PB100,33,54.91,115,44.45,1612.3,979464.84,-24.93,-79.92,0.01,0.71,D,-79.84,-19.23
PB101,33,54.74,115,44.53,1634.7,979464.11,-23.31,-79.07,0.01,0.71,D,-78.99,-18.39
PB102,33,54.55,115,44.59,1662.5,979462.3,-22.24,-78.94,0.02,0.72,D,-78.88,-18.3
PB103,33,54.38,115,44.71,1695.9,979459.96,-21.21,-79.05,0.01,0.71,D,-79,-18.41
PB104,33,54.2,115,44.84,1728.8,979456.47,-21.35,-80.31,0.02,0.72,D,-80.26,-19.66
PB105,33,53.99,115,44.9,1759.1,979453.16,-21.52,-81.51,0.02,0.73,D,-81.46,-20.9
PB106,33,53.78,115,44.95,1793.2,979450.2,-20.98,-82.14,0.01,0.73,D,-82.09,-21.58
PB107,33,53.57,115,45.01,1826.6,979447.52,-20.22,-82.52,0.01,0.75,D,-82.47,-22
PB108,33,53.36,115,45.08,1855.4,979445.22,-19.52,-82.8,0.02,0.78,D,-82.73,-22.3
PB109,33,53.12,115,45.15,1900.6,979442.82,-17.34,-82.16,0.02,0.8,D,-82.08,-21.7
PB110,33,52.92,115,45.26,1935.7,979440.82,-15.76,-81.78,0.02,0.82,D,-81.69,-21.34
PB111,33,52.7,115,45.4,1979.7,979437.93,-14.2,-81.72,0.02,0.84,D,-81.63,-21.31
PB112,33,52.67,115,45.06,1973.1,979438.6,-14.11,-81.41,0.01,0.81,D,-81.35,-21.2
PB113,33,52.81,115,44.57,1939.5,979440.58,-15.49,-81.63,0.01,0.77,D,-81.6,-21.62
PB114,33,52.95,115,44.21,1918.1,979442.01,-16.26,-81.68,0.01,0.73,D,-81.68,-21.83
06jt300,33,55.7,116,4.57,3516.4,979337.67,25.86,-94.07,0.17,2.88,D,-92.35,-22.89
06jt301,33,55.69,116,4.91,3538.1,979335.37,25.61,-95.06,0.09,2.78,D,-93.44,-23.9
06jt302,33,55.7,116,5.27,3574.4,979333.68,27.32,-94.59,0.07,2.81,D,-92.95,-23.31
06jt303,33,55.7,116,5.63,3633.6,979330.09,29.3,-94.63,0.07,2.88,D,-92.94,-23.22
06jt304,33,55.48,116,5.64,3572.3,979331.91,25.66,-96.18,0.09,2.99,D,-94.36,-24.78
06jt305,33,55.26,116,5.65,3540.9,979332.48,23.58,-97.18,0.06,3.03,D,-95.32,-25.91
06jt306,33,55.05,116,5.66,3512.8,979333.8,22.56,-97.25,0.05,3.14,D,-95.27,-26.03
06jt307,33,54.83,116,5.67,3497.2,979334.64,22.24,-97.04,0.07,3.33,D,-94.87,-25.8
06jt308,33,54.67,116,5.67,3507.5,979334.35,23.14,-96.49,0.07,3.45,D,-94.2,-25.28
06jt309,33,54.49,116,5.68,3520.7,979333.68,23.96,-96.12,0.15,3.81,D,-93.47,-24.71
06jt310,33,54.32,116,5.69,3591.4,979331.41,28.57,-93.92,0.69,4.46,D,-90.63,-22.04
06jt311,33,54.47,116,5.87,3594.4,979329.8,27.04,-95.55,0.15,3.89,D,-92.84,-24.08
06jt312,33,54.62,116,6.07,3634.1,979328.68,29.44,-94.5,0.07,3.73,D,-91.95,-23.01
06jt313,33,54.77,116,6.28,3683,979327.36,32.51,-93.1,0.09,3.77,D,-90.53,-21.42
06jt314,33,54.89,116,6.48,3764.2,979323.46,36.08,-92.31,0.36,4.07,D,-89.44,-20.19
06jt315,33,54.91,116,6.22,3629.5,979330.84,30.76,-93.03,0.14,3.77,D,-90.44,-21.21
06jt316,33,54.91,116,5.93,3562.2,979333.06,26.66,-94.84,0.08,3.43,D,-92.57,-23.39
06jt317,33,54.9,116,5.39,3443.5,979336.08,18.53,-98.92,0.04,3.11,D,-96.95,-27.88
06jt318,33,54.9,116,5.05,3388.5,979337.19,14.47,-101.1,0.03,2.97,D,-99.26,-30.28
06jt319,33,54.89,116,4.7,3360,979337.81,12.42,-102.18,0.05,2.86,D,-100.44,-31.55
06jt320,33,54.89,116,4.36,3332.8,979339.15,11.2,-102.47,0.04,2.75,D,-100.84,-32.03
06jt321,33,54.89,116,4.01,3299.4,979341.37,10.28,-102.25,0.03,2.71,D,-100.64,-31.92
06jt322,33,54.88,116,3.64,3284.2,979343.55,11.05,-100.96,0.03,2.65,D,-99.42,-30.8
06jt323,33,54.88,116,3.34,3274.7,979345.21,11.82,-99.87,0.03,2.62,D,-98.36,-29.82
06jt324,33,54.45,116,3.34,3370.7,979343.66,19.89,-95.07,0.03,2.46,D,-93.74,-25.57
06jt325,33,54.24,116,3.3,3427.2,979343.24,25.08,-91.81,0.03,2.48,D,-90.47,-22.5
06jt326,33,54.02,116,3.24,3482,979342.14,29.44,-89.32,0.05,2.58,D,-87.89,-20.13
06jt327,33,53.81,116,3.18,3540,979339.46,32.5,-88.23,0.04,2.66,D,-86.74,-19.2
06jt328,33,53.38,116,3.16,3660.9,979331.33,36.34,-88.52,0.05,2.96,D,-86.75,-19.61
06jt329,33,53.13,116,3.15,3726.9,979327.02,38.58,-88.53,0.06,3.15,D,-86.58,-19.69
06jt330,33,55.41,116,3.2,3259,979352.36,16.75,-94.4,0.5,4.19,D,-91.31,-22.41
06jt331,33,55.34,116,2.91,3261.7,979352.78,17.52,-93.72,0.29,3.82,D,-91,-22.24
06jt332,33,55.3,116,2.6,3257.5,979354.02,18.42,-92.68,0.21,3.69,D,-90.09,-21.46
06jt333,33,55.26,116,2.27,3249.5,979355.25,18.96,-91.87,0.23,3.63,D,-89.34,-20.84
06jt334,33,55.34,116,2.24,3291.6,979352.99,20.54,-91.72,0.79,4.32,D,-88.51,-19.97
06jt335,33,55.22,116,1.94,3238.1,979356.7,19.39,-91.05,0.36,3.63,D,-88.51,-20.15
06jt336,33,55.14,116,1.63,3228.5,979357.7,19.6,-90.51,0.15,3.14,D,-88.47,-20.27
06jt337,33,55.1,116,1.32,3206.5,979359.46,19.35,-90.02,0.2,3.11,D,-88,-19.92
06jt338,33,55.08,116,1.01,3191.9,979360.94,19.48,-89.38,0.26,3.14,D,-87.33,-19.36
06jt339,33,54.97,116,0.75,3176.1,979361.98,19.19,-89.14,0.12,2.8,D,-87.42,-19.61
06jt340,33,55.12,116,0.68,3255.9,979359.52,24.02,-87.02,0.99,3.67,D,-84.46,-16.59
06jt341,33,54.76,116,0.79,3218.2,979358.9,20.36,-89.4,0.04,2.34,D,-88.15,-20.48
06jt342,33,54.54,116,0.85,3282,979358.48,26.25,-85.69,0.19,2.38,D,-84.42,-16.9
06jt343,33,54.4,116,0.88,3355.3,979355.24,30.09,-84.34,0.28,2.47,D,-83,-15.59
06jt344,33,54.49,116,1.1,3273.9,979359.39,26.46,-85.2,0.31,2.54,D,-83.76,-16.2
06jt345,33,54.45,116,1.41,3303.4,979357.07,26.97,-85.69,0.21,2.42,D,-84.39,-16.77
06jt346,33,54.38,116,1.67,3350.7,979354.33,28.78,-85.5,0.12,2.31,D,-84.32,-16.69
06jt347,33,54.1,116,1.77,3469.9,979347.17,33.22,-85.13,0.11,2.34,D,-83.94,-16.52
06jt348,33,53.88,116,2.02,3460.2,979346.98,32.42,-85.59,0.02,2.3,D,-84.44,-17.12
06jt349,33,53.65,116,2.26,3514,979343.41,34.23,-85.62,0.02,2.37,D,-84.41,-17.23
06jt350,33,53.86,116,2.25,3471.5,979345.85,32.38,-86.02,0.02,2.31,D,-84.86,-17.5
06jt351,33,54.08,116,2.25,3434.2,979347.41,30.13,-87,0.01,2.25,D,-85.89,-18.35
06jt352,33,54.29,116,2.25,3392.8,979348.52,27.05,-88.66,0.02,2.23,D,-87.57,-19.84
06jt353,33,54.5,116,2.25,3354.8,979349.23,23.9,-90.52,0.01,2.23,D,-89.42,-21.52
06jt354,33,54.7,116,2.25,3319.9,979349.3,20.41,-92.82,0.02,2.29,D,-91.65,-23.58
06jt355,33,54.91,116,2.25,3287,979349.67,17.39,-94.72,0.01,2.46,D,-93.36,-25.13
06jt356,33,54.91,116,2.51,3277.9,979349.25,16.11,-95.68,0.01,2.51,D,-94.28,-25.96
06jt357,33,54.89,116,2.78,3276.7,979348.03,14.81,-96.95,0.01,2.52,D,-95.53,-27.15
06jt358,33,54.89,116,3.06,3270.9,979347.03,13.26,-98.29,0.02,2.57,D,-96.82,-28.35
06jt359,33,55.1,116,3.26,3252.3,979347.03,11.22,-99.7,0.01,2.86,D,-97.94,-29.24
06jt360,33,55.26,116,3.21,3252.7,979349.29,13.3,-97.64,0.02,3.22,D,-95.52,-26.72
06jt361,33,54.06,116,5.11,3627.4,979331.25,32.16,-91.56,0.96,4.54,D,-88.2,-20
06jt362,33,53.85,116,5.58,3818.2,979319.76,38.9,-91.32,0.9,5.06,D,-87.48,-19.41
06jt363,33,53.55,116,5.96,4097.5,979302.23,48.05,-91.7,1.26,6.05,D,-86.92,-19.11
06jt364,33,53.49,116,6.2,4223.6,979294.72,52.48,-91.57,0.95,5.86,D,-87.01,-19.24
06jt365,33,53.31,116,6.36,4350.7,979285.94,55.9,-92.49,1.42,6.74,D,-87.06,-19.47
