"C3. Living Arrangements of Children Under 18 Years/1 and Marital Status of Parents, by Age, Sex, Race, and Hispanic Origin/2 and Selected Characteristics of the Child for All Children: 2004",,,,,,,,,,,,,,,,

(Numbers in thousands),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All remaining single races and all race combinations,,,,Total,Living with both parents,Living with mother only,,,,,Living with father only,,,,,Living with neither parent
,,Not in labor force,,164,92,0,5,22,4,16,0,0,3,1,5,16
,,Full time employed,,2,0,-,-,2,-,-,-,-,-,-,-,0
,,Part time employed,,46,18,5,-,10,3,4,-,-,2,0,-,4
,,"Unemployed, in the labor force",,15,6,1,1,4,-,3,0,-,-,-,-,1
,PARENTS LABOR FORCE STATUS,"Father in labor force, mother not present",,78,-,-,-,-,-,-,0,1,32,12,32,-
,,"Father not in labor force, mother not present",,14,-,-,-,-,-,-,0,-,4,0,9,-
,,"Mother in labor force, father not present",,341,-,17,12,107,52,153,-,-,-,-,-,-
,,"Mother not in labor force, father not present",,137,-,2,5,39,16,75,-,-,-,-,-,-
,,Mother and father in labor force,,516,516,-,-,-,-,-,-,-,-,-,-,-
,,"Father in labor force, mother not in labor force",,279,279,-,-,-,-,-,-,-,-,-,-,-
,,"Mother in labor force, father not in labor force",,47,47,-,-,-,-,-,-,-,-,-,-,-
,,"Father not in labor force, mother not in labor force",,33,33,-,-,-,-,-,-,-,-,-,-,-
,,No parents present,,90,-,-,-,-,-,-,-,-,-,-,-,90
,FAMILY INCOME,"Under $2,500",,59,3,0,3,1,7,13,-,-,1,-,4,27
,,"$2,500 to $4,999",,38,7,1,-,5,5,16,-,-,-,-,3,1
,,"$5,000 to $7,499",,52,14,-,-,3,8,18,-,-,2,-,3,5
,,"$7,500 to $9,999",,44,5,4,-,6,2,24,-,-,-,-,1,2
,,"$10,000 to $12,499",,69,18,-,1,11,3,30,-,-,-,-,5,2
,,"$12,500 to $14,999",,32,13,0,-,6,5,5,-,-,-,-,0,3
,,"$15,000 to $19,999",,79,20,3,1,16,8,21,0,-,1,1,5,2
,,"$20,000 to $24,999",,94,41,-,-,7,3,21,-,-,5,2,6,9
,,"$25,000 to $29,999",,114,57,0,1,14,6,16,-,-,5,6,4,4
,,"$30,000 to $39,999",,151,88,-,1,22,4,22,0,1,4,-,3,6
,,"$40,000 to $49,999",,145,89,-,7,18,1,12,-,-,5,2,0,12
,,"$50,000 to $74,999",,293,210,8,2,31,10,18,0,0,1,1,4,8
,,"$75,000 to $99,999",,150,129,2,0,5,-,7,0,-,2,-,-,4
,,"$100,000 and over",,214,181,0,-,2,6,5,-,-,12,0,2,5
,HEALTH INSURANCE COVERAGE,Covered by health insurance,,"1,326",784,10,16,127,60,196,1,1,32,10,32,57
,,Not covered by health insurance,,209,91,10,1,20,7,31,-,-,4,2,9,33
,POVERTY STATUS,Below 100% of poverty,,376,112,9,4,36,35,118,0,-,3,-,19,40
,,100% to 199% of poverty,,345,166,-,3,45,14,52,0,0,14,10,13,28
,,200% of poverty and above,,814,597,11,9,66,19,57,0,1,20,2,8,22
,HOUSEHOLD FOOD STAMP RECEIPT,Yes,,291,80,8,3,38,31,105,0,-,4,0,10,11
,,No,,"1,243",795,11,13,109,36,122,1,1,33,11,31,79
,HOUSEHOLD PUBLIC ASST RECEIPT,Yes,,149,28,0,-,20,10,67,0,-,0,5,5,12
,,No,,"1,386",847,19,16,127,58,161,1,1,36,7,36,77
,100 PERCENT OF POVERTY,Below 100% of poverty,,376,112,9,4,36,35,118,0,-,3,-,19,40
,,100% of poverty and above,,"1,159",763,11,12,111,33,109,1,1,34,12,22,50
,125 PERCENT OF POVERTY,Below 125% of poverty,,465,145,9,6,53,40,131,0,-,4,1,24,53
,,125% of poverty and above,,"1,069",730,11,11,94,28,96,1,1,32,11,17,37
,HOUSEHOLD TENURE,Own/Buying,,905,624,13,6,59,35,73,0,1,23,2,13,56
,,Rent,,594,233,3,11,84,28,153,0,0,11,8,28,34
,,No Cash Rent,,36,18,4,-,3,5,2,0,-,2,2,-,-

- Represents or rounds to zero.,,,,,,,,,,,,,,,,

"1/Including all children under age 18, except those in group quarters",,,,,,,,,,,,,,,,

2/Hispanics may be of any race.,,,,,,,,,,,,,,,,

"Source: U.S. Census Bureau, Current Population Survey, 2004 Annual Social and Economic Supplement"

Internet Release date: June 29, 2005
