PLAY	PLYCDE	FIELD	FLDCDE	JURIS	LEASE AREA	HC	DISC	PDEP	WDEP	TRAP	DRIVE	PAY	AREA	POR	PERM	TI	PI	SW	API	SPGR	O-GR	YIELD	CUMO	CUMG	RESO	RESG	RFO	RFG
lplp1	7611	ST176	919176	FEDERAL	SOUTH TIMBALIER	B	63	9403	129	G	WD	122	1291	0.28		188	5373	0.29	37.0	0.61	2071	30.6	37565	139201	4803	22685	0.43	0.60
lplp1	7611	ST186	919186	FEDERAL	SOUTH TIMBALIER	G	68	10441	158	B	WD	6	754	0.31		200	5779	0.30	0.0	0.60	0	13.0	42	3236	0	0		0.25
lplp1	7611	ST190	919190	FEDERAL	SOUTH TIMBALIER	G	63	8070	143	B	PAR	77	1293	0.26		171	4211	0.45	0.0	0.60	0	3.6	90	29393	150	37950		0.44
lplp1	7611	ST196	919196	FEDERAL	SOUTH TIMBALIER	G	66	8057	102	B	WD	78	2241	0.32		171	3611	0.33	38.0	0.58	742	6.2	5111	169160	830	35891	0.50	0.67
lplp1	7611	ST197	919197	FEDERAL	SOUTH TIMBALIER	G	88	9474	121	C	WD	40	430	0.32		175	4420	0.21	35.0	0.60	1455	11.6	232	19120	815	15383	0.50	0.74
lplp1	7611	ST200	919200	FEDERAL	SOUTH TIMBALIER	G	81	11194	131	C	PAR	56	73	0.26		214	6776	0.18	0.0	0.57	0	8.3	0	37	44	5248		0.46
lplp1	7611	VR171	929171	FEDERAL	VERMILION	G	88	7492	86	C	WD	47	280	0.25		160	3494	0.18	0.0	0.60	0	5.3	38	7392	53	9642		0.66
lplp1	7611	VR182	929182	FEDERAL	VERMILION	G	93	6883	104	B	COM	26	280	0.30		152	3215	0.30	0.0	0.60	0	4.0	0	88	36	8888		0.65
lplp1	7611	VR193	929193	FEDERAL	VERMILION	G	79	7278	105	G	PD	20	10	0.31		162	4294	0.35	0.0	0.60	0	58.2	14	234	0	0		0.53
lplp1	7611	VR214	929214	FEDERAL	VERMILION	B	72	9733	124	C	PAR	120	507	0.27		196	4544	0.36	36.0	0.62	1702	17.7	14190	61615	1016	9104	0.61	0.77
lplp1	7611	VR215	929215	FEDERAL	VERMILION	B	67	9257	119	C	PAR	34	301	0.31		190	4320	0.31	36.0	0.64	1758	4.8	1868	4030	456	1686	0.33	0.16
lplp1	7611	VR218	929218	FEDERAL	VERMILION	G	66	7936	123	G	WD	47	793	0.29		171	3746	0.27	34.0	0.60	3577	12.8	287	21188	634	20234	0.21	0.54
lplp1	7611	VR221	929221	FEDERAL	VERMILION	G	82	10901	112	D	PD	74	140	0.22		203	5084	0.30	0.0	0.64	0	2.9	12	4273	21	7200		0.65
lplp1	7611	VR241	929241	FEDERAL	VERMILION	G	75	9627	123	B	WD	31	2833	0.30		191	4483	0.19	0.0	0.59	0	3.1	332	106447	0	0		0.48
lplp1	7611	VR245	929245	FEDERAL	VERMILION	G	62	8440	133	G	WD	143	658	0.28		192	3940	0.27	32.0	0.63	4495	8.4	3754	94022	452	22075	0.23	0.62
lplp1	7611	VR250	929250	FEDERAL	VERMILION	G	64	9454	142	D	WD	12	950	0.28		197	6596	0.36	0.0	0.60	0	14.8	194	13174	0	0		0.49
lplp1	7611	VR255	931255	FEDERAL	VERMILION	G	64	8974	155	B	WD	87	2203	0.28		185	4359	0.21	36.0	0.60	1378	13.1	5158	248375	892	32177	0.22	0.66
lplp1	7611	VR262	931262	FEDERAL	VERMILION	G	75	6753	149	B	PAR	24	196	0.30		158	3195	0.30	0.0	0.61	0	3.7	14	4392	9	1783		0.68
lplp1	7611	VR265	931265	FEDERAL	VERMILION	B	70	8447	164	C	WD	49	1971	0.29		179	4286	0.28	30.0	0.60	942	9.8	16821	83809	895	10966	0.48	0.60
lplp1	7611	VR266	931266	FEDERAL	VERMILION	O	92	8329	162	B	COM	27	55	0.30		170	3888	0.23	31.0	0.00	1061	0.0	309	250	377	478	0.37	
lplp1	7611	VR275	931275	FEDERAL	VERMILION	G	90	12900	183	H	WD	41	239	0.30		225	10103	0.16	0.0	0.60	0	35.0	141	4496	753	21027		0.65
lplp1	7611	VR284	931284	FEDERAL	VERMILION	O	89	10767	181	H	WD	42	452	0.35		230	7122	0.16	31.0	0.00	1053	0.0	6813	7714	1799	1356	0.34	
lplp1	7611	VR287	931287	FEDERAL	VERMILION	B	76	9691	182	H	WD	46	944	0.31		188	6454	0.25	28.0	0.60	4711	19.5	3122	49566	960	14605	0.19	0.57
lplp1	7611	VR288	931288	FEDERAL	VERMILION	G	88	8548	168	G	PAR	69	140	0.30		194	4443	0.27	0.0	0.58	0	4.0	14	3159	36	9262		0.56
lplp1	7611	VR296	931296	FEDERAL	VERMILION	G	93	9396	191	D	COM	39	110	0.31		184	4384	0.21	0.0	0.65	0	9.2	20	3877	54	4059		0.70
lplp1	7611	VR310	931310	FEDERAL	VERMILION	G	77	7405	205	H	PAR	63	677	0.32		167	3731	0.23	33.0	0.60	11173	6.2	557	76686	3	445	0.16	0.76
lplp1	7611	VR315	931315	FEDERAL	VERMILION	B	84	6360	210	B	PAR	48	208	0.32		146	2973	0.25	35.0	0.65	862	23.7	2682	5212	371	2398	0.36	0.56
lplp1	7611	VR320	931320	FEDERAL	VERMILION	G	71	8954	208	J	WD	124	1031	0.29		182	5369	0.22	0.0	0.59	0	13.3	3755	273584	72	14049		0.81
lplp1	7611	VR328	931328	FEDERAL	VERMILION	G	91	8770	217	B	WD	44	175	0.32		175	4093	0.16	0.0	0.61	0	11.2	13	4837	159	10491		0.72
lplp1	7611	VR331	931331	FEDERAL	VERMILION	G	74	7338	216	C	PD	84	920	0.28		170	3592	0.32	36.0	0.62	798	9.6	5923	76165	202	7737	0.20	0.81
lplp1	7611	WC237	935237	FEDERAL	WEST CAMERON	G	91	5400	72	D	WD	30	304	0.30		135	2526	0.30	0.0	0.60	0	0.8	5	5294	5	6936		0.85
lplp1	7611	WC253	935253	FEDERAL	WEST CAMERON	G	56	5692	78	C	WD	30	342	0.33		139	2662	0.22	0.0	0.60	0	1.3	10	7562	8	7083		0.70
lplp1	7611	WC254	935254	FEDERAL	WEST CAMERON	G	90	5590	73	C	WD	34	347	0.33		133	2618	0.19	0.0	0.60	0	0.5	0	3563	9	15123		0.74
lplp1	7611	WC265	935265	FEDERAL	WEST CAMERON	G	74	5624	79	H	WD	38	1125	0.31		147	2971	0.23	38.0	0.59	3061	6.4	779	49338	0	0	0.16	0.63
lplp1	7611	WC277	935277	FEDERAL	WEST CAMERON	G	84	7300	85	G	PAR	28	209	0.30		158	3969	0.21	0.0	0.60	0	6.5	52	7019	8	2095		0.63
lplp1	7611	WC280	935280	FEDERAL	WEST CAMERON	G	65	8054	92	H	PAR	156	982	0.28		171	3689	0.26	0.0	0.60	0	1.8	222	133511	86	38375		0.56
lplp1	7611	WC281	935281	FEDERAL	WEST CAMERON	G	78	7323	96	D	PD	33	658	0.31		165	3420	0.19	0.0	0.60	0	0.3	7	19444	0	0		0.40
lplp1	7611	WC459	937459	FEDERAL	WEST CAMERON	G	80	7497	121	C	WD	69	629	0.30		161	3644	0.18	0.0	0.60	0	2.7	118	63941	93	15062		0.76
lplp1	7611	WC464	937464	FEDERAL	WEST CAMERON	G	74	5300	130	B	PAR	15	466	0.29		140	3330	0.37	0.0	0.56	0	0.8	8	9832	0	0		0.84
lplp1	7611	WC472	937472	FEDERAL	WEST CAMERON	G	90	6373	142	G	PAR	29	250	0.33		159	3903	0.16	0.0	0.60	0	0.0	0	8644	0	0		0.42
lplp1	7611	WC480	937480	FEDERAL	WEST CAMERON	G	73	6905	139	C	PAR	111	1373	0.30		164	3432	0.25	0.0	0.60	0	1.3	238	181503	0	0		0.58
lplp1	7611	WC491	937491	FEDERAL	WEST CAMERON	G	90	5709	144	C	WD	67	151	0.30		144	2670	0.20	0.0	0.60	0	10.0	2	940	126	11813		0.68
lplp1	7611	WC498	937498	FEDERAL	WEST CAMERON	G	77	5367	149	B	PAR	31	2041	0.30		135	2508	0.25	0.0	0.60	0	1.0	56	53592	0	446		0.51
lplp1	7611	WC504	937504	FEDERAL	WEST CAMERON	G	71	5751	146	C	PAR	49	466	0.28		154	2694	0.28	0.0	0.57	0	2.0	34	20059	17	5255		0.73
lplp1	7611	WC507	937507	FEDERAL	WEST CAMERON	G	73	9907	148		PAR	173	612	0.29		187	5489	0.24	0.0	0.59	0	9.4	1214	136180	604	58189		0.67
lplp1	7611	WC513	937513	FEDERAL	WEST CAMERON	G	75	7422	166	C	UNK	33	1302	0.26		153	3798	0.25	0.0	0.60	0	11.5	304	26350	0	0		0.31
lplp1	7611	WC518	937518	FEDERAL	WEST CAMERON	G	83	5970	174	B	PAR	17	149	0.31		142	2791	0.25	0.0	0.60	0	4.7	20	4139	0	0		0.85
lplp1	7611	WC530	937530	FEDERAL	WEST CAMERON	G	84	5850	177	D	PAR	19	437	0.33		140	2735	0.27	0.0	0.60	0	0.0	0	3939	0	0		0.25
lplp1	7611	WC533	937533	FEDERAL	WEST CAMERON	G	77	6845	171	B	PAR	54	140	0.28		159	3207	0.27	0.0	0.60	0	10.0	0	4262	88	4559		0.64
lplp1	7611	WC537	937537	FEDERAL	WEST CAMERON	G	75	7103	187	A	PAR	51	674	0.30		170	3607	0.21	0.0	0.60	0	6.9	362	56718	73	6231		0.83
lplp1	7611	WC540	937540	FEDERAL	WEST CAMERON	G	75	7067	184	C	WD	89	265	0.27		155	3510	0.19	0.0	0.60	0	0.9	29	32035	0	0		0.66
lplp1	7611	WC543	937543	FEDERAL	WEST CAMERON	G	72	7936	185	G	PAR	128	778	0.30		173	4028	0.22	0.0	0.62	0	5.9	1018	173443	0	0		0.72
lplp1	7611	WC547	937547	FEDERAL	WEST CAMERON	G	79	6613	189	H	PAR	172	299	0.29		152	3107	0.26	0.0	0.60	0	1.9	7	56052	126	14325		0.74
lplp1	7611	WC560	937560	FEDERAL	WEST CAMERON	G	78	7698	192	B	PAR	30	226	0.32		179	3893	0.16	0.0	0.56	0	0.0	0	5355	0	0		0.30
lplp1	7611	WC563	937563	FEDERAL	WEST CAMERON	G	75	6342	196	B	WD	77	1033	0.29		167	3705	0.26	0.0	0.59	0	5.9	523	86681	37	8216		0.57
lplp1	7611	WC576	937576	FEDERAL	WEST CAMERON	G	72	6185	225	B	PAR	61	833	0.33		146	2683	0.23	0.0	0.56	0	3.9	286	67314	36	15944		0.85
lplp1	7611	WC313	939313	FEDERAL	WEST CAMERON	G	85	3942	59	D	PAR	15	250	0.33		117	1848	0.33	0.0	0.60	0	0.1	0	2419	0	287		0.56
lplp1	7611	WC318	939318	FEDERAL	WEST CAMERON	G	84	4082	65	D	WD	10	626	0.33		119	1901	0.18	0.0	0.60	0	0.1	1	4163	0	0		0.43
lplp1	7611	WC331	939331	FEDERAL	WEST CAMERON	G	77	5250	73	H	PAR	8	346	0.31		141	2456	0.45	0.0	0.56	0	0.1	0	0	0	2064		0.65
lplp1	7611	WC333	939333	FEDERAL	WEST CAMERON	G	76	5297	68	H	PD	71	865	0.33		153	2644	0.17	0.0	0.60	0	0.3	23	82093	8	20200		0.82
lplp1	7611	WC353	939353	FEDERAL	WEST CAMERON	G	75	5762	71	H	PAR	68	1143	0.30		152	2805	0.26	0.0	0.57	0	1.4	9	73299	115	15605		0.66
lplp1	7611	WC359	939359	FEDERAL	WEST CAMERON	G	83	6358	77	G	WD	57	223	0.28		146	2972	0.21	0.0	0.60	0	4.8	5	3244	81	14901		0.75
lplp1	7611	WC368	939368	FEDERAL	WEST CAMERON	G	86	6052	74	D	PAR	55	475	0.31		149	2829	0.21	0.0	0.60	0	0.2	0	7086	2	6762		0.27
lplp1	7611	WC370	939370	FEDERAL	WEST CAMERON	G	80	5297	71	H	PAR	31	992	0.31		134	2478	0.29	0.0	0.59	0	0.1	0	12029	1	6179		0.36
lplp1	7611	WC379	939379	FEDERAL	WEST CAMERON	G	83	5481	71	D	PAR	22	887	0.32		135	2602	0.22	0.0	0.56	0	0.0	0	18164	0	9186		0.73
lplp1	7611	WC406	939406	FEDERAL	WEST CAMERON	G	77	6770	88	B	WD	20	988	0.34		158	3163	0.28	0.0	0.60	0	1.2	39	30271	2	3223		0.83
lplp1	7611	WC409	939409	FEDERAL	WEST CAMERON	G	76	7120	92	H	PAR	28	1915	0.31		162	3493	0.25	0.0	0.60	0	2.4	158	63659	7	4643		0.59
lplp1	7611	WC414	939414	FEDERAL	WEST CAMERON	G	75	6350	92	B	PAR	17	1014	0.27		146	2968	0.33	0.0	0.60	0	0.1	0	3036	1	3421		0.25
lplp1	7611	WC420	939420	FEDERAL	WEST CAMERON	G	84	5714	99	G	PAR	20	1807	0.30		139	2672	0.16	0.0	0.60	0	0.1	2	14323	1	3356		0.25
lplp1	7611	WC427	939427	FEDERAL	WEST CAMERON	G	77	5382	101	H	WD	41	268	0.31		142	2785	0.24	0.0	0.65	0	0.3	5	17038	0	503		0.80
lplp1	7611	WC432	939432	FEDERAL	WEST CAMERON	G	90	5537	105	C	WD	46	925	0.33		123	2939	0.17	0.0	0.60	0	0.1	0	14005	4	25136		0.39
lplp1	7611	WC436	939436	FEDERAL	WEST CAMERON	G	74	6617	115	B	PAR	41	1118	0.29		173	3429	0.22	33.0	0.59	0	1.2	54	46683	0	0		0.50
lplp1	7611	WD073	942073	FEDERAL	WEST DELTA	G	81	5166	179	B	PAR	12	1570	0.29		131	2432	0.26	0.0	0.65	0	1.8	32	18370	2	727		0.63
lplp1	7611	WD098	942098	FEDERAL	WEST DELTA	G	87	4467	168	D	PAR	15	2453	0.31		125	2093	0.21	0.0	0.56	0	0.0	0	9899	0	9586		0.35
lplp1	7611	WD105	942105	FEDERAL	WEST DELTA	G	63	5479	229	B	PAR	61	2194	0.32		144	2578	0.23	28.0	0.58	516	3.2	2402	140355	2101	25305	0.38	0.70
lplp1	7611	WD109	942109	FEDERAL	WEST DELTA	B	76	8419	184	C	PAR	72	147	0.26		190	4252	0.21	38.0	0.63	441	49.5	2266	8341	608	3454	0.52	0.83
lplp1	7611	WD117	944117	FEDERAL	WEST DELTA	G	63	7266	204	B	PAR	58	349	0.30		163	3393	0.23	42.0	0.61	1151	16.0	1626	18480	279	3775	0.42	0.58
lplp1	7611	WD133	944133	FEDERAL	WEST DELTA	O	62	10568	257	G	COM	318	174	0.25		192	4889	0.33	35.0	0.62	2085	52.0	8584	23465	1824	3706	0.24	0.36
lplp1	7611	WD137	944137	FEDERAL	WEST DELTA	G	79	13473	307	G	PAR	9	140	0.26		231	6408	0.30	35.0	0.60	3255	21.4	21	720	0	0	0.10	0.25
lplf1	7811	EB109	822109	FEDERAL	EAST BREAK	G	76	5668	662	H	WD	49	1044	0.34		143	3729	0.21	0.0	0.59	0	4.4	298	70639	157	33470		0.72
lplf1	7811	EB158	822158	FEDERAL	EAST BREAK	G	76	6349	934	H	COM	41	987	0.32		142	3586	0.24	33.0	0.62	1266	64.3	5735	22546	3846	33267	0.55	0.61
lplf1	7811	EB160	822160	FEDERAL	EAST BREAK	B	77	8516	948	H	COM	99	262	0.28		173	6516	0.35	32.0	0.64	2078	123.4	4342	18858	945	3543	0.34	0.37
lplf1	7811	EB165	822165	FEDERAL	EAST BREAK	O	84	10680	874	H	WD	119	536	0.32		182	6809	0.25	31.0	0.60	1878	30.8	24195	63397	7509	29674	0.49	0.67
lplf1	7811	EC261	826261	FEDERAL	EAST CAMERON	G	66	8976	160	B	PAR	242	416	0.28		177	4180	0.27	0.0	0.58	0	1.4	239	162529	23	19174		0.84
lplf1	7811	EC263	826263	FEDERAL	EAST CAMERON	G	76	10126	162	H	WD	108	168	0.27		181	4691	0.26	0.0	0.60	0	4.2	115	27412	0	0		0.68
lplf1	7811	EC265	826265	FEDERAL	EAST CAMERON	G	63	11900	172	D	WD	130	1093	0.28		221	7608	0.20	0.0	0.63	0	5.2	979	172610	376	88678		0.64
lplf1	7811	EC286	826286	FEDERAL	EAST CAMERON	G	93	9180	186	G	PAR	30	140	0.28		189	4284	0.27	0.0	0.60	0	10.0	10	2603	48	3167		0.65
lplf1	7811	EC299	826299	FEDERAL	EAST CAMERON	G	84	12076	186	H	WD	166	1374	0.26		230	7331	0.20	0.0	0.60	0	13.1	4410	335192	1690	131521		0.74
lplf1	7811	EC300	826300	FEDERAL	EAST CAMERON	G	84	16383	190	B	PAR	57	520	0.20		278	7183	0.30	0.0	0.60	0	33.4	480	14521	312	9136		0.46
lplf1	7811	EC322	826322	FEDERAL	EAST CAMERON	G	85	8326	225	B	WD	42	909	0.30		170	4178	0.25	0.0	0.60	0	1.0	30	44081	27	14394		0.65
lplf1	7811	EC334	826334	FEDERAL	EAST CAMERON	G	72	8261	263	B	PAR	126	2873	0.31		176	5811	0.29	0.0	0.58	0	2.3	1276	574148	250	78682		0.77
lplf1	7811	EC359	826359	FEDERAL	EAST CAMERON	B	85	8738	320	B	COM	46	130	0.30		189	5927	0.22	32.0	0.61	759	33.6	1887	3492	644	1545	0.58	0.47
lplf1	7811	EI266	829266	FEDERAL	EUGENE ISLAND	G	87	10995	163	B	WD	131	420	0.26		203	5141	0.28	34.0	0.60	1100	30.2	1132	45213	1536	29052	0.50	0.65
lplf1	7811	EI273	831273	FEDERAL	EUGENE ISLAND	G	63	8231	186	H	PAR	119	1262	0.30		173	3891	0.28	24.0	0.62	5120	9.6	1445	143703	295	37466	0.10	0.56
lplf1	7811	EI294	831294	FEDERAL	EUGENE ISLAND	G	88	8600	208	B	WD	16	140	0.29		173	4014	0.40	0.0	0.60	0	21.9	23	1924	28	382		0.58
lplf1	7811	EI306	831306	FEDERAL	EUGENE ISLAND	G	72	9919	223	B	WD	83	1067	0.28		186	5398	0.24	0.0	0.61	0	13.7	2354	171830	157	11705		0.81
lplf1	7811	EI327	831327	FEDERAL	EUGENE ISLAND	O	77	10750	262	H	WD	9	12	0.30		195	4976	0.16	22.0	0.00	2323	0.0	13	30	0	0	0.10	
lplf1	7811	EI330	831330	FEDERAL	EUGENE ISLAND	B	71	7854	245	C	WD	153	2487	0.30		174	5223	0.30	33.0	0.63	1383	31.4	119607	346092	14641	72356	0.48	0.70
lplf1	7811	EI337	831337	FEDERAL	EUGENE ISLAND	G	76	8781	269	B	WD	57	284	0.30		179	6472	0.22	31.0	0.60	2341	0.1	1121	12774	705	7102	0.38	0.42
lplf1	7811	EW873	834873	FEDERAL	EWING BANK	O	91	10967	773	G	PAR	79	1494	0.29		213	5115	0.35	18.0	0.00	500	0.0	1999	1507	44732	21858	0.35	
lplf1	7811	GB387	840387	FEDERAL	GARDEN BANKS	G	89	12600	2174	G	WD	40	199	0.30		221	8104	0.19	0.0	0.64	0	20.0	0	0	328	16424		0.59
lplf1	7811	GB426	840426	FEDERAL	GARDEN BANKS	O	87	16441	2864	G	WD	139	1917	0.30		226	10801	0.23	33.0	0.60	1361	9.2	476	2089	57453	276393	0.41	0.58
lplf1	7811	GI102	844102	FEDERAL	GRAND ISLE	G	92	11415	251	D	WD	30	221	0.27		208	5323	0.23	0.0	0.60	0	74.1	33	1149	636	7876		0.60
lplf1	7811	GC019	846019	FEDERAL	GREEN CANYON	O	80	13275	757	D	PAR	146	430	0.32		229	6218	0.21	31.0	0.62	1386	108.4	20070	33181	16098	27944	0.43	0.85
lplf1	7811	GC065	846065	FEDERAL	GREEN CANYON	O	83	11959	1352	G	PAR	103	1819	0.31		214	8626	0.18	30.0	0.60	1278	14.3	61883	81585	49870	68728	0.59	0.25
lplf1	7811	GC116	846116	FEDERAL	GREEN CANYON	G	85	11522	2068	H	UNK	37	1730	0.30		197	8461	0.17	30.0	0.60	1000	0.1	0	0	1563	161222	0.35	0.70
lplf1	7811	HI129A	849129	FEDERAL	HIGH ISLAND	G	86	5829	110	L	WD	18	830	0.33		148	3070	0.17	0.0	0.56	0	1.6	23	18486	14	4570		0.68
lplf1	7811	HI154A	849154	FEDERAL	HIGH ISLAND	G	76	6530	133	L	WD	13	369	0.31		155	3411	0.20	0.0	0.57	0	1.9	11	5740	0	0		0.54
lplf1	7811	HI237A	850237	FEDERAL	HIGH ISLAND	G	84	6420	95	J	WD	22	107	0.33		161	3816	0.16	0.0	0.65	0	0.1	0	1901	0	0		0.28
lplf1	7811	HI270A	852270	FEDERAL	HIGH ISLAND	G	75	8283	164	H	PD	53	1469	0.31		200	4736	0.20	32.0	0.59	823	12.6	1757	117023	797	15337	0.25	0.65
lplf1	7811	HI280A	852280	FEDERAL	HIGH ISLAND	G	76	7954	182	H	WD	38	1833	0.30		178	4429	0.26	39.0	0.60	6574	3.3	438	130239	10	2327	0.10	0.81
lplf1	7811	HI283A	852283	FEDERAL	HIGH ISLAND	G	76	7251	174	H	WD	96	310	0.30		169	4246	0.26	0.0	0.59	0	5.1	208	40015	66	13460		0.74
lplf1	7811	HI285A	852285	FEDERAL	HIGH ISLAND	G	78	7896	183	H	WD	55	559	0.30		178	4712	0.17	0.0	0.58	0	1.5	78	49721	0	1119		0.59
lplf1	7811	HI325A	852325	FEDERAL	HIGH ISLAND	G	79	10318	220	H	PAR	52	122	0.26		219	8299	0.29	0.0	0.57	0	30.6	441	14426	0	0		0.85
lplf1	7811	HI334A	852334	FEDERAL	HIGH ISLAND	G	85	9116	230	H	WD	46	230	0.33		200	4655	0.31	0.0	0.60	0	23.7	154	9292	240	7322		0.64
lplf1	7811	HI384A	852384	FEDERAL	HIGH ISLAND	O	93	14210	358	G	WD	33	265	0.26		273	9337	0.36	39.0	0.00	4741	0.0	0	0	678	3212	0.13	
lplf1	7811	HI414A	854414	FEDERAL	HIGH ISLAND	G	79	6882	142	B	PD	6	227	0.29		149	3568	0.50	0.0	0.56	0	0.1	0	673	0	0		0.35
lplf1	7811	HI416A	854416	FEDERAL	HIGH ISLAND	G	79	6916	137	H	WD	25	716	0.30		168	3630	0.17	0.0	0.57	0	2.0	45	22376	0	0		0.54
lplf1	7811	HI442A	854442	FEDERAL	HIGH ISLAND	G	77	8094	175	H	WD	24	1372	0.30		206	4801	0.33	35.0	0.65	1803	6.7	2906	37149	161	7060	0.47	0.67
lplf1	7811	HI448A	854448	FEDERAL	HIGH ISLAND	G	78	6553	163	G	WD	78	1361	0.31		170	3521	0.34	42.0	0.61	1521	8.0	11935	101097	818	5553	0.51	0.58
lplf1	7811	HI467A	854467	FEDERAL	HIGH ISLAND	G	74	7774	185	C	WD	77	2145	0.27		185	4772	0.33	35.0	0.60	465	7.6	1772	227925	95	12373	0.35	0.69
lplf1	7811	HI469A	854469	FEDERAL	HIGH ISLAND	G	80	14000	203	C	WD	44	267	0.23		243	9311	0.29	0.0	0.61	0	0.4	5	12309	1	803		0.46
lplf1	7811	HI474A	854474	FEDERAL	HIGH ISLAND	G	73	7754	178	G	WD	47	3123	0.32		187	4228	0.30	35.0	0.61	1869	20.8	14581	216091	2053	19836	0.29	0.81
lplf1	7811	HI487A	854487	FEDERAL	HIGH ISLAND	G	82	7626	168	B	WD	35	1276	0.33		200	6092	0.33	34.0	0.60	2082	18.4	1068	22248	456	13314	0.23	0.29
lplf1	7811	HI492A	854492	FEDERAL	HIGH ISLAND	G	81	7952	187	C	WD	24	991	0.27		186	5631	0.28	39.0	0.57	2501	26.0	1044	23307	650	1820	0.31	0.50
lplf1	7811	HI507A	854507	FEDERAL	HIGH ISLAND	G	76	5966	181	J	WD	20	1881	0.34		152	3349	0.19	0.0	0.57	0	0.0	0	53724	0	0		0.58
lplf1	7811	HI517A	854517	FEDERAL	HIGH ISLAND	G	77	8193	210	K	WD	31	2167	0.28		188	6125	0.24	0.0	0.60	0	0.5	39	83994	11	15065		0.54
lplf1	7811	HI523A	854523	FEDERAL	HIGH ISLAND	B	90	8213	231	C	WD	44	341	0.33		184	6422	0.25	30.0	0.60	2900	7.4	232	5195	667	13018	0.10	0.57
lplf1	7811	HI532A	854532	FEDERAL	HIGH ISLAND	G	75	6446	190	K	PAR	51	381	0.29		158	3644	0.25	0.0	0.57	0	1.3	32	25165	5	3954		0.71
lplf1	7811	HI537A	854537	FEDERAL	HIGH ISLAND	G	74	6955	199	C	WD	60	1586	0.32		175	4862	0.26	36.0	0.61	1651	15.8	16546	152179	657	17827	0.50	0.71
lplf1	7811	HI542A	854542	FEDERAL	HIGH ISLAND	G	75	7995	230	C	WD	36	262	0.35		170	6009	0.18	0.0	0.60	0	23.8	235	9857	0	0		0.28
lplf1	7811	HI552A	854552	FEDERAL	HIGH ISLAND	G	81	7830	264	C	WD	134	290	0.36		155	5848	0.27	0.0	0.58	0	6.4	282	26130	163	43128		0.50
lplf1	7811	HI557A	854557	FEDERAL	HIGH ISLAND	G	82	6799	220	D	WD	59	448	0.30		166	4454	0.24	36.0	0.61	1854	46.5	3295	25643	1246	10446	0.62	0.56
lplf1	7811	HI561A	854561	FEDERAL	HIGH ISLAND	B	75	8232	251	C	COM	27	663	0.31		187	6363	0.37	31.0	0.60	2208	23.4	4220	18148	1000	5966	0.47	0.69
lplf1	7811	HI563A	854563	FEDERAL	HIGH ISLAND	O	78	10151	315	B	WD	141	167	0.30		195	7608	0.26	35.0	0.63	4228	39.7	7475	38827	1824	5637	0.48	0.71
lplf1	7811	HI571A	854571	FEDERAL	HIGH ISLAND	G	77	12311	280	C	WD	121	3041	0.26		228	9420	0.27	34.0	0.63	2333	66.9	35920	511109	3496	67118	0.64	0.53
lplf1	7811	HI573A	854573	FEDERAL	HIGH ISLAND	G	77	12726	342	G	PAR	175	1108	0.28		224	9814	0.24	32.0	0.64	1627	80.7	26915	217082	5879	53502	0.31	0.51
lplf1	7811	HI587A	854587	FEDERAL	HIGH ISLAND	G	85	12275	467	D	WD	23	361	0.33		220	8951	0.20	0.0	0.60	0	20.6	237	14002	169	5724		0.59
lplf1	7811	MC020	874020	FEDERAL	MISSISSIPPI CANYON	G	82	5715	484	D	WD	12	320	0.30		139	2930	0.42	0.0	0.60	0	0.1	0	2379	0	968		0.57
lplf1	7811	MC109	874109	FEDERAL	MISSISSIPPI CANYON	O	84	5916	1029	G	WD	97	1016	0.33		147	2766	0.25	30.0	0.60	507	0.1	17251	10192	24310	12630	0.27	0.70
lplf1	7811	MC148	874148	FEDERAL	MISSISSIPPI CANYON	G	76	7067	673	B	UNK	19	362	0.31		179	3301	0.36	0.0	0.60	0	4.8	0	0	34	7231		0.61
lplf1	7811	MC194	874194	FEDERAL	MISSISSIPPI CANYON	G	75	6808	1014	H	PAR	71	1181	0.31		145	3567	0.32	0.0	0.70	0	5.3	421	81683	265	48335		0.70
lplf1	7811	MC281	874281	FEDERAL	MISSISSIPPI CANYON	O	76	8406	1018	G	COM	129	1122	0.29		152	4644	0.18	34.0	0.62	3127	2.0	46648	119318	7246	51553	0.28	0.42
lplf1	7811	MC311	874311	FEDERAL	MISSISSIPPI CANYON	G	79	10591	402	G	WD	315	793	0.29		192	5613	0.17	34.0	0.64	2191	32.4	45350	405075	10256	115464	0.58	0.81
lplf1	7811	MC354	874354	FEDERAL	MISSISSIPPI CANYON	G	79	9425	1478	F	WD	15	209	0.34		193	4398	0.16	0.0	0.60	0	0.1	0	0	1	6640		0.70
lplf1	7811	MC365	874365	FEDERAL	MISSISSIPPI CANYON	G	89	7600	615	G	PAR	16	49	0.30		169	3549	0.43	0.0	0.60	0	10.8	0	0	9	835		0.66
lplf1	7811	MC397	874397	FEDERAL	MISSISSIPPI CANYON	G	84	6803	1059	G	PAR	54	3253	0.29		158	3179	0.31	30.0	0.60	2229	8.1	558	30156	5510	203266	0.55	0.78
lplf1	7811	MC445	874445	FEDERAL	MISSISSIPPI CANYON	G	92	6600	2095		WD	40	1785	0.33		149	3084	0.30	0.0	0.60	0	6.0	67	11900	482	80340		0.65
