FIELD	FLDCDE	CUMO	CUMG	RESO	RESG
MI700	873700	296	121887	251	100370
MI703	873703	415	146940	227	93296
MI705	873705	26	6616	59	14083
MI710	873710	0	157	83	49905
MC020	874020	10276	15244	6089	21400
MC109	874109	18010	10787	29223	17706
MC148	874148	1225	261438	292	72063
MC194	874194	146774	314071	27596	143547
MC281	874281	46648	127491	7246	51553
MC311	874311	45350	405541	10256	115464
MC354	874354	60	25279	339	254911
MC365	874365	41	66845	109	120743
MC397	874397	1607	90754	11795	317636
MC445	874445	67	11900	482	80340
MC486	874486	755	51276	1458	98692
MC807	874807	0	0	132769	187276
MU016A	875016	1	44476	1	22118
MU031A	875031	271	97129	483	150287
MU739	875739	174	59031	70	24806
MU752	875752	8	4990	3	2133
MU754	875754	32	15455	188	28531
MU755	875755	26	10888	0	0
MU756	875756	0	278	0	0
MU757	875757	198	239460	33	21222
MU781	875781	129	22199	79	6764
MU782	875782	0	616	26	56514
MU784	875784	59	24189	60	21869
MU785	875785	3	21092	60	34698
MU789	875789	6	1316	48	30006
MU791	875791	8	8060	6	6486
MU805	875805	4	30858	82	292780
MU831	875831	11	37052	3	14015
MU847	875847	17	15794	44	17796
MU868	875868	6	15174	25	49423
MU053A	877053	4	505	0	0
MU085A	877085	1539	166624	841	78661
MU090A	877090	0	64	0	0
MU111A	877111	834	132983	2560	94368
MU124A	877124	0	2225	1	5466
PN967	881967	232	80323	108	19908
PN969	881969	53	98279	50	88359
PN010A	883010	7	25035	11	30953
PN042A	883042	9	104159	2	20848
PN058A	883058	0	11505	0	0
PN059A	883059	14	5511	31	12473
PN072A	883072	0	6841	1	1657
PN996	883996	4	8082	7	17335
MO1002	886002	0	0	0	3196
MO1003	886003	0	0	0	2672
MO821	886821	12	24865	23	45556
MO823	886823	0	168760	3	417366
MO827	886827	3	7504	71	161375
MO830	886830	0	0	2	15607
MO861	886861	0	1950	3	33672
MO864	886864	0	57500	1	45321
MO865	886865	0	2917	0	11951
MO866	886866	0	881	0	2687
MO868	886868	0	0	0	217808
MO870	886870	0	1126	1	11721
MO872	886872	0	0	0	112485
MO904	886904	1	4031	2	6909
MO914	886914	0	956	1	9068
MO916	886916	0	0	0	404586
MO945	886945	0	2622	0	464
MO947	886947	0	4673	1	374
MO952	886952	0	2905	16732	13827
MO955	886955	0	3589	2	16004
MO959	886959	0	0	5	45677
MO961	886961	0	0	1	8918
MO990	886990	0	11476	3	17057
SA007	890007	16	236	0	0
SA010	890010	1747	120817	899	49771
SA011	890011	87	7984	0	0
SA013	890013	2958	15963	213	364
SA017	890017	1098	251679	356	27724
SS015	894015	2122	46283	529	5528
SS028	894028	19387	734890	2771	89318
SS032	894032	12784	164587	969	17334
SS037	894037	352	10876	280	10349
SS058	894058	484	3473	1449	39564
SS062	894062	7	2574	0	0
SS069	894069	14487	30656	6222	34897
SS072	894072	17810	174721	2483	24567
SS080	894080	0	16916	0	13391
SS084	894084	1520	102056	73	5515
SS090	894090	383	1790	5	2
SS091	894091	13845	28316	2190	2407
SS092	894092	1207	2809	454	13000
SS097	894097	462	34237	0	0
SS100	894100	2786	43390	1305	65872
SS105	894105	83	1262	1078	9627
SS107	894107	59113	84582	2667	8075
SS111	894111	271	13015	568	35569
SS113	894113	98701	375168	15790	57880
SS115	894115	0	20157	0	3488
SS128	894128	133	494	4101	4586
SS139	894139	2271	25898	0	0
SS146	894146	171	39230	1	3585
SS154	894154	67150	77476	2209	18002
SS158	894158	991	362866	4	2359
SS160	894160	81	9255	29	3969
SS165	894165	0	2573	0	0
SS167	894167	257	32293	134	9730
SS169	894169	78702	454155	8790	61921
SS170	894170	3790	79754	2905	8897
SS176	894176	54021	1158576	4683	159979
SS178	894178	9501	13480	1863	4689
SS181	894181	20410	78771	6765	23918
SS186	894186	0	35556	0	0
SS189	894189	354	44998	230	45535
SS191	894191	400	10541	281	9074
SS207	894207	95415	328079	5286	18397
SS208	894208	190621	1120421	15770	45479
SS222	894222	56718	761046	6135	37407
SS230	894230	105130	241543	9362	35226
SS113A	896113	153	292787	44	68530
SS237	896237	0	9537	0	0
SS239	896239	9240	141890	2018	6249
SS246	896246	10866	461776	3045	116834
SS253	896253	23655	212200	3818	53579
SS259	896259	2151	109026	1351	67778
SS263	896263	0	18079	0	9155
SS271	896271	77	69660	4	5038
SS272	896272	108	25672	0	0
SS274	896274	27825	367418	8039	61207
SS291	896291	31095	90639	5406	25869
SS296	896296	209	38586	0	0
SS299	896299	7035	29639	5913	27003
SS323	896323	18	44976	12	17514
SS331	896331	40	161	2062	4838
SS332	896332	3313	75327	0	0
SS343	896343	0	219100	0	9987
SM006	899006	36558	201333	2298	17377
SM009	899009	10308	96720	4110	38824
SM016	899016	1302	14123	508	355
SM018	899018	325	5785	684	75342
SM023	899023	25979	929123	1449	45372
SM027	899027	2199	29249	32	8495
SM038	899038	1305	79084	833	36319
SM041	899041	1254	15010	311	17383
SM048	899048	22714	1316450	5989	165280
SM066	899066	4304	1088130	957	149603
SM231	900231	37	17246	59	18057
SM235	900235	232	37871	27	4765
SM236	900236	32795	159180	6518	80983
SM239	900239	24402	56304	9810	56530
SM241	900241	603	45301	1909	66705
SM243	900243	2560	305898	268	29396
SM249	900249	105	156657	25	9078
SM252	900252	61	30017	117	37569
SM255	900255	9	1430	1709	165099
SM257	900257	0	9398	0	0
SM261	900261	2480	114482	215	13364
SM265	900265	81	44949	19	15369
SM269	900269	42528	472327	7712	120055
SM273	900273	0	1193	0	0
SM274	900274	0	9405	0	0
SM073	901073	76503	290399	5445	28575
SM076	901076	381	56853	72	21049
SM079	901079	2134	233705	547	114754
SM081	901081	34	7996	5	1330
SM099	901099	13147	152567	3015	60571
SM107	901107	11296	548767	1629	42728
SM113	901113	33	7409	0	0
SM115	901115	4894	152165	843	6673
SM117	901117	324	13247	307	7368
SM128	901128	104846	209575	12205	53197
SM130	901130	160859	179400	22612	78688
SM137	901137	14416	309463	2836	57907
SM142	901142	6413	154226	334	27692
SM146	901146	4222	150823	3711	76719
SM151	901151	4	6334	2	2556
SM155	901155	5183	74682	610	16745
SM160	901160	7856	17972	4053	14720
SM172	901172	0	1220	30	4278
SM175	901175	11087	44362	1986	9848
SM205	901205	0	78819	104685	28584
SP027	909027	141292	670443	13533	106211
SP043	909043	706	10884	4108	11970
SP045	909045	396	50081	827	81486
SP049	909049	67377	98647	12389	53961
SP052	909052	252	39336	7085	55149
SP054	909054	5489	146074	70	11001
SP061	909061	204460	348732	41805	77836
SP062	911062	130056	180726	18048	42764
SP065	911065	115286	107254	10641	12235
SP078	913078	42018	659175	16391	123581
SP083	913083	7760	247456	720	208137
SP089	913089	131300	322398	32841	144267
PL001	916001	1522	10523	262	1070
PL002	916002	42	1724	0	0
PL006	916006	419	16532	732	36593
PL010	916010	27369	297059	8994	76510
PL013	916013	9241	45509	2014	22896
PL015	916015	0	2745	5	2467
PL018	916018	251	24520	0	0
PL020	916020	59237	183961	9551	33304
PL023	916023	13934	24890	1971	6508
ST021	919021	227072	351719	13133	24257
ST034	919034	892	70872	513	30390
ST036	919036	17063	242854	2862	49595
ST037	919037	9881	48280	3523	32059
ST052	919052	60307	246246	9433	54537
ST054	919054	45532	289878	5087	30555
ST075	919075	361	4118	0	0
ST076	919076	2287	33457	1333	17382
ST077	919077	1782	11317	1552	13670
ST086	919086	9937	169733	3297	70197
ST107	919107	462	16202	0	0
ST111	919111	1260	51584	259	29826
ST131	919131	52019	189204	6100	42357
ST135	919135	150785	398737	10070	58206
ST140	919140	39	740	0	0
ST146	919146	109	22685	30	5912
ST156	919156	181	63718	0	0
ST163	919163	178	60377	1	229
ST172	919172	8303	1509324	1360	274992
ST176	919176	61928	788797	9676	133430
ST185	919185	1068	136932	100	17688
ST186	919186	918	15804	0	0
ST190	919190	222	53127	210	51180
ST196	919196	5255	259232	935	90234
ST197	919197	232	19120	815	15383
ST198	919198	845	46755	300	21665
ST200	919200	492	67199	154	19137
ST206	919206	653	141358	311	122670
ST221	921221	165	14043	80	6465
ST224	921224	25	3026	0	0
ST225	921225	7	20558	36	34255
ST245	921245	723	19473	880	22332
ST277	921277	2	69	516	22175
ST292	921292	3096	112442	1136	10003
ST295	921295	14131	35487	31038	95441
ST300	921300	12980	57213	1892	9332
ST301	921301	7681	31051	4930	14135
VR014	929014	45301	2820783	4077	263454
VR024	929024	9964	281405	3399	75065
VR039	929039	27428	2320061	2774	77945
VR041	929041	0	492	9	3180
VR046	929046	2373	193608	111	9273
VR050	929050	13276	302567	3552	81220
VR054	929054	384	1024	0	0
VR060	929060	80	80273	15	10942
VR064	929064	169	20277	0	0
VR069	929069	0	9821	0	0
VR071	929071	648	158355	276	19775
VR076	929076	4530	1040538	1347	133368
VR084	929084	2	49528	2	2983
VR086	929086	2103	147052	0	0
VR088	929088	32	12951	0	0
VR095	929095	3	10586	7	5395
VR102	929102	695	83651	454	22538
VR107	929107	53	13628	31	14190
VR112	929112	7	1497	332	32368
VR114	929114	881	77598	386	42861
VR115	929115	475	12230	219	3953
VR120	929120	31337	115612	2075	31954
VR122	929122	663	27164	22	1238
VR131	929131	9600	547420	919	50440
VR147	929147	12983	39695	1664	10990
VR155	929155	994	51149	433	15309
VR159	929159	3231	119219	778	46002
VR162	929162	1182	54008	807	40682
VR164	929164	9538	13195	1414	22208
VR167	929167	3986	8805	3204	13418
VR171	929171	1440	80571	1010	46591
VR175	929175	77	8227	28	3348
VR182	929182	3797	54931	149	20847
VR187	929187	136	14633	0	21362
VR191	929191	4053	85433	487	18600
VR193	929193	904	21047	0	0
VR200	929200	355	1125	3	7344
VR214	929214	19222	102527	1670	27510
VR215	929215	9285	126418	901	13531
VR216	929216	99	10376	0	0
VR218	929218	4339	399988	1141	97498
VR221	929221	135	195067	35	34964
VR223	929223	1	7929	0	0
VR241	929241	332	106447	0	0
VR245	929245	43542	404721	2793	58740
VR249	929249	0	8574	0	2993
VR250	929250	15621	524959	1679	64191
VR255	931255	16689	463884	3765	60638
VR257	931257	0	2339	111	6230
VR262	931262	7899	182948	1353	9475
VR265	931265	18054	201975	938	31692
VR266	931266	309	3185	467	6605
VR273	931273	82	13406	22	5269
VR275	931275	221	8170	1022	33212
VR284	931284	6813	7714	1799	1356
VR287	931287	3122	49566	960	14605
VR288	931288	107	24832	167	35458
VR296	931296	20	3877	54	4059
VR310	931310	3009	176117	400	21505
VR313	931313	253	26968	0	0
VR315	931315	2682	5712	371	2896
VR318	931318	1258	29476	393	6920
VR320	931320	4995	589265	194	34989
VR328	931328	13	4837	159	10491
VR329	931329	1	63837	20072	18303
VR331	931331	24284	176266	3332	20114
VR340	931340	5312	69771	485	17667
VR348	931348	500	44659	86	6759
VR359	931359	41	80414	18	47743
VR369	931369	8215	27776	2110	8078
VR370	931370	159	74360	17	2816
VR380	931380	5000	42987	444	14815
VR397	931397	645	46716	48	2585
VR412	931412	1264	16764	2489	36356
VK024	933024	0	4665	1	6878
VK027	933027	0	2386	1	4646
VK031	933031	0	406	0	3569
VK032	933032	0	551	2	17367
VK069	933069	0	8754	14	3746
VK074	933074	0	113	1	10988
VK156	933156	0	3745	2	11579
VK204	933204	1	14496	6	55440
VK213	933213	0	0	1	3053
VK256	933256	0	0	1	3663
VK294	933294	0	501	1	7933
VK783	933783	199	5219	79847	411344
VK956	933956	0	0	143080	718137
VK990	933990	758	354	139559	101192
WC017	935017	1931	314934	555	107944
WC028	935028	278	27376	0	0
WC033	935033	750	62109	0	0
WC040	935040	58	24446	0	0
WC041	935041	2	1073	0	0
WC045	935045	19611	786378	2054	58192
WC049	935049	812	67201	642	52012
WC055	935055	68	2358	1359	80656
WC066	935066	21123	374251	6366	59089
WC068	935068	3279	130178	350	21691
WC071	935071	17041	947089	1740	83788
WC076	935076	89	29454	687	160538
WC081	935081	0	1892	0	0
WC095	935095	26	16231	5	1541
WC109	935109	760	56904	740	27286
WC110	935110	2724	411557	145	40452
WC116	935116	164	25859	68	11212
WC118	935118	371	52297	436	15854
WC146	935146	6790	353921	1113	65611
WC149	935149	1142	242899	660	33223
WC165	935165	1189	217108	321	31949
WC167	935167	110	8873	257	19678
WC178	935178	765	47023	863	15240
WC180	935180	9072	1545470	353	57358
WC187	935187	272	62437	213	33279
WC192	935192	16278	1049785	2675	50505
WC196	935196	764	83372	358	48725
WC198	935198	711	153341	246	40950
WC205	935205	2848	277350	23	9719
WC222	935222	526	59929	59	5211
WC225	935225	245	69730	42	9692
WC228	935228	2	4217	0	0
WC229	935229	269	53497	64	18375
WC236	935236	11	5271	0	0
WC237	935237	1276	344839	207	51625
WC253	935253	55	39463	10	9977
WC254	935254	0	5757	9	18839
WC265	935265	1344	50891	0	0
WC277	935277	52	7019	8	2095
WC280	935280	403	224807	228	72031
WC281	935281	7	20739	0	0
WC459	937459	132	86841	123	18551
WC464	937464	11	75811	2	13855
WC472	937472	0	8644	0	0
WC480	937480	247	191238	0	0
WC491	937491	2	940	126	11813
WC498	937498	69	129589	23	12905
WC504	937504	40	33282	20	12816
WC507	937507	1332	153980	641	65007
WC513	937513	327	30253	0	0
WC518	937518	41	8931	0	0
WC530	937530	0	3939	0	0
WC533	937533	36	843370	150	94693
WC536	937536	362	61024	114	23936
WC537	937537	378	167874	88	38312
WC540	937540	32	61241	0	0
WC543	937543	1018	173860	0	0
WC547	937547	7	60647	126	14325
WC554	937554	0	15285	3	45859
WC555	937555	0	4974	0	0
WC560	937560	1	21608	3	1515
WC563	937563	523	89431	37	9641
WC565	937565	716	596267	176	185561
WC576	937576	290	90575	38	25213
WC586	937586	565	84120	717	36472
WC587	937587	8612	492313	1302	97475
WC589	937589	0	12646	0	0
WC592	937592	0	0	13	1348
WC595	937595	221	5125	0	0
WC604	937604	0	6763	1	4858
WC607	937607	0	27127	0	19344
WC617	937617	0	694970	0	8994
WC618	937618	0	60623	126	25249
WC620	937620	615	224302	482	21184
WC630	937630	1286	187074	193	49849
WC639	937639	1052	402779	118	50733
WC643	937643	146	303435	210	52980
WC294	939294	775	165969	474	70513
WC311	939311	30	4959	35	5831
WC313	939313	1	22887	38	22652
WC315	939315	1	7317	6	19391
WC318	939318	1	10668	0	0
WC331	939331	12	25256	36	23440
WC333	939333	54	152732	11	31091
WC353	939353	660	114383	213	33868
WC359	939359	5	3244	81	14901
WC367	939367	17	4104	0	0
WC368	939368	418	73825	30	22262
WC370	939370	154	17056	6	7378
WC379	939379	1	23487	3	15900
WC391	939391	4	5745	5	6651
WC406	939406	150	64179	55	8794
WC409	939409	158	63659	7	4643
WC414	939414	0	4918	4	6712
WC420	939420	2	14323	1	3356
WC427	939427	5	23773	0	1064
WC432	939432	1	17990	6	44003
WC436	939436	219	62821	112	7796
WD027	942027	13097	608820	195	10662
WD030	942030	497032	724272	23991	53891
WD035	942035	4815	311343	94	24792
WD038	942038	39	2437	0	0
WD041	942041	56645	213402	3896	10076
WD050	942050	0	2364	0	192
WD058	942058	9316	132597	189	503
WD061	942061	486	67809	174	21917
WD064	942064	191	15553	1082	14277
WD067	942067	326	1201	0	0
WD073	942073	225526	404536	13647	54424
WD079	942079	152743	574292	13862	56506
WD086	942086	4629	310242	155	48357
WD098	942098	701	29786	1837	45427
WD105	942105	42161	283457	8408	47878
WD109	942109	50044	100268	15877	50436
WD112	942112	0	0	704	1409
WD117	944117	65267	230095	5592	27167
WD133	944133	11771	34784	2235	6410
WD137	944137	261	7772	0	0
WD143	944143	765	9580	0	0
WD152	944152	18194	72530	1234	57051
VK076	933076	0	63	1	13494
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
