c5	c10	c12	c14	c15	c16	c17	c18	c20	c25	c35	c40	c90	c100	c110	c120	c130	c140	c150	c152	c160	c170	c180	c190	c192	c200	c210	c220	c230	c240	c250	c260	c270	c280	c290	c300	c310a	c310b	c310c	c310d	c314a	c314b	c314c	c314d	c320a	c320b	c320c	c324a	c324b	c324c	c330	c332	c340	c350	c360	c370	c380	c390	c400	c410	c420	c430	c440	c450	c460	c490	c510a	c510b	c510c	c510d	c510e	c510f	c602	c604	c606	c608	c610	c612	c614	c616	c620	c640	c652	c654	c660	eof
1995081100637	19950811	00637		1995	8	11	95ZZZX3937       	4	19950713	G	2562	ELT10	ELT             	NARCO       																G-SWITCH	MALFUNCTION     	B			DV1R	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			EA	17					11060					UNIT WAS RETURNED FOR RECERTIFICATION TEST PER SB NR ELT-14.  UNIT WAS FOUND TO MALFUNCTION DURING 'G-FORCE' ACTIVATION 	TEST DUE TO WHAT APPEARS TO BE A LACK OF REQUIRED MAINTENANCE.  FUTURE MALFUNCTIONS COULD BE MINIMIZED BY C/W SB NR ELT-	14 WHICH WAS MANDATED APRIL 21, 1986.																	 
1995081100638	19950811	00638		1995	8	11	95ZZZX3938       	4	19950713	G	2562	ELT10	ELT             	NARCO       																G-SWITCH	MALFUNCTION     	B			DV1R	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			EA	17					35923					UNIT WAS RETURNED FOR RECERTIFICATION TEST PER SB NR ELT-14.  UNIT WAS FOUND TO MALFUNCTION DURING 'G-FORCE' ACTIVATION 	TEST DUE TO WHAT APPEARS TO BE A LACK OF REQUIRED MAINTENANCE.  FUTURE MALFUNCTIONS COULD BE MINIMIZED BY C/W SB NR ELT-	14 WHICH WAS MANDATED APRIL 21, 1986.																	 
1995081100639	19950811	00639		1995	8	11	95ZZZX3939       	4	19950713	G	2562	ELT10	ELT             	NARCO       																G-SWITCH	MALFUNCTION     	B			DV1R	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			EA	17					178473					UNIT WAS RETURNED FOR RECERTIFICATION TEST PER SB NR ELT-14.  UNIT WAS FOUND TO MALFUNCTION DURING 'G-FORCE' ACTIVATION 	TEST DUE TO WHAT APPEARS TO BE A LACK OF REQUIRED MAINTENANCE.  FUTURE MALFUNCTIONS COULD BE MINIMIZED BY C/W SB NR ELT-	14 WHICH WAS MANDATED APRIL 21, 1986.																	 
1995081100640	19950811	00640	WP  	1995	8	11	95ZZZX3940       	2	19950717	G	7310	31016081	TUBE ASSY       			BEECH 	100   	B100        	1152919	CE  	GARRTT	TPE331	TPE3316252B 	01514	WP  					RT ENG FWD RT	CHAFED          	D				E				ENGINE SHUTDOWN         				B	J		SMOKE/FUMES/ODORS/SPARKS  	WARNING INDICATION        		CR	CRUISE         	1			GL	03	178NC					BE17	P27035			FAILURE OCCURRED IN-FLIGHT, PILOT NOTICED HIGH FUEL FLOW AND SMOKE.  ENGINE SHUT DOWN IN-FLIGHT.  FOUND ADEL CLAMP WORN 	THROUGH TUBE ASSY.  ADDED EXTRA ADEL CLAMPS TO AFT END OF TUBE ASSY TO PREVENT MOVEMENT.					1	L	7	2 	4T	4	T		A14CE   	E2WE				 
1995081100642	19950811	00642	WP  	1995	8	11	95ZZZX3942       	2	19950727	G	7230	30755147	SEAL            			AMD   	FALC50	FALCON50MYST	2730106	EU  	GARRTT	TFE731	TFE7313     	01518	WP  					NR 1 CARBON	FAILED          	G				O				OTHER                   				B			SMOKE/FUMES/ODORS/SPARKS  			CR	CRUISE         	1			EA	03	4MB	4736 			2021762789	156	P76599			IN-FLIGHT SMOKE IN COCKPIT CAUSED BY FAILED NR 1 CARBON SEAL AND GEARBOX RELIEF VALVE, PN 3075323-2, OVER PRESSURE OF GE	ARBOX WITH FAILED NR 1 CARBON SEAL CAUSED OIL TO ENTER COMPRESSOR SECTION AND SMOKE IN BLEED AIR SYSTEM.					2	L	7	3 	4F	4	F		A46EU   	E6WE				 
1995081100643	19950811	00643	CE  	1995	8	11	95ZZZX3943       	1	19950715	G	5210		HINGE           			CESSNA	172   	172N        	2072434	CE  										CABIN	PIN BROKEN      	D		A		K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	25	737BP	3556 				17269293				DURING 100-HOUR INSPECTION, THE CABIN DOOR HINGE PINS WERE DETERMINED TO BE WORN.  WHEN OLD PINS WERE REMOVED, FOUND 2 O	F 4 PINS BROKEN WITH ONLY ABOUT .25 INCH OF REMAINING PIN SECURING HINGE.  THE BOTTOM PIECE WAS MISSING ON ONE PIN.  THE	 TOP HINGES WERE FOUND BOWED CAUSING HINGES TO BIND WHEN DOORS WERE CLOSED.  SUBMITTER SUGGESTED THIS IS ANOTHER ITEM TH	AT MUST BE LOOKED AT ON SCHEDULED INSPECTIONS ON AIRCRAFT WITH MORE THAN 2,000 HOURS.			1	H	7	1 	3O			NT	3A12    					 
1995081100644	19950811	00644	SO  	1995	8	11	95ZZZX3944       	1	19950623	G	2823	7741302	SELECTOR        			PIPER 	PA38  	PA38112     	7103812	SO  										FUEL VALVE	BROKEN          	B		A	AMYR	A				UNSCHED LANDING         				Y			ENGINE STOPPAGE           			CR	CRUISE         	1			CE	05	91318	4970 				3881A0162				IN-FLIGHT SELECTOR VALVE COULD NOT BE CHANGED FROM LEFT TANK.  MULTIPLE ATTEMPTS MADE TO CHANGE FUEL SELECTOR POSITION. 	 AIRCRAFT ENGINE QUIT.  AN OFF-AIRPORT EMERGENCY LANDING WAS MADE.  FUEL WAS DELIVERED TO THE PLANE AND IT WAS FLOWN BAC	K TO THEIR AIRPORT.  THE FUEL SELECTOR VALVE WAS REMOVED AND DISASSEMBLED.  THE INTERNAL NYLON PART THAT ACTUALLY DETERM	INES THE SELECTOR POSITION WAS FOUND BROKEN.  ONCE THE NYLON SHEARED, THE PIN WAS DISLODGED AND FORCED TO ONE SIDE MAKIN	G THE SELECTOR TOTALLY INOPERATIVE.  THIS AIRCRAFT IS USED FOR FLIGHT TRAINING, SO SELECTOR VALVE GETS A GREAT DEAL OF U	SE.	1	L	7	1 	3O				A18SO   					 
1995081100645	19950811	00645	CE  	1995	8	11	95ZZZX3945       	1	19950720	G	3230		FITTING         			CESSNA	185   	A185F       	2072821	CE  										LT MLG GRBOX	CRACKED         	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	09	1555H					18503306				INSPECTION FOUND A CRACK IN THE LEFT LANDING GEARBOX ABOVE THE FORWARD WEDGE/SHIM LOCATION.  THE FITTING REQUIRED REPLAC	EMENT.					1	H	7	1 	3O				3A24    					 
1995081100646	19950811	00646	CE  	1995	8	11	95ZZZX3946       	1	19950630	G	2150	660021128	VALVE           			LEAR  	35    	31A         	5170531	CE  										HOT AIR BYPASS	LOOSE           	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	25	740E	1048 			1166	061				FLIGHT CREW REPORTED THEY COULD NOT ACHIEVE A COMFORTABLE TEMPERATURE IN THE CABIN (UNABLE TO COOL).  TROUBLESHOOTING RE	VEALED THE HOT AIR BYPASS VALVE DOOR HAD ROTATED ON ITS SHAFT AND WOULD NOT FULLY CLOSE.  THE DOOR IS HELD ON THE SHAFT 	WITH 4 SET SCREWS.  INSPECTION DETERMINED 2 SET SCREWS WERE MISSING, THE 3RD SCREW WAS LOOSE, AND THE 4TH SCREW COULD NO	T HOLD THE DOOR TO THE SHAFT SECURELY.			2	L	7	2 	4F			RT	A10CE   					 
1995081100647	19950811	00647	CE  	1995	8	11	95ZZZX3947       	1	19950627	G	7830	311SM7T	SWITCH          			LEAR  	35    	31A         	5170531	CE  										STOW/DEPLOY	ARM FAILED      	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	25	742E	967  				071				LEFT THRUST REVERSER WOULD DEPLOY ON GROUND ANY TIME SYSTEM WAS ARMED WITHOUT SELECTING DEPLOY.  INSPECTED AND FOUND STO	W/DEPLOY SWITCH MECHANICAL ARM AND ROLLER BROKEN OFF FROM SWITCH DUE TO FAILURE OF MECHANICAL ARM TO PIVOT POINT THROUGH	 PIN WELD.				2	L	7	2 	4F			RT	A10CE   					 
1995081100648	19950811	00648	EA  	1995	8	11	95ZZZX3948       	2	19950623	G	8550	LW14114	OIL TUBE        			BEECH 	60    	B60         	1153605	CE  	LYC   	O541  	TIO541E1C4  	41536	EA  					NR 4 CYLINDER	BROKEN          	H				E				ENGINE SHUTDOWN         				K			FLUID LOSS                			NR	NOT REPORTED   	1			GL	03	6033C	2880 	269  			P491	L130559			RIGHT ENGINE OIL LEAK.  IN-FLIGHT SHUT DOWN.  FOUND OIL TUBE FOR NR 4 CYLINDER EXHAUST VALVE BROKEN.  SUSPECT CAUSE - A)	  OVERTORQUED AT INSTALLATION.  B)  BUMPED WITH TOOL.  C)  FATIGUE.					1	L	7	2 	3O	3	O		A12CE   	E10EA				 
1995081100649	19950811	00649	GL  	1995	8	11	95ZZZX3949       	1	19950629	G	5320		TAIL POST       			AMTR  	PT2   	PT2         	056184H	GL  										FUSELAGE	BROKE           	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	01	4215X	208  				PT1088				TAIL POST BROKE OFF FROM LOWER LONGERON.  THIS WAS A FACTORY KIT FUSELAGE PART.  TAIL POST IS .75 INCH BY .035 INCH, 413	0 TUBING.  IT APPEARS TO BE CAUSED BY POOR ENGINEERING, TAIL WHEEL AND SPRING OVERLOADED THE STRUCTURE.  DEFECT FOUND WH	EN DOING A PRE-FLIGHT INSPECTION.  ADDITIONAL DEFECTIVE FLAP HANDLE BROKE WHEN LANDING, .035 INCH BY .8750 INCH ALUMINUM	 TOO LIGHT MATERIAL.			1	H	7	1 	3I			NC	EXPA1H71					 
1995081100650	19950811	00650	CE  	1995	8	11	95ZZZX3950       	1	19950714	G	2150	640778	BRACKET         			BEECH 	33    	F33A        	1151425	CE  										AIR COND TENSION	CRACKED         	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			CE	05	8246P					CE1624				INSPECTED A/C COMPRESSOR.  A/C COMPRESSOR BELT FOUND SHREDDED.  WHILE INSPECTING AREA, FOUND A CRACK FROM THE TENSIONER 	BOLT ALL THE WAY TO THE END OF THE BRACKET.  IF THIS BROKE OFF, IT WOULD ALLOW THE COMPLETE TENSIONER TO COME LOOSE FROM	 ENGINE.				1	L	7	1 	3O				3A15    					 
1995081100651	19950811	00651	GL  	1995	8	11	95ZZZX3951       	3	19950725	G	6114	A1742	BEARING         			CESSNA	210   	210E        	2073416	CE  						MCAULY	2A34C	E2A34C73    	GL  	HUB	FAILED          	G				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			EA	03	4974U		415  			21058674		730643		BEARING RACE BROKE, A PIECE ABOUT .3750 INCH CAME LOOSE AND WENT THROUGH HUB CAUSING DAMAGE. PROPELLER WAS OVERHAULED 5 	YEARS PRIOR AND 415 HOURS TSO.  THIS CONDITION WAS FOUND DURING OVERHAUL.  ENTIRE HUB WAS CONDEMNED.					1	H	7	1 	3O				3A21    		5	C	P3EA9	 
1995081100652	19950811	00652	SO  	1995	8	11	95ZZZX3952       	1	19950511	G	5320	6244802	FITTING         			PIPER 	PA28  	PA28161     	7102803	SO  										LT COCKPIT	CORRODED        	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			EA	27	302FG	2613 				288016274				FOUND DURING COMPLIANCE WITH SB 977.  LEAKING WINDOWS GETTING INSULATION WET AND KEEPING FITTINGS WET CAUSING CORROSION.	  SEAL WINDOWS PER SB 977.					1	L	7	1 	3O				2A13    					 
1995081100653	19950811	00653	GL  	1995	8	11	95ZZZX3953       	1	19950710	G	3252	AN37A	STOP-BOLT       			AMTR  	GAIR  	GLASAIRIII  	05691HK	GL  										SHIMMY DAMPER	SHEARED         	D				O				OTHER                   				O			OTHER                     			LD	LANDING        	1			SW	99	9DY					3184				A DIRT PILE ON 45 DEGREE ANGLE ON RUNWAY CAUSED NOSE WHEEL TO DEFLECT AND START SHIMMY.  SEVERE SHIMMY CAUSED SHEARING O	F AN-3 STOP-BOLT RESULTING IN WHEEL TURNING SIDEWAYS AND STRUT COLLAPSING.  THE NEW NOSE STRUT HAS A HEAVIER, AN-4 STOP-	BOLT.				1	L	7	1 	3O			RT	EXPA1L71					 
1995013000119	19950130	00119	SO  	1995	1	30	95ZZZX397        	2	19950110	G	8550		OIL PUMP        			CESSNA	207   	207A        	2073604	CE  	CONT  	O520  	IO520F      	17032	SO  					ENGINE	WORN            	D				K				NONE                    				W			INADEQUATE Q C            			IN	INSP/MAINT     	1			AL	01	9935M					20700751	195900R			AFTER ONLY 2.4 HOURS TIME IN SERVICE AFTER MAJOR OVERAHAUL, OIL PUMP WAS REPORTED TO BE PRODUCING ONLY 12 POUNDS PRESSUR	E AT FULL POWER.  OIL PUMP GEARS WERE FOUND SEVERELY WORN AND ENGINE WAS REMOVED AND SHIPPED BACK TO CRS NR 1AXR223L WHE	RE IT HAD BEEN OVERHAULED.				1	H	7	1 	3O	3	O		A16CE   	E5CE				 
1995081100840	19950811	00840	EU  	1995	8	11	95ZZZX3975       	1	19950710	G	3233	184811	CYLINDER        			BAG   	JETSTM	JETSTM3201  	1500217	EU  										MLG	CRACKED         	B			AY55	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SO	03	920AE	6913 				920				MLG RADIUS ROD CYLINDER WAS FOUND CRACKED.  THIS CRACK RUNS PARALLEL TO THE LENGTH OF THE CYLINDER ALONG THE I.D. FOR 3.	50 INCHES BETWEEN THE MICROSWITCH TOGGLE ARM MOUNTING PAD, TERMINATING IN THE DOWNLOCK THREADS.  THIS IS THE SECOND CYLI	NDER FOUND IN THIS MANNER.				2	L	7	2 	4T			RT	A56EU   					 
1995081100842	19950811	00842	EU  	1995	8	11	95ZZZX3977       	1	19950529	G	6410	10531727	LAMINATED PACK  		10531727    	BOLKMS	105   	BO105CBS    	5626008	EU  										INNER SLEEVE	CORRODED        	B			ALGR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	03	5416F	6787 	388  		121	794				UPON INSPECTION OF PARTS FOR REPAIR OF TAIL ROTOR ASSEMBLY, FOUND CORROSION BEYOND LIMITS ON CENTER SECTION OF LAMINATED	 PACK DUE TO SALT ATMOSPHERE IN WHICH THE AIRCRAFT FLIES.  PART WAS SCRAPPED DUE TO CORROSION BEYOND LIMITS.					1	G	7	2 	3U			NC	H3EU    					 
1995081100843	19950811	00843	NE  	1995	8	11	95ZZZX3978       	1	19950619	G	2612		FIRE LIGHT      			SKRSKY	S76   	S76         	8143010	NE  										NR 1 ENGINE	MALFUNCTION     	B			ALGR	A				UNSCHED LANDING         				N			FALSE WARNING             			NR	NOT REPORTED   	1			SW	03	5446E					760175				NR 1 ENGINE FIRE LIGHT AND HORN CAME ON IN-FLGIHT.  COULD NOT CONFIRM FIRE.  AIRCRAFT LANDED WTHOUT FURTHER INCIDENT.  N	R 1 ENGINE FIRE DETECTION SYSTEM WAS TROUBLESHOT AND PROBLEM COULD NOT BE DUPLICATED.					1	G	7	2 	3U				H1NE    					 
1995013000120	19950130	00120	CE  	1995	1	30	95ZZZX398        	1	19950109	G	7603	C2995150102	CONTROL CABLE   			CESSNA	208   	208B        	2073701	CE  										ENGINE	BROKEN          	B			MJ7R	O				OTHER                   				O			OTHER                     			NR	NOT REPORTED   	1			GL	05	9347B	2164 				208B0059				POWER CABLE BROKE.  PILOT HAD NO CONTROL OVER ENGINE.  USED EMERGENCY THROTTLE.  REPLACED POWER CABLE WITH CESSSNA SERVI	CE KIT SK208-94.					1	H	7	1 	3T			 	A37CE   					 
1995081100909	19950811	00909	GL  	1995	8	11	95ZZZX3980       	1	19950528	G	6100		BOLT            			AMTR  	CH601 	CH601HDS    	05625J7	GL  										PROPELLER	FAILED          	G				O				OTHER                   				D			INFLIGHT SEPARATION       			AP	APPROACH       	1			SO	16	18FL	11   				63073				DURING POWER CHANGE IN PATTERN, PROPELLER DEPARTED AIRCRAFT.  EXAMINATION OF ALL SIX .25 INCH BOLTS REVEALED THEY HAD FA	ILED AT A POINT FLUSH WITH CRANKSHAFT FLANGE.  ALL APPEARED TO HAVE BEEN OVERTORQUED AT INSTALLATION ONLY 11 HOURS PRIOR	.  SUGGEST OPERATOR OF ROTAX ENGINES USING .25 INCH PROPELLER BOLTS CHECK FOR CONDITION AND PROPER TORQUE.				1	L	7	1 	3O			NC	1L71    					 
1995081100910	19950811	00910	GL  	1995	8	11	95ZZZX3981       	1	19950403	G	6100		PROPELLER       			AMTR  	KR2   	KR2         		GL  										ENGINE	DEPARTED        	G				O				OTHER                   				D			INFLIGHT SEPARATION       			CL	CLIMB          	1			WP	17	22955	6    				2206				UNCERTIFICATED AMATEUR BUILT AIRCRAFT DEPARTED AIRPORT ON FIRST FLIGHT SINCE COMPLETION.  PROP HUB ATTACH BOLT UNSCREWED	 AND PROP DEPARTED AIRCRAFT.  THE VW CONVERSION WAS PERFORMED BY HAPI.  THE PROP HUB BOLT RETAINING COTTER PIN WAS FOUND	 SHEARED.  THE OWNER/BUILDER HAD NOT CHECKED PROP TORQUE AND DID NOT KNOW WHO INSTALLED HUB TO ENGINE.				1	L	7	1 	3O				EXPA1L71					 
1995081100911	19950811	00911	SO  	1995	8	11	95ZZZX3982       	1	19950719	G	7602	2329600	BRACKET         			PIPER 	PA24  	PA24260     	7102406	SO  										MIX CONTROL	BROKEN          	B		A	CIER	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	03	8936P					244392				FOUND MIXTURE CONTROL SUPPORT BRACKET CRACKED IN HALF.  SAGGING ENGINE SHOCK MOUNTS ALLOWED ENGINE TO DROOP THEREBY ALLO	WING LEFT NOSE GEAR STEERING BUSHING TO STRIKE THE BRACKET WHEN THE LANDING GEAR WAS RETRACTED.  THIS RESULTED IN THE LA	NDING GEAR BUSHING WEARING A GROOVE IN THE BRACKET UNTIL IT EVENTUALLY BROKE.  IT IS RECOMMENDED THE BRACKET BE INSPECTE	D CLOSELY AT EACH 100 HOUR OR ANNUAL INSPECTION.  RECOMMEND REPLACEMENT OF SHOCK MOUNTS AT ANY TIME SAGGING IS NOTED.			1	L	7	1 	3O				1A15    					 
1995081100912	19950811	00912	CE  	1995	8	11	95ZZZX3983       	1	19950710	G	5312	002440024I	BULKHEAD        			BEECH 	58    	58TC        	1152746	CE  										FS 271.92	CRACKED         	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	01	60234	2229 				TK92				DURING ROUTINE MAINTENANCE CRACKS WERE FOUND IN AFT BULKHEAD (FS 271.92) AT LOWER LT AND RT CORNERS OF CUT-OUT AREA FOR 	STUB SPAR.  BEECH SI0090 R2 DEALS WITH THIS SUBJECT, BUT ONLY APPLIES TO EARLIER AIRCRAFT S/N.  BOTH CRACKS WERE LESS TH	AN .25 INCH, SO ALL 4 CORNERS OF BULKHEAD CUT-OUT WERE REWORKED PER BEECH SI0990 R2.				1	L	7	2 	3O				A23CE   					 
1995081100913	19950811	00913	CE  	1995	8	11	95ZZZX3984       	1	19950710	G	5511	00244002415	STUB SPAR       			BEECH 	58    	58TC        	1152746	CE  										HORIZ STAB	DAMAGED         	D				K				NONE                    				W			INADEQUATE Q C            			IN	INSP/MAINT     	1			SW	01	60234	2229 				TK92				DURING ROUTINE MAINTENANCE, DAMAGE TO HORIZ STABILIZER REAR STUB SPAR WAS FOUND.  CAUSE OF DAMAGE WAS CONTACT TO UPPER S	URFACE WITH DRILL BIT WHILE DRILLING HOLES THROUGH BULKHEAD FLANGE.  SUSPECT DAMAGE MAY HAVE OCCURRED AT FACTORY.  BEECH	 SI0990 R2 CALLS ANY DAMAGE TO REAR SPAR CAUSE FOR REPLACEMENT OF SPAR.  REPLACED REAR STUB SPAR WITH NEW PART.  SUBMITT	ER SUGGESTS USING EXTREME CARE WHEN REMOVING HUCK LOCK BOLTS.  NO OVERSIZE BOLTS ARE AVAILABLE AND NO SUBSTITUTIONS ARE 	ALLOWED.  HOLES MUST MAINTAIN AN INTERFERENCE FIT OR BULKHEAD MUST BE REPLACED.		1	L	7	2 	3O				A23CE   					 
1995081100914	19950811	00914		1995	8	11	95ZZZX3985       	2	19950718	G	7322	16A108	GASKET          	FACET       	MA4SPA      															CARB INLET	LEAKING         	B			OL3R	K				NONE                    				K			FLUID LOSS                			IN	INSP/MAINT     	1			WP	27			20   		BL2714598					CARBURETOR LEAKING AT INLET FITTING DUE TO LACK OF THREAD LUBE (SEALANT).  GASKET PN 16-A108 IS INSTALLED IN FITTING.																			 
1995081100915	19950811	00915		1995	8	11	95ZZZX3986       	4	19950727	G	3452	088031140003	KNOB            	BENDIX      	KT76A       	BBAVIA	8     	8GCBC       	1220803	SW  										XPONDER ON-OFF	BROKE           	D				K				NONE                    				O			OTHER                     			NR	NOT REPORTED   	1			CE	01	88287					10374				ON FIRST FLIGHT AFTER INSTALLATION, THE ON-OFF-MODE C SELECTOR BROKE OFF IN PILOT'S HAND.  THIS IS THE THIRD TIME THERE 	HAVE BEEN BROKEN KNOBS ON THE 'NEW STYLE' FACEPLATE FOR THE KT76A.  ALL THREE OCCURRENCES HAVE HAPPENED WITHIN ONE MONTH	.				1	H	7	1 	3O				A21CE   					 
1995081100916	19950811	00916	SO  	1995	8	11	95ZZZX3987       	2	19950723	G	8520	649134SP	CRANKSHAFT      			CESSNA	188   	T188C       	2073012	CE  	CONT  	O520  	TSIO520T    	17040	SO  					NR 2-3 CYLS	BROKE           	D				A				UNSCHED LANDING         				O			OTHER                     			CR	CRUISE         	1			SO	09	2158J	442  			B099417	T18803395T	511683			NEW V.A.R. CRANKSHAFT BROKE BETWEEN NR 2  AND NR 3 CYLINDERS.  THIS CRANKSHAFT HAD A TOTAL TIME OF 442 HOURS SINCE NEW. 	 FAILURE WAS IN-FLIGHT AND PILOT MADE SAFE LANDING WITH NO DAMAGE TO AIRCRAFT OR PROPERTY.  THIS APPEARS TO BE A DEFECTI	VE CRANKSHAFT.				1	L	7	1 	3O	3	O		A9CE    	E8CE				 
1995081100917	19950811	00917		1995	8	11	95ZZZX3988       	4	19950710	G	2562	0025004	BATTERY         	ARTEX       	EAGLE       	BEECH 	55    	95B55       	1152706	CE  										ELT	RUPTURED        	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	07	213RG				8795	TC655				ELT BATTERY, ARTEX PN 00-25-004, RUPTURED CAUSING SEVERE CORROSION TO RADIO AND CASE.  RADIO WAS DAMAGED BEYOND REPAIR. 	 THIS IS THE THIRD OCCURRENCE OF THIS PROBLEM WITH ARTEX BRAND BATTERIES, (2 IN MARTECH ELT'S AND 1 IN NARCO ELT-10).  I	N THE NARCO INSTALLATION, SUBSTANTIAL CORROSION DAMAGE TO A/C SKIN BELOW ELT OCCURRED.  SUBMITTER RECOMMENDS EVALUATION 	OF ARTEX QC STANDARDS AND PROCEDURES BE MADE.  TIS OF AFFECTED BATTERIES WAS LESS THAN THE REPLACEMENT DATE.			1	L	7	2 	3O				3A16    					 
1995081100918	19950811	00918	CE  	1995	8	11	95ZZZX3989       	1	19950712	G	3260	YZ2RN7T	SWITCH          			CESSNA	210   	T210N       	2073456	CE  										LT MLG UPLOCK	BROKEN          	D				A				UNSCHED LANDING         				P			NO WARNING INDICATION     			CL	CLIMB          	1			SW	01	7213N	1333 				21063207				LANDING GEAR RETRACTED, GEAR MOTOR SHUT OFF, BUT HAD NO UP AND LOCKED INDICATION.  AIRCRAFT RETURNED AFTER AN UNEVENTFUL	 LANDING.  INVESTIGATION REVEALED LT UPLOCK MICROSWITCH HOUSING BROKEN IN HALF.  SUSPECT CAUSE, MICROSWITCH HOUSING MADE	 OF PLASTIC, CRACKED AND BROKEN IN HALF DUE TO TIME IN SERVICE OF SWITCH - 16 YEARS.				1	H	7	1 	3O				3A21    					 
1995081100919	19950811	00919	SO  	1995	8	11	95ZZZX3990       	1	19950629	G	3230	AN625	BOLT            			PIPER 	PA28  	PA28R201T   	7102813	SO  										NLG UP DRAG LINK	CRACKED         	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	07	93CC	1458 				28R7803157				WHILE COMPLYING WITH AD 94-14-14, THE UPPER DRAG LINK BOLTS WERE FOUND CRACKED AND STRETCHED.  SUBMITTER SUGGESTS THESE 	BOLTS BE REPLACED AS PART OF PIPER SL 988.					1	L	7	1 	3O				2A13    					 
1995081100920	19950811	00920	CE  	1995	8	11	95ZZZX3991       	1	19950703	G	2841	813192	INDICATOR       	STWARNER    		CESSNA	206   	P206        	2073304	CE  										RT FUEL QTY	FAILED          	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	17	4678F	2722 				P2060278				INVESTIGATION OF THE PROBLEM WITH THE RIGHT FUEL GAUGE SHOWING FULL ALL THE TIME, REVEALED THE GAUGE ITSELF IS INOP.  RE	PLACEMENT OF THE GAUGE ONLY, CORRECTED THE PROBLEM.  THE ONLY COMMENT IS THAT THE AGE OF THE GAUGE MORE THAN THE TOTAL T	IME CAUSED THE PROBLEM.  THE GAUGE IS ORIGINAL EQUIPMENT AND THE AIRCRAFT IS A 1966 MODEL.				1	H	7	1 	3O				A4CE    					 
1995081100921	19950811	00921	CE  	1995	8	11	95ZZZX3992       	1	19950724	G	5751	122005212	BRACKET         			CESSNA	206   	TU206A      	2073318	CE  										AILERON HINGE	CRACKED         	E				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	01	4831F	6846 				U2060531				INSPECTION FOUND AILERON HINGE BRACKET CRACKED IN LOWER FORWARD BEND RADIUS.						1	H	7	1 	3O				A4CE    					 
1995081100922	19950811	00922	CE  	1995	8	11	95ZZZX3993       	1	19950724	G	5751	122005211	BRACKET         			CESSNA	206   	TU206A      	2073318	CE  										AILERON HINGE	CRACKED         	E				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	01	4831F	6846 				U2060531				INSPECTION FOUND AILERON LOWER FORWARD HINGE BRACKET CRACKED.						1	H	7	1 	3O				A4CE    					 
1995081100923	19950811	00923	CE  	1995	8	11	95ZZZX3994       	1	19950724	G	5751	122005311	BRACKET         			CESSNA	206   	TU206A      	2073318	CE  										AILERON HINGE	CRACKED         	E				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	01	4831F	6846 				U2060531				INSPECTION FOUND AILERON HINGE BRACKET CRACKED IN LOWER FORWARD BEND RADIUS.						1	H	7	1 	3O				A4CE    					 
1995081100924	19950811	00924	CE  	1995	8	11	95ZZZX3995       	1	19950724	G	5751	122005312	BRACKET         			CESSNA	206   	TU206A      	2073318	CE  										AILERON HINGE	CRACKED         	E				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	01	4831F	6846 				U2060531				INSPECTION FOUND AILERON HINGE BRACKET CRACKED IN LOWER FORWARD BEND RADIUS.						1	H	7	1 	3O				A4CE    					 
1995081800054	19950818	00054	CE  	1995	8	18	95ZZZX3996       	1	19950720	G	3242	B301072	TORQUE PLATE    			CESSNA	185   	A185F       	2072821	CE  										RT MLG BRAKE	CRACKED         	G		A		K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			WP	17	23FG	7289 				18504035				RIGHT MLG WHEEL REMOVED FOR ROUTINE TIRE CHANGE.  BRAKE CALIPER DIFFICULT TO REMOVE FROM TORQUE PLATE.  FURTHER INVESTIG	ATION FOUND TORQUE PLATE CRACKED AND TWISTED AT PIN BUSHING TO PLATE AREA.  BUSHINGS APPEAR TO BE PRESSED ONTO PLATE.  S	IMILAR CLEVELAND TORQUE PLATE BUSHINGS ARE WELDED TO PLATE RESULTING IN A STRONGER PLATE ASSY.				1	H	7	1 	3O				3A24    					 
