Industry	SIC	Total_Code	Data_Type	Total	"0-49,999"	"50,000-99,999"	"100,000-499,999"	"500,000-999,999"	"1,000,000-2,999,999"	"<3,000,000"	"3,000,000-4,999,999"	"<5,000,000"	"5,000,000-7,499,999"	"<7,500,000"	"7,500,000-24,999,999"	"25,000,000-99,999,999"	"100,000,000+"
Cereal Breakfast Foods	2043	2	Ann. Payroll	695841	0	         (D)	         (D)	         (D)	1315	1634	         (D)	         (D)	         (D)	         (D)	5853	         (D)	660039
Cereal Breakfast Foods	2043	2	Est. Receipts	8849298	0	         (D)	         (D)	         (D)	10374	15698	         (D)	         (D)	         (D)	         (D)	45704	         (D)	8541907
Rice Milling	2044	2	Firms	59	1	0	1	2	10	14	9	23	4	27	13	9	10
Rice Milling	2044	2	Establishments	69	1	0	1	2	10	14	9	23	5	28	13	10	18
Rice Milling	2044	2	Employment	4812	         [a]	0	         [a]	         [a]	         [b]	96	100	196	90	286	540	1047	2939
Rice Milling	2044	2	Ann. Payroll	131730	         (D)	0	         (D)	         (D)	         (D)	1598	2815	4413	2871	7284	13164	26308	84974
Rice Milling	2044	2	Est. Receipts	2534615	         (D)	0	         (D)	         (D)	         (D)	21556	32190	53746	19775	73521	193801	396366	1870927
Prepared Flour Mixes & Doughs	2045	2	Firms	207	7	8	32	21	50	118	16	134	10	144	17	15	31
Prepared Flour Mixes & Doughs	2045	2	Establishments	250	7	8	32	21	51	119	17	136	10	146	18	19	67
Prepared Flour Mixes & Doughs	2045	2	Employment	15749	         [a]	         [a]	116	158	820	1108	945	2053	378	2431	958	1627	10733
Prepared Flour Mixes & Doughs	2045	2	Ann. Payroll	481284	         (D)	         (D)	1080	2030	14633	17845	16933	34778	10084	44862	26462	49808	360152
Prepared Flour Mixes & Doughs	2045	2	Est. Receipts	4787872	         (D)	         (D)	9315	14972	95725	120785	62275	183060	59428	242488	164081	432503	3948800
Wet Corn Milling	2046	2	Firms	30	0	0	2	1	5	8	1	9	1	10	5	1	14
Wet Corn Milling	2046	2	Establishments	58	0	0	2	1	5	8	1	9	1	10	6	2	40
Wet Corn Milling	2046	2	Employment	9155	0	0	         [a]	         [a]	         [b]	33	         [a]	         [b]	         [a]	         [b]	146	         [b]	8936
Wet Corn Milling	2046	2	Ann. Payroll	416808	0	0	         (D)	         (D)	         (D)	426	         (D)	         (D)	         (D)	         (D)	5682	         (D)	409335
Wet Corn Milling	2046	2	Est. Receipts	8631312	0	0	         (D)	         (D)	         (D)	8483	         (D)	         (D)	         (D)	         (D)	64359	         (D)	8520607
Dog & Cat Food	2047	2	Firms	130	0	4	21	8	24	57	10	67	8	75	17	17	21
Dog & Cat Food	2047	2	Establishments	192	0	4	21	8	24	57	10	67	8	75	18	21	78
Dog & Cat Food	2047	2	Employment	14348	0	5	39	24	220	288	211	499	215	714	775	1577	11282
Dog & Cat Food	2047	2	Ann. Payroll	503479	0	29	325	537	3792	4683	4273	8956	3380	12336	23363	53845	413935
Dog & Cat Food	2047	2	Est. Receipts	8782247	0	248	4636	6035	43233	54152	41740	95892	47244	143136	169734	560730	7908647
Fees & Feed Ingredients For Animals	2048	2	Firms	1000	5	19	111	119	298	552	90	642	62	704	145	71	80
Fees & Feed Ingredients For Animals	2048	2	Establishments	1555	5	19	111	119	298	552	92	644	68	712	169	118	556
Fees & Feed Ingredients For Animals	2048	2	Employment	32810	3	26	245	540	2601	3415	1418	4833	1423	6256	4894	3836	17824
Fees & Feed Ingredients For Animals	2048	2	Ann. Payroll	985467	77	148	2889	10253	53795	67162	34486	101648	35409	137057	141724	126339	580347
Fees & Feed Ingredients For Animals	2048	2	Est. Receipts	19278525	128	1433	33764	89057	539974	664356	337606	1001962	354725	1356687	1755475	1999612	14166751
Bakery Products	2050	2	Firms	3028	212	251	981	454	541	2439	142	2581	79	2660	189	69	110
Bakery Products	2050	2	Establishments	3517	212	251	982	455	553	2453	162	2615	81	2696	203	94	524
Bakery Products	2050	2	Employment	225734	260	472	5535	6078	14098	26443	6625	33068	4778	37846	20124	18800	148964
Bakery Products	2050	2	Ann. Payroll	6459640	1506	3820	60501	80718	238444	384989	141675	526664	112948	639612	507423	560267	4752338
Bakery Products	2050	2	Est. Receipts	34778060	6020	18760	257143	327885	867563	1477371	519934	1997305	442403	2439708	2207174	2412765	27718413
Bread & Bakery Products Except Cookies & Crackers	2051	2	Firms	2417	172	219	816	374	422	2003	109	2112	57	2169	119	48	81
Bread & Bakery Products Except Cookies & Crackers	2051	2	Establishments	2791	172	219	817	374	429	2011	129	2140	59	2199	125	64	403
Bread & Bakery Products Except Cookies & Crackers	2051	2	Employment	162441	212	427	4763	5055	11410	21867	5356	27223	3599	30822	12358	13324	105937
Bread & Bakery Products Except Cookies & Crackers	2051	2	Ann. Payroll	4597285	1320	3441	53478	66949	194596	319784	112364	432148	88028	520176	319924	400116	3357069
Bread & Bakery Products Except Cookies & Crackers	2051	2	Est. Receipts	21489925	4813	16449	215880	270988	673449	1181579	392063	1573642	315611	1889253	1281534	1627671	16691467
Cookies & Crackers	2052	2	Firms	407	32	17	124	49	67	289	22	311	12	323	38	13	33
Cookies & Crackers	2052	2	Establishments	474	32	17	124	49	72	294	22	316	12	328	40	21	85
Cookies & Crackers	2052	2	Employment	48229	39	28	576	616	1593	2852	810	3662	643	4305	4551	3616	35757
Cookies & Crackers	2052	2	Ann. Payroll	1461699	156	202	5315	7974	25930	39577	19827	59404	13465	72869	108539	108961	1171330
Cookies & Crackers	2052	2	Est. Receipts	10711762	1001	1209	29828	34146	109459	175643	83380	259023	64164	323187	501235	541422	9345918
Frozen Bakery Products Except Bread	2053	2	Firms	230	7	10	40	32	52	141	11	152	10	162	33	8	27
Frozen Bakery Products Except Bread	2053	2	Establishments	245	7	10	40	32	52	141	11	152	10	162	38	9	36
Frozen Bakery Products Except Bread	2053	2	Employment	15064	9	17	196	407	1095	1724	459	2183	536	2719	3215	1860	7270
Frozen Bakery Products Except Bread	2053	2	Ann. Payroll	400532	23	99	1669	5795	17918	25504	9484	34988	11455	46443	78960	51190	223939
Frozen Bakery Products Except Bread	2053	2	Est. Receipts	2575781	173	727	11251	22751	84655	119557	44491	164048	62628	226676	424405	243672	1681028
Sugar & Confectionery Products	2060	2	Firms	960	44	65	239	130	170	648	49	697	34	731	102	65	62
Sugar & Confectionery Products	2060	2	Establishments	1109	44	65	239	130	174	652	49	701	34	735	109	79	186
Sugar & Confectionery Products	2060	2	Employment	88441	37	117	1001	1226	3965	6346	1519	7865	2006	9871	8552	14316	55702
Sugar & Confectionery Products	2060	2	Ann. Payroll	2781868	174	618	9402	15077	58983	84254	33974	118228	46116	164344	237503	375892	2004129
Sugar & Confectionery Products	2060	2	Est. Receipts	27217147	1370	4699	61171	92136	293765	453141	177852	630993	206938	837931	1403822	2600197	22375197
"Cane Sugar, Except Refining"	2061	2	Firms	34	0	0	1	0	4	5	2	7	2	9	5	10	10
"Cane Sugar, Except Refining"	2061	2	Establishments	39	0	0	1	0	4	5	2	7	2	9	5	12	13
"Cane Sugar, Except Refining"	2061	2	Employment	4885	0	0	         [a]	0	         [b]	         [b]	         [b]	         [b]	         [c]	         [c]	         [e]	         [f]	         [h]
"Cane Sugar, Except Refining"	2061	2	Ann. Payroll	157712	0	0	         (D)	0	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)
"Cane Sugar, Except Refining"	2061	2	Est. Receipts	1448466	0	0	         (D)	0	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)
Cane Sugar Refining	2062	2	Firms	12	1	0	2	1	1	5	0	5	1	6	1	0	5
Cane Sugar Refining	2062	2	Establishments	18	1	0	2	1	1	5	0	5	1	6	1	0	11
Cane Sugar Refining	2062	2	Employment	3892	         [a]	0	         [a]	         [a]	         [a]	         [a]	0	         [a]	         [b]	         [b]	         [b]	0	3786
Cane Sugar Refining	2062	2	Ann. Payroll	191636	         (D)	0	         (D)	         (D)	         (D)	         (D)	0	         (D)	         (D)	         (D)	         (D)	0	188562
Cane Sugar Refining	2062	2	Est. Receipts	3209186	         (D)	0	         (D)	         (D)	         (D)	         (D)	0	         (D)	         (D)	         (D)	         (D)	0	3176409
Beet Sugar	2063	2	Firms	9	0	1	0	0	0	1	0	1	0	1	1	1	6
Beet Sugar	2063	2	Establishments	37	0	1	0	0	0	1	0	1	0	1	1	1	34
Beet Sugar	2063	2	Employment	6868	0	         [a]	0	0	0	         [a]	0	         [a]	0	         [a]	         [b]	         [c]	         [i]
Beet Sugar	2063	2	Ann. Payroll	247619	0	         (D)	0	0	0	         (D)	0	         (D)	0	         (D)	         (D)	         (D)	         (D)
Beet Sugar	2063	2	Est. Receipts	2756883	0	         (D)	0	0	0	         (D)	0	         (D)	0	         (D)	         (D)	         (D)	         (D)
Candy & Other Confectionery Products	2064	2	Firms	649	32	56	162	83	128	461	31	492	21	513	65	40	31
Candy & Other Confectionery Products	2064	2	Establishments	718	32	56	162	83	132	465	31	496	21	517	69	47	85
Candy & Other Confectionery Products	2064	2	Employment	53388	         [b]	         [b]	681	911	3328	5038	1092	6130	1516	7646	5808	10660	29274
Candy & Other Confectionery Products	2064	2	Ann. Payroll	1560441	         (D)	         (D)	6824	11130	48798	67349	24294	91643	31023	122666	168403	264585	1004787
Candy & Other Confectionery Products	2064	2	Est. Receipts	12847926	         (D)	         (D)	40254	57670	224695	327661	109669	437330	126698	564028	826278	1582792	9874828
Chocolate & Cocoa Products	2066	2	Firms	152	7	6	59	35	19	126	5	131	2	133	6	6	7
Chocolate & Cocoa Products	2066	2	Establishments	165	7	6	59	35	19	126	5	131	2	133	6	8	18
Chocolate & Cocoa Products	2066	2	Employment	11036	8	         [a]	         [e]	282	308	879	         [c]	         [g]	         [b]	1098	961	1070	7907
Chocolate & Cocoa Products	2066	2	Ann. Payroll	399070	14	         (D)	         (D)	3421	4446	10060	         (D)	         (D)	         (D)	15259	19902	36306	327603
Chocolate & Cocoa Products	2066	2	Est. Receipts	3878756	217	         (D)	         (D)	26117	27998	71153	         (D)	         (D)	         (D)	106127	93161	299920	3379548
Salted & Roasted Nuts & Seeds	2068	2	Firms	116	3	2	15	11	18	49	11	60	8	68	24	9	15
Salted & Roasted Nuts & Seeds	2068	2	Establishments	131	3	2	15	11	18	49	11	60	8	68	27	11	25
Salted & Roasted Nuts & Seeds	2068	2	Employment	8372	0	         [a]	         [b]	         [b]	282	356	210	566	303	869	1290	1406	4807
Salted & Roasted Nuts & Seeds	2068	2	Ann. Payroll	225388	14	         (D)	         (D)	         (D)	4567	5457	5139	10596	9465	20061	35908	29851	139568
Salted & Roasted Nuts & Seeds	2068	2	Est. Receipts	3075904	78	         (D)	         (D)	         (D)	33449	45093	41785	86878	45311	132189	354961	290163	2298591
Fats & Oils	2070	2	Firms	302	2	4	22	18	76	122	23	145	21	166	38	41	57
Fats & Oils	2070	2	Establishments	540	2	4	22	18	76	122	23	145	21	166	44	54	276
Fats & Oils	2070	2	Employment	27424	         [a]	         [a]	50	115	786	954	270	1224	361	1585	1293	2982	21564
Fats & Oils	2070	2	Ann. Payroll	912005	         (D)	         (D)	579	2303	20127	23032	7618	30650	10438	41088	42053	106470	722394
Fats & Oils	2070	2	Est. Receipts	26906780	         (D)	         (D)	6331	14030	135440	156117	88816	244933	122678	367611	465524	1612221	24461424
Cottonseed Oil Mills	2074	2	Firms	20	0	0	1	1	4	6	1	7	0	7	1	7	5
Cottonseed Oil Mills	2074	2	Establishments	35	0	0	1	1	4	6	1	7	0	7	1	7	20
Cottonseed Oil Mills	2074	2	Employment	2004	0	0	         [a]	         [a]	         [b]	         [b]	         [a]	         [b]	0	         [b]	         [b]	633	1260
Cottonseed Oil Mills	2074	2	Ann. Payroll	51536	0	0	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	0	         (D)	         (D)	15851	33222
Cottonseed Oil Mills	2074	2	Est. Receipts	844960	0	0	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	0	         (D)	         (D)	296484	523107
Soybean Oil Mills	2075	2	Firms	65	0	0	2	1	16	19	11	30	5	35	8	6	16
Soybean Oil Mills	2075	2	Establishments	122	0	0	2	1	16	19	11	30	5	35	8	6	73
Soybean Oil Mills	2075	2	Employment	7707	0	0	         [a]	         [a]	128	         [c]	         [b]	         [c]	         [b]	203	83	280	7141
Soybean Oil Mills	2075	2	Ann. Payroll	267723	0	0	         (D)	         (D)	2537	         (D)	         (D)	         (D)	         (D)	3610	2663	11078	250372
Soybean Oil Mills	2075	2	Est. Receipts	16277316	0	0	         (D)	         (D)	29203	         (D)	         (D)	         (D)	         (D)	101659	104268	228400	15842989
"Vegetable Oil Mills Except Corn, Cottonseed, & Soybean"	2076	2	Firms	21	0	0	1	1	4	6	0	6	1	7	2	6	6
"Vegetable Oil Mills Except Corn, Cottonseed, & Soybean"	2076	2	Establishments	29	0	0	1	1	4	6	0	6	1	7	2	7	13
"Vegetable Oil Mills Except Corn, Cottonseed, & Soybean"	2076	2	Employment	1169	0	0	         [a]	         [a]	         [b]	         [b]	0	         [b]	         [a]	         [b]	         [b]	335	713
"Vegetable Oil Mills Except Corn, Cottonseed, & Soybean"	2076	2	Ann. Payroll	44538	0	0	         (D)	         (D)	         (D)	         (D)	0	         (D)	         (D)	         (D)	         (D)	14603	26705
"Vegetable Oil Mills Except Corn, Cottonseed, & Soybean"	2076	2	Est. Receipts	1434276	0	0	         (D)	         (D)	         (D)	         (D)	0	         (D)	         (D)	         (D)	         (D)	267883	1141661
Animal & Marine Fats & Oils	2077	2	Firms	148	2	3	14	14	35	68	7	75	10	85	24	14	25
Animal & Marine Fats & Oils	2077	2	Establishments	254	2	3	14	14	35	68	7	75	10	85	30	21	118
Animal & Marine Fats & Oils	2077	2	Employment	9574	         [a]	         [a]	         [b]	102	457	599	174	773	238	1011	960	953	6650
Animal & Marine Fats & Oils	2077	2	Ann. Payroll	312802	         (D)	         (D)	         (D)	2172	12949	15610	5555	21165	7959	29124	32984	36788	213906
Animal & Marine Fats & Oils	2077	2	Est. Receipts	2773385	         (D)	         (D)	         (D)	10959	59324	74491	28638	103129	56928	160057	310200	375334	1927794
"Shortening, Table Oils, Margarine, & Other Edible Fats & Oils Nec"	2079	2	Firms	64	0	1	4	1	17	23	4	27	5	32	3	9	20
"Shortening, Table Oils, Margarine, & Other Edible Fats & Oils Nec"	2079	2	Establishments	100	0	1	4	1	17	23	4	27	5	32	3	13	52
"Shortening, Table Oils, Margarine, & Other Edible Fats & Oils Nec"	2079	2	Employment	6970	0	         [a]	         [a]	         [a]	127	136	57	193	77	270	119	781	5800
"Shortening, Table Oils, Margarine, & Other Edible Fats & Oils Nec"	2079	2	Ann. Payroll	235406	0	         (D)	         (D)	         (D)	2786	2888	1319	4207	1838	6045	3022	28150	198189
"Shortening, Table Oils, Margarine, & Other Edible Fats & Oils Nec"	2079	2	Est. Receipts	5576843	0	         (D)	         (D)	         (D)	32719	34756	15800	50556	30069	80625	26225	444120	5025873
Beverages	2080	2	Firms	1958	44	77	421	274	411	1227	183	1410	109	1519	190	120	129
Beverages	2080	2	Establishments	2405	44	77	421	274	411	1227	185	1412	111	1523	204	151	527
Beverages	2080	2	Employment	145937	28	105	1334	1551	5229	8247	4147	12394	3120	15514	11640	16005	102778
Beverages	2080	2	Ann. Payroll	5430337	287	847	17299	26251	111290	155974	94440	250414	91295	341709	363145	539147	4186336
Beverages	2080	2	Est. Receipts	68774203	1632	6045	117612	194808	708586	1028683	702265	1730948	648827	2379775	2395500	4668679	59330249
Malt Beverages	2082	2	Firms	505	17	21	142	80	118	378	62	440	21	461	23	10	11
Malt Beverages	2082	2	Establishments	543	17	21	142	80	118	378	63	441	21	462	25	13	43
Malt Beverages	2082	2	Employment	34722	5	31	595	431	1819	2881	1669	4550	790	5340	1879	1245	26258
Malt Beverages	2082	2	Ann. Payroll	1596938	38	436	7153	6303	28549	42479	28934	71413	14254	85667	49789	44595	1416887
Malt Beverages	2082	2	Est. Receipts	18344282	658	1711	39309	54887	200877	297442	236988	534430	126140	660570	283687	273820	17126205
Malt	2083	2	Firms	19	0	2	2	3	0	7	0	7	1	8	2	3	6
Malt	2083	2	Establishments	33	0	2	2	3	0	7	0	7	1	8	2	6	17
Malt	2083	2	Employment	1095	0	         [a]	         [a]	         [a]	0	         [b]	0	         [b]	         [a]	         [b]	         [b]	238	751
Malt	2083	2	Ann. Payroll	46697	0	         (D)	         (D)	         (D)	0	         (D)	0	         (D)	         (D)	         (D)	         (D)	10629	32681
Malt	2083	2	Est. Receipts	678235	0	         (D)	         (D)	         (D)	0	         (D)	0	         (D)	         (D)	         (D)	         (D)	157687	484272
"Wines, Brandy, & Brandy Spirits"	2084	2	Firms	641	23	33	171	107	151	485	48	533	22	555	50	16	20
"Wines, Brandy, & Brandy Spirits"	2084	2	Establishments	691	23	33	171	107	151	485	48	533	24	557	54	23	57
"Wines, Brandy, & Brandy Spirits"	2084	2	Employment	18996	         [a]	         [b]	547	738	2094	3443	1190	4633	642	5275	3175	1478	9068
"Wines, Brandy, & Brandy Spirits"	2084	2	Ann. Payroll	675631	         (D)	         (D)	7277	12325	45313	65248	27160	92408	20641	113049	87778	61179	413625
"Wines, Brandy, & Brandy Spirits"	2084	2	Est. Receipts	6231394	         (D)	         (D)	47917	77239	251950	380644	186680	567324	123991	691315	617287	493634	4429158
Distilled & Blended Liquors	2085	2	Firms	45	0	1	5	3	5	14	0	14	4	18	6	9	12
Distilled & Blended Liquors	2085	2	Establishments	61	0	1	5	3	5	14	0	14	4	18	6	10	27
Distilled & Blended Liquors	2085	2	Employment	6530	0	         [a]	         [a]	         [a]	34	         [b]	0	         [b]	         [c]	         [c]	         [e]	1222	4700
Distilled & Blended Liquors	2085	2	Ann. Payroll	245039	0	         (D)	         (D)	         (D)	935	         (D)	0	         (D)	         (D)	         (D)	         (D)	42224	186256
Distilled & Blended Liquors	2085	2	Est. Receipts	3904854	0	         (D)	         (D)	         (D)	8237	         (D)	0	         (D)	         (D)	         (D)	         (D)	572447	3207551
Bottled & Canned Soft Drinks & Carbonated Waters	2086	2	Firms	508	2	13	61	53	73	202	52	254	39	293	74	69	72
Bottled & Canned Soft Drinks & Carbonated Waters	2086	2	Establishments	780	2	13	61	53	73	202	52	254	39	293	76	78	333
Bottled & Canned Soft Drinks & Carbonated Waters	2086	2	Employment	75256	         [a]	         [a]	88	235	624	965	955	1920	1140	3060	4065	10091	58040
Bottled & Canned Soft Drinks & Carbonated Waters	2086	2	Ann. Payroll	2469389	         (D)	         (D)	1557	4651	14268	20740	24568	45308	32584	77892	119549	296025	1975923
Bottled & Canned Soft Drinks & Carbonated Waters	2086	2	Est. Receipts	32001302	         (D)	         (D)	17710	38522	136083	193291	202545	395836	238554	634390	864582	2687986	27814344
Flavoring Extracts & Flavoring Syrups Nec	2087	2	Firms	265	2	6	40	28	64	140	21	161	22	183	37	16	29
Flavoring Extracts & Flavoring Syrups Nec	2087	2	Establishments	296	2	6	40	28	64	140	22	162	22	184	41	21	50
Flavoring Extracts & Flavoring Syrups Nec	2087	2	Employment	9338	         [a]	         [a]	86	121	658	871	333	1204	429	1633	2013	1731	3961
Flavoring Extracts & Flavoring Syrups Nec	2087	2	Ann. Payroll	396634	         (D)	         (D)	1125	2734	22225	26122	13778	39900	19747	59647	91528	84495	160964
Flavoring Extracts & Flavoring Syrups Nec	2087	2	Est. Receipts	7614053	         (D)	         (D)	10595	20141	111439	142671	76052	218723	132018	350741	511488	483105	6268719
Miscellaneous Food Preparations & Kindred Products	2090	2	Firms	3612	177	213	918	554	737	2599	236	2835	162	2997	311	159	145
Miscellaneous Food Preparations & Kindred Products	2090	2	Establishments	4090	177	213	920	555	742	2607	248	2855	175	3030	362	237	461
Miscellaneous Food Preparations & Kindred Products	2090	2	Employment	173391	160	260	3228	4701	13099	21448	8911	30359	7566	37925	23434	26447	85585
Miscellaneous Food Preparations & Kindred Products	2090	2	Ann. Payroll	4500296	891	2776	39444	71940	234894	349945	164762	514707	167260	681967	588442	719272	2510615
Miscellaneous Food Preparations & Kindred Products	2090	2	Est. Receipts	41542007	5508	15891	240225	400432	1260128	1922184	873692	2795876	954025	3749901	3825936	5781284	28184886
Canned & Cured Fish & Seafoods	2091	2	Firms	155	7	7	42	25	31	112	6	118	3	121	17	10	7
Canned & Cured Fish & Seafoods	2091	2	Establishments	166	7	7	42	25	31	112	6	118	3	121	17	15	13
Canned & Cured Fish & Seafoods	2091	2	Employment	4785	5	11	108	288	329	741	         [e]	         [g]	         [c]	1253	869	1744	919
Canned & Cured Fish & Seafoods	2091	2	Ann. Payroll	121556	18	45	1088	2513	7001	10665	         (D)	         (D)	         (D)	19138	22012	53682	26724
Canned & Cured Fish & Seafoods	2091	2	Est. Receipts	887601	221	493	11669	17500	46554	76437	         (D)	         (D)	         (D)	116703	200512	347307	223079
Prepared Fresh Or Frozen Fish & Seafoods	2092	2	Firms	591	9	20	95	76	149	349	61	410	40	450	70	48	23
Prepared Fresh Or Frozen Fish & Seafoods	2092	2	Establishments	676	9	20	95	76	149	349	70	419	40	459	82	71	64
Prepared Fresh Or Frozen Fish & Seafoods	2092	2	Employment	37009	4	23	300	541	3176	4044	2624	6668	1578	8246	5355	10114	13294
Prepared Fresh Or Frozen Fish & Seafoods	2092	2	Ann. Payroll	769307	27	145	2217	7511	46010	55910	41085	96995	34741	131736	127617	242040	267914
Prepared Fresh Or Frozen Fish & Seafoods	2092	2	Est. Receipts	6170445	323	1516	25600	57091	262612	347142	223224	570366	240297	810663	966003	2022068	2371711
Roasted Coffee	2095	2	Firms	190	3	6	27	17	43	96	20	116	12	128	34	6	22
Roasted Coffee	2095	2	Establishments	214	3	6	27	17	43	96	20	116	13	129	36	6	43
Roasted Coffee	2095	2	Employment	10490	0	4	58	41	369	472	287	759	258	1017	1725	666	7082
Roasted Coffee	2095	2	Ann. Payroll	366649	11	87	742	587	7407	8834	7090	15924	6326	22250	58215	22896	263288
Roasted Coffee	2095	2	Est. Receipts	7179978	52	464	8379	12191	69977	91063	77903	168966	72001	240967	439578	259854	6239579
"Potato Chips, Corn Chips, & Similar Snacks"	2096	2	Firms	309	10	5	69	47	73	204	24	228	18	246	28	15	20
"Potato Chips, Corn Chips, & Similar Snacks"	2096	2	Establishments	376	10	5	69	47	73	204	24	228	19	247	32	23	74
"Potato Chips, Corn Chips, & Similar Snacks"	2096	2	Employment	35677	14	5	187	396	1217	1819	818	2637	1007	3644	2432	2970	26631
"Potato Chips, Corn Chips, & Similar Snacks"	2096	2	Ann. Payroll	1029851	24	33	1962	4795	22225	29039	14244	43283	22011	65294	63870	85774	814913
"Potato Chips, Corn Chips, & Similar Snacks"	2096	2	Est. Receipts	9277115	329	379	18852	34115	136321	189996	96362	286358	98429	384787	384665	552029	7955634
Manufactured Ice	2097	2	Firms	517	60	61	226	78	56	481	15	496	5	501	11	2	3
Manufactured Ice	2097	2	Establishments	585	60	61	228	78	59	486	17	503	8	511	23	7	44
Manufactured Ice	2097	2	Employment	4865	54	89	912	743	983	2781	533	3314	241	3555	         [f]	         [b]	666
Manufactured Ice	2097	2	Ann. Payroll	115766	365	1451	15784	16505	26825	60930	14960	75890	8198	84088	         (D)	         (D)	19047
Manufactured Ice	2097	2	Est. Receipts	430290	1937	4565	55210	53875	93875	209462	49877	259339	24045	283384	         (D)	         (D)	85213
"Macaroni, Spaghetti, Vermicelli, & Noodles"	2098	2	Firms	256	4	15	76	59	68	222	10	232	2	234	6	7	9
"Macaroni, Spaghetti, Vermicelli, & Noodles"	2098	2	Establishments	272	4	15	76	59	68	222	10	232	2	234	7	9	22
"Macaroni, Spaghetti, Vermicelli, & Noodles"	2098	2	Employment	6338	4	17	199	378	649	1247	         [e]	         [g]	         [b]	1693	         [e]	         [g]	3281
"Macaroni, Spaghetti, Vermicelli, & Noodles"	2098	2	Ann. Payroll	168014	13	123	2034	5619	9727	17516	         (D)	         (D)	         (D)	26383	         (D)	         (D)	96711
"Macaroni, Spaghetti, Vermicelli, & Noodles"	2098	2	Est. Receipts	1716567	194	1242	22259	44720	103611	172026	         (D)	         (D)	         (D)	220375	         (D)	         (D)	1104494
Food Preparations Nec	2099	2	Firms	1616	77	99	377	252	317	1122	100	1222	83	1305	146	74	91
Food Preparations Nec	2099	2	Establishments	1787	77	99	377	253	318	1124	101	1225	90	1315	165	106	201
Food Preparations Nec	2099	2	Employment	74227	79	111	1464	2314	6376	10344	3972	14316	4201	18517	12190	9808	33712
Food Preparations Nec	2099	2	Ann. Payroll	1928939	378	892	15533	34410	115624	166837	75227	242064	90800	332864	296838	277219	1022018
Food Preparations Nec	2099	2	Est. Receipts	15877147	2300	7232	96752	180940	545970	833194	365014	1198208	491950	1690158	1726554	2255259	10205176
Tobacco Products	2100	2	Firms	107	4	7	22	12	16	61	6	67	1	68	8	11	20
Tobacco Products	2100	2	Establishments	185	4	7	22	12	16	61	7	68	1	69	9	14	93
Tobacco Products	2100	2	Employment	44137	         [b]	         [a]	65	         [b]	272	438	         [e]	         [f]	         [b]	763	667	1769	40938
Tobacco Products	2100	2	Ann. Payroll	2425584	         (D)	         (D)	1453	         (D)	3252	6597	         (D)	         (D)	         (D)	13159	18247	41068	2353110
Tobacco Products	2100	2	Est. Receipts	36626849	         (D)	         (D)	5236	         (D)	26849	41328	         (D)	         (D)	         (D)	68131	84264	468654	36005800
Cigarettes	2110	2	Firms	11	1	0	2	0	1	4	0	4	0	4	1	0	6
Cigarettes	2110	2	Establishments	16	1	0	2	0	1	4	0	4	0	4	1	0	11
Cigarettes	2110	2	Employment	21376	         [a]	0	         [a]	0	         [b]	         [b]	0	         [b]	0	         [b]	         [b]	0	21221
Cigarettes	2110	2	Ann. Payroll	1230999	         (D)	0	         (D)	0	         (D)	         (D)	0	         (D)	0	         (D)	         (D)	0	1227941
Cigarettes	2110	2	Est. Receipts	29444735	         (D)	0	         (D)	0	         (D)	         (D)	0	         (D)	0	         (D)	         (D)	0	29430858
Cigarettes	2111	2	Firms	11	1	0	2	0	1	4	0	4	0	4	1	0	6
Cigarettes	2111	2	Establishments	16	1	0	2	0	1	4	0	4	0	4	1	0	11
Cigarettes	2111	2	Employment	21376	         [a]	0	         [a]	0	         [b]	         [b]	0	         [b]	0	         [b]	         [b]	0	21221
Cigarettes	2111	2	Ann. Payroll	1230999	         (D)	0	         (D)	0	         (D)	         (D)	0	         (D)	0	         (D)	         (D)	0	1227941
Cigarettes	2111	2	Est. Receipts	29444735	         (D)	0	         (D)	0	         (D)	         (D)	0	         (D)	0	         (D)	         (D)	0	29430858
Cigars	2120	2	Firms	37	0	3	3	8	7	21	3	24	1	25	4	3	5
Cigars	2120	2	Establishments	39	0	3	3	8	7	21	3	24	1	25	4	3	7
Cigars	2120	2	Employment	3857	0	         [a]	         [a]	         [b]	         [c]	232	         [c]	         [e]	         [b]	476	326	404	2651
Cigars	2120	2	Ann. Payroll	92749	0	         (D)	         (D)	         (D)	         (D)	3409	         (D)	         (D)	         (D)	8240	10446	7941	66122
Cigars	2120	2	Est. Receipts	1146064	0	         (D)	         (D)	         (D)	         (D)	18874	         (D)	         (D)	         (D)	35234	44290	119293	947247
Cigars	2121	2	Firms	37	0	3	3	8	7	21	3	24	1	25	4	3	5
Cigars	2121	2	Establishments	39	0	3	3	8	7	21	3	24	1	25	4	3	7
Cigars	2121	2	Employment	3857	0	         [a]	         [a]	         [b]	         [c]	232	         [c]	         [e]	         [b]	476	326	404	2651
Cigars	2121	2	Ann. Payroll	92749	0	         (D)	         (D)	         (D)	         (D)	3409	         (D)	         (D)	         (D)	8240	10446	7941	66122
Cigars	2121	2	Est. Receipts	1146064	0	         (D)	         (D)	         (D)	         (D)	18874	         (D)	         (D)	         (D)	35234	44290	119293	947247
