#
#
# Rdb file of RASA References in RASA 1996 bibliography
# WRIR 97-4074
# This bibliography lists 1,093 reports resulting 
# from various studies of the program.
#
#
number	authors	date	title	rest
06.44	Tibbals, C.H.	1990	Hydrology of the Floridan aquifer system in east-central Florida	U.S. Geological Survey Professional Paper 1403-E, 98 p.
06.45	Tibbals, C.H., and Grubb, H.F.	1982	Aquifer test results, Green Swamp area, Florida	U.S. Geological Survey Water-Resources Investigations Report 82-35, 29 p.
12.01	Bedinger, M.S., Harrill, J.R., Langer, W.H., Thomas, J.M., and Mulvihill, D.A.	1985	Maps showing ground-water levels, springs, and depth to ground water, Basin and Range Province, Nevada	U.S. Geological Survey Water-Resources Investigations Report 83-4119-B, scale 1:500,000.
12.02	Bedinger, M.S., Harrill, J.R., and Thomas J.M.	1985	Maps showing ground-water units and withdrawal, Basin and Range Province, Nevada	U.S. Geological Survey Water-Resources Investigations Report 83-4119-A, scale 1:500,000.
12.03	Bunch, R.L., and Harrill, J.R.	1984	Compilation of selected hydrologic data from the MX missile-siting investigation, east-central Nevada and western Utah	U.S. Geological Survey Open-File Report 84-702, 123 p.
12.04	Campana, M.E., and Boone, R.L.	1986	Hydrologic monitoring of subsurface flow and ground-water recharge in a mountain watershed	American Water Resources Association Symposium on Cold Regions Hydrology, Fairbanks, Alaska, July 1986, Proceedings, p. 263-273.
12.05	Carey, A.E., and Prudic, D.E.	1996	Documentation of model input and output values for simulation of pumping effects in Paradise Valley, a basin tributary to the Humboldt River, Humboldt County, Nevada	U.S. Geological Survey Open-File Report 92-491, 4 p., 1 diskette.
12.06	Carlton, S.M.	1985	Fish Springs multibasin flow system, Nevada and Utah	University of Nevada, Reno, Master of Science Thesis 1941, 103 p.
12.07	Carlton, S.M., and Thomas, J.M.	1987	Documentation for a digital computer model of the basin-fill aquifer in Smith Creek Valley, Lander County, Nevada	U.S. Department of Commerce National Technical Information Service, PB-87 142 899 (text) and PB-87 142 907 (magnetic tape), 6 p., 1 magnetic tape.
12.08	Carman, R.L.	1989	Data on evapotranspiration in phreatophyte areas, Smith Creek Valley and Carson Desert, west-central Nevada, 1983	U.S. Department of Commerce National Technical Information Service, PB-89 167 399 (text) and PB-89 167 407 (magnetic tape).
12.09	Carman, R.L.	1994	Measurement of evapotranspiration in phreatophyte areas, Smith Creek Valley and Carson Desert, west-central Nevada, 1983	U.S. Geological Survey Water-Resources Investigations Report 89-4118, 18 p.
12.10	Dettinger, M.D.	1989	Reconnaissance estimates of natural recharge to desert basins in Nevada, U.S.A., by using chloride-balance calculations	Journal of Hydrology, v. 106, no. 1-2, p. 55-78.
12.11	Gates, J.S.	1984	Hydrogeology of northwestern Utah and adjacent parts of Idaho and Nevada	Utah Geological Association Publication 13, p. 239-248.
12.12	Gates, J.S.	1987	Ground water in the Great Basin, part of the Basin and Range Province, western Utah, in Cenozoic geology of western Utah--Sites for Precious Metal and Hydrocarbon Accumulations	Utah Geological Association Publication 16, p. 75-89.
12.13	Gates, J.S., and Bedinger, M.S.	1988	Ground-Water flow systems of western Utah, in McLean, J.S., and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Western Mountain Area	American Water Resources Association Monograph Series, no. 14, p. 37-55.
12.14	Hines, L.B.	1992	Quantification of natural ground-water evaporation in Smith Creek Valley, Lander County, Nevada, in Subitzky, Seymour, ed., Selected papers in the hydrologic sciences, 1988-92	U.S. Geological Survey Water-Supply Paper 2340, p. 9-20.
12.15	Harrill, J.R.	1984	Great Basin aquifer systems, Nevada-Utah--an overview, in Repogle, J.A., and    Renard, K.G., eds., Water Today and Tomorrow	American Society of Civil Engineers Irrigation and Drainage Division Specialty Conference, Flagstaff, Arizona, July 1984, Proceedings, p. 590-597.
12.16	Harrill, J.R.	1986	Great Basin regional aquifer-system study, in Sun, R.J., ed., Regional Aquifer-System Analysis Program of the U.S. Geological Survey--summary of projects, 1978-84	U.S. Geological Survey Circular 1002, p. 146-151.
12.17	Harrill, J.R., Gates, J.S., and Thomas, J.M.	1988	Major ground-water flow systems in the Great Basin region of Nevada, Utah, and adjacent states	U.S. Geological Survey Hydrologic Investigations Atlas HA-694-C, scale 1:100,000, 2 sheets.
12.18	Harrill, J.R., Gates, J.S., Thomas, J.M., and Mifflin, M.D.	1988	Ground-water flow systems in the Great Basin, in Back, William, Rosenshein, J.S., and Seaber, P.R., eds., Hydrogeology	Boulder, Colorado, Geological Society of America, Geology of North America, v. O-2, plate 3, scale 1:1,000,000.
12.19	Harrill, J.R., and Hines, L.B.	1995	Estimated natural ground-water recharge, discharge, and budget for the Dixie Valley area, west-central Nevada	U.S. Geological Survey Water-Resources Investigations Report 95-4052, 12 p.
12.20	Harrill, J.R., and Preissler, A.M.	1994	Ground-water flow and simulated response to several developmental scenarios in Stagecoach Valley--a small partly-drained basin in Lyon and Storey Counties, Nevada	U.S. Geological Survey Professional Paper 1409-H, 74 p.
12.21	Harrill, J.R., Welch, A.H., and Preissler, A.M.	1984	Hydrogeologic controls on ground-water flow in Stagecoach Valley, Nevada, in Lintz, Joseph, Jr., ed., Western Geological Excursions	Reno, Nevada, University of Nevada, Mackay School of Mines, v. 3, p. 117-120.
12.22	Harrill, J.R., Welch, A.H., and Preissler, A.M.	1992	Hydrogeochemical evidence for subsurface inflow to Stagecoach Valley, Lyon County, Nevada, in Subitzky, Seymour, ed., Selected papers in the hydrologic sciences	U.S. Geological Survey Water-Supply Paper 2340, p. 179-193.
12.23	Harrill, J.R., Welch, A.H., Prudic, D.E., Thomas, J.M., Carman, R.L., Plume, R.W., Gates, J.S., and Mason, J.L.	1983	Aquifer systems in the Great Basin region of Nevada, Utah, and adjacent states--a study plan	U.S. Geological Survey Open-File Report 82-445, 49 p.
12.24	Mason, J.L.	1998	Ground-water hydrology and simulated effects of development in the Milford area, an arid basin in southwestern Utah	U.S. Geological Survey Professional Paper 1409-G, 69 p.
12.25	Mason, J.L., Atwood, John, and Buettner, Priscilla	1985	Selected test well data from the MX missile system study, Tooele, Millard, Beaver, and Iron Counties, Utah	U.S. Geological Survey Open-File Report 85-347, 13 p.
12.26	Plume, R.W.	1989	Use of aeromagnetic data to define boundaries of a carbonate-rock aquifer in east-central Nevada, in Subitzky, Seymour, ed., Selected papers in the hydrologic sciences	U.S. Geological Survey Water-Supply Paper 2330, p. 1-10.
12.27	Plume, R.W.	1996	Hydrogeologic framework of aquifer systems in the Great Basin region of Nevada, Utah, and adjacent states	U.S. Geological Survey Professional Paper 1409-B, 64 p.
12.28	Plume, R.W., and Carlton, S.M.	1988	Hydrogeology of the Great Basin region of Nevada, Utah, and adjacent states	U.S. Geological Survey Hydrologic Investigations Atlas HA-694-A, scale 1:100,000.
12.29	Prudic, D.E.	1989	Documentation of a computer program to simulate stream-aquifer relations using a modular, finite-difference, ground-water flow model	U.S. Geological Survey Open-File Report 88-729, 113 p.
12.30	Prudic, D.E., and Wood, J.L.	1995	Results of hypothetical ground-water pumping in Carson Valley, a river-dominated basin in Douglas County, Nevada, and Alpine County, California	U.S. Geological Survey Water-Resources Investigations Report 95-4174, 29 p.
12.31	Prudic, D.E., Harrill, J.R., and Burbey, T.J.	1995	Conceptual evaluation of regional ground-water flow in the carbonate-rock province of the Great Basin, Nevada, Utah, and adjacent states	U.S. Geological Survey Professional Paper 1409-D, 102 p. 
12.32	Prudic, D.E., and Herman, M.E.	1996	Ground-water hydrology and simulated effects of development in Paradise Valley, a basin tributary to the Humboldt River in Humboldt County, Nevada	U.S. Geological Survey Professional Paper 1409-F, 92 p.
12.33	Robbins, S.L., Prudic, D.E., Schaefer, D.H., and Clutsom, F.G.	1985	Principal facts and density estimates for borehole gravity stations in three water wells located in Dixie and Paradise Valleys, Nevada	U.S. Geological Survey Open-File Report 85-426, 20 p.
12.34	Schaefer, D.H.	1988	Bouguer gravity anomaly maps of Paradise, Stagecoach, Dixie, Fairview, and Stingaree Valleys, northwestern Nevada	U.S. Geological Survey Geophysical Investigations Map GP-985, scale 1:62,500, 1:100,000, and 1:200,000.
12.35	Schafer, D.H.	1993	Documentation of model input and output values for simulation of regional ground-water flow, carbonate-rock province, Nevada, Utah, and adjacent states	U.S. Geological Survey Open-File Report 93-420, 4 p. (Replaces OFR 91-479)
12.36	Schaefer, D.H., Duffrin, B.G., and Plume, R.W.	1985	Principal facts for gravity stations in Paradise and Stagecoach Valleys, Humboldt and Lyon Counties, Nevada	U.S. Geological Survey Open-File Report 85-694, 15 p.
12.37	Schaefer, D.H., Thomas, J.M., and Duffrin, B.G.	1984	Principal facts for gravity stations in Dixie, Fairview, and Stingaree Valleys, Churchill and Pershing Counties, Nevada	U.S. Geological Survey Open-File Report 84-586, 15 p.
12.38	Schulke, D.F., ed.	1987	Great Basin recharge studies	University of Nevada, Desert Research Institute Publication no. 41104, 127 p.
12.39	Thomas, J.M., Welch, A.H., and Dettinger, M.D.	1996	Geochemistry and isotope hydrology of representative aquifers in the Great Basin region of Nevada, Utah, and adjacent states	U.S. Geological Survey Professional Paper 1409-C, 100 p.
12.40	Thomas, J.M., Carlton, S.M., and Hines, L.B.	1989	Ground-water hydrology and simulated effects of development in Smith Creek Valley, a hydrologically closed basin in Lander County, Nevada	U.S. Geological Survey Professional Paper 1409-E, 57 p.
12.41	Thomas, J.M., Mason, J.L., and Crabtree, J.D.	1986	Ground-water levels in the Great Basin region of Nevada, Utah, and adjacent states	U.S. Geological Survey Hydrologic Investigations Atlas HA-694-B, scale 1:1,000,000, 2 sheets.
12.42	Thomas, J.M., Welch, A.H., and Preissler, A.M.	1989	Geochemical evolution of ground water in Smith Creek Valley--a hydrologically closed basin in central Nevada, U.S.A.	Applied Geochemistry, v. 4, p. 493-510.
12.43	Welch, A.H., and Williams, R.L.	1986a	Data on ground-water quality for the Millett 1 degree by 2 degree quadrangle, central Nevada	U.S. Geological Survey Open-File Report 85-648-A, scale 1:250,000.
12.44	Welch, A.H., and Williams, R.L.	1986b	Data on ground-water quality for the Elko 1 degree by 2 degree quadrangle, eastern Nevada	U.S. Geological Survey Open-File Report 85-648-B, scale 1:250,000.
12.45	Welch, A.H., and Williams, R.L.	1986c	Data on ground-water quality for the Ely 1 degree by 2 degree quadrangle, eastern Nevada	U.S. Geological Survey Open-File Report 85-648-C, scale 1:250,000.
12.46	Welch, A.H., and Williams, R.L.	1986d	Data on ground-water quality for the Lund 1 degree by 2 degree quadrangle, eastern Nevada	U.S. Geological Survey Open-File Report 85-648-D, scale 1:250,000.
12.47	Welch, A.H., and Williams, R.P.	1987a	Data on ground-water quality for the McDermitt 1 degree by 2 degree quadrangle, northern Nevada	U.S. Geological Survey Open-File Report 85-648-E, scale 1:250,000.
12.48	Welch, A.H., and Williams, R.P.	1987b	Data on ground-water quality for the Lovelock 1 degree by 2 degree quadrangle, western Nevada	U.S. Geological Survey Open-File Report 85-648-F, scale 1:250,000.
12.49	Welch, A.H., and Williams, R.P.	1987c	Data on ground-water quality for the Winnemucca 1 degree by 2 degree quadrangle, central Nevada	U.S. Geological Survey Open-File Report 85-648-G, scale 1:250,000.
12.50	Welch, A.H., and Williams, R.P.	1987d	Data on ground-water quality for the Reno 1 degree by 2 degree quadrangle, western Nevada	U.S. Geological Survey Open-File Report 85-648-H, scale 1:250,000.
12.51	Welch, A.H., and Williams, R.P.	1987e	Data on ground-water quality for the Walker Lake 1 degree by 2 degree quadrangle, western Nevada and eastern California	U.S. Geological Survey Open-File Report 85-648-I, scale 1:250,000.
12.52	Welch, A.H., and Williams, R.P.	1987f	Data on ground-water quality for the Tonopah 1 degree by 2 degree quadrangle, central Nevada	U.S. Geological Survey Open-File Report 85-648-J, scale 1:250,000.
12.53	Welch, A.H., and Williams, R.P.	1987g	Data on ground water quality for the western Nevada, part of the Goldfield 1 degree by 2 degree quadrangle	U.S. Geological Survey Open-File Report 85-648-K, scale 1:250,000.
12.54	Welch, A.H., and Williams, R.P.	1987h	Data on ground-water quality for the Caliente 1 degree by 2 degree quadrangle, eastern Nevada	U.S. Geological Survey Open-File Report 85-648-L, scale 1:250,000.
12.55	Welch, A.H., and Williams, R.P.	1987i	Data on ground-water quality for the western Nevada, part of the Death Valley 1 degree by 2 degree quadrangle	U.S. Geological Survey Open-File Report 85-648-M, scale 1:250,000.
12.56	Welch, A.H., and Williams, R.P.	1987j	Data on ground-water quality for the southern Nevada, part of the Kingman 1 degree by 2 degree quadrangle	U.S. Geological Survey Open-File Report 85-648-N, scale 1:250,000.
12.57	Harrill, J R., and Prudic, D.E.	1998	Aquifer systems in the Great Basin region of Nevada, Utah, and adjacent states; summary report	U.S. Geological Survey Professional Paper 1409-A, 66 p.
11.01	Ackerman, D.J.	1987a	Generalized potentiometric surface of the aquifers in the Cockfield Formation, southeastern Arkansas, spring 1980	U.S. Geological Survey Water-Resources Investigations Report 87-4212, map, scale 1:500,000.
11.02	Ackerman, D.J.	1987b	Generalized potentiometric surface of the Sparta-Memphis aquifer, eastern Arkansas, spring 1980	U.S. Geological Survey Water-Resources Investigations Report 87-4282, map, scale 1:500,000.
11.03	Ackerman, D.J.	1989a	Hydrology of the Mississippi River Valley alluvial aquifer, south-central United States--a preliminary assessment of the regional flow system	U.S. Geological Survey Water-Resources Investigations Report 88-4028, 74 p.
11.04	Ackerman, D.J.	1989b	Potentiometric surfaces of the Mississippi River Valley alluvial aquifer in eastern Arkansas, spring 1972 and 1980	U.S. Geological Survey Water-Resources Investigations Report 88-4075, map, scale 1:500,000.
11.05	Ackerman, D.J.	1996	Hydrology of the Mississippi River valley alluvial aquifer, south-central United States	U.S. Geological Survey Professional Paper 1416-D, 56 p. 
11.06	Arthur, J.K., and Taylor, R.E.	1986	Mississippi embayment aquifer system in Mississippi--geohydrologic data compilation for flow model simulation	American Water Resources Association, Water Resources Bulletin v. 22, no. 6, p. 1021-1029.
11.07	Arthur, J.K., and Taylor, R.E.	1990	Definition of geohydrologic framework and preliminary simulation of ground-water flow in the Mississippi embayment aquifer system, Gulf Coastal Plain, United States	U.S. Geological Survey Water-Resources Investigations Report 86-4364, 97 p.
11.08	Arthur, J.K., and Taylor, R.E.	1998	Ground-water flow analysis of the Mississippi embayment aquifer system, south-central United States	U.S. Geological Survey Professional Paper 1416-I. 
11.09	Baker, E.T., Jr.	1995	Stratigraphic nomenclature and geologic sections of the Gulf Coastal Plain of Texas	U.S. Geological Survey Open-File Report 94-461, 34 p.
11.10	Beckman, J.D., and Williamson, A.K.	1990	Salt-dome locations in the Gulf Coastal Plain, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 90-4060, 44 p.
11.11	Boswell, E.H., and Arthur, J.K.	1988	Generalized potentiometric surface of shallow aquifers in southern Mississippi, 1982	U.S. Geological Survey Water-Resources Investigations Report, 87-4257, map, scale 1:500,000.
11.12	Brahana, J.V., Mesko, T.O., Busby, J.F., and Kraemer, T.F.	1985	Ground-water quality data from the northern Mississippi embayment--Arkansas, Missouri, Kentucky, Tennessee, and Mississippi	U.S. Geological Survey Open-File Report 85-683, 15 p. 
11.13	Brahana, J.V.	1987	The role of a multilayer model in refining understanding of deep regional ground-water flow in a tectonically active area	National Water Well Association, Conference on Solving ground-water problems with models, 2nd, Denver, Colorado, February 10-12, 1987, v. 2, p. 1051-1070.
11.14	Brahana, J.V., and Mesko, T.O.	1988	Hydrogeology and preliminary assessment of regional flow in the Upper Cretaceous and adjacent aquifers in the northern Mississippi embayment	U.S. Geological Survey Water-Resources Investigations Report 87-4000, 65 p.
11.15	Brahana, J.V., and Mesko, T.O.	in press	Hydrology of the McNairy-Nacatoch and adjacent aquifers in the northern Mississippi embayment	U.S. Geological Survey Water-Resources Investigations Report 96-4108.
11.16	Garza, Sergio, Jones, B.D., and Baker, E.T., Jr.	1987	Approximate potentiometric surfaces for the aquifers of the Texas coastal uplands system, 1980	U.S. Geological Survey Hydrologic Investigations Atlas 704, scale 1:1,500,000.
11.17	Grubb, H.F.	1984	Planning report for the Gulf Coast Regional Aquifer-System Analysis, Gulf of Mexico Coastal Plain, United States	U.S. Geological Survey Water-Resources Investigations Report 84-4219, 30 p.
11.18	Grubb, H.F.	1985	Gulf Coast Regional Aquifer-System Analysis, an overview, in Smerdon, E.T., and Jordan, W.R., eds., Issues in groundwater management	University of Texas at Austin, Center for Research in Water Resources, Symposium Number Twelve, San Antonio, Texas, October 29-31, 1984, Proceedings, p. 69-91.
11.19	Grubb, H.F.	1986a	Gulf Coast Regional Aquifer-System Analysis--a Mississippi perspective	U.S. Geological Survey Water-Resources Investigations Report 86-4162, 22 p. 
11.20	Grubb, H.F.	1986b	Gulf Coastal Plain Regional Aquifer-System Study, in Sun, R.J., ed., Regional Aquifer-System Analysis Program of the U.S. Geological Survey--summary of projects, 1978-84	U.S. Geological Survey Circular 1002, p. 152-161.
11.21	Grubb, H.F.	1987	Overview of the Gulf Coast Regional Aquifer-System Analysis, in Vecchioli, John, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Atlantic and Gulf Coastal Plain	American Water Resources Association Monograph Series, no. 9, p. 101-118.
11.22	Grubb, H.F.	1992	An overview of the Gulf Coast Regional Aquifer-System Analysis, 1991, in Hotchkiss, W.R., and Johnson, A.I., eds., Regional Aquifers of the United States, Aquifers of the Southern and Eastern States	American Water Resources Association Monograph Series, no. 17, p. 5-41.
11.23	Grubb, H.F.	1998	Summary of hydrology of the regional aquifer systems, Gulf Coastal Plain, south-central United States	U.S. Geological Survey Professional Paper 1416-A.
11.24	Grubb, H.F., and Arthur, J.K.	1991	Gulf Coast Regional Aquifer-System Analysis--a Kentucky perspective	U.S. Geological Survey Water-Resources Investigations Report 90-4138, 28 p.
11.25	Grubb, H.F., and Carrillo R., J.J.	1988	Region 23, Gulf of Mexico Coastal Plain, in Back, William, Rosenshein, J.S., and Seaber, P.R., eds., Hydrogeology	Boulder, Colorado, Geological Society of America, Geology of North America, v. O-2, p. 219-228.
11.26	Hosman, R.L.	1982	Outcropping Tertiary units in southern Arkansas	U.S. Geological Survey Miscellaneous Investigations Series, Map I-1405, scale 1:2,500,000.
11.27	Hosman, R.L.	1988	Geohydrologic framework of the Gulf Coastal Plain	U.S. Geological Survey Hydrologic Investigations Atlas 695, scale 1:2,500,000, 2 sheets.
11.28	Hosman, R.L.	1996	Regional stratigraphy and subsurface geology of Cenozoic deposits, Gulf Coastal Plain, south-central United States	U.S. Geological Survey Professional Paper 1416-G, 34 p. 
11.29	Hosman, R.L., and Weiss, J.S.	1991	Geohydrologic units of the Mississippi embayment and Texas coastal uplands aquifer systems, south-central United States	U.S. Geological Survey Professional Paper 1416-B, 19 p. 
11.30	Kirkpatrick, K.A.	1993	Archiving data from gulf coast regional aquifer-system analysis study	U.S. Geological Survey Open-File Report 92-661, 18 p.
11.31	Kuiper, L.K.	1983	A numerical procedure for the solution of the steady-state variable density groundwater flow equation	Water Resources Research, v. 19, no. 1, p. 234-240.
11.32	Kuiper, L.K.	1985	Documentation of a numerical code for the simulation of variable density ground-water flow in three dimensions	U.S. Geological Survey, Water-Resources Investigations Report 84-4302, 90 p.
11.33	Kuiper, L.K.	1986	A comparison of several methods for the solution of the inverse problem in two-dimensional steady state groundwater flow modeling	Water Resources Research, v. 22, no. 5, p. 705-714.
11.34	Kuiper, L.K.	1987a	A comparison of iterative methods as applied to the solution of the nonlinear three-dimensional groundwater flow equation	Society for Industrial and Applied Mathematics, Journal on Scientific and Statistical Computing, v. 8, no. 4, p. 521-528.
11.35	Kuiper, L.K.	1987b	Computer program for solving ground-water flow equations by the preconditioned conjugate gradient method	U.S. Geological Survey Water-Resources Investigations 87-4091, 34 p.
11.36	Kuiper, L.K.	1994	Nonlinear regression flow model, gulf coast aquifer systems, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 93-4020, 171 p.
11.37	MacCary, L.M.	1984	Relation of formation factor to depth of burial in aquifers along the Texas Gulf Coast	National Water Well Association, Conference on Surface and Borehole Geophysical Methods in Ground-Water Investigations, San Antonio, Texas, February 6-9, 1984, Proceedings, p. 722-742. 
11.38	Martin, Angel, Jr., Whiteman, C.D., Jr.	1985a	Generalized potentiometric surface of aquifers of Pleistocene age, southern Louisiana, 1980	U.S. Geological Survey Water-Resources Investigations Report 84-4331, map, scale 1:500,000.
11.39	Martin, Angel, Jr., Whiteman, C.D., Jr.	1985b	Generalized potentiometric surface of the Evangeline and equivalent aquifers in Louisiana, 1980	U.S. Geological Survey Water-Resources Investigations Report 84-4359, map, scale 1:500,000.
11.40	Martin, Angel, Jr., Whiteman, C.D., Jr.	1986	Generalized potentiometric surface of the Catahoula aquifer, in central Louisiana, 1980	U.S. Geological Survey Water-Resources Investigations Report 86-4059, map, scale 1:500,000.
11.41	Martin, Angel, Jr., Whiteman, C.D., Jr.	1989	Geohydrology and regional ground-water flow of the coastal lowlands aquifer system in parts of Louisiana, Mississippi, Alabama, and Florida--a preliminary analysis	U.S. Geological Survey Water-Resources Investigations Report 88-4100, 88 p.
11.42	Martin, Angel, Jr., Whiteman, C.D., Jr.	1990	Calibration and sensitivity analysis of a ground-water flow model of the coastal lowlands aquifer system in parts of Louisiana, Mississippi, Alabama, and Florida	U.S. Geological Survey Water-Resources Investigations Report 89-4189, 54 p.
11.43	Martin, Angel, Jr., Whiteman, C.D., Jr.	in press	Hydrology of the coastal lowlands aquifer system in parts of Alabama, Florida, Louisiana, and Mississippi	U.S. Geological Survey Professional Paper 1416-H. 
11.44	Martin, Angel, Jr., and Early, D.A.	1987	Statistical analysis of aquifer test results for nine regional aquifers in Louisiana	U.S. Geological Survey Water-Resources Investigations Report 87-4001, 26 p.
11.45	Martin, Angel, Jr., Whiteman, C.D., Jr., and Becnel, M.J.	1988	Generalized potentiometric surfaces of the upper and lower Jasper and equivalent aquifers in Louisiana, 1984	U.S. Geological Survey Water-Resources Investigations Report 87-4139, map, scale 1:500,000, 2 sheets.
11.46	Mesko, T.O.	1988	Subsurface geology of Paleozoic, Mesozoic, and Cenozoic units in southeast Missouri	U.S. Geological Survey Miscellaneous Investigations Series, Map I-1875, scale 1:1,000,000, 2 sheets.
11.47	Mesko, T.O.	1990	Geohydrology and water quality of Mesozoic and Cenozoic units of southeast Missouri	U.S. Geological Survey Hydrologic Investigations Atlas 719, scale 1:1,000,000, 2 sheets.
11.48	Mesko, T.O., and Imes, J.L.	1995	Discharge of ground water along the Ozark escarpment to the Black and Current rivers, in southeastern Missouri and northeastern Arkansas	U.S. Geological Survey Water-Resources Investigations Report 95-4103, 12 p.
11.49	Mesko, T.O., Williams, T.A., Ackerman, D.J., and Williamson, A.K.	1990	Ground-water pumpage from the gulf coast aquifer systems, 1960-85, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 89-4180, 177 p.
11.50	Parks, W.S. and Carmichael, J.K.	1989	Geology and ground-water resources of the Fort Pillow Sand in western Tennessee	U.S. Geological Survey Water-Resources Investigations Report, 89-4120, 20 p.
11.51	Parks, W.S. and Carmichael, J.K.	1990a	Altitude of potentiometric surface, fall 1985, and historic water-level changes in the Memphis aquifer in western Tennessee	U.S. Geological Survey Water-Resources Investigations, 88-4180, 8 p.
11.52	Parks, W.S. and Carmichael, J.K.	1990b	Geology and ground-water resources of the Cockfield Formation in western Tennessee	U.S. Geological Survey Water-Resources Investigations Report, 88-4181, 17 p.
11.53	Parks, W.S. and Carmichael, J.K.	1990c	Geology and ground-water resources of the Memphis Sand in Western Tennessee	U.S. Geological Survey Water-Resources Investigations Report, 88-4182, 30 p. 
11.54	Parks, W.S. and Carmichael, J.K.	1990d	Altitude of potentiometric surface, fall 1985, and historic water-level changes in the Fort Pillow aquifer in western Tennessee	U.S. Geological Survey Water-Resources Investigations Report, 89-4048, 8 p.
11.55	Pettijohn, R.A.	1986	Processing water chemistry data, gulf coast aquifer systems, south-central United States, with a summary of dissolved-solids concentrations and water types	U.S. Geological Survey Water-Resources Investigations Report 86-4186, 42 p.
11.56	Pettijohn, R.A.	1988	Dissolved-solids concentrations and primary water types, gulf coast aquifer systems, south-central United States	U.S. Geological Survey Hydrologic Investigations Atlas 706, scale 1:5,000,000, 2 sheets.
11.57	Pettijohn, R.A.	1996	Geochemistry of ground-water in the gulf coast aquifer systems, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 96-4107, 158 p.
11.58	Pettijohn, R.A., Busby, J.F., and Beckman, J.D.	1992	Properties and chemical constituents in ground water from the Mississippi River Valley alluvial aquifer and permeable zone A (Holocene-upper Pleistocene deposits) south-central United States	U.S. Geological Survey Water-Resources Investigations Report 91-4149, map, scale 1:3,500,00, 5 sheets. 
11.59	Pettijohn, R.A., Busby, J.F., and Beckman, J.D.	1993a	Properties and chemical constituents in ground water from permeable zone D (middle Miocene deposits), coastal lowlands aquifer system, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 92-4105, map, scale 1:3,500,000, 5 sheets.
11.60	Pettijohn, R.A., Busby, J.F., and Beckman, J.D.	1993b	Properties and chemical constituents in ground water from the middle Wilcox aquifer, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 93-4070, map, scale 1:3,500,000, 5 sheets.
11.61	Pettijohn, R.A., Busby, J.F., and Beckman, J.D.	1993c	Properties and chemical constituents in ground water from the lower Wilcox aquifer, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 93-4071, map, scale 1:3,500,000, 5 sheets.
11.62	Pettijohn, R.A., Busby, J.F., and Cervantes, M.A.	1993a	Properties and chemical constituents in ground water from permeable zone C (lower Pliocene-upper Miocene deposits), coastal lowlands aquifer system, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 91-4151, map, scale 1:3,500,00, 5 sheets.
11.63	Pettijohn, R.A., Busby, J.F., and Cervantes, M.A.	1993b	Properties and chemical constituents in ground water from the middle Claiborne aquifer, gulf coast aquifer systems, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 92-4104, map, scale 1:3,500,000, 5 sheets.
11.64	Pettijohn, R.A., Busby, J.F., and Cervantes, M.A.	1993c	Properties and chemical constituents in ground water from the lower Claiborne-upper Wilcox aquifer, gulf coast aquifer systems, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 92-4102, map, scale 1:3,500,000, 5 sheets.
11.65	Pettijohn, R.A., Busby, J.F., and Layman, T.B.	1993a	Properties and chemical constituents in ground water from permeable zone B (lower Pleistocene-upper Pliocene deposits), coastal lowlands aquifer system, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 91-4152, map, scale 1:3,500,00, 5 sheets.
11.66	Pettijohn, R.A., Busby, J.F., and Layman, T.B.	1993b	Properties and chemical constituents in ground water from permeable E (lower Miocene-upper Oligocene deposits), coastal lowlands aquifer system, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 92-4103, map, scale 1:3,500,000, 5 sheets.
11.67	Pettijohn, R.A., Busby, J.F., and Layman, T.B.	1993c	Properties and chemical constituents in ground water from the upper Claiborne aquifer, gulf coast aquifer system, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 91-4150, map, scale 1:3,500,00, 5 sheets.
11.68	Pettijohn, R.A., Weiss, J.S., and Williamson, A.K.	1988	Distribution of dissolved-solids concentrations and temperature in ground water of the gulf coast aquifer systems, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 88-4082, map, scale 1:3,500,000, 5 sheets.
11.69	Prudic, D.E.	1991	Estimates of hydraulic conductivity from aquifer-test analyses and specific capacity data, gulf coast regional aquifer systems, south-central United States	U.S. Geological Survey Water-Resources Investigations Report 90-4121, 38 p.
11.70	Ryder, P.D.	1988	Hydrogeology and predevelopment flow in the Texas gulf coast aquifer systems	U.S. Geological Survey Water-Resources Investigations Report 87-4248, 109 p. 
11.71	Ryder, P.D., and Ardis, A.F.	in press	Hydrology of the Texas gulf coast aquifer systems	U.S. Geological Survey Professional Paper 1416-E.
