"TBLID","PROFLN","STUB","cest_07","cest_06","pub_sig90"
"DP04",138.0,"30.0 to 34.9 percent","5.8%","5.5%",
"DP04",139.0,"35.0 percent or more","26.1%","28.1%",
"DP04",140.0,"Not computed","14,271","12,110",
"DP05",0.0,,,,
"DP05",0.5,,,,
"DP05",0.8,,,,
"DP05",1.0,"Total population","557,689","560,730",
"DP05",2.0,"Male","50.0%","49.7%",
"DP05",3.0,"Female","50.0%","50.3%",
"DP05",3.3,,,,
"DP05",4.0,"Under 5 years","6.4%","6.2%",
"DP05",5.0,"5 to 9 years","6.3%","6.2%",
"DP05",6.0,"10 to 14 years","6.9%","7.0%",
"DP05",7.0,"15 to 19 years","7.2%","7.6%",
"DP05",8.0,"20 to 24 years","6.5%","6.9%",
"DP05",9.0,"25 to 34 years","11.7%","11.3%",
"DP05",10.0,"35 to 44 years","12.8%","12.9%",
"DP05",11.0,"45 to 54 years","13.9%","14.1%",
"DP05",12.0,"55 to 59 years","6.2%","6.1%",
"DP05",13.0,"60 to 64 years","5.7%","5.3%","*"
"DP05",14.0,"65 to 74 years","8.7%","8.4%",
"DP05",15.0,"75 to 84 years","5.9%","5.8%",
"DP05",16.0,"85 years and over","1.9%","2.4%","*"
"DP05",16.3,,,,
"DP05",17.0,"Median age (years)","39.0","39.4",
"DP05",17.3,,,,
"DP05",18.0,"18 years and over","76.1%","76.2%",
"DP05",19.0,"21 years and over","72.2%","71.7%",
"DP05",20.0,"62 years and over","19.6%","19.7%",
"DP05",21.0,"65 years and over","16.5%","16.5%",
"DP05",21.3,,,,
"DP05",22.0,"18 years and over","424,405","427,510",
"DP05",23.0,"Male","37.5%","37.4%",
"DP05",24.0,"Female","38.6%","38.8%",
"DP05",24.3,,,,
"DP05",25.0,"65 years and over","92,065","92,793",
"DP05",26.0,"Male","7.1%","7.1%",
"DP05",27.0,"Female","9.4%","9.4%",
"DP05",27.3,,,,
"DP05",27.5,"RACE",,,
"DP05",28.0,"Total population","557,689","560,730",
"DP05",29.0,"One race","515,008","517,965",
"DP05",30.0,"Two or more races","42,681","42,765",
"DP05",30.3,,,,
"DP05",31.0,"One race","92.3%","92.4%",
"DP05",32.0,"White","80.7%","80.9%",
"DP05",33.0,"Black or African American","3.5%","3.4%",
"DP05",34.0,"American Indian and Alaska Native","12.7%","12.5%",
"DP05",35.0,"Cherokee tribal grouping","35.4%","40.7%",
"DP05",36.0,"Chippewa tribal grouping","0.0%","0.1%",
"DP05",37.0,"Navajo tribal grouping","0.1%","0.5%",
"DP05",38.0,"Sioux tribal grouping","0.1%","0.3%",
"DP05",39.0,"Asian","0.5%","0.4%",
"DP05",40.0,"Asian Indian","6.4%","5.1%",
"DP05",41.0,"Chinese","29.4%","4.8%",
"DP05",42.0,"Filipino","23.7%","38.2%",
"DP05",43.0,"Japanese","4.7%","7.2%",
"DP05",44.0,"Korean","4.6%","14.2%",
"DP05",45.0,"Vietnamese","6.7%","6.5%",
"DP05",46.0,"Other Asian","24.4%","24.0%",
"DP05",47.0,"Native Hawaiian and Other Pacific Islander","0.1%","0.1%",
"DP05",48.0,"Native Hawaiian","24.7%","62.7%",
"DP05",49.0,"Guamanian or Chamorro","75.3%","37.3%",
"DP05",50.0,"Samoan","0.0%","0.0%",
"DP05",51.0,"Other Pacific Islander","0.0%","0.0%",
"DP05",52.0,"Some other race","2.5%","2.6%",
"DP05",53.0,"Two or more races","7.7%","7.6%",
"DP05",54.0,"White and Black or African American","5.3%","4.0%",
"DP05",55.0,"White and American Indian and Alaska Native","81.3%","88.2%","*"
"DP05",56.0,"White and Asian","0.9%","0.5%",
"DP05",57.0,"Black or African American and American Indian and Alaska Native","3.6%","1.9%",
"DP05",57.3,,,,
"DP05",57.5,"Race alone or in combination with one or more other races",,,
"DP05",58.0,"Total population","557,689","560,730",
"DP05",59.0,"White","81.6%","82.1%",
"DP05",60.0,"Black or African American","4.0%","3.7%",
"DP05",61.0,"American Indian and Alaska Native","18.5%","18.6%",
"DP05",62.0,"Asian","0.6%","0.6%",
"DP05",63.0,"Native Hawaiian and Other Pacific Islander","0.2%","0.2%",
"DP05",64.0,"Some other race","2.8%","2.6%",
"DP05",64.3,,,,
"DP05",64.5,"HISPANIC OR LATINO AND RACE",,,
"DP05",65.0,"Total population","557,689","560,730",
"DP05",66.0,"Hispanic or Latino (of any race)","5.4%","4.7%","*"
"DP05",67.0,"Mexican","4.7%","4.2%","*"
"DP05",68.0,"Puerto Rican","0.1%","0.1%",
"DP05",69.0,"Cuban","0.0%","0.1%",
"DP05",70.0,"Other Hispanic or Latino","0.6%","0.3%","*"
"DP05",71.0,"Not Hispanic or Latino","94.6%","95.3%","*"
"DP05",72.0,"White alone","72.4%","72.9%","*"
"DP05",73.0,"Black or African American alone","3.1%","3.1%",
"DP05",74.0,"American Indian and Alaska Native alone","11.5%","11.4%",
"DP05",75.0,"Asian alone","0.5%","0.4%",
"DP05",76.0,"Native Hawaiian and Other Pacific Islander alone","0.1%","0.1%",
"DP05",77.0,"Some other race alone","0.0%","0.1%",
"DP05",78.0,"Two or more races","7.0%","7.3%",
"DP05",79.0,"Two races including Some other race","0.1%","0.0%",
"DP05",80.0,"Two races excluding Some other race, and Three or more races","6.9%","7.3%",
"DP05",80.3,,,,
"DP05",81.0,"Total housing units","275,646","274,746",

