"TBLID","PROFLN","STUB","cest_06","cest_07","pub_sig90"
"DP04",136.0,"20.0 to 24.9 percent","10.9%","11.0%",
"DP04",137.0,"25.0 to 29.9 percent","9.1%","7.9%",
"DP04",138.0,"30.0 to 34.9 percent","4.9%","7.9%","*"
"DP04",139.0,"35.0 percent or more","25.5%","24.8%",
"DP04",140.0,"Not computed","30,823","27,886",
"DP05",0.0,,,,
"DP05",0.5,,,,
"DP05",0.8,,,,
"DP05",1.0,"Total population","1,534,656","1,537,907",
"DP05",2.0,"Male","50.5%","50.5%",
"DP05",3.0,"Female","49.5%","49.5%",
"DP05",3.3,,,,
"DP05",4.0,"Under 5 years","6.5%","6.5%",
"DP05",5.0,"5 to 9 years","6.3%","6.2%",
"DP05",6.0,"10 to 14 years","7.2%","7.1%",
"DP05",7.0,"15 to 19 years","8.1%","7.7%",
"DP05",8.0,"20 to 24 years","6.5%","6.3%",
"DP05",9.0,"25 to 34 years","10.9%","11.3%",
"DP05",10.0,"35 to 44 years","12.6%","12.4%",
"DP05",11.0,"45 to 54 years","15.0%","15.1%",
"DP05",12.0,"55 to 59 years","6.8%","6.8%",
"DP05",13.0,"60 to 64 years","5.4%","6.0%","*"
"DP05",14.0,"65 to 74 years","7.9%","7.9%",
"DP05",15.0,"75 to 84 years","5.0%","4.9%",
"DP05",16.0,"85 years and over","1.8%","2.0%","*"
"DP05",16.3,,,,
"DP05",17.0,"Median age (years)","38.8","39.4",
"DP05",17.3,,,,
"DP05",18.0,"18 years and over","75.2%","75.5%",
"DP05",19.0,"21 years and over","70.3%","71.2%","*"
"DP05",20.0,"62 years and over","17.8%","18.1%",
"DP05",21.0,"65 years and over","14.7%","14.8%",
"DP05",21.3,,,,
"DP05",22.0,"18 years and over","1,153,682","1,161,767",
"DP05",23.0,"Male","37.9%","38.0%",
"DP05",24.0,"Female","37.3%","37.6%",
"DP05",24.3,,,,
"DP05",25.0,"65 years and over","225,095","226,868",
"DP05",26.0,"Male","6.9%","6.8%",
"DP05",27.0,"Female","7.8%","7.9%",
"DP05",27.3,,,,
"DP05",27.5,"RACE",,,
"DP05",28.0,"Total population","1,534,656","1,537,907",
"DP05",29.0,"One race","1,500,435","1,508,960",
"DP05",30.0,"Two or more races","34,221","28,947","*"
"DP05",30.3,,,,
"DP05",31.0,"One race","97.8%","98.1%","*"
"DP05",32.0,"White","84.3%","83.9%",
"DP05",33.0,"Black or African American","0.5%","0.5%",
"DP05",34.0,"American Indian and Alaska Native","11.1%","11.7%","*"
"DP05",35.0,"Cherokee tribal grouping","0.8%","1.0%",
"DP05",36.0,"Chippewa tribal grouping","1.1%","1.0%",
"DP05",37.0,"Navajo tribal grouping","54.3%","52.2%",
"DP05",38.0,"Sioux tribal grouping","2.3%","1.6%",
"DP05",39.0,"Asian","0.5%","0.5%",
"DP05",40.0,"Asian Indian","12.4%","8.3%",
"DP05",41.0,"Chinese","25.4%","27.6%",
"DP05",42.0,"Filipino","15.8%","20.6%",
"DP05",43.0,"Japanese","13.8%","14.0%",
"DP05",44.0,"Korean","17.3%","10.9%",
"DP05",45.0,"Vietnamese","2.9%","9.6%",
"DP05",46.0,"Other Asian","12.4%","9.0%",
"DP05",47.0,"Native Hawaiian and Other Pacific Islander","0.0%","0.1%",
"DP05",48.0,"Native Hawaiian","76.7%","45.6%",
"DP05",49.0,"Guamanian or Chamorro","17.0%","3.7%",
"DP05",50.0,"Samoan","0.0%","20.7%",
"DP05",51.0,"Other Pacific Islander","6.3%","29.9%",
"DP05",52.0,"Some other race","3.6%","3.3%",
"DP05",53.0,"Two or more races","2.2%","1.9%","*"
"DP05",54.0,"White and Black or African American","3.4%","9.4%","*"
"DP05",55.0,"White and American Indian and Alaska Native","55.7%","54.7%",
"DP05",56.0,"White and Asian","8.2%","6.3%",
"DP05",57.0,"Black or African American and American Indian and Alaska Native","1.7%","2.3%",
"DP05",57.3,,,,
"DP05",57.5,"Race alone or in combination with one or more other races",,,
"DP05",58.0,"Total population","1,534,656","1,537,907",
"DP05",59.0,"White","84.5%","84.1%",
"DP05",60.0,"Black or African American","0.6%","0.8%",
"DP05",61.0,"American Indian and Alaska Native","12.3%","12.6%",
"DP05",62.0,"Asian","0.7%","0.7%",
"DP05",63.0,"Native Hawaiian and Other Pacific Islander","0.1%","0.2%",
"DP05",64.0,"Some other race","4.1%","3.6%",
"DP05",64.3,,,,
"DP05",64.5,"HISPANIC OR LATINO AND RACE",,,
"DP05",65.0,"Total population","1,534,656","1,537,907",
"DP05",66.0,"Hispanic or Latino (of any race)","11.4%","12.0%","*"
"DP05",67.0,"Mexican","6.8%","7.1%",
"DP05",68.0,"Puerto Rican","0.2%","0.1%",
"DP05",69.0,"Cuban","0.0%","0.1%","*"
"DP05",70.0,"Other Hispanic or Latino","4.5%","4.7%",
"DP05",71.0,"Not Hispanic or Latino","88.6%","88.0%","*"
"DP05",72.0,"White alone","75.3%","74.6%","*"
"DP05",73.0,"Black or African American alone","0.4%","0.4%",
"DP05",74.0,"American Indian and Alaska Native alone","10.7%","11.0%",
"DP05",75.0,"Asian alone","0.5%","0.5%",
"DP05",76.0,"Native Hawaiian and Other Pacific Islander alone","0.0%","0.1%",
"DP05",77.0,"Some other race alone","0.1%","0.1%",
"DP05",78.0,"Two or more races","1.6%","1.4%",
"DP05",79.0,"Two races including Some other race","0.1%","0.0%",
"DP05",80.0,"Two races excluding Some other race, and Three or more races","1.5%","1.3%",
"DP05",80.3,,,,
"DP05",81.0,"Total housing units","783,996","788,579",

