gene_oid	Start Coord	End Coord	Strand	GC	Locus Tag	Gene Symbol	Description	Scaffold Name	MyIMG_Annotation
633212575	389546	390010	-	.32	Saci_0460		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212580	389973	390845	-	.37	Saci_0461		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212585	390814	391728	-	.34	Saci_0462		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212590	391695	392597	-	.37	Saci_0463		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212595	392594	393088	-	.29	Saci_0464		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212600	393159	393815	-	.33	Saci_0465		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212605	394110	394478	-	.32	Saci_0467		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212610	394465	394713	-	.34	Saci_0468		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212615	395126	395213	+	.64	Saci_0470		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633212620	395689	397623	+	.35	Saci_0472		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212625	397638	399005	+	.33	Saci_0473		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212630	399028	399954	-	.41	Saci_0474		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212635	399956	400609	-	.38	Saci_0475		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212640	400929	401078	-	.47	Saci_0476		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212645	401100	401360	-	.41	Saci_0477		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212650	401417	401770	-	.44	Saci_0478		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212655	402058	402366	-	.44	Saci_0479		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212660	402468	402758	+	.39	Saci_0480		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212665	402755	403321	+	.43	Saci_0481		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212670	403917	404216	+	.46	Saci_0482		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212675	404226	404513	-	.44	Saci_0483		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212680	404866	405324	+	.43	Saci_0484		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212685	405327	405494	-	.37	Saci_0485		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212690	405583	405888	+	.44	Saci_0486		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212695	405920	407224	+	.45	Saci_0487		transposase	Sulfolobus acidocaldarius DSM 639 chromosome	
633212700	407221	407430	-	.5	Saci_0488		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212705	407482	407775	-	.43	Saci_0489		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212710	407848	408144	+	.33	Saci_0490		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212715	408515	409345	+	.34	Saci_0491		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212720	409591	410127	-	.31	Saci_0492		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212725	410152	410511	-	.38	Saci_0493		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212730	411379	412086	+	.38	Saci_0494		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212735	412079	412927	+	.33	Saci_0495		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212740	413083	413667	-	.35	Saci_0496		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212745	413893	414747	-	.36	Saci_0497		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212750	414882	415328	-	.39	Saci_0498		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212755	415473	415625	+	.41	Saci_0499		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212760	415699	416682	-	.39	Saci_0500		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212765	416669	417130	-	.42	Saci_0501		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212770	417271	417429	+	.36	Saci_0502		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212775	417681	417860	+	.48	Saci_0503		N-terminal of inactivated transposase (ISC1476-like)	Sulfolobus acidocaldarius DSM 639 chromosome	
633212780	417900	418895	+	.43	Saci_0504		C-terminal of inactivated transposase (ISC1476-like)	Sulfolobus acidocaldarius DSM 639 chromosome	
633212785	419327	419875	+	.38	Saci_0505		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212790	419872	420159	-	.53	Saci_0506		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212795	420208	420777	+	.42	Saci_0507		conserved conjugative plasmid membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212800	420456	420761	-	.42	Saci_0508		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212805	420774	420929	-	.39	Saci_0509		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212810	421091	421513	+	.4	Saci_0510		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212815	421702	421857	-	.37	Saci_0511		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212820	422019	422438	+	.4	Saci_0512		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212825	422475	423938	-	.44	Saci_0513		conserved conjugative plasmid membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212830	425847	426110	+	.43	Saci_0516		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212835	426068	426739	-	.39	Saci_0517		conserved conjugative plasmid protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212840	427588	427653	+	.73	Saci_0519		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633212845	428113	429474	-	.37	Saci_0520		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212850	430468	430538	-	.63	Saci_0521		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633212855	430670	430739	+	.69	Saci_0522		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633212860	431631	431930	-	.37	Saci_0523		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212865	431941	432435	-	.34	Saci_0524		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212870	432501	433196	-	.4	Saci_0525		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212875	433208	434512	-	.39	Saci_0526		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212880	434491	435201	-	.34	Saci_0527		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212885	435210	435341	-	.45	Saci_0528		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212890	435514	436173	-	.37	Saci_0529		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212895	436289	437026	+	.41	Saci_0530		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212900	437050	437649	+	.41	Saci_0531	znuC	high-affinity zinc uptake system ATP-binding protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212905	438205	438801	-	.38	Saci_0532		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212910	438773	439246	+	.34	Saci_0533		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212915	439141	439323	-	.31	Saci_0534		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212920	439307	439906	-	.33	Saci_0535		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212925	440366	440438	-	.67	Saci_0537		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633212930	440555	440959	-	.32	Saci_0538		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212935	441021	442124	-	.39	Saci_0539		translation initiation factor eIF-2B alpha subunit	Sulfolobus acidocaldarius DSM 639 chromosome	
633212940	442196	442265	+	.7	Saci_0540		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633212945	442601	443578	-	.37	Saci_0542		conserved Archaeal DHH-related protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212950	443595	444197	-	.34	Saci_0543		isochorismatase( EC:3.5.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633212955	444223	444813	-	.33	Saci_0544		endonuclease V( EC:3.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633212960	444798	445265	-	.37	Saci_0545		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212965	445336	446121	+	.36	Saci_0546		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212970	446113	446949	-	.35	Saci_0547		quinolinate phosphoribosyl transferase( EC:2.4.2.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633212975	446949	447515	-	.35	Saci_0548		glutamine amidotransferase class-I domain	Sulfolobus acidocaldarius DSM 639 chromosome	
633212980	447582	449033	+	.36	Saci_0549	nadB	L-aspartate oxidase( EC:1.4.3.16 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633212985	449020	449487	+	.37	Saci_0550		NUDIX domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633212990	449509	450867	-	.38	Saci_0552	tip49	TBP-interacting proten( EC:3.6.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633212995	450973	451836	+	.35	Saci_0553		carbohydrate kinase( EC:2.7.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213000	451833	452897	+	.33	Saci_0554	polIV	DNA polymerase IV( EC:2.7.7.7 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213005	452874	453314	-	.32	Saci_0555		hypothetical conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213010	453329	454336	+	.37	Saci_0556	rtcA	RNA 3'-terminal phosphate cyclase( EC:6.5.1.4 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213015	454323	455327	-	.36	Saci_0557	adh	NAD-dependent alcohol dehydrogenase( EC:1.1.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213020	455333	456616	-	.36	Saci_0558	glnA	glutamine synthetase( EC:6.3.1.2 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213025	456672	457448	-	.35	Saci_0559		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213030	457402	458550	-	.37	Saci_0560		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213035	458633	458720	-	.61	Saci_0561		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213040	458839	458889	-	.59	Saci_0563		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213045	459116	459649	+	.31	Saci_0564		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213050	459626	460045	-	.33	Saci_0565		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213055	460089	460187	+	.34	Saci_0566		hypothetical conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213060	460159	460317	-	.26	Saci_0567		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213065	460333	461115	-	.35	Saci_0568		conserved Crenarchaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213070	461116	461352	-	.36	Saci_0569		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213075	461381	461929	-	.33	Saci_0570		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213080	461926	462189	-	.35	Saci_0571		50S ribosomal protein L34E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213085	462212	462409	-	.35	Saci_0572		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213090	462661	463245	-	.35	Saci_0573	adk	adenylate kinase( EC:2.7.4.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213095	463249	464640	-	.35	Saci_0574	secY	preprotein translocase SecY subunit	Sulfolobus acidocaldarius DSM 639 chromosome	
633213100	464657	465091	-	.39	Saci_0575		50S ribosomal protein L15P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213105	465093	465563	-	.34	Saci_0576		50S ribosomal protein L30P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213110	465560	466204	-	.38	Saci_0577		30S ribosomal protein S5P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213115	466206	466799	-	.36	Saci_0578		50S ribosomal protein L18P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213120	466803	467255	-	.35	Saci_0579		50S ribosomal protein L19E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213125	467261	467656	-	.37	Saci_0580		50S ribosomal protein L32E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213130	467640	468200	-	.34	Saci_0581		50S ribosomal protein L6P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213135	468215	468616	-	.37	Saci_0582		30S ribosomal protein S8P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213140	468623	468814	-	.38	Saci_0583		30S ribosomal protein S14P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213145	468792	469328	-	.39	Saci_0584		50S ribosomal protein L5P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213150	469325	470059	-	.36	Saci_0585		30S ribosomal protein S4E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213155	470061	470465	-	.36	Saci_0586		50S ribosomal protein L24AB	Sulfolobus acidocaldarius DSM 639 chromosome	
633213160	470467	470883	-	.4	Saci_0587		50S ribosomal protein L14P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213165	470885	471229	-	.37	Saci_0588		30S ribosomal protein S17P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213170	471222	471431	-	.34	Saci_0589		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213175	471463	471672	-	.34	Saci_0590		50S ribosomal protein L29P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213180	471656	472351	-	.39	Saci_0591		30S ribosomal protein S3P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213185	472355	472825	-	.34	Saci_0592		50S ribosomal protein L22P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213190	472829	473251	-	.38	Saci_0593		30S ribosomal protein S19P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213195	473298	474014	-	.41	Saci_0594		50S ribosomal protein L2P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213200	474026	474274	-	.33	Saci_0595		50S ribosomal protein L23P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213205	474271	475071	-	.36	Saci_0596		50S ribosomal protein L4E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213210	475075	476103	-	.37	Saci_0597		50S ribosomal protein L3P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213215	476159	476911	-	.32	Saci_0598		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213220	476895	480047	-	.35	Saci_0599	ileS	isoleucine-tRNA synthetase( EC:6.1.1.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213225	480116	481129	-	.38	Saci_0600	leuB	3-isopropylmalate dehydrogenase( EC:1.1.1.85 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213230	481139	481741	-	.31	Saci_0601		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213235	481827	482549	-	.34	Saci_0602		haloacid dehalogenase-like hydrolase	Sulfolobus acidocaldarius DSM 639 chromosome	
633213240	482557	484731	-	.38	Saci_0603		elongation factor 2	Sulfolobus acidocaldarius DSM 639 chromosome	
633213245	484969	485679	-	.32	Saci_0604		XPF/RAD1 repair endonuclease	Sulfolobus acidocaldarius DSM 639 chromosome	
633213250	485705	486082	-	.35	Saci_0605	gimC	prefoldin beta subunit	Sulfolobus acidocaldarius DSM 639 chromosome	
633213255	486079	486312	-	.32	Saci_0606		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213260	486290	486889	-	.32	Saci_0607		conserved brix domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213265	486819	487031	-	.41	Saci_0608		50S ribosomal protein L37AE	Sulfolobus acidocaldarius DSM 639 chromosome	
633213270	487042	487872	-	.36	Saci_0609		exosome complex exonuclease RRP43-like protein( EC:3.1.13.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213275	487876	488607	-	.38	Saci_0610	rph	ribonuclease PH	Sulfolobus acidocaldarius DSM 639 chromosome	
633213280	488573	489322	-	.35	Saci_0611		conserved Archaeal KH domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213285	489324	490025	-	.34	Saci_0612		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213290	490043	490771	-	.38	Saci_0613	psmA	proteasome alpha subunit( EC:3.4.25.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213295	490869	491291	-	.31	Saci_0614		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213300	491288	491839	-	.34	Saci_0615		conserved RNase_P_p30-like protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213305	491814	492128	-	.3	Saci_0616		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213310	492245	492898	-	.39	Saci_0617		50S ribosomal protein L15E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213315	492962	494164	+	.37	Saci_0618		GTPase( EC:3.6.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213320	494154	495371	-	.34	Saci_0619		nucleotidyl transferase( EC:2.7.7.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213325	495383	495976	-	.33	Saci_0620		30S ribosomal protein S3AE	Sulfolobus acidocaldarius DSM 639 chromosome	
633213330	496001	496708	-	.34	Saci_0621		SpoU rRNA methylase	Sulfolobus acidocaldarius DSM 639 chromosome	
633213335	496683	497285	-	.34	Saci_0622		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213340	497237	497905	-	.29	Saci_0623		ribosomal RNA adenine dimethylase( EC:2.1.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213345	497902	498528	-	.34	Saci_0624		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213350	498566	498910	-	.33	Saci_0625	rpoF	DNA-directed RNA polymerase, subunit F( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213355	498931	499242	-	.34	Saci_0626		50S ribosomal protein L21E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213360	499438	499518	+	.68	Saci_0628		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213365	500060	500125	-	.53	Saci_0629		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213370	500217	501218	-	.46	Saci_0630		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213375	501450	501749	+	.39	Saci_0631		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213380	501780	502556	+	.41	Saci_0632		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213385	502540	504141	+	.39	Saci_0633		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213390	504559	505209	+	.47	Saci_0634		resolvase	Sulfolobus acidocaldarius DSM 639 chromosome	
633213395	505247	505558	-	.39	Saci_0635		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213400	505871	506143	+	.43	Saci_0636		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213405	506140	507417	-	.41	Saci_0637		pNOB8-type integrase	Sulfolobus acidocaldarius DSM 639 chromosome	
633213410	507530	507601	-	.65	Saci_0638		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213415	507676	509571	-	.39	Saci_0639		hypothetical metallo-beta-lactamase superfamily protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213420	509637	510707	+	.37	Saci_0640		glycerol-1-phosphate dehydrogenase	Sulfolobus acidocaldarius DSM 639 chromosome	
633213425	510704	511423	-	.36	Saci_0641		peptidyl-prolyl cis-trans isomerase( EC:5.2.1.8 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213430	511503	511688	+	.37	Saci_0642		50S ribosomal protein L37E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213435	511688	512596	+	.36	Saci_0643		spermidine synthase( EC:2.5.1.16 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213440	512631	512737	+	.7	Saci_0644		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213445	512779	512875	+	.66	Saci_0645		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213450	513073	514320	+	.37	Saci_0646	ahcY	adenosylhomocysteinase( EC:3.3.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213455	514426	515073	+	.34	Saci_0647		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213460	515202	515290	+	.65	Saci_0648		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213465	515709	515780	-	.67	Saci_0649		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213470	515799	516257	-	.32	Saci_0650		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213475	516250	517209	-	.36	Saci_0651		site-specific DNA methylase( EC:2.1.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213480	517187	517693	-	.33	Saci_0652		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213485	517716	518114	-	.35	Saci_0653		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213490	518264	519322	-	.33	Saci_0654		GTP-binding protein hflX	Sulfolobus acidocaldarius DSM 639 chromosome	
633213495	519319	519810	-	.33	Saci_0655		conserved Archaeal HTH domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213500	519882	521072	+	.35	Saci_0656		protease regulatory protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213505	521069	521575	+	.31	Saci_0657		conserved Archaeal PUA domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213510	521575	522297	+	.33	Saci_0658		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213515	522241	523737	-	.34	Saci_0659		queuine tRNA-ribosyltransferase( EC:2.4.2.29 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213520	523739	524173	-	.33	Saci_0660		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213525	524244	524618	+	.32	Saci_0661	rpoG	DNA-directed RNA polymerase, subunit G( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213530	524615	525202	-	.35	Saci_0662		proteasome protease subunit( EC:3.4.25.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213535	525232	526518	-	.32	Saci_0663		histidyl tRNA synthetase	Sulfolobus acidocaldarius DSM 639 chromosome	
633213540	526525	526800	-	.26	Saci_0664		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213545	526865	527452	+	.25	Saci_0665		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213550	527522	529183	+	.38	Saci_0666	thsB	thermosome beta subunit	Sulfolobus acidocaldarius DSM 639 chromosome	
633213555	529180	530820	-	.29	Saci_0667		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213560	530841	531239	-	.29	Saci_0668		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213565	531229	531483	-	.3	Saci_0669		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213570	531486	531734	-	.29	Saci_0670		30S ribosomal protein S17E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213575	531780	532937	-	.39	Saci_0671		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213580	532970	534784	-	.34	Saci_0672		RNase L inhibitor-like protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213585	534834	534938	-	.44	Saci_0673		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213590	535180	535251	+	.64	Saci_0674		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213595	535612	536928	-	.35	Saci_0675		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213600	538271	538381	-	.3	Saci_0677		hypothetical SULF integrase	Sulfolobus acidocaldarius DSM 639 chromosome	
633213605	538708	539004	-	.38	Saci_0678		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213610	539319	540464	-	.34	Saci_0679		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213615	540470	541363	-	.33	Saci_0680		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213620	541728	542003	+	.39	Saci_0681		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213625	542562	542643	-	.7	Saci_0683		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633213630	542684	542992	-	.38	Saci_0684		30S ribosomal protein S10P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213635	543018	544325	-	.4	Saci_0685		elongation factor 1-alpha	Sulfolobus acidocaldarius DSM 639 chromosome	
633213640	544383	544970	-	.36	Saci_0686		30S ribosomal protein S7P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213645	545052	545543	+	.33	Saci_0687		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213650	545617	546060	-	.39	Saci_0688		30S ribosomal protein S12P	Sulfolobus acidocaldarius DSM 639 chromosome	
633213655	546074	546466	-	.33	Saci_0689	nusA	NusA	Sulfolobus acidocaldarius DSM 639 chromosome	
633213660	546506	546820	-	.31	Saci_0690		50S ribosomal protein L30E	Sulfolobus acidocaldarius DSM 639 chromosome	
633213665	546828	548009	-	.34	Saci_0691	rpoA2	DNA-directed RNA polymerase subunit A''( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213670	548014	550656	-	.37	Saci_0692	rpoA1	DNA-directed RNA polymerase subunit A'( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213675	550649	554029	-	.37	Saci_0693	rpoB	DNA directed RNA polymerase subunit B( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213680	554034	554288	-	.35	Saci_0694	rpoH	DNA-directed RNA polymerase, subunit H( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213685	554494	556302	+	.35	Saci_0695		translation initiation factor 2-like protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633213690	556271	556708	-	.36	Saci_0696		nucleoside diphosphate kinase( EC:2.7.4.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633213695	556705	556893	-	.34	Saci_0697		50S ribosomal protein L24E	Sulfolobus acidocaldarius DSM 639 chromosome	
