 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"HUBRECHT LABORATORY","1F32GM072367-01X1","6923486","Ason, Brandon L","In vitro RNAi & RISC characterization in C. elegans","","","$ 5,500","UTRECHT","NETHERLANDS","0","","","","  "
"HYDERABAD EYE RESEARCH FOUNDATION-L V PR","5R01TW006231-03","6767792","Kannabiran, Chitra ","RETINITIS PIGMENTOSA IN INDIA:  MOLECULAR GENETIC STUDI*","","","$ 54,000","HYDERABAD","INDIA","0","","","","  "
"ICELANDIC HEART ASSOCIATION","N01AG012100","","Gudnason, Vilmundur","AGES STY-THE REYKJAVIK STY OF HEALTHY AGING FOR THE NEW MILLENNIUM","","","$ 3,729,606","REYKJAVIC","ICELAND","0","","","","  "
"IMPERIAL CANCER RESEARCH FUND","5F32HD042379-03","6784520","Sevilla, Lisa M","Periplakin's role in assembly of the cornified envelope","","","$ 41,796","LONDON","UNITED KINGDOM","0","","","","  "
"IMPERIAL CANCER RESEARCH FUND","5F32HD042379-03X1","6882940","Sevilla, Lisa M","Periplakin's role in assembly of the cornified envelope","","","$ 5,500","LONDON","UNITED KINGDOM","0","","","","  "
"INDIAN COUNCIL OF MEDICAL RESEARCH","1R25TW007093-01","6838511","Kumar, Nandini K","Centrally Co-ordinated Bioethics Education for India","","","$ 121,878","NEW DELHI","INDIA","0","","","","  "
"INDIAN STATISTICAL INSTITUTE","5R01TW006604-02","6804048","Ghosh, Saurabh ","STATISTICAL METHODS FOR MAPPING MULTIVARIATE PHENOTYPES","","","$ 54,000","KOLKATA","INDIA","0","","","","  "
"INDIVIDUAL AWARD- -HUNTER, ANDREW","N01LM445549","","Hunter, Andrew","","","","$ 11,554","LONDON","UNITED KINGDOM","0","","","","  "
"INST MEXICANO DE INVESTIGACION DE FAMILI","5R01HD043911-03","6753648","Pick, Susan E","Life Skills Curriculum as an HIV/STD Prevention Strategy","","","$ 250,000","MEXICO CITY","MEXICO","0","","","","  "
"INSTITUTE FOR MOLECULAR CELL BIOLOGY","5R01AR040593-14","6755189","Howard, Jonathon ","Mechanics of Kinesin: a Microtubule-Based Motor Protein","","","$ 209,520","DRESDEN","GERMANY","0","","","","  "
"INSTITUTE OF MEDICAL AND VET SCIENCE","1R01DK068012-01","6807729","Ratcliff, Rodney M","New viral causes of pediatric gastroenteritis","","","$ 135,000","ADELAIDE","AUSTRALIA","0","","","","  "
"INSTITUTE OF MEDICAL AND VET SCIENCE","5R01AI050744-03","6780823","Lopez, Angel F","A NOVEL RECEPTOR: 14-3-3 AXIS REGULATES CELL FUNCTION","","","$ 225,000","ADELAIDE","AUSTRALIA","0","","","","  "
"INSTITUTE OF MOLECULAR BIOLOGY/CELLULAR","3R01HD040612-03S1","6850458","Mandel, Jeanlouis ","Proteins/mRNA interactors of FRMP","","","$ 25,000","STRASBOURG","FRANCE","0","","","","  "
"INSTITUTE OF NEUROPHYSIOLOGY-CNR","5R01EY012654-04","6697501","Strettoi, Enrica ","INNER RETINAL NEURONS IN NORMAL AND DEGENERATING MICE","","","$ 75,000","PISA","ITALY","0","","","","  "
"ISTITUTO SCIENTIFICO SAN RAFFAELE","5R01EY014540-02","6710672","Schiaffino, Maria V","Dissecting the Molecular Basis of Ocular Albinism type 1","","","$ 189,000","MILANO","ITALY","0","","","","  "
"ISTITUTO SCIENTIFICO SAN RAFFAELE","5R01NS045630-02","6752138","Feltri, Maria L","Laminin receptors and signals in Schwann cells","","","$ 230,850","MILANO","ITALY","0","","","","  "
"ISTITUTO SUPERIORE DI SANITA","5R21AI054215-02","6736882","Gessani, Sandra ","Modulation of innate immunity by HIV-1 gene products","","","$ 162,000","ROME","ITALY","00161","","","","  "
"JAPAN PUBLICATIONS TRADING COMPANY, LTD","N01LM445604","","","","","","$ 325,000","TOKYO","JAPAN","0","","","","  "
"JOHN P. ROBARTS RESEARCH INSTITUTE","5R01EB001852-02","6802329","Bartha, Robert ","Metabolic Measures of Tissue Damage","","","$ 91,800","LONDON","CANADA","000N6-A 5K","","","","  "
"JOHN P. ROBARTS RESEARCH INSTITUTE","5R01EB002739-02","6804046","Menon, Ravi S","High resolution functional MRI of columnar structures","","","$ 81,000","LONDON","CANADA","000N6-A 5K","","","","  "
"JOINT CLINICAL RESEARCH CENTER","1U2RTW006879-01","6762075","Mugyenyi, Peter N","UGANDA HIV/TB COHRE TRAiNING PROGRAM","","","$ 286,308","KAMPALA","UGANDA","0","","","","  "
"JUSTUS LIEBIG UNIVERSITY OF GIESSEN","5R01DK056962-04","6667345","Bretzel, Reinhard G","IMMUNE MODULATION & TOLERANCE INDUCTION TO HUMAN ISLETS","","","$ 467,975","GIESSEN","GERMANY","0","","","","  "
"K. U. LEUVEN UNIVERSITEITSHAL","1UC1AI062540-01","6845413","Neyts, Johan H","Novel inhibitors of the replication of poxviruses","","","$ 1,610,556","LEUVEN","BELGIUM","0","","","","  "
"KAROLINSKA INSTITUTE","1F32CA105945-01","6741144","Chang, Ellen T","Determinants of the secular increase in NHL","","","$ 37,476","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","1F32CA105945-01X1","6908767","Chang, Ellen T","Determinants of the secular increase in NHL","","","$ 5,500","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","1R01DA019350-01","6888384","Hurd, Yasmin L","Neurodevelopmental Effects of Adolescent Cannabis Use","","","$ 162,000","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","1R01NS049884-01","6839553","Deliagina, Tatiana G","Restoration of postural control after spinal cord injury","","","$ 244,755","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","1R03CA110709-01","6838515","Cnattingius, Sven H","Hormone markers during pregnancy and ovarian concer risk","","","$ 54,000","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","1R21HL077579-01","6817031","Grunewald, Johan ","Antigen Specificity in Lofgren's syndrome","","","$ 135,000","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","1U01DK066134-01","6711840","Pedersen, Nancy L","Interstitial Cystitis in Swedish Twins","","","$ 296,732","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","3R01DA012030-05S1","6948928","Hurd, Yasmin L","Effects of Drug Abuse on Human Neurodevelopment","","","$ 67,500","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","3R01DA015446-02S1","6948925","Hurd, Yasmin L","Dynorphin /kappa mesolimbic system in heroin abuse","","","$ 66,690","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5F32MH065008-03","6690035","Spotts, Erica L","Adult twins, relationships, and personality","","","$ 41,796","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5F32MH065008-03X1","6861149","Spotts, Erica L","Adult twins, relationships, and personality","","","$ 5,500","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5R01CA093378-03","6795849","Adami, Hansolov H","Prospective study on viral load of cervical cancer","","","$ 395,670","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5R01DA012030-05","6806064","Hurd, Yasmin L","Effects of Drug Abuse on Human Neurodevelopment","","","$ 270,000","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5R01DA015446-02","6668635","Hurd, Yasmin L","Dynorphin /kappa mesolimbic system in heroin abuse","","","$ 264,969","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5R01DK058508-05","6795399","Berggren, Perolof ","BETA CELL MASS AND FUNCTION FOLLOWING TRANSPLANTATION","","","$ 250,000","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5R01GM060548-04","6793718","Bertilsson, Leif N","Pharmacogenetics of human cytochromes P450","","","$ 210,000","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5R01HL071084-03","6801424","Sundquist, Jan O","LONGITUDINAL STUDY OF NEIGHBORHOOD PREDICTORS OF CVD","","","$ 425,856","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5R03CA101496-02","6770161","Adami, Hansolov H","Genetic variation in DNArepair and the risk for lymphoma","","","$ 54,000","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","5U01AI045061-05","6904282","Andersson, Bjorn ","T CRUZI GENOME: UU","","","$ 535,226","STOCKHOLM","SWEDEN","17177","","","","  "
"KAROLINSKA INSTITUTE","N01CP031156","","Hall, Per","RAD DOSE-RESP & SEC PRIM CNCRS OF STOM, ESOPH & PANC:  CNCR SURV","OTHER BASIC SCIENCES","ORGANIZED RESEARCH UNITS","$ 223,012","STOCKHOLM","SWEDEN","17177","","","","  "
"KEELE UNIVERSITY","5R01AG021030-02","6734164","Dobson, Jon P","NANOSCALE IRON PHASES IN NEURODEGENERATIVE DISEASES","","","$ 242,695","KEELE","UNITED KINGDOM","0","","","","  "
"KENYA MEDICAL RESEARCH INSTITUTE (KEMRI)","8R21MH072596-02","6805262","Holding, Penny A","Developing a Measure of Brain Insults In Kenyan Children","","","$ 145,588","NAIROBI","KENYA","0","","","","  "
"KLINIK ROSENECK","5R01MH066145-03","6800489","Fichter, Manfred M","Genetics of Anorexia Nervosa","","","$ 154,426","PRIEN AM CHIEMSEE","GERMANY","83209","","","","  "
"LAB DE GENETIQUE MOLECULAIRE DES EUCARYO","2R01RR015402-04","6720426","Thisse, Bernard V","EXPRESSION OF THE ZEBRAFISH GENOME DURING EMBRYOGENESIS","","","$ 402,117","STRASBOURG","FRANCE","0","","","","  "
"LAB DE GENETIQUE MOLECULAIRE DES EUCARYO","5U01AA013481-03","6806590","Kieffer, Brigitte L","Opioid system /EtOH abuse: molecular genetic manipulat.","","","$ 108,000","STRASBOURG","FRANCE","0","","","","  "
"LAVAL UNIVERSITY","1U01AI060594-01","6804254","Bergeron, Michel G","Microfluidic system for point of care diagnosis of GBS","","","$ 527,607","QUEBEC","CANADA","000G1-K 7P","","","","  "
"LAVAL UNIVERSITY","5R01MH060413-04","6752822","Morin, Charles M","BEHAVIORAL AND PHARMACOLOGICAL TREATMENT FOR INSOMNIA","","","$ 225,000","QUEBEC","CANADA","000G1-K 7P","","","","  "
"LAVAL UNIVERSITY","5R01NS041583-04","6806037","Julien, Jeanpierre ","Formation and toxicity of peripherin inclusions","","","$ 225,000","QUEBEC","CANADA","000G1-K 7P","","","","  "
"LELOIR INSTITUTE","2R01GM044500-13","6770879","Parodi, Armando Jose","Transient Glucosylation of Glycoproteins","","","$ 81,000","BUENOS AIRES 28","ARGENTINA","0","","","","  "
"LONDON HEALTH SCIENCES CENTER","N01HC005191","","Adams, Paul","IRON OVERLOAD & HEREDITARY HEMOCHROMATOSIS STY-FIELD","","","$ 166,613","LONDON","CANADA","0","","","","  "
"MACFARLANE BURNET INST FOR RES/PUB HLTH","1R21AI055379-01A1","6845004","Lewin, Sharon R","Interaction in vivo between HIV and Hepatitis B Virus","","","$ 162,000","MELBOURNE","AUSTRALIA","0","","","","  "
"MACFARLANE BURNET INST FOR RES/PUB HLTH","5R01AI054459-02","6751885","Gowans, Eric J","Immunotherapy of hepatitis C virus infection.","","","$ 303,539","MELBOURNE","AUSTRALIA","0","","","","  "
"MACFARLANE BURNET INST FOR RES/PUB HLTH","5R21AI054207-02","6801436","Gorry, Paul R","Pathogenesis of Macrophage Tropic HIV-1","","","$ 162,000","MELBOURNE","AUSTRALIA","0","","","","  "
"MAKERERE UNIVERSITY","5R01AG023217-02","6800044","Rutaremwa, Gideon ","MORTALITY DIFFERENTIALS IN UGANDA IN THE ERA OF HIV/AIDS","","","$ 54,000","KAMPALA","UGANDA","0","","","","  "
"MAX PLANCK INST FOR DEVELOPMENTL BIOLOGY","1F32HD044382-01A1","6790292","Rudel, David J","Nematode gonad development and the evolution of organs","","","$ 41,796","TUBINGEN","GERMANY","0","","","","  "
"MAX PLANCK INST FOR DEVELOPMENTL BIOLOGY","1F32HD044382-01A1X1","6859013","Rudel, David J","Nematode gonad development and the evolution of organs","","","$ 5,500","TUBINGEN","GERMANY","0","","","","  "
"MAX PLANCK INSTITUTE FOR MEDICAL RES","1F33NS047940-01","6737744","Lindau, Manfred ","Tracking vesicular transport in neurons","","","$ 51,036","HEIDELBERG","GERMANY","0","","","","  "
"MAX PLANCK INSTITUTE FOR MEDICAL RES","1F33NS047940-01X1","6872654","Lindau, Manfred ","Tracking vesicular transport in neurons","","","$ 5,500","HEIDELBERG","GERMANY","0","","","","  "
"MC GILL UNIVERSITY HEALTH CTR RES INST","5R21AI054806-02","6700785","Stevenson, Mary M","Modulation of Immunity to Malaria by Nematode Infection","","","$ 150,000","MONTREAL","CANADA","0","","","","  "
"MC GILL UNIVERSITY","1R21CA109965-01","6829593","Evans, Alan C","Novel MRI Probes for In Vivo Molecular Imaging","","","$ 116,259","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01AA014029-02","6744472","Palmour, Roberta M","ETHANOL SENSITIVITY IN ADOLESCENT VERVET MONKEYS","","","$ 216,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01AG020529-02","6804412","Cuello, A Claudio","Synaptic Alterations in the Cerebral Cortex during Aging","","","$ 261,900","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01DA015191-04","6768744","Mogil, Jeffrey S","QTL Mapping of Multiple Analgesic Modalities","","","$ 225,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01DC004669-03","6712749","Ostry, David J","Sensorimotor Control of Human Jaw Movement","","","$ 275,373","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01DK054075-07","6757829","Hanrahan, John W","Phosphatase regulation of CFTR","","","$ 121,905","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01GM031265-22","6686329","Herscovics, Annette A","MANNOPROTEIN BIOSYNTHESIS IN SACCHAROMYCES CEREVISIAE","","","$ 202,500","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01GM066157-03","6791292","Sonenberg, Nahum ","Regulation of mRNA 5'-3' interactions: The role of Paips","","","$ 189,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01HD036631-06","6756478","Lasko, Paul F","Germ line establishment in Drosophila melanogaster","","","$ 194,400","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01HL068533-04","6795127","Schurr, Erwin ","GENETIC DISSECTION OF MYCOBACTERIAL INFECTION","","","$ 300,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01MH060119-05","6787748","Jones, Barbara E","Role of Basal Forebrain Neurons in Sleep-Wake States","","","$ 121,500","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01MH060381-04","6723742","Meaney, Michael J","Individual differences in maternal behavior in the rat","","","$ 135,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01MH067172-03","6801987","Evans, Alan C","Web accessible aMR I/fMRI database","","","$ 270,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01NS020147-21","6789425","Colman, David R","Biosynthesis and Assembly of Myelin Membrane Proteins","","","$ 256,500","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01NS040431-03","6703134","Leblanc, Andrea C","Role of prion protein in neuronal survival","","","$ 205,200","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01NS040560-06","6895741","Colman, David R","FUNCTIONAL ORGANIZATION OF THE MYELIN AXOGLIAL JUNCTION","","","$ 216,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01NS040965-03","6729137","Leblanc, Andrea C","17 Beta-estradiol induced caspase inhibitory factor","","","$ 128,250","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R01NS044036-03","6796786","Bushnell, M Catherine","Cognitive Approaches to modifying human pain perception","","","$ 108,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R21AA013647-03","6790503","Palmour, Roberta M","BIOBEHAVIORAL TRAJECTORIES TO ALCOHOL ABUSE","","","$ 108,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","5R21DK066644-02","6803417","Hanrahan, John W","Epithelially-derived factors in interstitial cystitis","","","$ 108,000","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC GILL UNIVERSITY","N01MH012008","","Hechtman, Lily","FOL-UP OF THE MULTIMODAL TRTMT STY OF CHILDREN W ADHD (MTA)","PSYCHOLOGY","SCHOOLS OF MEDICINE","$ 171,253","MONTREAL","CANADA","000H3-A 2T","","","","  "
"MC MASTER UNIVERSITY","1R03AI057810-01A1","6823451","Xing, Zhou ","Role of DAP12 in type 1 anti-mycobacterial immunity","","","$ 54,000","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","3R01EY011910-06S1","6954462","Westmays, Judith A","Role of AP-2 genes in development of the lens","","","$ 54,000","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","3R03EY015006-02S1","6954455","Westmays, Judith A","Matrix Metalloproteinases-Subcapsular Cataract Formation","","","$ 27,000","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","5R01DA011865-07","6798700","Siegel, Shepard ","Associative Contributions to Drug Tolerance","","","$ 100,000","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","5R01EY011910-06","6752817","Westmays, Judith A","Role of AP-2 genes in development of the lens","","","$ 162,000","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","5R01HD040219-04","6798800","Saigal, Saroj ","Adult Functioning of Extremely Low Birthweight Infants","","","$ 230,533","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","5R03EY015006-02","6792743","Westmays, Judith A","Matrix Metalloproteinases-Subcapsular Cataract Formation","","","$ 64,800","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","5R21AR049163-03","6798229","Sakic, Boris ","BRAIN CELL DEATH IN MRL MICE: TARGETS AND MECHANISMS","","","$ 81,000","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","N01AI400066","","Loeb, Mark","POPULATION GENETICS ANAYLSIS PRGM ON WEST NILE VIRUS","","","$ 3,373,765","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MC MASTER UNIVERSITY","N01HC995179","","Gerstein, Hertzel","PREV OF CARDIOVASC DISEASE IN DIABETES MELLITUS","","","$ 5,568,497","HAMILTON","CANADA","000L8-N 3Z","","","","  "
"MED BIOTECH LABORATORIES","1R03AI059181-01","6762030","Egwang, Thomas G","Molecular epidemiology of sulfadoxine-pyrimethamine","","","$ 54,000","KAMPALA","UGANDA","0","","","","  "
"MEDICAL RESEARCH COUNCIL","5R01GM067624-02","6781043","Ramakrishnan, Venkatraman R","Structural studies on ribosomes and antibiotics","","","$ 164,421","CAMBRIDGE","UNITED KINGDOM","0","","","","  "
"MEDICAL RESEARCH COUNCIL","5R01MH066676-03","6787785","Goda, Yukiko ","Synaptic plasticity: regulating synapse form & function","","","$ 54,000","LONDON","UNITED KINGDOM","0","","","","  "
"MEDICAL RESEARCH COUNCIL","N01AI025477","","Cutts, Felicity","PHASE III PNEUMOCOCCAL CONJUGATE VACCINE STIDY IN THE GAMBIA","","","$ 1,077,310","LONDON","UNITED KINGDOM","0","","","","  "
"MEDICAL UNIVERSITY OF VIENNA","1R01DA018417-01","6821557","Fischer, Gabriele ","Maternal Opioid Treatment: Human Experimental","","","$ 297,927","VIENNA","AUSTRIA","0","","","","  "
"MEXICO NATIONAL INSTITUTE OF PUBLIC HLTH","N01ES015467","","Hernandez-Avila, Mauricio","EFFECTS OF ANTI&ROGEN DDE ON ANTHROPOMETRIC MEASURES AT BIRTH","","","$ 128,794","CUERNAVACA","MEXICO","0","","","","  "
"MIZMEDI HOSPITAL","2R24RR018406-03","6845901","Yoon, Hyun S","Enhancing Infrastructure of Production and Advanced Tec*","","","$ 287,256","SEOUL","KOREA PEO REP","0","","","","  "
"MOI UNIVERSITY COLLEGE - HEALTH SCIENCES","5R03AI056380-02","6797265","Diero, Lameck O","Establishing HIV/AIDS research in western Kenya","","","$ 54,000","ELDORET","KENYA","0","","","","  "
"MONASH UNIVERSITY","1R01AR051807-01","6840308","Hickey, Michael J","Roles of MIF and iNOS in SLE-associate inflammation","","","$ 245,700","CLAYTON, VICTORIA","AUSTRALIA","03800","","","","  "
"MONASH UNIVERSITY","5R01GM068417-02","6700283","Pera, Martin F","Regulation of embryonic stem cells","","","$ 217,893","CLAYTON, VICTORIA","AUSTRALIA","03800","","","","  "
"MONASH UNIVERSITY","5R25TW006055-03","6776463","Loff, Beatrice ","Monash Univ Master of International Research Bioethics","","","$ 150,000","CLAYTON, VICTORIA","AUSTRALIA","03800","","","","  "
"MONASH UNIVERSITY","5U01HD044778-02","6804517","Trounson, Alan Osborne","Molecular Markers of Oocyte Quality and Competence","","","$ 326,211","CLAYTON, VICTORIA","AUSTRALIA","03800","","","","  "
"MRC LABS--GAMBIA","1R03AI061308-01","6812732","Adegbola, Richard A","Genotypes of Helicobacter Pylori in West Africa","","","$ 53,616","BANJUL","GAMBIA","0","","","","  "
"MRC-NATIONAL INSTITUTE FOR MEDICAL RES","5R01DK057062-05","6742404","Pachnis, Vassilis ","COLONISATION OF FETAL GUT BY ENS PROGENITORS","","","$ 96,745","LONDON","UNITED KINGDOM","0","","","","  "
"MT SINAI HOSP-SAMUEL LUNENFELD RES INST","5R01HD042558-03","6801156","Lye, Stephen J","Gap Junctions in Placental Development","","","$ 190,560","TORONTO","CANADA","000M5-G 1X","","","","  "
"MT SINAI HOSP-SAMUEL LUNENFELD RES INST","5R01NS041397-04","6786635","Culotti, Joseph G","Signaling cascades that regulate axon growth/guidance","","","$ 270,788","TORONTO","CANADA","000M5-G 1X","","","","  "
"MT SINAI HOSP-SAMUEL LUNENFELD RES INST","5U01DK062423-03","6804959","Silverberg, Mark S","Identification of IBD Susceptibility Genes","","","$ 316,000","TORONTO","CANADA","000M5-G 1X","","","","  "
"MUHIMBILI UNIVERSITY COLL OF HEALTH SCIS","5R01AI056235-02","6799267","Fataki, Maulidi R","Effect of Zinc Supplementation on Pneumonia in Children","","","$ 101,082","DAR ES SALAAM","TANZANIA U REP","0","","","","  "
"MUNICIPAL INSTITUTE OF MEDICAL RESEARCH","5U01HG003150-02","6806415","Guigo, Roderic ","The Encyclopedia of Genes and Gene Variants","","","$ 478,877","BARCELONA","SPAIN","0","","","","  "
"MURDOCH CHILDREN'S RESEARCH INSTITUTE","5R01DC005662-03","6795886","Wake, Melissa ","Genetics of Mild Hearing Loss in children Aged 6-12 yrs","","","$ 90,404","MELBOURNE","AUSTRALIA","0","","","","  "
"MURDOCH CHILDREN'S RESEARCH INSTITUTE","5R01GM066112-02","6743198","Choo, Kh A","ANALYSIS AND MANIPULATION OF HUMAN NEOCENTROMERES","","","$ 205,200","MELBOURNE","AUSTRALIA","0","","","","  "
"MURDOCH UNIVERSITY","1R01AI060460-01","6799159","Mallal, Simon A","HIV-1 adaptation to HLA-restricted immune responses","","","$ 250,000","MURDOCH","AUSTRALIA","0","","","","  "
"NAT'L INST OF HLTH/ MED RES INSERM-PARIS","5F32DK065409-02","6877144","Esquivel, Ernie L","Genetic modifier in steroid-resistant nephrotic syndrome","","","$ 51,036","PARIS","FRANCE","0","","","","  "
"NAT'L INST OF HLTH/ MED RES INSERM-PARIS","5F32DK065409-02X1","6948959","Esquivel, Ernie L","Genetic modifier in steroid-resistant nephrotic syndrome","","","$ 5,500","PARIS","FRANCE","0","","","","  "
"NATIONAL ACADEMY OF MEDICINE","3R01TW006212-03S1","6951785","Kordon, Edith C","Tumor progression and apoptosis in mouse mammary gland","","","$ 5,000","BUENOS AIRES","ARGENTINA","0","","","","  "
"NATIONAL ACADEMY OF MEDICINE","5R01TW006212-03","6789423","Kordon, Edith C","Tumor progression and apoptosis in mouse mammary gland","","","$ 50,000","BUENOS AIRES","ARGENTINA","0","","","","  "
"NATIONAL AUTONOMOUS UNIVERSITY OF MEXICO","1R21AG023534-01","6754739","Gevorkian, Goar ","AMYLOD BETA-PEPTIDE SPECIFIC scFv ANTIBODIES","","","$ 97,200","MEXICO CITY","MEXICO","0","","","","  "
"NATIONAL INST OF NEUROLOGY NEUROSURGERY","1R21TW006786-01","6725046","Diaz, Claudia O","Prevalence of Post-Stroke Dementia in Mexico","","","$ 108,000","MEXICO","MEXICO","0","","","","  "
"NATIONAL INSTITUTE OF GENETICS","5R01GM069382-02","6777555","Kawakami, Koichi ","Genetic methods using the Tol2 transposable element","","","$ 226,800","MISIMA","JAPAN","0","","","","  "
"NATIONAL INSTITUTE OF PARASITIC DISEASES","5P50AI039461-08","6804682","Feng, Zheng ","Emerging Helminthiases in China: Genetic Diversity,","","","$ 687,867","SHANGHAI","CHINA","0","","","","  "
"NATIONAL PUBLIC HEALTH INSTITUTE","5R01DK062374-02","6777541","Tuomilehto, Jaakko O","Risk of Type 1 and Type 2 Diabetes among Young Finns","","","$ 376,191","HELSINKI","FINLAND","0","","","","  "
"NATIONAL PUBLIC HEALTH INSTITUTE","N01RC037004","","Virtamo, Jarmo","FOL-UP OF ALPHA-TOCOPHEROL, BETA-CAROT CNCR PREV (ATBC) STY COHORT","","","$ 870,177","HELSINKI","FINLAND","0","","","","  "
"NATIONAL RESEARCH COUNCIL OF CANADA","1R21AI059064-01","6756130","Chen, Wangxue ","Mouse model of oral infection with virulent Francisella","","","$ 216,000","OTTAWA","CANADA","0","","","","  "
"NATIONAL RESEARCH COUNCIL OF CANADA","5R01AI048474-04","6736353","Conlan, Wayne ","Acellular vaccines against Francisella tularensis","","","$ 225,000","OTTAWA","CANADA","0","","","","  "
"NATIONAL RESEARCH COUNCIL OF ITALY","N01AG012109","","Giuseppe, Pilia","GENETICS & EPIDEM OF AGAING, ASSOC CONDITIONS IN THE SARDINIAN POPULATION","","","$ 1,577,113","ROME","ITALY","0","","","","  "
"NATIONAL TAIWAN UNIVERSITY","N01DE002631","","Chen, Chien-Jen","FAMILY STY OF NASOPHARYNGEAL CARCINOMA & ORAL CNCR","DENTISTRY","SCHOOLS OF PUBLIC HEALTH","$ 55,000","TAIPEI","TAIWAN","0","","","","  "
"NATIONAL UNIVERSITY OF CORDOBA","1F32HL078187-01","6836111","Peshkovsky, Alexey ","Biomedical Applications of Nuclear Quadrupole Resonance","","","$ 43,428","CORDOBA","ARGENTINA","0","","","","  "
"NATIONAL UNIVERSITY OF CORDOBA","1F32HL078187-01X1","6883913","Peshkovsky, Alexey ","Biomedical Applications of Nuclear Quadrupole Resonance","","","$ 5,500","CORDOBA","ARGENTINA","0","","","","  "
"NATIONAL UNIVERSITY OF LA PLATA","1R21TW006665-01","6721031","Goya, Rodolfo G","Gene Therapy in the Senile Brain and Hypophysis","","","$ 104,000","LA PLATA","ARGENTINA","0","","","","  "
