OS TB 12/05/95 C&D: Source x Race-Cases '94



 Table R56.  Number of nonfatal occupational injuries and illnesses involving days away from work(1) by source of
 injury or illness and race or ethnic origin of worker, 1994
 __________________________________________________________________________________________________________________
                                 |           |         |                                                           
                                 |           |         |                   Race or ethnic origin                   
                                 |           |         |___________________________________________________________
                                 |   Source  | Private |         |         |         |         |         |         
        garden machinery,        |           |         |         |         |         |         |         |         
        unspecified..............|    3190   |       36|       15|    -    |       15|    -    |    -    |    -    
       Dairy and milk processing |           |         |         |         |         |         |         |         
        machinery--              |           |         |         |         |         |         |         |         
        specialized..............|    3191   |       33|    -    |    -    |    -    |    -    |    -    |    -    
       Feed grinders, crushers,  |           |         |         |         |         |         |         |         
        mixers--                 |           |         |         |         |         |         |         |         
        agricultural.............|    3192   |      149|       78|       24|       40|    -    |    -    |    -    
       Spraying and dusting      |           |         |         |         |         |         |         |         
        machinery-- agricultural.|    3193   |       90|       13|    -    |       36|    -    |    -    |       40
       Agricultural and garden   |           |         |         |         |         |         |         |         
        machinery, n.e.c. .......|    3199   |      309|      119|    -    |      108|    -    |    -    |       58
   Construction, logging, and    |           |         |         |         |         |         |         |         
    mining machinery.............|      32   |    8,434|    5,072|      716|      436|       66|       73|    2,070
     Construction, logging, and  |           |         |         |         |         |         |         |         
      mining machinery,          |           |         |         |         |         |         |         |         
      unspecified................|     320   |      217|      144|       12|       41|    -    |    -    |       19
     Excavating machinery........|     321   |    1,968|    1,363|      118|       95|       52|    -    |      332
       Excavating machinery,     |           |         |         |         |         |         |         |         
        unspecified..............|    3210   |      142|      105|       15|    -    |    -    |    -    |       16
       Backhoes..................|    3211   |      888|      559|       70|       50|    -    |    -    |      199
       Bulldozers................|    3212   |      516|      386|       12|    -    |       42|    -    |       68
       Steam and power shovels...|    3213   |       11|    -    |    -    |    -    |    -    |    -    |    -    
       Trenchers.................|    3214   |      264|      187|       18|       32|    -    |    -    |    -    
       Excavating machinery,     |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3219   |      148|      117|    -    |    -    |    -    |    -    |       26
     Loaders.....................|     322   |    1,217|      898|      122|       51|    -    |       33|      105
       Loaders, unspecified......|    3220   |      424|      334|       24|       19|    -    |    -    |       44
       Bucket loaders............|    3221   |      184|      159|    -    |    -    |    -    |    -    |       19
       End loaders...............|    3222   |      122|       71|    -    |    -    |    -    |       32|       13
       Front end loaders.........|    3223   |      306|      178|       87|       11|    -    |    -    |       25
       Loaders, n.e.c. ..........|    3229   |      180|      155|    -    |       19|    -    |    -    |    -    
     Logging and wood processing |           |         |         |         |         |         |         |         
      machinery--                |           |         |         |         |         |         |         |         
      specialized................|     323   |    1,015|      579|      199|       29|    -    |       15|      193
       Logging and wood          |           |         |         |         |         |         |         |         
        processing machinery--   |           |         |         |         |         |         |         |         
        specialized, unspecified.|    3230   |       68|       56|    -    |    -    |    -    |    -    |    -    
       Chippers..................|    3231   |      260|      151|       27|       17|    -    |    -    |       64
       Debarkers.................|    3232   |       17|       17|    -    |    -    |    -    |    -    |    -    
       Harvesters, including     |           |         |         |         |         |         |         |         
        feller-buncher, sheet....|    3233   |       11|    -    |    -    |    -    |    -    |    -    |    -    
       Log loaders, including    |           |         |         |         |         |         |         |         
        heel boom................|    3234   |      160|       53|       18|    -    |    -    |       14|       66
       Forwarder/yarder, skidder.|    3235   |       48|    -    |    -    |    -    |    -    |    -    |    -    
       Skidder--cable and grapple|    3238   |      245|       99|      143|    -    |    -    |    -    |    -    
       Logging and wood          |           |         |         |         |         |         |         |         
        processing               |           |         |         |         |         |         |         |         
        machinery--specialized,  |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3239   |      208|      173|    -    |    -    |    -    |    -    |       28
     Mining and drilling         |           |         |         |         |         |         |         |         
      machinery..................|     324   |    1,641|      487|       16|       63|    -    |    -    |    1,070
       Mining and drilling       |           |         |         |         |         |         |         |         
        machinery,               |           |         |         |         |         |         |         |         
        unspecified..............|    3240   |    1,020|      102|    -    |    -    |    -    |    -    |      918
       Drilling machines,        |           |         |         |         |         |         |         |         
        drilling augers..........|    3241   |      448|      278|       12|    -    |    -    |    -    |      134
       Mineral sorters,          |           |         |         |         |         |         |         |         
        separators, concentrators|    3242   |       42|       38|    -    |    -    |    -    |    -    |    -    
       Tunnelling machines.......|    3243   |       46|       24|    -    |    -    |    -    |    -    |    -    
       Mining and drilling       |           |         |         |         |         |         |         |         
        machinery, n.e.c. .......|    3249   |       85|       44|    -    |    -    |    -    |    -    |       18
     Road grading and surfacing  |           |         |         |         |         |         |         |         
      machinery..................|     325   |    1,128|      796|      140|       39|    -    |    -    |      146
       Road grading and surfacing|           |         |         |         |         |         |         |         
        machinery, unspecified...|    3250   |       40|    -    |    -    |    -    |    -    |    -    |    -    
       Asphalt and mortar        |           |         |         |         |         |         |         |         
        spreaders................|    3251   |      103|       36|       15|       18|    -    |    -    |       32
       Graders, levellers,       |           |         |         |         |         |         |         |         
        planers, scrapers........|    3252   |      384|      258|       52|    -    |    -    |    -    |       65
       Steam rollers, road pavers|    3254   |      417|      317|       57|    -    |    -    |    -    |       34
       Road grading and surfacing|           |         |         |         |         |         |         |         
        machinery,               |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3259   |      180|      159|    -    |    -    |    -    |    -    |    -    
     Other construction, logging,|           |         |         |         |         |         |         |         
      and mining machinery.......|     329   |    1,247|      805|      109|      118|    -    |    -    |      206
       Other construction,       |           |         |         |         |         |         |         |         
        logging, and mining      |           |         |         |         |         |         |         |         
        machinery, unspecified...|    3290   |       24|       24|    -    |    -    |    -    |    -    |    -    
       Agitators, mixers--earth, |           |         |         |         |         |         |         |         
        mineral..................|    3291   |      425|      287|    -    |       66|    -    |    -    |       44
       Compactors, crushers,     |           |         |         |         |         |         |         |         
        pulverizers--earth,      |           |         |         |         |         |         |         |         
        mineral..................|    3292   |      295|      174|       27|    -    |    -    |    -    |       69
       Pile drivers, tamping     |           |         |         |         |         |         |         |         
        machinery................|    3293   |      136|       68|       27|       13|    -    |    -    |       24
       Pile extractors...........|    3294   |       11|    -    |    -    |    -    |    -    |    -    |    -    
       Construction, logging, and|           |         |         |         |         |         |         |         
        mining machinery, n.e.c. |    3299   |      356|      243|       31|       17|    -    |    -    |       65
   Heating, cooling, and cleaning|           |         |         |         |         |         |         |         
    machinery and appliances.....|      33   |   23,420|   14,254|    2,110|    2,210|      413|       60|    4,373
     Heating, cooling, and       |           |         |         |         |         |         |         |         
      cleaning machinery and     |           |         |         |         |         |         |         |         
      appliances, unspecified....|     330   |      191|      144|    -    |       15|    -    |    -    |       30
     Cooling and humidifying     |           |         |         |         |         |         |         |         
      machinery and appliances...|     331   |    9,106|    6,289|      455|      644|       70|       44|    1,604
       Cooling and humidifying   |           |         |         |         |         |         |         |         
        machinery and appliances,|           |         |         |         |         |         |         |         
        unspecified..............|    3310   |       84|       66|    -    |       11|    -    |    -    |    -    
       Air conditioning units....|    3311   |    2,400|    1,767|       78|      142|    -    |    -    |      396
       Fans, blowers--wall,      |           |         |         |         |         |         |         |         
        floor, ceiling,          |           |         |         |         |         |         |         |         
        ventilation..............|    3312   |    1,538|      990|      108|       72|       19|    -    |      345
       Refrigerators, freezers,  |           |         |         |         |         |         |         |         
        ice makers...............|    3314   |    4,879|    3,320|      259|      414|       44|       31|      811
       Cooling and humidifying   |           |         |         |         |         |         |         |         
        machinery and appliances,|           |         |         |         |         |         |         |         
        n.e.c....................|    3319   |      182|      138|    -    |    -    |    -    |    -    |       34
     Heating and cooking         |           |         |         |         |         |         |         |         
      machinery and              |           |         |         |         |         |         |         |         
      appliances.................|     332   |    8,388|    4,734|      854|      714|      175|    -    |    1,901
       Heating and cooking       |           |         |         |         |         |         |         |         
        machinery and appliances,|           |         |         |         |         |         |         |         
        unspecified..............|    3320   |      238|      102|       13|       63|    -    |    -    |       57
       Beverage heating and      |           |         |         |         |         |         |         |         
        percolating equipment and|           |         |         |         |         |         |         |         
        appliances...............|    3321   |      242|      143|    -    |    -    |    -    |    -    |       88
       Broiling and frying       |           |         |         |         |         |         |         |         
        equipment and            |           |         |         |         |         |         |         |         
        appliances...............|    3322   |      331|      173|       18|    -    |    -    |    -    |      131
       Fabric pressers and       |           |         |         |         |         |         |         |         
        ironing appliances.......|    3323   |      731|      252|      180|      186|       24|    -    |       84
       Furnaces, heaters.........|    3324   |    2,746|    2,148|      132|       79|       16|    -    |      368
       Kilns.....................|    3325   |       50|       39|    -    |    -    |    -    |    -    |    -    
       Ranges, cooking ovens,    |           |         |         |         |         |         |         |         
        grills, toasters, food   |           |         |         |         |         |         |         |         
        warmers..................|    3326   |    3,449|    1,536|      432|      287|       99|    -    |    1,094
       Steaming equipment and    |           |         |         |         |         |         |         |         
        appliances...............|    3327   |      324|      176|       46|       75|    -    |    -    |       25
       Heating and cooking       |           |         |         |         |         |         |         |         
        machinery and appliances,|           |         |         |         |         |         |         |         
        n.e.c. ..................|    3329   |      277|      164|       27|       14|       25|    -    |       47
     Washers, dryers, and        |           |         |         |         |         |         |         |         
      cleaning machinery and     |           |         |         |         |         |         |         |         
      appliances.................|     333   |    4,816|    2,217|      770|      832|      165|    -    |      826
       Washers, dryers, and      |           |         |         |         |         |         |         |         
        cleaning machinery and   |           |         |         |         |         |         |         |         
        appliances, unspecified..|    3330   |      499|      326|       48|       58|    -    |    -    |       66
       Car or vehicle washing    |           |         |         |         |         |         |         |         
        machinery................|    3331   |      108|       56|    -    |    -    |    -    |    -    |    -    
       Clothes dryers............|    3332   |      408|      151|       41|      174|    -    |    -    |       42
       Clothes washers...........|    3333   |      744|      423|      167|       45|    -    |    -    |       88
       Dish washers..............|    3334   |      438|      219|       29|       76|       27|    -    |       85
       Hair and hand dryers......|    3335   |       14|    -    |    -    |    -    |    -    |    -    |    -    
       Vacuum cleaners...........|    3336   |    1,829|      633|      404|      390|       50|    -    |      349
       Washers, dryers, and      |           |         |         |         |         |         |         |         
        cleaning machinery and   |           |         |         |         |         |         |         |         
        appliances, n.e.c. ......|    3339   |      777|      404|       58|       80|       60|    -    |      173
     Heating, cooling, and       |           |         |         |         |         |         |         |         
      cleaning machinery and     |           |         |         |         |         |         |         |         
      appliances, n.e.c. ........|     339   |      919|      870|       29|    -    |    -    |    -    |       13
   Material handling machinery...|      34   |   25,095|   12,732|    2,579|    2,324|      461|       48|    6,951
     Material handling machinery,|           |         |         |         |         |         |         |         
      unspecified................|     340   |    1,477|      854|       87|      176|       12|    -    |      346
     Conveyors--gravity..........|     341   |    2,430|    1,193|      207|      204|    -    |    -    |      816
       Conveyors--gravity,       |           |         |         |         |         |         |         |         
        unspecified..............|    3410   |      530|      199|       62|       26|    -    |    -    |      244
       Chutes....................|    3411   |      705|      359|       52|       81|    -    |    -    |      208
       Conveyors--roller.........|    3412   |      940|      432|       87|       73|    -    |    -    |      341
       Conveyors--wheel..........|    3413   |      208|      188|    -    |    -    |    -    |    -    |    -    
       Conveyors--gravity, n.e.c.|           |         |         |         |         |         |         |         
        .........................|    3419   |       46|       15|    -    |       17|    -    |    -    |       14
     Conveyors--powered..........|     342   |    6,861|    3,116|      865|      698|      225|       17|    1,940
       Conveyors--powered,       |           |         |         |         |         |         |         |         
        unspecified..............|    3420   |    2,631|    1,410|      286|      213|       48|       12|      663
       Conveyors--belt...........|    3421   |    2,966|    1,121|      346|      289|      147|    -    |    1,062
       Conveyors--bucket, cup....|    3422   |       74|       56|    -    |    -    |    -    |    -    |    -    
       Conveyors--chain..........|    3423   |      283|       93|      124|       45|    -    |    -    |       19
       Conveyors--live roller....|    3424   |      479|      180|       36|      108|       16|    -    |      137
       Conveyors--pan............|    3425   |       47|    -    |       40|    -    |    -    |    -    |    -    
       Conveyors--pneumatic......|    3426   |       18|       15|    -    |    -    |    -    |    -    |    -    
       Conveyors--screw, auger...|    3427   |      112|       94|    -    |    -    |    -    |    -    |    -    
       Conveyors--slot...........|    3428   |       17|       13|    -    |    -    |    -    |    -    |    -    
       Conveyors--powered, n.e.c.|           |         |         |         |         |         |         |         
        .........................|    3429   |      233|      126|       27|       30|    -    |    -    |       41
     Cranes......................|     343   |    1,417|      886|      103|       89|       11|    -    |      319
       Cranes, unspecified.......|    3430   |      853|      549|       62|       32|       11|    -    |      189
       Cranes--floating..........|    3431   |       13|    -    |    -    |    -    |    -    |    -    |    -    
       Cranes--gantry............|    3432   |       34|       32|    -    |    -    |    -    |    -    |    -    
       Cranes--mobile, truck,    |           |         |         |         |         |         |         |         
        rail mounted.............|    3434   |      126|       96|    -    |    -    |    -    |    -    |       27
       Cranes--monorail and      |           |         |         |         |         |         |         |         
        underhung................|    3435   |       16|    -    |    -    |    -    |    -    |    -    |    -    
       Cranes--overhead..........|    3436   |      112|       70|       16|    -    |    -    |    -    |       18
       Cranes--portal, tower,    |           |         |         |         |         |         |         |         
        pillar...................|    3437   |       54|       18|    -    |    -    |    -    |    -    |       26
       Storage and retrieval     |           |         |         |         |         |         |         |         
        hoist systems............|    3438   |       55|    -    |    -    |       16|    -    |    -    |       15
       Cranes, n.e.c. ...........|    3439   |      152|       83|       13|       19|    -    |    -    |       36
     Overhead hoists.............|     344   |    1,155|      606|      135|       97|    -    |    -    |      294
       Overhead hoists,          |           |         |         |         |         |         |         |         
        unspecified..............|    3440   |      783|      411|       98|       66|       19|    -    |      190
       Overhead hoists--electric |           |         |         |         |         |         |         |         
        powered..................|    3441   |       68|       39|    -    |       24|    -    |    -    |    -    
       Overhead hoists--manual...|    3442   |      194|      102|       30|    -    |    -    |    -    |       57
       Overhead hoists, n.e.c. ..|    3449   |       88|       44|    -    |    -    |    -    |    -    |       32
     Derricks....................|     345   |      107|       61|    -    |    -    |    -    |    -    |       32
       Derricks, unspecified.....|    3450   |       84|       57|    -    |    -    |    -    |    -    |       17
     Elevators...................|     346   |    2,874|    1,557|      315|      271|       64|    -    |      664
       Elevators, unspecified....|    3460   |    1,262|      615|      179|      145|       36|    -    |      288
       Bucket or basket          |           |         |         |         |         |         |         |         
        hoist--truck mounted.....|    3461   |      128|       93|    -    |    -    |    -    |    -    |       33
       Dumbwaiters...............|    3462   |       37|       16|    -    |    -    |    -    |    -    |       14
       Elevators--electric.......|    3463   |      272|      127|       35|       50|    -    |    -    |       51
       Elevators--hydraulic......|    3464   |       25|    -    |    -    |    -    |    -    |    -    |       12
       Manlifts..................|    3466   |      786|      490|       56|       52|       13|    -    |      173
       Elevators, n.e.c. ........|    3469   |      340|      198|       28|       19|    -    |    -    |       90
     Jacks.......................|     347   |    8,035|    4,013|      796|      688|       92|       13|    2,432
       Jacks, unspecified........|    3470   |    3,882|    1,780|      306|      430|       65|    -    |    1,293
       Jacks--hydraulic..........|    3471   |    1,224|      585|      144|       42|       20|    -    |      429
       Jacks--mechanical.........|    3472   |      508|      343|       56|       13|    -    |    -    |       94
       Jacks--pneumatic..........|    3473   |       34|       29|    -    |    -    |    -    |    -    |    -    
       Jacks, n.e.c. ............|    3479   |    2,386|    1,276|      290|      201|    -    |    -    |      612
     Other material handling     |           |         |         |         |         |         |         |         
      machinery..................|     349   |      739|      446|       66|       97|       19|    -    |      108
       Winders, unwinders........|    3491   |      261|      157|    -    |       29|       12|    -    |       40
       Material handling         |           |         |         |         |         |         |         |         
        machinery, n.e.c. .......|    3499   |      478|      289|       45|       68|    -    |    -    |       68
   Metal, woodworking, and       |           |         |         |         |         |         |         |         
    special material machinery...|      35   |   32,288|   19,828|    2,339|    3,535|      618|       93|    5,875
     Metal, woodworking, and     |           |         |         |         |         |         |         |         
      special material machinery,|           |         |         |         |         |         |         |         
      unspecified................|     350   |    1,893|    1,084|      126|      154|       40|    -    |      490
     Bending, rolling, shaping   |           |         |         |         |         |         |         |         
      machinery..................|     351   |    2,734|    1,567|      142|      300|       30|    -    |      689
       Bending, rolling, shaping |           |         |         |         |         |         |         |         
        machinery, unspecified...|    3510   |      338|      165|       25|       45|    -    |    -    |      103
       Bending, crimping machines|    3511   |      392|      223|       40|       37|    -    |    -    |       86
       Shearing machines.........|    3512   |      916|      509|       38|      110|       13|    -    |      243
       Rolling mills, rolling,   |           |         |         |         |         |         |         |         
        calendering machinery....|    3513   |      669|      374|       25|       96|       11|    -    |      164
       Bending, rolling, shaping |           |         |         |         |         |         |         |         
        machinery, n.e.c. .......|    3519   |      419|      296|       14|       12|    -    |    -    |       93
     Boring, drilling, planing,  |           |         |         |         |         |         |         |         
      milling machinery..........|     352   |    3,106|    2,016|      199|      341|       46|       17|      487
       Boring, drilling, planing,|           |         |         |         |         |         |         |         
        milling machinery,       |           |         |         |         |         |         |         |         
        unspecified..............|    3520   |      401|      293|       26|    -    |    -    |    -    |       54
       Drills--stationary........|    3521   |    1,640|    1,073|      100|      223|       29|    -    |      208
       Planing machines..........|    3522   |      110|       73|       14|    -    |    -    |    -    |       12
       Milling machines..........|    3523   |      661|      422|       33|       46|    -    |    -    |      148
       Reaming machines..........|    3524   |       43|       31|    -    |    -    |    -    |    -    |    -    
       Boring, drilling, planing,|           |         |         |         |         |         |         |         
        milling machinery, n.e.c.|           |         |         |         |         |         |         |         
        .........................|    3529   |      251|      125|       24|       38|    -    |    -    |       58
     Extruding, injecting,       |           |         |         |         |         |         |         |         
      forming, molding           |           |         |         |         |         |         |         |         
      machinery..................|     353   |    2,342|    1,239|      280|      251|       64|    -    |      508
       Extruding, injecting,     |           |         |         |         |         |         |         |         
        forming, molding         |           |         |         |         |         |         |         |         
        machinery, unspecified...|    3530   |      435|      244|       31|       40|       18|    -    |      102
       Casting machinery.........|    3531   |      639|      366|       62|       72|       12|    -    |      128
       Extruding machinery.......|    3532   |      292|      107|       48|    -    |       15|    -    |      114
       Forging machinery.........|    3533   |      434|      271|       50|       33|    -    |    -    |       76
       Plastic injection molding |           |         |         |         |         |         |         |         
        machinery................|    3534   |      328|      121|       48|       94|       12|    -    |       52
       Extruding, injecting,     |           |         |         |         |         |         |         |         
        forming, molding         |           |         |         |         |         |         |         |         
        machinery, n.e.c. .......|    3539   |      215|      131|       40|    -    |    -    |    -    |       35
     Grinding, polishing         |           |         |         |         |         |         |         |         
      machinery..................|     354   |    3,221|    1,788|      150|      317|       47|       42|      876
       Grinding, polishing       |           |         |         |         |         |         |         |         
        machinery,               |           |         |         |         |         |         |         |         
        unspecified..............|    3540   |    1,634|      804|       90|      149|    -    |    -    |      547
       Grinders, abraders........|    3541   |    1,154|      706|       42|      116|    -    |    -    |      260
       Honing, polishing, lapping|           |         |         |         |         |         |         |         
        machinery................|    3542   |      114|       56|    -    |       34|    -    |    -    |       19
       Grinding, polishing       |           |         |         |         |         |         |         |         
        machinery, n.e.c. .......|    3549   |      319|      222|       18|       17|       13|    -    |       49
     Lathes......................|     355   |    1,257|      934|    -    |      110|       55|    -    |      134
       Lathes, unspecified.......|    3550   |      714|      575|       18|       50|    -    |    -    |       64
       Metalworking lathes.......|    3551   |      398|      270|    -    |       59|    -    |    -    |       65
       Lathes, n.e.c.............|    3559   |      122|       68|    -    |    -    |       45|    -    |    -    
     Presses, except printing....|     356   |    5,524|    3,066|      488|      949|      144|    -    |      868
       Presses, except printing, |           |         |         |         |         |         |         |         
        unspecified..............|    3560   |    2,281|    1,092|      267|      398|       82|    -    |      441
       Assembly presses..........|    3561   |      364|      226|       14|       63|    -    |    -    |       55
       Brake presses.............|    3562   |      514|      366|    -    |       35|       11|    -    |       75
       Punch presses.............|    3563   |    1,359|      803|      103|      260|       16|    -    |      174
       Presses, except printing, |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3569   |    1,006|      579|       80|      192|       32|    -    |      123
     Sawing machinery--stationary|     357   |    8,941|    5,935|      631|      842|      143|    -    |    1,380
       Sawing                    |           |         |         |         |         |         |         |         
        machinery--stationary,   |           |         |         |         |         |         |         |         
        unspecified..............|    3570   |    2,206|    1,399|      149|      274|       27|    -    |      353
       Arm saws, radial arm saws.|    3571   |      505|      295|       15|       14|       13|    -    |      165
       Band saws.................|    3572   |    1,883|    1,047|      208|       98|       33|    -    |      494
       Table saws................|    3573   |    2,880|    2,140|      107|      322|       54|    -    |      257
       Sawing                    |           |         |         |         |         |         |         |         
        machinery--stationary,   |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3579   |    1,467|    1,054|      152|      135|       15|    -    |      111
     Threading and tapping       |           |         |         |         |         |         |         |         
      machines...................|     358   |      211|      153|       18|    -    |    -    |    -    |    -    
     Other metal, woodworking,   |           |         |         |         |         |         |         |         
      and special material       |           |         |         |         |         |         |         |         
      machinery..................|     359   |    3,059|    2,048|      281|      265|       40|    -    |      421
       Laser cutting machinery...|    3592   |       46|       39|    -    |    -    |    -    |    -    |    -    
       Spot welding machinery....|    3594   |    1,887|    1,307|      141|      117|       25|    -    |      294
       Metal, woodworking, and   |           |         |         |         |         |         |         |         
        special material         |           |         |         |         |         |         |         |         
        machinery, n.e.c. .......|    3599   |    1,113|      699|      134|      146|       13|    -    |      119
   Office and business machinery.|      36   |    4,937|    2,354|      375|      197|       91|    -    |    1,916
     Office and business         |           |         |         |         |         |         |         |         
      machinery, unspecified.....|     360   |      117|       65|    -    |    -    |    -    |    -    |       45
     Electronic computers and    |           |         |         |         |         |         |         |         
      peripheral equipment.......|     361   |    2,457|      932|      172|       74|       59|    -    |    1,218
       Electronic computers and  |           |         |         |         |         |         |         |         
        peripheral equipment,    |           |         |         |         |         |         |         |         
        unspecified..............|    3610   |      312|      134|    -    |    -    |       19|    -    |      149
       Cathode ray tubes (CRTs)  |           |         |         |         |         |         |         |         
        and video display        |           |         |         |         |         |         |         |         
        terminals (VDTs).........|    3611   |      268|       92|    -    |    -    |    -    |    -    |      151
       Computers--electronic.....|    3612   |    1,116|      436|       52|       13|       20|    -    |      596
       Keyboards--computer.......|    3613   |      204|       50|       32|    -    |    -    |    -    |      117
       Optical scanners..........|    3614   |       58|    -    |    -    |    -    |    -    |    -    |       18
       Printers and              |           |         |         |         |         |         |         |         
        plotters--computer.......|    3615   |      288|       97|       41|       28|    -    |    -    |      113
       Electronic computers and  |           |         |         |         |         |         |         |         
        peripheral equipment,    |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3619   |      211|      100|    -    |       12|    -    |    -    |       73
     Office, banking, and retail |           |         |         |         |         |         |         |         
      machinery..................|     362   |    2,364|    1,357|      200|      119|       32|    -    |      653
       Office, banking, and      |           |         |         |         |         |         |         |         
        retail machinery,        |           |         |         |         |         |         |         |         
        unspecified..............|    3620   |      114|      103|    -    |    -    |    -    |    -    |    -    
       Automated teller machines.|    3621   |       60|       47|    -    |    -    |    -    |    -    |    -    
       Calculating machines and  |           |         |         |         |         |         |         |         
        cash registers...........|    3622   |      597|      335|       85|    -    |    -    |    -    |      162
       FAX machines..............|    3623   |       61|       29|    -    |    -    |    -    |    -    |       30
       Mailing and metering      |           |         |         |         |         |         |         |         
        machines.................|    3624   |      240|      156|    -    |       14|    -    |    -    |       65
       Photocopiers..............|    3625   |      893|      489|       76|       30|    -    |    -    |      291
       Typewriters and word      |           |         |         |         |         |         |         |         
        processing equipment.....|    3626   |      166|      121|       15|    -    |    -    |    -    |       16
       Office, banking, and      |           |         |         |         |         |         |         |         
        retail machinery, n.e.c. |    3629   |      232|       76|       17|       46|       15|    -    |       79
   Special process machinery.....|      37   |   27,960|   14,442|    2,559|    3,461|      775|       93|    6,631
     Special process machinery,  |           |         |         |         |         |         |         |         
      unspecified................|     370   |      190|       69|       14|       39|    -    |    -    |       61
     Food and beverage processing|           |         |         |         |         |         |         |         
      machinery--specialized.....|     371   |   12,397|    5,517|      917|    1,831|      206|       42|    3,884
       Food and beverage         |           |         |         |         |         |         |         |         
        processing               |           |         |         |         |         |         |         |         
        machinery--specialized,  |           |         |         |         |         |         |         |         
        unspecified..............|    3710   |      258|      116|       19|       82|    -    |    -    |       36
       Food slicers..............|    3711   |    8,958|    3,639|      584|    1,369|      114|       40|    3,212
       Juice, oil, fat extractors|    3712   |       37|       32|    -    |    -    |    -    |    -    |    -    
       Meat grinders.............|    3713   |      233|      129|       38|    -    |    -    |    -    |       59
       Mixers, blenders,         |           |         |         |         |         |         |         |         
        whippers--food and       |           |         |         |         |         |         |         |         
        beverage.................|    3714   |    1,065|      549|      123|       88|       47|    -    |      258
       Food and beverage         |           |         |         |         |         |         |         |         
        processing               |           |         |         |         |         |         |         |         
        machinery--specialized,  |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3719   |    1,846|    1,051|      153|      284|       43|    -    |      314
     Medical, surgical, and X-ray|           |         |         |         |         |         |         |         
      machinery and equipment....|     372   |    1,026|      606|       99|       62|       26|    -    |      232
       Medical, surgical, and    |           |         |         |         |         |         |         |         
        X-ray machinery and      |           |         |         |         |         |         |         |         
        equipment, unspecified...|    3720   |      241|      190|    -    |    -    |    -    |    -    |       36
       Medical machinery and     |           |         |         |         |         |         |         |         
        equipment, except X-ray..|    3721   |      215|       88|       30|    -    |    -    |    -    |       82
       X-ray, magnetic resonance |           |         |         |         |         |         |         |         
        imaging (MRIs) and       |           |         |         |         |         |         |         |         
        fluoroscope machinery and|           |         |         |         |         |         |         |         
        equipment................|    3722   |      202|      119|       18|    -    |    -    |    -    |       54
       Medical, surgical, and    |           |         |         |         |         |         |         |         
        X-ray machinery and      |           |         |         |         |         |         |         |         
        equipment, n.e.c. .......|    3729   |      368|      210|       44|       41|       14|    -    |       59
     Packaging, bottling,        |           |         |         |         |         |         |         |         
      wrapping machinery.........|     373   |    2,977|    1,610|      338|      341|       94|    -    |      570
       Packaging, bottling,      |           |         |         |         |         |         |         |         
        wrapping machinery,      |           |         |         |         |         |         |         |         
        unspecified..............|    3730   |      445|      158|       70|      124|    -    |    -    |       82
       Bottling, canning, filling|           |         |         |         |         |         |         |         
        machinery................|    3731   |      258|      142|       53|       32|    -    |    -    |    -    
       Packaging, wrapping,      |           |         |         |         |         |         |         |         
        bundling machinery.......|    3732   |    1,228|      824|       90|       51|       30|    -    |      232
       Product labeling machinery|    3733   |      203|      151|       11|       15|    -    |    -    |    -    
       Sealing, stapling         |           |         |         |         |         |         |         |         
        machinery................|    3734   |      435|      169|       36|       56|       39|    -    |      136
       Packaging, bottling,      |           |         |         |         |         |         |         |         
        wrapping machinery,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|    3739   |      407|      165|       78|       63|    -    |    -    |       76
     Paper production machinery..|     374   |    1,297|      856|       98|      146|    -    |    -    |      175
