Dataset:              Benthic Species Abundance Data
File Name:            va90_3_2.txt
Date Created:         03/10/96
# Variables:          7
# Header Records:     17
# Data Records:       3515
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              #GRABS       Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SDABN        Std. dev. of mean abundance

STA_NAME   DATE LATIN NAME                       #GRABS  T_ABN    M_ABN  SDABN
VA90-040 900819 AMPELISCA SPP.                        3      7     2.33   2.52
VA90-040 900819 ANACHIS LAFRESNAYI                    3      1     0.33   0.58
VA90-040 900819 ANCISTROSYLLIS HARTMANAE              3      6     2.00   3.46
VA90-040 900819 ANTHOZOA                              3     13     4.33   2.52
VA90-040 900819 CLYMENELLA TORQUATA                   3      1     0.33   0.58
VA90-040 900819 EDOTEA TRILOBA                        3      4     1.33   0.58
VA90-040 900819 EPITONIUM RUPICOLA                    3      1     0.33   0.58
VA90-040 900819 GASTROPODA: OTHER                     3      1     0.33   0.58
VA90-040 900819 GLYCERA DIBRANCHIATA                  3      3     1.00   1.00
VA90-040 900819 GLYCERA SPP.                          3      3     1.00   1.00
VA90-040 900819 GLYCINDE SOLITARIA                    3      7     2.33   1.53
VA90-040 900819 HYPERETEONE HETEROPODA                3      2     0.67   0.58
VA90-040 900819 LEITOSCOLOPLOS ROBUSTUS               3      6     2.00   1.00
VA90-040 900819 LEITOSCOLOPLOS SPP.                   3      3     1.00   1.73
VA90-040 900819 LISTRIELLA BARNARDI                   3      3     1.00   1.00
VA90-040 900819 LISTRIELLA CLYMENELLAE                3      3     1.00   1.73
VA90-040 900819 LOIMIA MEDUSA                         3     11     3.67   2.08
VA90-040 900819 LYONSIA HYALINA                       3      1     0.33   0.58
VA90-040 900819 MALDANIDAE                            3      6     2.00   1.00
VA90-040 900819 MEDIOMASTUS AMBISETA                  3     94    31.33  19.86
VA90-040 900819 MULINIA LATERALIS                     3      6     2.00   3.46
VA90-040 900819 NASSARIUS VIBEX                       3      1     0.33   0.58
VA90-040 900819 NEANTHES SUCCINEA                     3      4     1.33   2.31
VA90-040 900819 NEMERTINEA                            3      3     1.00   1.00
VA90-040 900819 ODOSTOMIA SPP.                        3     12     4.00   1.00
VA90-040 900819 OLIGOCHAETA                           3      4     1.33   1.15
VA90-040 900819 OPHIUROIDEA                           3      1     0.33   0.58
VA90-040 900819 PARAPRIONOSPIO PINNATA                3     65    21.67   2.52
VA90-040 900819 PARVILUCINA MULTILINEATA              3      3     1.00   1.00
VA90-040 900819 PECTINARIA GOULDII                    3      5     1.67   2.08
VA90-040 900819 PHORONIS SPP.                         3     37    12.33   4.16
VA90-040 900819 PODARKEOPSIS LEVIFUSCINA              3      3     1.00   1.73
VA90-040 900819 PSEUDEURYTHOE PAUCIBRANCHIATA         3      1     0.33   0.58
VA90-040 900819 SPIOCHAETOPTERUS COSTARUM             3     32    10.67   0.58
VA90-040 900819 TELLINA AGILIS                        3      1     0.33   0.58
VA90-040 900819 TELLINIDAE                            3      1     0.33   0.58
VA90-040 900819 TEREBELLIDAE                          3      1     0.33   0.58
VA90-040 900819 TURBELLARIA                           3      3     1.00   1.00
VA90-040 900819 TURBONILLA SPP.                       3      7     2.33   0.58
VA90-041 900720 ACTEOCINA CANALICULATA                3     24     8.00   4.58
VA90-041 900720 ACTEON PUNCTOSTRIATUS                 3     44    14.67   4.16
VA90-041 900720 AMPELISCA SPP.                        3      1     0.33   0.58
VA90-041 900720 AMPELISCA VERRILLI                    3      2     0.67   0.58
VA90-041 900720 AMPHARETIDAE                          3      2     0.67   1.15
VA90-041 900720 ANTHOZOA                              3     15     5.00   2.00
VA90-041 900720 CLYMENELLA TORQUATA                   3      1     0.33   0.58
VA90-041 900720 EDOTEA TRILOBA                        3      2     0.67   0.58
VA90-041 900720 ENSIS DIRECTUS                        3      1     0.33   0.58
VA90-041 900720 GEMMA GEMMA                           3     26     8.67   8.14
VA90-041 900720 GLYCERA SPP.                          3      6     2.00   1.00
VA90-041 900720 GLYCINDE SOLITARIA                    3     22     7.33   3.06
VA90-041 900720 HAMINOEA SOLITARIA                    3      7     2.33   2.08
VA90-041 900720 HETEROMASTUS FILIFORMIS               3      5     1.67   1.15
VA90-041 900720 HYPERETEONE SPP.                      3      1     0.33   0.58
VA90-041 900720 LEPTOSYNAPTA TENUIS                   3     16     5.33   2.89
VA90-041 900720 LISTRIELLA BARNARDI                   3      1     0.33   0.58
VA90-041 900720 LOIMIA MEDUSA                         3      1     0.33   0.58
VA90-041 900720 LYONSIA HYALINA                       3      1     0.33   0.58
VA90-041 900720 MACOMA MITCHELLI                      3      1     0.33   0.58
VA90-041 900720 MARENZELLERIA VIRIDIS                 3     62    20.67   2.08
VA90-041 900720 MEDIOMASTUS AMBISETA                  3     48    16.00  11.79
VA90-041 900720 MICROPROTOPUS RANEYI                  3      1     0.33   0.58
VA90-041 900720 MONOCULODES SP. 1 WATLING             3      5     1.67   1.53
VA90-041 900720 MULINIA LATERALIS                     3     10     3.33   0.58
VA90-041 900720 MYSIDOPSIS BIGELOWI                   3      1     0.33   0.58
VA90-041 900720 MYTILIDAE                             3      4     1.33   1.53
VA90-041 900720 NASSARIUS VIBEX                       3      2     0.67   1.15
VA90-041 900720 NEANTHES SUCCINEA                     3      7     2.33   1.53
VA90-041 900720 NEMERTINEA                            3      3     1.00   1.00
VA90-041 900720 ODOSTOMIA SPP.                        3      6     2.00   2.00
VA90-041 900720 OLIGOCHAETA                           3    183    61.00  24.58
VA90-041 900720 OXYUROSTYLIS SMITHI                   3      3     1.00   1.00
VA90-041 900720 PARVILUCINA MULTILINEATA              3      6     2.00   1.00
VA90-041 900720 PECTINARIA GOULDII                    3      4     1.33   1.53
VA90-041 900720 PHORONIS SPP.                         3     33    11.00   7.21
VA90-041 900720 PSEUDEURYTHOE PAUCIBRANCHIATA         3      1     0.33   0.58
VA90-041 900720 PTILANTHURA TENUIS                    3      2     0.67   1.15
VA90-041 900720 SCOLELEPIS TEXANA                     3     15     5.00   3.00
VA90-041 900720 SCOLOPLOS RUBRA                       3      4     1.33   0.58
VA90-041 900720 SPHAEROMA QUADRIDENTATUM              3      1     0.33   0.58
VA90-041 900720 SPIOCHAETOPTERUS COSTARUM             3     10     3.33   3.21
VA90-041 900720 SPIOPHANES BOMBYX                     3      3     1.00   1.73
VA90-041 900720 STREBLOSPIO BENEDICTI                 3     13     4.33   3.06
VA90-041 900720 SYLLIDES                              3      1     0.33   0.58
VA90-041 900720 SYLLIDES VERRILLI                     3      5     1.67   2.08
VA90-041 900720 TEREBELLIDAE                          3      1     0.33   0.58
VA90-041 900720 TURBELLARIA                           3      3     1.00   1.73
VA90-042 900803 ACTEOCINA CANALICULATA                3     81    27.00   9.54
VA90-042 900803 ACTEON PUNCTOSTRIATUS                 3      8     2.67   0.58
VA90-042 900803 AMPELISCA SPP.                        3      1     0.33   0.58
VA90-042 900803 AMPELISCA VERRILLI                    3     15     5.00   2.65
VA90-042 900803 ANACHIS LAFRESNAYI                    3      1     0.33   0.58
VA90-042 900803 ANCISTROSYLLIS HARTMANAE              3      4     1.33   1.53
VA90-042 900803 ANTHOZOA                              3     14     4.67   1.15
VA90-042 900803 ARICIDEA WASSI                        3      1     0.33   0.58
VA90-042 900803 BALANUS IMPROVISUS                    3      1     0.33   0.58
VA90-042 900803 BRANCHIOSTOMA CARIBAEUM               3     11     3.67   0.58
VA90-042 900803 BRANIA WELLFLEETENSIS                 3     13     4.33   3.79
VA90-042 900803 CABIRA INCERTA                        3      1     0.33   0.58
VA90-042 900803 CERIANTHEOPSIS AMERICANUS             3      3     1.00   1.73
VA90-042 900803 CIRRATULIDAE                          3      8     2.67   1.53
VA90-042 900803 CLYMENELLA TORQUATA                   3      3     1.00   1.00
VA90-042 900803 CYATHURA POLITA                       3      7     2.33   1.53
VA90-042 900803 DRILONEREIS LONGA                     3      1     0.33   0.58
VA90-042 900803 EDOTEA TRILOBA                        3      3     1.00   1.00
VA90-042 900803 EPITONIUM RUPICOLA                    3      3     1.00   1.73
VA90-042 900803 ERICTHONIUS BRASILIENSIS              3      1     0.33   0.58
VA90-042 900803 GASTROPODA: OTHER                     3      2     0.67   1.15
VA90-042 900803 GLYCERA DIBRANCHIATA                  3      6     2.00   1.00
VA90-042 900803 GLYCERA SPP.                          3     20     6.67   3.79
VA90-042 900803 GLYCINDE SOLITARIA                    3     15     5.00   5.20
VA90-042 900803 HETEROMASTUS FILIFORMIS               3      1     0.33   0.58
VA90-042 900803 LEITOSCOLOPLOS SPP.                   3      1     0.33   0.58
VA90-042 900803 LEPTOSYNAPTA TENUIS                   3      4     1.33   1.15
VA90-042 900803 LISTRIELLA CLYMENELLAE                3      8     2.67   2.31
VA90-042 900803 LOIMIA MEDUSA                         3     31    10.33   3.21
VA90-042 900803 LYONSIA HYALINA                       3      1     0.33   0.58
VA90-042 900803 MALDANIDAE                            3     14     4.67   3.06
VA90-042 900803 MARENZELLERIA VIRIDIS                 3     89    29.67   8.14
VA90-042 900803 MEDIOMASTUS AMBISETA                  3     22     7.33   7.57
VA90-042 900803 MERCENARIA MERCENARIA                 3      1     0.33   0.58
VA90-042 900803 MULINIA LATERALIS                     3      1     0.33   0.58
VA90-042 900803 MYTILIDAE                             3      1     0.33   0.58
VA90-042 900803 NEANTHES SUCCINEA                     3      4     1.33   0.58
VA90-042 900803 NEMERTINEA                            3      4     1.33   1.15
VA90-042 900803 NEPHTYS PICTA                         3      1     0.33   0.58
VA90-042 900803 NEREIDIDAE                            3      1     0.33   0.58
VA90-042 900803 ODOSTOMIA SPP.                        3      7     2.33   3.21
VA90-042 900803 OLIGOCHAETA                           3      8     2.67   2.89
VA90-042 900803 OPHIUROIDEA                           3      4     1.33   0.58
VA90-042 900803 OWENIIDAE                             3      1     0.33   0.58
VA90-042 900803 OXYUROSTYLIS SMITHI                   3      1     0.33   0.58
VA90-042 900803 PARANAITIS SPECIOSA                   3      1     0.33   0.58
VA90-042 900803 PARAPRIONOSPIO PINNATA                3      5     1.67   1.53
VA90-042 900803 PARVILUCINA MULTILINEATA              3     18     6.00   2.00
VA90-042 900803 PECTINARIA GOULDII                    3      1     0.33   0.58
VA90-042 900803 PHORONIS SPP.                         3    103    34.33   6.81
VA90-042 900803 PHYLLODOCE ARENAE                     3      4     1.33   1.53
VA90-042 900803 PINNIXA SPP.                          3      1     0.33   0.58
VA90-042 900803 PODARKEOPSIS LEVIFUSCINA              3      2     0.67   1.15
VA90-042 900803 POLYNOIDAE                            3      1     0.33   0.58
VA90-042 900803 PSEUDEURYTHOE PAUCIBRANCHIATA         3      6     2.00   2.65
VA90-042 900803 RHEPOXYNIUS HUDSONI                   3     17     5.67   3.06
VA90-042 900803 SACCOGLOSSUS KOWALEVSKII              3      2     0.67   1.15
VA90-042 900803 SPIOCHAETOPTERUS COSTARUM             3      8     2.67   1.15
VA90-042 900803 SPIOPHANES BOMBYX                     3     14     4.67   3.51
VA90-042 900803 TELLINA AGILIS                        3     20     6.67   3.79
VA90-042 900803 TEREBELLIDAE                          3      1     0.33   0.58
VA90-042 900803 THARYX SP. A MORRIS                   3      9     3.00   1.73
VA90-042 900803 TURBELLARIA                           3     12     4.00   1.00
VA90-042 900803 TURBONILLA SPP.                       3      3     1.00   1.73
VA90-044 900721 ACTEOCINA CANALICULATA                3      7     2.33   2.52
VA90-044 900721 AMPELISCA ABDITA                      3      1     0.33   0.58
VA90-044 900721 AMPELISCA SPP.                        3      3     1.00   1.73
VA90-044 900721 AMPITHOE LONGIMANA                    3      6     2.00   3.46
VA90-044 900721 ANACHIS LAFRESNAYI                    3      6     2.00   1.73
VA90-044 900721 BALANUS IMPROVISUS                    3      1     0.33   0.58
VA90-044 900721 BATEA CATHARINENSIS                   3      5     1.67   2.89
VA90-044 900721 CAPITELLA                             3      3     1.00   1.00
VA90-044 900721 CAPRELLA                              3      7     2.33   4.04
VA90-044 900721 CAPRELLIDAE                           3     11     3.67   5.51
VA90-044 900721 CERAPUS TUBULARIS                     3      4     1.33   1.15
VA90-044 900721 DIOPATRA CUPREA                       3      1     0.33   0.58
VA90-044 900721 EDOTEA TRILOBA                        3      2     0.67   0.58
VA90-044 900721 ELASMOPUS LAEVIS                      3      3     1.00   1.73
VA90-044 900721 ERICTHONIUS BRASILIENSIS              3      7     2.33   1.53
VA90-044 900721 HETEROMASTUS FILIFORMIS               3      5     1.67   2.89
VA90-044 900721 LEUCON AMERICANUS                     3      2     0.67   0.58
VA90-044 900721 MACOMA TENTA                          3      3     1.00   1.73
VA90-044 900721 MEDIOMASTUS AMBISETA                  3     25     8.33   3.21
VA90-044 900721 MICROPROTOPUS RANEYI                  3      1     0.33   0.58
VA90-044 900721 MUCROGAMMARUS MUCRONATUS              3      3     1.00   1.73
VA90-044 900721 NEANTHES SUCCINEA                     3     21     7.00   8.89
VA90-044 900721 NEMERTINEA                            3      1     0.33   0.58
VA90-044 900721 NEREIDIDAE                            3      9     3.00   4.36
VA90-044 900721 OLIGOCHAETA                           3     36    12.00   7.81
VA90-044 900721 ONUPHIDAE                             3      2     0.67   1.15
VA90-044 900721 OPHIUROIDEA                           3      2     0.67   0.58
VA90-044 900721 OXYUROSTYLIS SMITHI                   3      1     0.33   0.58
VA90-044 900721 PAGURUS LONGICARPUS                   3      1     0.33   0.58
VA90-044 900721 PARACAPRELLA TENUIS                   3      5     1.67   2.89
VA90-044 900721 PARAPRIONOSPIO PINNATA                3      3     1.00   1.00
VA90-044 900721 PECTINARIA                            3      1     0.33   0.58
VA90-044 900721 PECTINARIA GOULDII                    3      1     0.33   0.58
VA90-044 900721 PHYLLODOCE ARENAE                     3      1     0.33   0.58
VA90-044 900721 POLYDORA CORNUTA                      3      1     0.33   0.58
VA90-044 900721 SIGAMBRA TENTACULATA                  3      8     2.67   3.06
VA90-044 900721 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
VA90-044 900721 STREBLOSPIO BENEDICTI                 3      2     0.67   0.58
VA90-044 900721 TELLINA AGILIS                        3      2     0.67   1.15
VA90-044 900721 YOLDIA LIMATULA                       3      1     0.33   0.58
VA90-045 900720 ACTEOCINA CANALICULATA                3      1     0.33   0.58
VA90-045 900720 BALANUS IMPROVISUS                    3      3     1.00   1.00
VA90-045 900720 CHIRONOMIDAE                          3     29     9.67   8.74
VA90-045 900720 CYCLASPIS VARIANS                     3      5     1.67   1.15
VA90-045 900720 EDOTEA TRILOBA                        3      8     2.67   1.53
VA90-045 900720 GASTROPODA: OTHER                     3      3     1.00   1.00
VA90-045 900720 GLYCERA DIBRANCHIATA                  3      2     0.67   0.58
VA90-045 900720 GLYCINDE SOLITARIA                    3     15     5.00   1.73
VA90-045 900720 HETEROMASTUS FILIFORMIS               3     25     8.33   3.21
VA90-045 900720 HOBSONIA FLORIDA                      3      4     1.33   2.31
VA90-045 900720 HYPERETEONE FOLIOSA                   3      2     0.67   1.15
VA90-045 900720 LEITOSCOLOPLOS ROBUSTUS               3      5     1.67   0.58
VA90-045 900720 LEITOSCOLOPLOS SPP.                   3      7     2.33   3.21
VA90-045 900720 LEUCON AMERICANUS                     3      1     0.33   0.58
VA90-045 900720 MACOMA BALTHICA                       3      2     0.67   0.58
VA90-045 900720 MACOMA MITCHELLI                      3      1     0.33   0.58
VA90-045 900720 MALDANIDAE                            3      3     1.00   0.00
VA90-045 900720 MEDIOMASTUS AMBISETA                  3    118    39.33  44.77
VA90-045 900720 MELINNA MACULATA                      3      1     0.33   0.58
VA90-045 900720 MICROPHTHALMUS ABERRANS               3      4     1.33   2.31
VA90-045 900720 MOLGULA MANHATTENSIS                  3      1     0.33   0.58
VA90-045 900720 MULINIA LATERALIS                     3     20     6.67   2.52
VA90-045 900720 NEANTHES SUCCINEA                     3      5     1.67   2.08
VA90-045 900720 NEMERTINEA                            3      1     0.33   0.58
VA90-045 900720 OLIGOCHAETA                           3     23     7.67  11.59
VA90-045 900720 PODARKEOPSIS LEVIFUSCINA              3      2     0.67   1.15
VA90-045 900720 POLYCHAETA                            3      1     0.33   0.58
VA90-045 900720 POLYDORA                              3      1     0.33   0.58
VA90-045 900720 PYRAMIDELLIDAE                        3      2     0.67   1.15
VA90-045 900720 STREBLOSPIO BENEDICTI                 3     88    29.33  28.57
VA90-045 900720 TELLINIDAE                            3     73    24.33  17.21
VA90-046 900804 ACTEOCINA CANALICULATA                3      1     0.33   0.58
VA90-046 900804 ACTEON PUNCTOSTRIATUS                 3      2     0.67   1.15
VA90-046 900804 AGLAOPHAMUS VERRILLI                  3      2     0.67   1.15
VA90-046 900804 ALCYONIDIUM                           3      1     0.33   0.58
VA90-046 900804 ALIGENA ELEVATA                       3      8     2.67   3.06
VA90-046 900804 AMPELISCA ABDITA                      3      7     2.33   4.04
VA90-046 900804 AMPELISCA SPP.                        3      4     1.33   1.53
VA90-046 900804 AMPELISCA VADORUM                     3      1     0.33   0.58
VA90-046 900804 ANACHIS LAFRESNAYI                    3     16     5.33   6.11
VA90-046 900804 ANADARA OVALIS                        3      1     0.33   0.58
VA90-046 900804 ANADARA TRANSVERSA                    3      8     2.67   3.79
VA90-046 900804 ANCISTROSYLLIS HARTMANAE              3      4     1.33   1.53
VA90-046 900804 ANTHOZOA                              3     11     3.67   3.51
VA90-046 900804 ARICIDEA CATHERINAE                   3      1     0.33   0.58
VA90-046 900804 ASCIDIACEA                            3      7     2.33   4.04
VA90-046 900804 ASTYRIS LUNATA                        3      8     2.67   4.62
VA90-046 900804 ASYCHIS ELONGATA                      3      1     0.33   0.58
VA90-046 900804 BHAWANIA HETEROSETA                   3     46    15.33  11.93
VA90-046 900804 BIVALVIA: OTHER - UNIDENTIFIED        3      3     1.00   1.73
VA90-046 900804 BRANIA WELLFLEETENSIS                 3      2     0.67   1.15
VA90-046 900804 CABIRA INCERTA                        3      2     0.67   1.15
VA90-046 900804 CAPRELLIDAE                           3      2     0.67   0.58
VA90-046 900804 CERAPUS TUBULARIS                     3      1     0.33   0.58
VA90-046 900804 CERIANTHEOPSIS AMERICANUS             3      3     1.00   1.73
VA90-046 900804 CIRRIFORMIA GRANDIS                   3     18     6.00   6.08
VA90-046 900804 CLYMENELLA TORQUATA                   3     26     8.67   6.81
VA90-046 900804 COROPHIUM TUBERCULATUM                3      5     1.67   2.89
VA90-046 900804 CREPIDULA SPP.                        3      2     0.67   1.15
VA90-046 900804 DIOPATRA CUPREA                       3      4     1.33   1.15
VA90-046 900804 ENSIS DIRECTUS                        3     15     5.00   2.65
VA90-046 900804 ERICTHONIUS BRASILIENSIS              3     51    17.00  27.73
VA90-046 900804 EUCERAMUS PRAELONGUS                  3      2     0.67   1.15
VA90-046 900804 EXOGONE DISPAR                        3     50    16.67  19.86
VA90-046 900804 GLYCERA AMERICANA                     3      3     1.00   1.00
VA90-046 900804 GLYCERA DIBRANCHIATA                  3      1     0.33   0.58
VA90-046 900804 GLYCINDE SOLITARIA                    3      7     2.33   2.52
VA90-046 900804 HETEROMASTUS FILIFORMIS               3      1     0.33   0.58
VA90-046 900804 LOIMIA MEDUSA                         3      6     2.00   1.00
VA90-046 900804 LYONSIA HYALINA                       3      1     0.33   0.58
VA90-046 900804 MACOMA TENTA                          3     46    15.33  20.50
VA90-046 900804 MACROCLYMENE ZONALIS                  3      7     2.33   3.21
VA90-046 900804 MALDANIDAE                            3     82    27.33  23.01
VA90-046 900804 MALMGRENIELLA SP. A WESTON            3      4     1.33   1.15
VA90-046 900804 MEDIOMASTUS AMBISETA                  3     90    30.00  36.86
VA90-046 900804 MELINNA MACULATA                      3      2     0.67   0.58
VA90-046 900804 MERCENARIA MERCENARIA                 3      1     0.33   0.58
VA90-046 900804 MICROPHIOPHOLIS ATRA                  3      5     1.67   2.08
VA90-046 900804 MOLGULA MANHATTENSIS                  3     10     3.33   4.93
VA90-046 900804 MONTICELLINA BAPTISTEAE-DORSOBRANCHIA 3      1     0.33   0.58
VA90-046 900804 MYTILUS EDULIS                        3     22     7.33   3.06
VA90-046 900804 NEANTHES SUCCINEA                     3      7     2.33   2.08
VA90-046 900804 NEMERTINEA                            3      7     2.33   3.21
VA90-046 900804 NEPHTYIDAE                            3      5     1.67   2.89
VA90-046 900804 NEPHTYS CRYPTOMMA                     3     21     7.00   0.00
VA90-046 900804 NEPHTYS PICTA                         3      1     0.33   0.58
VA90-046 900804 NEREIDIDAE                            3      5     1.67   1.53
VA90-046 900804 NOTOMASTUS SP. A EWING                3     44    14.67  10.69
VA90-046 900804 NUCULA ANNULATA                       3     23     7.67   6.66
VA90-046 900804 ODOSTOMIA SPP.                        3      1     0.33   0.58
VA90-046 900804 OLIGOCHAETA                           3      2     0.67   1.15
VA90-046 900804 OPHIUROIDEA                           3      4     1.33   1.53
VA90-046 900804 OWENIA FUSIFORMIS                     3     11     3.67   3.51
VA90-046 900804 PARACAPRELLA TENUIS                   3      5     1.67   2.89
VA90-046 900804 PARAPRIONOSPIO PINNATA                3      3     1.00   1.00
VA90-046 900804 PARVILUCINA MULTILINEATA              3      9     3.00   2.65
VA90-046 900804 PECTINARIA GOULDII                    3     15     5.00   7.00
VA90-046 900804 PHORONIS SPP.                         3     13     4.33   2.52
VA90-046 900804 PHOTIS PUGNATOR                       3      7     2.33   4.04
VA90-046 900804 PHYLLODOCE ARENAE                     3      9     3.00   3.00
VA90-046 900804 PILARGIDAE                            3      1     0.33   0.58
VA90-046 900804 PISTA CRISTATA                        3      5     1.67   1.15
VA90-046 900804 PODARKE OBSCURA                       3      1     0.33   0.58
VA90-046 900804 PODARKEOPSIS LEVIFUSCINA              3     10     3.33   3.21
VA90-046 900804 POLYCIRRUS EXIMIUS                    3      3     1.00   1.73
VA90-046 900804 POLYCIRRUS SPP.                       3      7     2.33   2.08
VA90-046 900804 POLYDORA CORNUTA                      3      5     1.67   2.89
VA90-046 900804 PRIONOSPIO PERKINSI                   3     18     6.00   8.72
VA90-046 900804 PSEUDEURYTHOE PAUCIBRANCHIATA         3     14     4.67   3.21
VA90-046 900804 SABELLARIA VULGARIS                   3      2     0.67   1.15
VA90-046 900804 SACCOGLOSSUS KOWALEVSKII              3      1     0.33   0.58
VA90-046 900804 SCOLELEPIS BOUSFIELDI                 3      2     0.67   0.58
VA90-046 900804 SIGAMBRA TENTACULATA                  3      3     1.00   1.73
VA90-046 900804 SOLEMYA VELUM                         3      1     0.33   0.58
VA90-046 900804 SPHAEROSYLLIS TAYLORI                 3      1     0.33   0.58
VA90-046 900804 SPIOCHAETOPTERUS COSTARUM             3      4     1.33   1.15
VA90-046 900804 SPIOPHANES BOMBYX                     3      5     1.67   0.58
VA90-046 900804 STHENELAIS BOA                        3      1     0.33   0.58
VA90-046 900804 TAGELUS DIVISUS                       3      1     0.33   0.58
VA90-046 900804 TELLINA AGILIS                        3      7     2.33   4.04
VA90-046 900804 TURBELLARIA                           3      6     2.00   1.73
VA90-046 900804 TURBONILLA SPP.                       3      7     2.33   3.21
VA90-046 900804 VITRINELLIDAE                         3      1     0.33   0.58
VA90-046 900804 XANTHIDAE                             3      1     0.33   0.58
VA90-046 900804 YOLDIA LIMATULA                       3      3     1.00   1.00
VA90-047 900729 ACTEOCINA CANALICULATA                3     93    31.00   9.85
VA90-047 900729 ACTEON PUNCTOSTRIATUS                 3     32    10.67   4.73
VA90-047 900729 AMPELISCA ABDITA                      3      1     0.33   0.58
VA90-047 900729 AMPELISCA SPP.                        3      3     1.00   0.00
VA90-047 900729 AMPELISCA VERRILLI                    3      5     1.67   0.58
VA90-047 900729 ANCISTROSYLLIS HARTMANAE              3      1     0.33   0.58
VA90-047 900729 ANTHOZOA                              3      2     0.67   1.15
VA90-047 900729 BIVALVIA: OTHER - UNIDENTIFIED        3      1     0.33   0.58
VA90-047 900729 CIRRATULIDAE                          3     15     5.00   5.20
VA90-047 900729 EDOTEA TRILOBA                        3      6     2.00   1.00
VA90-047 900729 ENSIS DIRECTUS                        3     56    18.67   2.08
VA90-047 900729 GLYCERA DIBRANCHIATA                  3      2     0.67   1.15
VA90-047 900729 GLYCERA SPP.                          3      4     1.33   0.58
VA90-047 900729 GLYCINDE SOLITARIA                    3      6     2.00   1.00
VA90-047 900729 GONIADIDAE                            3      2     0.67   1.15
VA90-047 900729 HETEROMASTUS FILIFORMIS               3     14     4.67   3.06
VA90-047 900729 LEITOSCOLOPLOS ROBUSTUS               3     10     3.33   2.08
VA90-047 900729 LEITOSCOLOPLOS SPP.                   3      1     0.33   0.58
VA90-047 900729 LEPTOSYNAPTA TENUIS                   3      1     0.33   0.58
VA90-047 900729 LISTRIELLA CLYMENELLAE                3      2     0.67   0.58
VA90-047 900729 LOIMIA MEDUSA                         3      8     2.67   1.53
VA90-047 900729 MALDANIDAE                            3      2     0.67   1.15
VA90-047 900729 MARENZELLERIA VIRIDIS                 3      2     0.67   1.15
VA90-047 900729 MEDIOMASTUS AMBISETA                  3     73    24.33  11.85
VA90-047 900729 MULINIA LATERALIS                     3     33    11.00   1.00
VA90-047 900729 NEANTHES SUCCINEA                     3      4     1.33   1.15
VA90-047 900729 NEMERTINEA                            3      1     0.33   0.58
VA90-047 900729 NEOMYSIS AMERICANA                    3      1     0.33   0.58
VA90-047 900729 NEPHTYS CRYPTOMMA                     3      1     0.33   0.58
VA90-047 900729 ODOSTOMIA SPP.                        3     15     5.00   2.00
VA90-047 900729 OLIGOCHAETA                           3      1     0.33   0.58
VA90-047 900729 OPHIUROIDEA                           3      1     0.33   0.58
VA90-047 900729 PARAPRIONOSPIO PINNATA                3      8     2.67   1.53
VA90-047 900729 PARVILUCINA MULTILINEATA              3      3     1.00   1.73
VA90-047 900729 PECTINARIA                            3      5     1.67   2.89
VA90-047 900729 PECTINARIA GOULDII                    3      6     2.00   2.65
VA90-047 900729 PHORONIS SPP.                         3      8     2.67   0.58
VA90-047 900729 PHYLLODOCE ARENAE                     3      1     0.33   0.58
VA90-047 900729 POLYNOIDAE                            3      2     0.67   0.58
VA90-047 900729 PSEUDEURYTHOE PAUCIBRANCHIATA         3     19     6.33   3.06
VA90-047 900729 SIGAMBRA TENTACULATA                  3      1     0.33   0.58
VA90-047 900729 SPIOCHAETOPTERUS COSTARUM             3      2     0.67   0.58
VA90-047 900729 SPIOPHANES BOMBYX                     3      1     0.33   0.58
VA90-047 900729 TELLINA AGILIS                        3      2     0.67   0.58
VA90-047 900729 TEREBELLIDAE                          3      1     0.33   0.58
VA90-047 900729 THARYX SP. A MORRIS                   3     24     8.00   4.58
VA90-047 900729 TURBELLARIA                           3      8     2.67   0.58
VA90-048 900722 ACTEOCINA CANALICULATA                3     18     6.00   1.00
VA90-048 900722 ACTEON PUNCTOSTRIATUS                 3      4     1.33   1.15
VA90-048 900722 AGLAOPHAMUS VERRILLI                  3      1     0.33   0.58
VA90-048 900722 AMPELISCA SPP.                        3      4     1.33   1.53
VA90-048 900722 AMPELISCA VERRILLI                    3      8     2.67   1.15
VA90-048 900722 AMPITHOE LONGIMANA                    3      1     0.33   0.58
VA90-048 900722 ANACHIS LAFRESNAYI                    3      1     0.33   0.58
VA90-048 900722 ANTHOZOA                              3      5     1.67   2.08
VA90-048 900722 APOPRIONOSPIO PYGMAEA                 3      2     0.67   1.15
VA90-048 900722 ARABELLIDAE                           3      1     0.33   0.58
VA90-048 900722 ARICIDEA CATHERINAE                   3      1     0.33   0.58
VA90-048 900722 BHAWANIA HETEROSETA                   3      1     0.33   0.58
VA90-048 900722 CAULLERIELLA SP. B BLAKE              3      7     2.33   2.52
VA90-048 900722 CIRRATULIDAE                          3     67    22.33  14.47
VA90-048 900722 CYLICHNELLA BIDENTATA                 3      3     1.00   1.73
VA90-048 900722 DRILONEREIS LONGA                     3      3     1.00   1.73
VA90-048 900722 ECHINOIDEA                            3      1     0.33   0.58
