 542597.74 2820605.40    1.46 GH01265A99 19991209Y
 543390.25 2832987.62    1.74 GH63A26799 19991209Y
 543006.65 2833005.20    1.74 GH63A26799 19991209Y
 542606.02 2833009.45    1.64 GH63A26799 19991209Y
 542230.55 2832994.96    1.36 GH63A26799 19991209Y
 541448.38 2832998.04    1.48 GH63A26799 19991209Y
 541015.61 2833005.56    1.57 GH63A26799 19991209Y
 540633.09 2832997.74    1.64 GH63A26799 19991209Y
 540221.41 2833004.24    1.39 GH63A26799 19991209Y
 539810.86 2832970.89    1.54 GH63A26799 19991209Y
 539417.17 2833006.26    1.52 GH63A26799 19991209Y
 538990.43 2833011.65    1.63 GH63A26799 19991209Y
 538615.96 2832999.48    1.67 GH63A26799 19991209Y
 538214.33 2833000.54    1.53 GH63A26799 19991209Y
 537834.81 2832999.46    1.46 GH63A26799 19991209Y
 545004.74 2833376.32    1.54 GH69A26799 19991209Y
 544621.99 2833391.78    1.44 GH69A26799 19991209Y
 544246.61 2833395.60    1.56 GH69A26799 19991209Y
 543806.25 2833395.35    1.58 GH69A26799 19991209Y
 543401.98 2833413.87    1.47 GH69A26799 19991209Y
 542998.84 2833394.18    1.37 GH69A26799 19991209Y
 542598.28 2833397.50    1.54 GH69A26799 19991209Y
 542201.77 2833405.80    1.34 GH69A26799 19991209Y
 541807.92 2833389.98    1.82 GH69A26799 19991209Y
 541404.10 2833409.48    1.58 GH69A26799 19991209Y
 541012.25 2833399.27    1.59 GH69A26799 19991209Y
 540596.67 2833390.52    1.49 GH69A26799 19991209Y
 540161.30 2833388.56    1.64 GH69A26799 19991209Y
 539720.95 2833401.11    2.23 GH69A26799 19991209Y
 539364.80 2833384.58    1.45 GH69A26799 19991209Y
 538981.43 2833368.06    1.50 GH69A26799 19991209Y
 538645.68 2833422.05    1.48 GH69A26799 19991209Y
 538211.57 2833396.14    1.49 GH69A26799 19991209Y
 537806.38 2833398.63    1.61 GH69A26799 19991209Y
 537785.63 2833802.19    1.39 GH69A26799 19991209Y
 538213.59 2833802.22    1.50 GH69A26799 19991209Y
 538635.95 2833786.66    1.69 GH69A26799 19991209Y
 539015.02 2833799.84    1.61 GH69A26799 19991209Y
 539431.35 2833796.27    1.37 GH69A26799 19991209Y
 539817.11 2833821.53    1.75 GH69A26799 19991209Y
 540243.30 2833792.27    1.29 GH69A26799 19991209Y
 540633.48 2833805.39    1.62 GH69A26799 19991209Y
 541044.24 2833794.30    1.55 GH69A26799 19991209Y
 541431.42 2833799.24    1.67 GH69A26799 19991209Y
 541822.81 2833796.60    1.62 GH69A26799 19991209Y
 542226.69 2833809.89    1.73 GH69A26799 19991209Y
 542605.22 2833791.15    1.64 GH69A26799 19991209Y
 543055.02 2833785.25    1.65 GH69A26799 19991209Y
 543454.32 2833798.01    1.73 GH69A26799 19991209Y
 543819.68 2833793.01    1.67 GH69A26799 19991209Y
 544231.93 2833776.80    1.73 GH69A26799 19991209Y
 544623.61 2833804.42    1.68 GH69A26799 19991209Y
 537876.66 2834197.77    1.39 GH69A26799 19991209Y
 538264.66 2834188.69    1.47 GH69A26799 19991209Y
 538624.06 2834190.52    1.57 GH69A26799 19991209Y
 539027.83 2834199.26    1.53 GH69A26799 19991209Y
 539444.33 2834208.85    1.16 GH69A26799 19991209Y
 539858.97 2834199.58    1.59 GH69A26799 19991209Y
 540263.90 2834186.21    1.46 GH69A26799 19991209Y
 540635.99 2834207.38    1.56 GH69A26799 19991209Y
 541054.68 2834197.52    1.76 GH69A26799 19991209Y
 541457.61 2834184.65    1.68 GH69A26799 19991209Y
 541826.95 2834200.99    1.20 GH69A26799 19991209Y
 542212.82 2834219.03    1.56 GH69A26799 19991209Y
 542585.77 2834197.61    1.62 GH69A26799 19991209Y
 543032.84 2834189.38    1.64 GH69A26799 19991209Y
 543420.32 2834185.45    1.69 GH69A26799 19991209Y
 543878.73 2834196.37    1.66 GH69A26799 19991209Y
 544251.45 2834194.19    1.75 GH69A26799 19991209Y
 544665.50 2834193.29    1.75 GH69A26799 19991209Y
 545104.21 2834191.96    1.58 GH69A26799 19991209Y
END
