 12960 HOUSTON                TX  -6  N29 59  W 95 22    33  1014
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  8  5370 G4  1503  4375 G4  2636  2294 G5   494 10628 17447  5.6  5.1  3.57  0.16  31.72  23.28  27.50  27.42  87     0   254  2.3
  9  4373 G4  1310  3363 G4  2316  2165 G5   397  9457 16547  6.1  5.7  3.48  0.17  30.78  22.61  26.72  27.04  86     0   223  3.0
 10  3986 G4  1330  4190 G4  3031  1584 G5   535  7908 15597  4.8  4.7  2.74  0.12  28.28  18.33  23.33  24.24  81     4   125  2.5
 11  3219 G4   831  3866 G4  2311  1321 G5   367  6420 14729  4.9  4.6  2.44  0.09  26.67  15.17  20.94  22.07  78    41    84  3.5
 12  2935 G4   929  4372 G4  2846   997 G5   400  5655 14280  4.3  4.1  1.50  0.05  19.78   6.33  13.06  14.73  74   202     7  3.6
 13  4345 G4  1799  3854 G4  2884  1936 G5   751  8901 16407  5.9  5.5  2.57  0.12  26.00  15.83  20.94  21.75  81   868  1476  3.2
 1974
  1  2369 G4  1100  1907 G4  3092  1445 G5   478  6042 14569  7.8  7.8  1.79  0.05  18.67   9.39  14.06  14.28  85   183    13  3.2
  2  4074 G4  1287  5232 G4  3267  1250 G5   538  7298 15386  4.4  4.0  1.51  0.07  21.06   8.17  14.61  16.79  66   152    18  4.2
  3  3989 G4  1519  3117 G4  2989  1990 G5   567  8946 16362  7.3  6.8  2.29  0.08  24.72  15.28  20.00  20.94  77    53    88  4.4
  4  5275 G4  1757  4651 G4  3604  2137 G5   767 10326 17302  5.7  5.2  2.28  0.11  26.17  15.78  21.00  21.91  74    33    73  4.0
  5  5576 G4  1520  4021 G4  2475  2609 G5   444 11190 18050  6.2  5.9  3.05  0.15  30.22  20.94  25.61  26.37  77     0   208  3.3
  6  6516 G4  1291  5499 G4  2491  2572 G5   608 11517 18399  4.3  3.9  2.98  0.18  32.28  22.17  27.22  28.72  68     0   252  3.4
  7  6059 G4  1314  4665 G4  2155  2623 G5   468 11341 18160  5.2  4.7  3.25  0.19  33.78  23.22  28.50  29.62  71     0   310  2.9
  8  4789 G4  1392  3145 G4  2287  2566 G5   402 10628 17447  6.8  6.4  3.43  0.16  32.83  23.83  28.33  28.32  78     0   288  2.7
  9  4398 G4  1519  3286 G4  2887  2187 G5   518  9457 16547  6.2  6.0  3.02  0.15  29.28  19.89  24.61  25.12  81     0   164  3.8
 10  4240 G4  1280  4464 G4  2605  1621 G5   403  7908 15597  4.6  4.3  2.63  0.12  28.50  17.33  22.94  23.84  81     8   109  3.5
 11  2894 G4  1094  3137 G4  3245  1376 G5   523  6420 14729  6.1  5.9  1.94  0.08  21.72  11.56  16.67  17.35  77   109    33  4.3
 12  2623 G4   915  3100 G4  2743  1181 G5   379  5655 14280  6.3  5.8  1.63  0.07  18.94   7.94  13.44  15.13  78   187    10  3.8
 13  4399 G4  1843  3837 G4  2981  1968 G5   743  8901 16407  5.9  5.6  2.49  0.12  26.50  16.28  21.44  22.40  76   725  1566  3.6
 1975
  1  2796 G4  1023  3269 G4  3091  1247 G5   470  6042 14569  6.0  5.7  1.81  0.07  20.28   9.28  14.78  16.08  80   161    26  4.2
  2  3232 G4  1197  2938 G4  2990  1620 G5   518  7298 15386  7.0  6.6  1.68  0.07  20.06   8.17  14.11  15.57  77   150     4  4.3
  3  3875 G4  1706  2960 G4  3852  2036 G5   738  8946 16362  7.1  6.8  1.97  0.09  22.39  12.00  17.22  18.29  76    99    34  5.0
  4  4257 G4  1268  2176 G4  2560  2724 G5   605 10326 17302  8.3  7.9  2.46  0.12  25.17  16.33  20.78  21.59  78    27    86  5.2
  5  5268 G4  1627  3603 G4  3037  2662 G5   638 11190 18050  6.8  6.3  3.04  0.16  29.44  20.61  25.06  25.66  80     0   190  4.2
  6  5461 G4  1774  3654 G4  2883  2788 G5   569 11517 18399  6.2  5.9  3.31  0.19  32.17  22.72  27.44  27.74  77     0   253  3.9
  7  5656 G4  1428  4099 G4  2415  2643 G5   506 11341 18160  6.3  5.4  3.42  0.17  33.33  23.39  28.39  28.58  78     0   286  2.7
  8  5255 G4  1140  3709 G4  1911  2584 G5   402 10628 17447  6.5  5.8  3.44  0.19  32.39  23.39  27.89  28.25  80     0   281  2.2
  9  5167 G4  1173  4836 G4  2669  1964 G5   585  9457 16547  4.8  4.4  2.74  0.14  30.61  19.72  25.17  25.86  76     0   168  2.7
 10  4324 G4  1412  4813 G4  3040  1507 G5   518  7908 15597  4.3  4.1  2.34  0.11  28.11  15.61  21.89  23.41  76    14    97  3.2
 11  3649 G4   928  5065 G4  2534  1094 G5   374  6420 14729  3.5  3.4  1.89  0.09  23.28  10.44  16.89  17.70  76   121    38  3.7
 12  2590 G4   933  3085 G4  2938  1210 G5   435  5655 14280  6.2  5.8  1.45  0.06  17.89   6.78  12.33  13.89  73   222    13  3.2
 13  4299 G4  1669  3687 G4  2943  2008 G5   824  8901 16407  6.1  5.7  2.47  0.12  26.28  15.72  21.00  21.92  77   794  1476  3.7
 1976
  1  3077 G4  1077  4137 G4  3231  1154 G5   499  6042 14569  5.4  4.8  1.32  0.06  17.78   4.94  11.39  13.38  67   245     3  4.1
  2  3777 G4  1201  4199 G4  3267  1501 G5   593  7326 15402  5.4  5.0  1.76  0.07  23.06   9.67  16.39  18.49  71    99    24  4.4
  3  3580 G4  1253  1864 G4  2359  2388 G5   401  8999 16395  8.5  7.9  2.05  0.10  22.33  13.50  17.94  18.39  77    86    42  4.8
  4  4521 G4  1724  2977 G4  3256  2491 G5   711 10363 17331  7.3  6.7  2.40  0.11  26.11  15.94  21.06  21.86  80    14    61  4.2
  5  5695 G4  1565  4315 G4  2806  2618 G5   521 11210 18069  5.8  5.2  2.57  0.16  28.28  16.67  22.50  23.67  78     4   101  3.8
  6  6414 G4  1615  5396 G4  2786  2473 G5   572 11519 18400  4.5  4.1  2.98  0.19  31.17  21.44  26.33  27.64  72     0   227  3.6
  7  5119 G4  1583  3058 G4  2565  2823 G5   519 11327 18144  7.0  6.5  3.38  0.20  32.06  23.61  27.83  27.89  79     0   272  3.0
  8  6169 G4  1101  5351 G4  1879  2329 G5   466 10596 17419  4.1  3.4  3.21  0.20  33.83  22.72  28.28  29.31  74     0   289  2.5
  9  5096 G4  1211  4603 G4  2157  2015 G5   437  9411 16515  5.4  4.5  3.07  0.14  31.11  21.11  26.11  26.74  81     0   189  2.4
 10  3958 G4  1498  3863 G4  3213  1677 G5   524  7855 15566  5.4  4.9  1.88  0.12  22.11  11.44  16.78  18.38  79    96    23  3.1
 11  3060 G4  1223  3557 G4  3203  1286 G5   444  6379 14706  5.6  5.4  1.45  0.08  17.11   7.06  12.11  12.88  77   221     5  2.7
 12  2427 G4  1017  2829 G4  2890  1143 G5   369  5649 14277  6.6  6.0  1.37  0.07  15.72   5.11  10.44  12.01  78   269     0  3.0
 13  4407 G4  1830  3841 G4  2968  1993 G5   773  8892 16401  5.9  5.4  2.29  0.13  25.06  14.44  19.78  20.89  76  1034  1236  3.5
 1977
  1  2800 G4  1207  3338 G4  3226  1173 G5   433  6042 14569  6.5  5.9  1.06  0.06  12.06   2.22   7.17   8.05  73   382     0  3.3
  2  3925 G4  1471  4821 G4  3542  1248 G5   543  7298 15386  4.9  4.5  1.38  0.07  18.78   7.00  12.89  15.10  68   173     3  3.7
  3  4014 G4  1572  3191 G4  3535  2014 G5   697  8946 16362  7.3  6.7  1.89  0.07  22.50  11.67  17.11  18.53  74    92    24  3.7
  4  5451 G4  1778  4757 G4  3364  2172 G5   647 10326 17302  5.4  4.7  2.26  0.12  25.89  14.33  20.11  21.86  78    14    51  3.3
  5  6019 G4  1243  4788 G4  2417  2573 G5   560 11190 18050  5.9  5.1  2.88  0.15  30.06  19.33  24.72  26.07  77     0   168  3.4
  6  6387 G4  1442  5304 G4  2521  2522 G5   564 11517 18399  4.9  4.2  3.36  0.17  33.50  23.17  28.33  29.11  77     0   271  3.3
  7  6333 G4   901  5272 G4  1666  2518 G5   499 11341 18160  4.9  4.0  3.30  0.17  34.33  23.67  29.00  29.75  72     0   304  3.0
  8  5166 G4  1130  3505 G4  1634  2651 G5   243 10628 17447  6.5  5.8  3.44  0.17  33.78  24.94  29.39  29.39  75     0   314  2.9
  9  5071 G4  1034  4664 G4  2064  2035 G5   462  9457 16547  4.6  4.2  3.19  0.16  33.06  22.50  27.78  28.56  76     0   253  2.8
 10  4249 G4  1172  4546 G4  2641  1574 G5   476  7908 15597  4.9  4.2  2.25  0.12  28.39  16.00  22.22  23.64  71    19    96  3.0
 11  2867 G4  1043  2895 G4  2574  1426 G5   368  6420 14729  6.3  6.0  2.08  0.08  23.28  12.06  17.67  18.25  82    83    32  3.6
 12  2602 G4   891  3147 G4  2711  1173 G5   403  5655 14280  6.1  5.6  1.56  0.06  18.83   7.11  13.00  14.87  73   203    13  4.0
 13  4575 G4  1812  4178 G4  2818  1928 G5   746  8901 16407  5.7  5.1  2.39  0.12  26.22  15.33  20.78  21.96  75   966  1529  3.3
 1978
  1  2241 G4   909  1747 G4  2788  1468 G5   447  6042 14569  8.1  7.8  1.18  0.05  10.11   2.50   6.33   6.29  83   418     6  4.2
  2  3511 G4  1442  3612 G4  3575  1524 G5   630  7298 15386  6.4  5.9  1.17  0.06  12.83   3.00   7.94   9.18  78   307     3  4.0
  3  4569 G4  1486  4139 G4  3141  1937 G5   588  8946 16362  6.3  5.4  1.61  0.09  21.67   8.06  14.89  16.60  73   139    11  4.0
  4  5069 G4  1851  3993 G4  3337  2263 G5   604 10326 17302  6.6  5.9  2.32  0.12  25.83  15.00  20.44  22.01  78    18    67  4.1
  5  5891 G4  1392  4383 G4  2572  2656 G5   590 11190 18050  6.1  5.4  2.92  0.16  31.33  19.39  25.39  26.50  76     9   205  3.9
  6  6252 G4  1460  5243 G4  2393  2438 G5   470 11517 18399  4.4  4.1  3.39  0.18  32.67  22.61  27.67  28.48  78     0   262  3.1
  7  5958 G4  1230  4610 G4  1989  2602 G5   388 11341 18160  5.8  5.1  3.52  0.16  34.17  23.78  29.00  29.87  76     0   324  3.2
  8  5758 G4  1288  4700 G4  2073  2375 G5   427 10628 17447  5.4  4.5  3.48  0.17  33.94  23.44  28.72  29.70  76     0   316  3.2
  9  4373 G4  1125  3000 G4  2055  2346 G5   360  9457 16547  7.2  6.6  3.34  0.14  30.67  22.33  26.50  27.48  81     0   243  3.3
 10  4563 G4  1013  5178 G4  2520  1502 G5   543  7908 15597  4.4  3.7  2.17  0.11  28.06  14.61  21.33  23.95  71    12    83  2.8
 11  2864 G4  1068  2724 G4  2834  1476 G5   445  6420 14729  6.9  6.5  2.24  0.09  23.39  13.11  18.28  19.65  84    62    60  3.3
 12  2424 G4   935  2647 G4  2921  1241 G5   407  5655 14280  7.0  6.4  1.63  0.06  18.00   6.22  12.11  13.82  79   218    14  3.8
 13  4462 G4  1864  3834 G4  2880  1988 G5   698  8901 16407  6.2  5.6  2.42  0.12  25.22  14.50  19.89  21.19  78  1183  1594  3.6
 1979
  1  2503 G4  1013  2312 G4  2944  1381 G5   437  6042 14569  7.8  7.2  1.22  0.06  11.44   2.33   6.89   8.20  75   359     4  4.4
  2  2870 G4  1295  2071 G4  3017  1734 G5   538  7298 15386  7.9  7.6  1.59  0.07  16.00   5.83  10.94  12.44  83   209     7  4.1
  3  4371 G4  1628  4075 G4  3631  1840 G5   723  8946 16362  6.0  5.5  1.87  0.09  22.72  11.56  17.17  18.71  72    75    34  4.6
  4  4582 G4  1885  3283 G4  3601  2283 G5   687 10326 17302  7.0  6.7  2.49  0.11  25.50  16.50  21.00  21.94  82    13    79  4.0
  5  5673 G4  1682  4327 G4  3237  2557 G5   731 11190 18050  6.0  5.5  2.70  0.15  28.33  17.50  22.94  24.63  77     1   145  3.7
  6  6393 G4  1652  5399 G4  3078  2493 G5   697 11517 18399  4.3  4.0  3.39  0.18  31.50  22.11  26.83  28.31  78     0   252  3.5
  7  5389 G4  1583  3800 G4  2486  2632 G5   465 11341 18160  6.2  5.9  3.80  0.17  32.11  23.72  27.94  28.69  84     0   307  3.3
  8  5366 G4  1080  4231 G4  1782  2454 G5   458 10628 17447  5.5  4.9  3.66  0.17  32.56  23.33  27.94  28.53  84     0   288  2.6
  9  4955 G4  1489  4651 G4  2934  1919 G5   575  9457 16547  4.7  4.3  3.05  0.14  29.61  20.50  25.06  26.04  83     0   180  3.1
 10  4750 G4   970  5704 G4  2155  1435 G5   429  7908 15597  3.3  2.6  2.50  0.12  28.78  15.28  22.06  24.48  77    15   117  3.4
 11  3475 G4  1054  4648 G4  2851  1173 G5   444  6420 14729  4.4  3.6  1.62  0.09  20.50   7.67  14.11  15.70  75   165    14  3.6
 12  2702 G4   937  3300 G4  2946  1203 G5   433  5655 14280  6.2  5.4  1.47  0.06  18.06   5.83  11.94  13.89  78   216     3  3.1
 13  4427 G4  1830  3993 G4  3072  1926 G5   765  8901 16407  5.8  5.2  2.45  0.12  24.78  14.33  19.56  21.01  79  1053  1430  3.6
 1980
  1  2351 G4   785  1768 G4  2495  1527 G5   458  6042 14569  8.2  7.8  1.71  0.05  17.67   8.33  13.00  13.93  84   171     2  3.5
  2  3328 G4  1235  3040 G4  2988  1637 G5   541  7326 15402  7.2  6.4  1.55  0.06  17.83   6.56  12.22  13.28  79   194    17  3.7
  3  3765 G4  1313  2489 G4  2569  2179 G5   503  8999 16395  8.0  7.3  1.91  0.09  21.33  11.39  16.39  17.63  74    94    27  4.2
  4  5530 G4  1758  4868 G4  3458  2176 G5   688 10363 17331  5.4  4.7  2.04  0.13  25.11  13.06  19.11  21.38  70    25    48  3.9
  5  5562 G4  1510  4026 G4  2830  2596 G5   649 11210 18069  6.2  5.9  3.09  0.14  29.83  20.33  25.11  26.45  78     0   216  3.7
  6  6868 G4  1140  6076 G4  2234  2427 G5   621 11519 18400  3.7  3.3  3.48  0.18  34.00  23.00  28.50  31.07  70     0   339  4.0
  7  6711 G4  1304  6044 G4  2479  2377 G5   641 11327 18144  3.2  3.1  3.57  0.19  35.78  24.33  30.06  32.60  67     0   392  3.5
  8  5633 G4  1313  4742 G4  2377  2381 G5   525 10596 17419  4.9  4.5  3.58  0.16  34.28  24.17  29.22  31.62  70     0   376  4.0
  9  4955 G4  1376  4438 G4  2737  2076 G5   557  9411 16515  5.1  4.6  3.71  0.15  32.67  23.28  28.00  30.05  80     0   307  3.5
 10  4343 G4  1462  4865 G4  3114  1494 G5   473  7855 15566  4.1  3.5  2.04  0.13  26.39  13.78  20.11  22.66  67    37    90  3.2
 11  3329 G4  1133  4225 G4  3005  1208 G5   455  6379 14706  5.0  4.7  1.60  0.08  20.22   8.61  14.44  16.98  72   142    29  3.2
 12  2608 G4   860  3072 G4  2903  1231 G5   450  5649 14277  6.1  5.6  1.52  0.08  18.17   6.83  12.50  15.28  70   179    14  3.6
 13  4582 G4  1939  4135 G4  3027  1944 G5   722  8892 16401  5.6  5.1  2.49  0.12  26.11  15.33  20.72  22.77  73   842  1857  3.7
 1981
  1  2984 G4   912  3769 G4  2778  1206 G5   455  6042 14569  6.3  5.2  1.23  0.06  16.28   4.44  10.39  13.18  67   231     1  3.1
  2  3280 G4  1235  3158 G4  3066  1565 G5   547  7298 15386  6.9  6.3  1.55  0.06  17.83   6.78  12.33  15.17  69   162    16  3.8
  3  4231 G4  1576  3519 G4  3314  2030 G5   633  8946 16362  6.9  6.1  1.70  0.08  21.89  10.89  16.39  18.28  69    80    13  3.9
  4  4535 G4  1225  2812 G4  1930  2588 G5   323 10326 17302  8.3  7.1  2.66  0.12  27.83  17.89  22.89  25.09  72     3   164  4.0
  5  5614 G4  1692  4233 G4  2983  2508 G5   587 11190 18050  6.1  5.7  2.85  0.15  28.56  19.11  23.83  25.40  74     1   183  4.1
  6  5330 G4  1486  3756 G4  2346  2661 G5   436 11517 18399  6.7  6.3  3.62  0.14  31.56  23.61  27.61  28.90  78     0   299  3.9
  7  6026 G4  1279  4699 G4  2285  2600 G5   530 11341 18160  5.3  4.8  3.70  0.18  33.22  23.78  28.50  30.21  75     0   337  3.1
  8  5789 G4  1398  4916 G4  2338  2373 G5   426 10628 17447  5.1  4.4  3.46  0.16  33.17  23.89  28.56  30.59  71     0   338  3.1
  9  5610 G4   993  5637 G4  2187  1918 G5   557  9457 16547  3.5  3.0  3.05  0.17  30.94  20.89  25.94  27.94  74     0   229  2.9
 10  3537 G4  1137  2848 G4  2401  1890 G5   450  7908 15597  6.9  6.2  2.79  0.13  27.00  17.56  22.28  23.87  78    28   158  3.2
 11  3334 G4  1063  4274 G4  2801  1215 G5   418  6420 14729  4.9  4.2  2.08  0.09  23.72  12.28  18.00  20.10  77    46    39  3.4
 12  2520 G4   958  3011 G4  2711  1172 G5   365  5655 14280  6.1  5.7  1.57  0.07  18.28   7.61  12.94  14.67  74   181     4  4.0
 13  4405 G4  1732  3890 G4  2721  1979 G5   732  8901 16407  6.1  5.4  2.53  0.12  25.83  15.72  20.83  22.82  73   732  1781  3.5
 1982
  1  2708 G4  1013  3002 G4  2976  1308 G5   458  6042 14569  6.7  6.1  1.63  0.06  17.50   6.17  11.83  13.93  73   227    22  4.5
  2  3248 G4  1308  2874 G4  3095  1666 G5   547  7298 15386  7.1  6.7  1.50  0.07  16.33   6.50  11.44  12.96  78   202     6  3.7
  3  3731 G4  1114  2402 G4  2315  2239 G5   478  8946 16362  7.7  7.4  2.25  0.09  22.67  13.28  18.00  19.49  79    79    82  4.5
  4  4426 G4  1592  2539 G4  2770  2615 G5   555 10326 17302  8.2  7.3  2.32  0.13  24.33  15.28  19.83  21.36  75    44    94  4.5
  5  5099 G4  1578  3210 G4  2542  2793 G5   544 11190 18050  7.0  6.4  2.87  0.17  28.50  19.17  23.83  25.67  75     1   183  3.7
  6  6338 G4   858  4767 G4  1775  2877 G5   555 11517 18399  6.1  4.5  3.22  0.19  33.06  22.44  27.78  30.11  67     0   304  3.3
  7  6340 G4   726  4762 G4  1549  2808 G5   585 11341 18160  5.2  4.2  3.47  0.24  34.11  23.61  28.89  31.04  68     0   356  3.1
  8  5859 G4  1073  4463 G4  1843  2651 G5   444 10628 17447  4.7  3.9  3.54  0.27  34.11  24.17  29.17  30.49  72     0   333  2.6
  9  5526 G4   858  5284 G4  1726  2088 G5   465  9457 16547  3.5  2.9  2.88  0.18  32.22  21.78  27.00  28.55  68     0   243  2.9
 10  3822 G4  1117  3113 G4  2119  1981 G5   336  7908 15597  5.4  4.8  2.38  0.22  26.94  16.39  21.67  22.70  74    29   111  3.3
 11  2634 G4  1013  2065 G4  2192  1569 G5   302  6420 14729  7.0  6.5  2.03  0.18  21.72  11.72  16.72  17.56  78    97    33  3.7
 12  2423 G4   903  2426 G4  1995  1280 G5   231  5655 14280  6.4  5.4  1.64  0.16  18.50   8.78  13.67  14.68  75   182    22  4.1
 13  4351 G4  1785  3410 G4  2488  2159 G5   737  8901 16407  6.2  5.5  2.48  0.16  25.83  15.78  20.83  22.43  74   861  1789  3.7
 1983
  1  2700 G4   975  2781 G4  2467  1355 G5   308  6042 14569  6.2  5.6  1.31  0.14  15.89   5.89  10.89  12.15  73   254     0  3.3
  2  3416 G4  1259  3205 G4  2969  1650 G5   494  7298 15386  6.2  5.5  1.38  0.15  16.89   7.28  12.11  13.42  71   192     0  3.9
  3  4692 G4  1535  4304 G4  3127  1946 G5   576  8946 16362  5.2  4.6  1.57  0.16  21.06   9.44  15.28  16.75  68   122    10  4.4
  4  5250 G4  1931  4313 G4  3736  2286 G5   752 10326 17302  5.4  5.1  1.92  0.19  23.61  13.39  18.50  19.67  68    53    42  5.0
  5  5712 G4  1683  4158 G4  2694  2567 G5   482 11190 18050  6.2  5.3  2.68  0.21  28.22  18.44  23.33  24.39  75     0   149  4.0
  6  6009 G4  1204  4118 G4  1878  2927 G5   432 11517 18399  5.5  4.9  3.25  0.26  31.22  21.78  26.50  27.16  78     0   237  3.2
  7  6000 G4  1593  4507 G4  2595  2707 G5   564 11341 18160  4.9  4.4  3.53  0.24  32.56  23.44  28.00  29.21  76     0   301  3.2
  8  5349 G4  1310  3835 G4  1925  2571 G5   390 10628 17447  6.0  5.2  3.62  0.21  32.83  24.22  28.56  29.06  79     0   308  3.1
  9  4913 G4  1155  4154 G4  2235  2180 G5   414  9457 16547  5.1  4.6  3.03  0.19  29.67  20.78  25.22  26.29  77     3   201  3.1
 10  4240 G4  1161  4423 G4  2651  1665 G5   485  7908 15597  4.5  4.0  2.45  0.14  27.06  16.94  22.00  23.29  74    15   109  3.0
 11  2976 G4  1022  3210 G4  2670  1383 G5   401  6420 14729  5.4  5.3  2.03  0.13  22.94  12.72  17.83  19.21  73    77    48  4.0
 12  2650 G4   923  3060 G4  2678  1218 G5   356  5655 14280  6.2  5.3  1.27  0.11  13.06   3.50   8.28   9.37  68   337    10  4.3
 13  4498 G4  1800  3843 G4  2700  2039 G5   736  8901 16407  5.6  5.0  2.34  0.18  24.61  14.83  19.72  20.87  73  1053  1415  3.7
 1984
  1  2663 G4  1030  2666 G4  2689  1362 G5   368  6042 14569  7.1  6.2  1.16  0.09  13.61   4.78   9.22  10.04  70   305     0  3.5
  2  3914 G4  1386  4821 G4  3430  1338 G5   547  7326 15402  4.4  4.1  1.35  0.09  19.00   8.00  13.50  14.74  63   181     7  4.2
  3  4395 G4  1438  3763 G4  2900  2011 G5   509  8999 16395  6.1  5.7  1.79  0.12  22.50  12.22  17.39  18.03  69    83    36  4.3
  4  5663 G4  1612  5119 G4  3122  2114 G5   623 10363 17331  5.0  4.4  1.98  0.14  26.83  15.17  21.00  22.21  63    25    75  4.4
  5  6209 G4  1618  5101 G4  2986  2435 G5   677 11210 18069  5.5  4.8  2.52  0.17  29.83  19.67  24.78  25.45  66     1   175  4.0
  6  5965 G4  1468  4540 G4  2417  2729 G5   487 11519 18400  5.2  4.8  2.96  0.17  31.44  21.61  26.56  27.66  69     0   231  3.8
  7  6206 G4   739  4826 G4  1474  2661 G5   477 11327 18144  5.7  4.6  3.12  0.18  33.11  22.94  28.06  29.07  68     0   293  3.1
  8  5866 G4   818  4559 G4  1426  2547 G5   382 10596 17419  5.8  4.5  3.12  0.20  32.56  23.00  27.78  29.66  66     0   312  3.0
  9  4725 G4  1393  3937 G4  2529  2145 G5   450  9411 16515  5.6  5.1  2.65  0.16  29.61  20.83  25.22  26.73  65     3   213  3.5
 10  3270 G4  1073  2179 G4  1740  1948 G5   293  7855 15566  7.9  7.1  2.72  0.15  28.00  19.67  23.83  24.67  73     7   168  3.5
 11  3121 G4   936  3528 G4  2580  1370 G5   421  6379 14706  5.6  5.0  1.71  0.10  21.89  10.94  16.44  17.52  67   113    34  3.4
 12  2393 G4   664  2242 G4  1960  1337 G5   276  5649 14277  7.4  6.8  2.05  0.08  22.56  13.94  18.28  18.84  74    80    56  4.0
 13  4532 G4  1837  3932 G4  2681  2002 G5   694  8892 16401  6.0  5.3  2.27  0.14  25.89  16.06  21.00  22.08  68   798  1600  3.7
 1985
  1  2896 G4   998  3554 G4  3102  1250 G5   503  6042 14569  6.1  5.3  1.08  0.07  14.06   3.83   8.94   8.90  68   328     0  3.6
  2  3259 G4  1269  3086 G4  3169  1591 G5   521  7298 15386  6.8  6.2  1.37  0.08  15.61   7.06  11.33  11.36  74   240     3  3.6
  3  3753 G4  1280  2516 G4  2412  2193 G5   413  8946 16362  7.9  7.1  2.07  0.10  23.33  15.17  19.28  19.25  74    51    48  3.9
  4  5195 G4  1438  3884 G4  2973  2421 G5   695 10326 17302  6.5  5.8  2.34  0.14  26.61  17.39  22.00  22.82  71    12   100  3.8
  5  6077 G4  1377  4994 G4  2711  2451 G5   640 11190 18050  5.4  4.5  2.53  0.17  29.94  20.56  25.28  25.98  65     0   186  3.1
  6  6285 G4  1255  4696 G4  1936  2764 G5   441 11517 18399  5.8  4.8  3.20  0.19  32.00  23.39  27.72  28.58  71     0   271  3.3
  7  6049 G4  1136  4581 G4  2009  2650 G5   470 11341 18160  6.0  5.0  3.51  0.17  32.06  22.83  27.44  28.84  77     0   289  2.9
  8  6298 G4   694  5480 G4  1564  2356 G5   509 10628 17447  4.7  3.6  3.61  0.18  33.44  23.39  28.44  30.65  74     0   334  2.9
  9  4897 G4  1270  4124 G4  2406  2135 G5   496  9457 16547  5.5  4.8  3.15  0.18  30.94  22.44  26.72  28.00  74     3   253  3.4
 10  3446 G4  1372  2660 G4  2517  1825 G5   376  7908 15597  7.2  6.6  2.73  0.13  26.56  19.22  22.89  23.58  78     9   143  4.0
 11  2699 G4  1138  2418 G4  2742  1476 G5   393  6420 14729  7.1  6.6  2.38  0.10  23.78  15.44  19.61  20.67  78    42    79  3.8
 12  2701 G4   992  3696 G4  2974  1055 G5   398  5655 14280  5.4  5.1  1.38  0.06  16.44   6.50  11.50  12.31  72   241     5  3.3
 13  4469 G4  1851  3814 G4  2723  2015 G5   730  8901 16407  6.2  5.4  2.45  0.13  25.39  16.44  20.94  21.79  73   926  1711  3.5
 1986
  1  3083 G4   988  4114 G4  2766  1143 G5   387  6042 14569  5.1  4.5  1.39  0.07  18.72   8.22  13.50  14.87  66   181     2  3.3
  2  3682 G4  1419  3985 G4  3227  1445 G5   479  7298 15386  5.8  5.3  1.73  0.08  21.33  11.22  16.28  17.09  70   116    39  4.0
  3  5067 G4  1065  5351 G4  2616  1783 G5   606  8946 16362  4.7  4.1  1.75  0.09  24.00  12.61  18.33  20.14  64    55    29  3.2
  4  4734 G4  1507  3268 G4  2754  2482 G5   475 10326 17302  7.2  6.5  2.45  0.12  26.67  17.39  22.06  23.40  71     6   122  4.3
  5  5436 G4  1620  3986 G4  2901  2553 G5   529 11190 18050  6.7  6.1  2.86  0.13  28.50  20.06  24.28  25.50  75     0   189  3.6
  6  5415 G4  1347  3772 G4  2001  2717 G5   322 11517 18399  6.6  6.0  3.52  0.16  31.72  23.44  27.61  28.70  77     0   288  2.7
  7  6442 G4   914  5372 G4  1760  2527 G5   501 11341 18160  4.8  4.0  3.48  0.18  34.67  24.22  29.44  31.31  67     0   363  3.1
  8  5335 G4  1494  4182 G4  2516  2377 G5   539 10628 17447  5.9  5.4  3.35  0.15  33.00  23.94  28.50  29.25  72     0   307  2.7
  9  4245 G4   727  2989 G4  1356  2319 G5   259  9457 16547  7.0  6.5  3.56  0.15  31.33  24.39  27.89  28.50  80     0   283  3.0
 10  3660 G4  1180  3329 G4  2550  1749 G5   434  7908 15597  6.3  5.5  2.44  0.11  25.56  17.06  21.33  22.03  78    16    87  3.0
 11  2199 G4   597  1017 G4  1232  1692 G5   264  6420 14729  8.7  8.5  2.18  0.08  21.17  13.89  17.56  17.42  83    97    51  3.6
 12  2265 G4   854  2069 G4  2424  1322 G5   329  5655 14280  7.7  7.2  1.47  0.07  15.17   8.39  11.78  12.27  80   228     2  3.1
 13  4304 G4  1741  3626 G4  2655  2010 G5   681  8901 16407  6.4  5.8  2.52  0.12  26.00  17.06  21.56  22.56  73   699  1762  3.3
 1987
  1  2827 G4  1022  3230 G4  3097  1296 G5   485  6042 14569  6.5  5.9  1.38  0.05  15.94   6.39  11.17  12.79  74   234     2  3.8
  2  3186 G4  1205  2929 G4  3186  1629 G5   557  7298 15386  7.2  6.6  1.61  0.07  18.06   9.56  13.83  15.08  76   136     2  4.1
  3  4864 G4  1335  4926 G4  2930  1777 G5   585  8946 16362  5.3  4.7  1.47  0.08  21.61  10.11  15.89  17.37  63   109     8  3.6
  4  6392 G4  1334  6675 G4  2953  1822 G5   718 10326 17302  4.2  3.1  1.74  0.11  27.33  13.06  20.22  23.00  59    46    86  3.3
