table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table C4.  Children/1/ with Grandparents by Presence of Parents, Gender, Race, and Hispanic Origin/2/ for Selected Characteristics: March 2001/3/",,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,,,
Non-Hispanic,Total,Grandmother and grandfather,Grandmother only,Grandfather only,No grandparents,Grandparent is not householder,,,Grandparent is householder,,,No grandparents present
..Below 100% of poverty,"4,791 ",38 ,260 ,25 ,"4,468 ",4 ,96 ,23 ,34 ,164 ,2 ,"4,468 "
..100% of poverty and above,"8,271 ",579 ,703 ,117 ,"6,872 ",29 ,210 ,38 ,550 ,493 ,78 ,"6,872 "
.125 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 125% of poverty,"5,833 ",69 ,348 ,37 ,"5,380 ",4 ,124 ,28 ,65 ,223 ,9 ,"5,380 "
..125% of poverty and above,"7,229 ",549 ,616 ,104 ,"5,961 ",29 ,182 ,33 ,519 ,433 ,71 ,"5,961 "
.HOUSEHOLD FOOD STAMP RECEIPT,,,,,,,,,,,,
..Yes,"3,658 ",75 ,259 ,30 ,"3,294 ",2 ,74 ,26 ,73 ,185 ,3 ,"3,294 "
..No,"9,405 ",542 ,704 ,112 ,"8,047 ",31 ,233 ,35 ,511 ,472 ,77 ,"8,047 "
.HOUSEHOLD PUBLIC ASST RECEIPT,,,,,,,,,,,,
..Yes,"1,802 ",34 ,131 ,20 ,"1,616 ",- ,47 ,17 ,34 ,85 ,3 ,"1,616 "
..No,"11,261 ",583 ,832 ,122 ,"9,724 ",33 ,260 ,45 ,550 ,572 ,77 ,"9,724 "
.AREA OF RESIDENCE,,,,,,,,,,,,
"..Central city, MSA of 1,000,000 or more","2,491 ",99 ,210 ,52 ,"2,130 ",9 ,51 ,28 ,90 ,159 ,23 ,"2,130 "
"..Outside central city, MSA of 1,000,000 or more","3,063 ",159 ,254 ,28 ,"2,621 ",9 ,105 ,6 ,150 ,149 ,22 ,"2,621 "
"..Central city, MSA under 1,000,000","2,350 ",68 ,179 ,6 ,"2,097 ",- ,64 ,3 ,68 ,115 ,2 ,"2,097 "
"..Outside central city, MSA under 1,000,000","2,657 ",183 ,157 ,34 ,"2,283 ",12 ,49 ,14 ,171 ,108 ,20 ,"2,283 "
..Outside metropolitan area,"2,502 ",108 ,163 ,21 ,"2,210 ",3 ,38 ,9 ,105 ,125 ,12 ,"2,210 "
.HOUSEHOLD TENURE,,,,,,,,,,,,
..Own/Buying,"5,560 ",526 ,551 ,98 ,"4,384 ",25 ,159 ,41 ,501 ,392 ,57 ,"4,384 "
..Rent,"7,267 ",90 ,404 ,41 ,"6,732 ",8 ,147 ,20 ,82 ,256 ,20 ,"6,732 "
..No Cash Rent,236 ,1 ,8 ,3 ,224 ,- ,- ,- ,1 ,8 ,3 ,224 
LIVING WITH FATHER ONLY,,,,,,,,,,,,
.TOTAL,"2,563 ",80 ,139 ,23 ,"2,322 ",1 ,43 ,6 ,78 ,96 ,17 ,"2,322 "
.MARITAL STATUS OF PARENT,,,,,,,,,,,,
..Married spouse absent,136 ,1 ,15 ,2 ,118 ,- ,6 ,2 ,1 ,9 ,- ,118 
..Widowed,114 ,- ,5 ,- ,109 ,- ,- ,- ,- ,5 ,- ,109 
..Divorced,"1,258 ",28 ,43 ,8 ,"1,179 ",- ,16 ,- ,28 ,27 ,8 ,"1,179 "
..Separated,279 ,15 ,10 ,3 ,252 ,- ,- ,- ,15 ,10 ,3 ,252 
..Never married,777 ,36 ,65 ,11 ,665 ,1 ,21 ,5 ,34 ,44 ,6 ,665 
.AGE OF CHILD,,,,,,,,,,,,
..Under 1 year,175 ,2 ,8 ,- ,165 ,- ,5 ,- ,2 ,3 ,- ,165 
..1-2 years,260 ,14 ,7 ,7 ,233 ,1 ,2 ,2 ,12 ,5 ,5 ,233 
..3-5 years,350 ,14 ,25 ,2 ,309 ,- ,5 ,2 ,14 ,20 ,- ,309 
..6-8 years,373 ,16 ,29 ,3 ,325 ,- ,7 ,- ,16 ,22 ,3 ,325 
..9-11 years,450 ,8 ,30 ,5 ,408 ,- ,9 ,- ,8 ,20 ,5 ,408 
..12-14 years,430 ,17 ,24 ,2 ,388 ,- ,12 ,2 ,17 ,12 ,- ,388 
..15-17 years,525 ,10 ,17 ,5 ,493 ,- ,3 ,- ,10 ,14 ,4 ,493 
.PRESENCE OF SIBLINGS,,,,,,,,,,,,
..None,"1,050 ",55 ,82 ,15 ,899 ,1 ,17 ,2 ,53 ,65 ,13 ,899 
..One sibling,936 ,13 ,30 ,8 ,886 ,- ,17 ,4 ,13 ,13 ,4 ,886 
..Two siblings,422 ,8 ,27 ,- ,387 ,- ,10 ,- ,8 ,17 ,- ,387 
..Three siblings,124 ,- ,- ,- ,124 ,- ,- ,- ,- ,- ,- ,124 
..Four siblings,10 ,- ,- ,- ,10 ,- ,- ,- ,- ,- ,- ,10 
..Five or more siblings,21 ,5 ,- ,- ,17 ,- ,- ,- ,5 ,- ,- ,17 
.NATIVITY OF CHILD AND PARENTS,,,,,,,,,,,,
..Native child and parent,"2,448 ",73 ,134 ,23 ,"2,218 ",1 ,39 ,6 ,72 ,95 ,17 ,"2,218 "
..Native child and foreign born parent,87 ,5 ,4 ,- ,78 ,- ,4 ,- ,5 ,- ,- ,78 
..Foreign-born child and parent,26 ,2 ,- ,- ,24 ,- ,- ,- ,2 ,- ,- ,24 
..Foreign-born child and native born parent,2 ,- ,1 ,- ,1 ,- ,- ,- ,- ,1 ,- ,1 
.CHILDS LABOR FORCE STATUS,,,,,,,,,,,,
..Child under age 15,"2,038 ",70 ,122 ,18 ,"1,829 ",1 ,40 ,6 ,68 ,82 ,12 ,"1,829 "
..Not in labor force,354 ,5 ,15 ,3 ,331 ,- ,3 ,- ,5 ,12 ,3 ,331 
..Full time employed,9 ,- ,- ,- ,9 ,- ,- ,- ,- ,- ,- ,9 
..Part time employed,122 ,3 ,2 ,1 ,115 ,- ,- ,- ,3 ,2 ,1 ,115 
"..Unemployed, in the labor force",40 ,2 ,- ,- ,38 ,- ,- ,- ,2 ,- ,- ,38 
.PARENTS LABOR FORCE STATUS,,,,,,,,,,,,
"..Father in labor force, mother not present","2,212 ",69 ,108 ,19 ,"2,016 ",1 ,36 ,6 ,67 ,73 ,13 ,"2,016 "
"..Father not in labor force, mother not present",351 ,11 ,30 ,4 ,305 ,- ,8 ,- ,11 ,23 ,4 ,305 
.FAMILY INCOME,,,,,,,,,,,,
"..Under $2,500",113 ,- ,2 ,- ,111 ,- ,2 ,- ,- ,- ,- ,111 
"..$2,500 to $4,999",43 ,- ,- ,- ,43 ,- ,- ,- ,- ,- ,- ,43 
"..$5,000 to $7,499",76 ,- ,4 ,- ,72 ,- ,- ,- ,- ,4 ,- ,72 
"..$7,500 to $9,999",61 ,- ,4 ,- ,57 ,- ,- ,- ,- ,4 ,- ,57 
"..$10,000 to $12,499",101 ,- ,3 ,- ,99 ,- ,- ,- ,- ,3 ,- ,99 
"..$12,500 to $14,999",65 ,- ,3 ,1 ,61 ,- ,1 ,- ,- ,2 ,1 ,61 
"..$15,000 to $19,999",185 ,2 ,5 ,- ,177 ,- ,- ,- ,2 ,5 ,- ,177 
"..$20,000 to $24,999",228 ,1 ,8 ,- ,219 ,- ,- ,- ,1 ,7 ,- ,219 
"..$25,000 to $29,999",215 ,4 ,3 ,5 ,202 ,- ,- ,1 ,4 ,3 ,5 ,202 
"..$30,000 to $39,999",462 ,7 ,13 ,2 ,439 ,- ,2 ,- ,7 ,12 ,2 ,439 
"..$40,000 to $49,999",324 ,14 ,30 ,3 ,276 ,- ,13 ,- ,14 ,18 ,3 ,276 
"..$50,000 to $74,999",400 ,20 ,33 ,3 ,344 ,- ,16 ,2 ,20 ,17 ,1 ,344 
"..$75,000 and over",290 ,30 ,29 ,8 ,222 ,1 ,9 ,3 ,28 ,21 ,5 ,222 
.HEALTH INSURANCE COVERAGE,,,,,,,,,,,,
..Covered by health insurance,"2,186 ",49 ,107 ,16 ,"2,015 ",1 ,31 ,5 ,47 ,75 ,11 ,"2,015 "
..Not covered by health insurance,377 ,31 ,32 ,7 ,307 ,- ,12 ,1 ,31 ,20 ,6 ,307 
.POVERTY STATUS,,,,,,,,,,,,
..Below 100% of poverty,428 ,1 ,19 ,1 ,406 ,- ,4 ,- ,1 ,15 ,1 ,406 
..100% to 199% of poverty,651 ,22 ,31 ,5 ,594 ,- ,7 ,1 ,22 ,24 ,4 ,594 
..200% of poverty and above,"1,484 ",57 ,89 ,17 ,"1,322 ",1 ,33 ,5 ,55 ,56 ,12 ,"1,322 "
.100 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 100% of poverty,428 ,1 ,19 ,1 ,406 ,- ,4 ,- ,1 ,15 ,1 ,406 
..100% of poverty and above,"2,136 ",79 ,120 ,22 ,"1,915 ",1 ,39 ,6 ,77 ,81 ,16 ,"1,915 "
.125 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 125% of poverty,604 ,11 ,23 ,1 ,569 ,- ,4 ,- ,11 ,19 ,1 ,569 
..125% of poverty and above,"1,959 ",69 ,116 ,22 ,"1,753 ",1 ,39 ,6 ,68 ,77 ,16 ,"1,753 "
.HOUSEHOLD FOOD STAMP RECEIPT,,,,,,,,,,,,
..Yes,303 ,- ,29 ,- ,273 ,- ,2 ,- ,- ,27 ,- ,273 
..No,"2,261 ",80 ,110 ,23 ,"2,048 ",1 ,41 ,6 ,78 ,69 ,17 ,"2,048 "
.HOUSEHOLD PUBLIC ASST RECEIPT,,,,,,,,,,,,
..Yes,135 ,- ,11 ,- ,124 ,- ,1 ,- ,- ,10 ,- ,124 
..No,"2,428 ",80 ,128 ,23 ,"2,198 ",1 ,42 ,6 ,78 ,86 ,17 ,"2,198 "
.AREA OF RESIDENCE,,,,,,,,,,,,
"..Central city, MSA of 1,000,000 or more",355 ,9 ,33 ,2 ,311 ,- ,16 ,2 ,9 ,17 ,1 ,311 
"..Outside central city, MSA of 1,000,000 or more",704 ,31 ,45 ,1 ,627 ,1 ,16 ,- ,29 ,28 ,1 ,627 
"..Central city, MSA under 1,000,000",320 ,6 ,13 ,4 ,298 ,- ,1 ,- ,6 ,11 ,3 ,298 
"..Outside central city, MSA under 1,000,000",594 ,15 ,23 ,11 ,545 ,- ,4 ,4 ,15 ,19 ,8 ,545 
..Outside metropolitan area,589 ,19 ,25 ,4 ,541 ,- ,6 ,- ,19 ,20 ,4 ,541 
.HOUSEHOLD TENURE,,,,,,,,,,,,
..Own/Buying,"1,459 ",69 ,96 ,17 ,"1,278 ",1 ,22 ,3 ,67 ,73 ,15 ,"1,278 "
..Rent,"1,062 ",11 ,39 ,5 ,"1,007 ",- ,21 ,3 ,11 ,18 ,2 ,"1,007 "
..No Cash Rent,42 ,- ,4 ,- ,37 ,- ,- ,- ,- ,4 ,- ,37 
LIVING WITH NEITHER PARENT,,,,,,,,,,,,
.TOTAL,"2,253 ",520 ,585 ,40 ,"1,109 ",- ,- ,- ,520 ,585 ,40 ,"1,109 "
.MARITAL STATUS OF PARENT,,,,,,,,,,,,
..No parent present,"2,253 ",520 ,585 ,40 ,"1,109 ",- ,- ,- ,520 ,585 ,40 ,"1,109 "
.AGE OF CHILD,,,,,,,,,,,,
..Under 1 year,61 ,15 ,15 ,1 ,30 ,- ,- ,- ,15 ,15 ,1 ,30 
..1-2 years,170 ,39 ,33 ,9 ,89 ,- ,- ,- ,39 ,33 ,9 ,89 
..3-5 years,301 ,80 ,82 ,9 ,129 ,- ,- ,- ,80 ,82 ,9 ,129 
..6-8 years,357 ,102 ,99 ,2 ,154 ,- ,- ,- ,102 ,99 ,2 ,154 
..9-11 years,397 ,85 ,116 ,5 ,191 ,- ,- ,- ,85 ,116 ,5 ,191 
..12-14 years,442 ,106 ,112 ,8 ,216 ,- ,- ,- ,106 ,112 ,8 ,216 
..15-17 years,526 ,94 ,128 ,5 ,299 ,- ,- ,- ,94 ,128 ,5 ,299 
.PRESENCE OF SIBLINGS,,,,,,,,,,,,
..None,579 ,- ,1 ,- ,578 ,- ,- ,- ,- ,1 ,- ,578 
..One sibling,379 ,- ,222 ,20 ,137 ,- ,- ,- ,- ,222 ,20 ,137 
..Two siblings,663 ,245 ,174 ,14 ,230 ,- ,- ,- ,245 ,174 ,14 ,230 
..Three siblings,372 ,148 ,94 ,7 ,123 ,- ,- ,- ,148 ,94 ,7 ,123 
..Four siblings,165 ,97 ,38 ,- ,30 ,- ,- ,- ,97 ,38 ,- ,30 
..Five or more siblings,96 ,30 ,56 ,- ,11 ,- ,- ,- ,30 ,56 ,- ,11 
.NATIVITY OF CHILD AND PARENTS,,,,,,,,,,,,
"..Native child, no parents present","2,187 ",516 ,576 ,38 ,"1,056 ",- ,- ,- ,516 ,576 ,38 ,"1,056 "
"..Foreign-born child, no parents present",66 ,4 ,8 ,2 ,52 ,- ,- ,- ,4 ,8 ,2 ,52 
.CHILDS LABOR FORCE STATUS,,,,,,,,,,,,
..Child under age 15,"1,727 ",425 ,457 ,35 ,809 ,- ,- ,- ,425 ,457 ,35 ,809 
..Not in labor force,390 ,70 ,106 ,4 ,210 ,- ,- ,- ,70 ,106 ,4 ,210 
..Full time employed,24 ,3 ,- ,- ,22 ,- ,- ,- ,3 ,- ,- ,22 
..Part time employed,75 ,11 ,14 ,1 ,49 ,- ,- ,- ,11 ,14 ,1 ,49 
"..Unemployed, in the labor force",37 ,10 ,8 ,- ,19 ,- ,- ,- ,10 ,8 ,- ,19 
.PARENTS LABOR FORCE STATUS,,,,,,,,,,,,
..No parents present,"2,253 ",520 ,585 ,40 ,"1,109 ",- ,- ,- ,520 ,585 ,40 ,"1,109 "
.FAMILY INCOME,,,,,,,,,,,,
"..Under $2,500",588 ,2 ,33 ,1 ,552 ,- ,- ,- ,2 ,33 ,1 ,552 
"..$2,500 to $4,999",50 ,- ,25 ,3 ,22 ,- ,- ,- ,- ,25 ,3 ,22 
"..$5,000 to $7,499",62 ,7 ,30 ,1 ,25 ,- ,- ,- ,7 ,30 ,1 ,25 
"..$7,500 to $9,999",86 ,9 ,60 ,5 ,12 ,- ,- ,- ,9 ,60 ,5 ,12 
"..$10,000 to $12,499",88 ,7 ,55 ,1 ,25 ,- ,- ,- ,7 ,55 ,1 ,25 
"..$12,500 to $14,999",80 ,11 ,50 ,- ,19 ,- ,- ,- ,11 ,50 ,- ,19 
"..$15,000 to $19,999",161 ,44 ,73 ,- ,44 ,- ,- ,- ,44 ,73 ,- ,44 
"..$20,000 to $24,999",127 ,41 ,51 ,- ,35 ,- ,- ,- ,41 ,51 ,- ,35 
"..$25,000 to $29,999",125 ,36 ,37 ,5 ,47 ,- ,- ,- ,36 ,37 ,5 ,47 
"..$30,000 to $39,999",215 ,93 ,54 ,3 ,65 ,- ,- ,- ,93 ,54 ,3 ,65 
"..$40,000 to $49,999",157 ,50 ,52 ,4 ,52 ,- ,- ,- ,50 ,52 ,4 ,52 
"..$50,000 to $74,999",270 ,118 ,36 ,16 ,99 ,- ,- ,- ,118 ,36 ,16 ,99 
"..$75,000 and over",243 ,102 ,28 ,2 ,112 ,- ,- ,- ,102 ,28 ,2 ,112 
.HEALTH INSURANCE COVERAGE,,,,,,,,,,,,
..Covered by health insurance,"1,495 ",338 ,400 ,26 ,731 ,- ,- ,- ,338 ,400 ,26 ,731 
..Not covered by health insurance,758 ,182 ,184 ,14 ,378 ,- ,- ,- ,182 ,184 ,14 ,378 
.POVERTY STATUS,,,,,,,,,,,,
..Below 100% of poverty,"1,027 ",72 ,275 ,11 ,668 ,- ,- ,- ,72 ,275 ,11 ,668 
..100% to 199% of poverty,466 ,144 ,165 ,6 ,152 ,- ,- ,- ,144 ,165 ,6 ,152 
..200% of poverty and above,761 ,304 ,145 ,23 ,289 ,- ,- ,- ,304 ,145 ,23 ,289 
.100 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 100% of poverty,"1,027 ",72 ,275 ,11 ,668 ,- ,- ,- ,72 ,275 ,11 ,668 
..100% of poverty and above,"1,226 ",448 ,310 ,29 ,440 ,- ,- ,- ,448 ,310 ,29 ,440 
.125 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 125% of poverty,"1,185 ",111 ,351 ,14 ,708 ,- ,- ,- ,111 ,351 ,14 ,708 
..125% of poverty and above,"1,068 ",408 ,233 ,26 ,401 ,- ,- ,- ,408 ,233 ,26 ,401 
.HOUSEHOLD FOOD STAMP RECEIPT,,,,,,,,,,,,
..Yes,424 ,42 ,223 ,10 ,150 ,- ,- ,- ,42 ,223 ,10 ,150 
..No,"1,829 ",478 ,362 ,31 ,959 ,- ,- ,- ,478 ,362 ,31 ,959 
.HOUSEHOLD PUBLIC ASST RECEIPT,,,,,,,,,,,,
..Yes,303 ,39 ,167 ,- ,97 ,- ,- ,- ,39 ,167 ,- ,97 
..No,"1,950 ",481 ,418 ,40 ,"1,011 ",- ,- ,- ,481 ,418 ,40 ,"1,011 "
.AREA OF RESIDENCE,,,,,,,,,,,,
"..Central city, MSA of 1,000,000 or more",453 ,71 ,172 ,10 ,200 ,- ,- ,- ,71 ,172 ,10 ,200 
"..Outside central city, MSA of 1,000,000 or more",523 ,124 ,84 ,9 ,306 ,- ,- ,- ,124 ,84 ,9 ,306 
"..Central city, MSA under 1,000,000",360 ,65 ,130 ,5 ,160 ,- ,- ,- ,65 ,130 ,5 ,160 
"..Outside central city, MSA under 1,000,000",398 ,116 ,65 ,5 ,212 ,- ,- ,- ,116 ,65 ,5 ,212 
..Outside metropolitan area,519 ,144 ,134 ,11 ,230 ,- ,- ,- ,144 ,134 ,11 ,230 
.HOUSEHOLD TENURE,,,,,,,,,,,,
..Own/Buying,"1,495 ",450 ,320 ,26 ,700 ,- ,- ,- ,450 ,320 ,26 ,700 
..Rent,730 ,67 ,261 ,14 ,388 ,- ,- ,- ,67 ,261 ,14 ,388 
..No Cash Rent,28 ,3 ,4 ,- ,21 ,- ,- ,- ,3 ,4 ,- ,21 
Footnotes:,,,,,,,,,,,,
"1/  Including all children under age 18, except those in group quarters.",,,,,,,,,,,,
2/  Hispanics may be of any race.,,,,,,,,,,,,
3/  This data is from the expanded CPS sample and uses population controls based on Census 2000.,,,,,,,,,,,,
- Represents or rounds to zero.,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division.",,,,,,,,,,,,
"Internet Release Date:  July 17, 2003",,,,,,,,,,,,
