GID	UNIQID	NAME	GWEIGHT	Unmutated; CLL-49;lc9n027	Unmutated; CLL-58;lc9n030	Unmutated; CLL-61;lc9n033	Unmutated; CLL-68;lc9n037	Unmutated; CLL-21;lc9n046	Unmutated; CLL-16;lc9n045	Unmutated; CLL-24;lc9n044	Unmutated; CLL-45;lc9n115	Unmutated; CLL-62;lc9n100	Unmutated; CLL-55;lc9n093	Unmutated; CLL-48;lc9n026	Unmutated; CLL-25;lc9n047	Unmutated; CLL-50;lc9n129	Unmutated; CLL-52;lc9n108	Unmutated; CLL-15;lc9n005	Mutated_high; CLL-39;lc9n074	Mutated_high; CLL-57;lc9n029	Mutated_high; CLL-19;lc9n041	Mutated_high; CLL-53;lc9n040	Mutated_high; CLL-65;lc9n034	Mutated_high; CLL-66_SL106;lc9n035	Mutated_high; CLL-10;lc9n039	Mutated_high; CLL-69;lc9n038	Mutated_high; CLL-17;lc9n042	Mutated_high; CLL-59;lc9n031	Unmutated; CLL-60;lc9n032	Mutated_low; CLL-51;lc9n028	Mutated_low; CLL-22;lc9n043
GENE86X	17718	(Unknown; Clone=2011)	1	0.46	0.05	-0.25	0.00	0.00	-0.25	0.00	0.08	0.26	0.33	-0.06	0.23	0.30	0.59	0.35	0.03	-0.25	0.00	-0.15	-0.28	-0.39	-0.35	-0.59	-0.25	-0.39	0.11	-0.09	-0.18
GENE175X	23942	(Unknown; Clone=1967284)	1	0.30	0.17	-0.08	0.23	0.35	0.21	0.45	0.40	0.85	0.06	-0.06		0.54	0.41	0.32	0.52	-0.15	-0.15	-0.06	-0.43	-0.75	-0.10	-0.46		-0.06	-0.43	-0.30	-0.68
GENE45X	16457	*AICL=activation-induced C-type lectin=PMA-inducible type II membrane protein encoded in the NKG2A complex; Clone=47481	1	0.76	1.51	-0.09	0.09	1.43	1.58	1.59	1.87	1.60	-1.67	0.37	1.05		1.62	1.94	0.10	-1.81	-1.09	-1.89	-2.23	-2.81	-1.13	-2.33		-0.49	-0.67	-1.38	-1.81
GENE113X	18581	*glutathione-S-transferase homolog; Clone=1355339	1	0.36	0.05	0.00	0.05	0.02	0.58	0.27	0.22	0.47	0.42	-0.10		-0.30	0.70	0.29	0.02	0.14	-0.21	-0.67	-0.67	-0.67	-0.84	-0.39	-0.10	-0.30	-0.60	-0.33	-0.67
GENE91X	17813	*glutathione-S-transferase homolog; Clone=240613	1	0.13	0.13	0.08	-0.36	0.00	0.64	0.18	0.35	0.77	0.40	0.00		0.15	0.62	0.08	0.08	-0.05	-0.29	-0.75	-0.40	-0.11	-0.54	-0.29	-0.03	-0.23	-0.40	-0.36	-0.63
GENE75X	17289	(Uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5'-decarboxylase); Clone=758926)	1	0.61	0.04	0.22	-0.17	0.00	0.50	0.38	0.18		0.15	0.07	-0.22	-0.17	0.73	0.96	-0.13	0.04	0.07	-0.22	-0.47	-0.65	-0.65	-0.42	-0.37	-0.71	-0.65	0.22	-0.47
GENE66X	16996	*Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase; Clone=502761	1	0.55	0.22	0.11	-0.11	0.06	0.49	0.40	0.49	0.02	0.11	-0.11	0.11	0.61	1.00	1.09	-0.06	-0.11	0.11	-0.16	-0.21	-0.54	-0.36	-0.16	-0.42	-0.42	-0.48	-0.02	-0.26
GENE154X	21714	*Lipoprotein lipase; Clone=7381	1	1.63	2.19	1.80	0.44	1.08	1.35		0.18	1.64		-0.18									-1.47	-2.14			-2.28	-2.60	-1.62	-0.43	-2.29
GENE114X	18582	*Adenylate kinase 2 (adk2); Clone=1355429	1	0.39	0.19	0.00	-0.10	0.27	0.23	0.10	0.27	0.19	0.57	-0.10	0.00	0.43	0.50	0.47	0.00	0.10	0.00	-0.15	-0.27	-0.53	-0.21	-0.61	-0.39	-0.68	-0.39	0.10	-0.39
GENE112X	18554	*nm23-H2=NDP kinase B=Nucleoside dephophate kinase B; Clone=1352394	1	0.40	-0.19	-0.28	-0.04	0.17	0.04	0.50	0.45	0.89	0.55	-0.19	0.45	0.35	0.17	0.40	-0.66	0.11	-0.36	-0.28	-0.04	-0.56	0.04	-0.46	-0.19	-0.28	0.11	-0.56	-0.12
GENE94X	17914	*CD63=Lysosome associated membrane glycoprotein 3=ocular melanoma-associated antigen; Clone=769861	1	0.34	-0.09	-0.21	-0.04	0.14	0.23	0.84	0.49	0.38	1.01	0.01	0.23	0.38	0.18	0.45	-0.01	-0.18	-0.33	-0.27	-0.40	-1.15	-0.37	-0.71	-0.21	-0.67	0.09	-0.51	0.42
GENE14X	1286	*Unknown; Clone=713323	1	0.09	-0.04	-0.26	0.17	-0.06	0.07	0.22	0.11	0.70	0.28	0.42			0.20	0.27	-0.24	-0.47	0.00	0.04	-0.26	-0.75		-0.37	-0.04	-0.22	0.07	-0.35	-0.11
GENE107X	18509	*BCL-7A; Clone=1337241	1	-0.37	-0.47	0.10	-0.68	1.50	0.43	2.27	2.30	1.48	2.11	0.63	0.23		0.32	0.83	-1.86	-1.74	-2.00	-1.86	-1.86	-0.86	0.32	0.00	-0.47	-1.62	1.84	-1.74	-0.42
GENE53X	16720	*BCL-7A; Clone=306139	1	-0.14	-0.40	0.13	-0.40	1.64	0.74	2.52	2.58	1.60	2.12	0.76	0.51	-0.52	0.54	0.54	-0.52	-1.14	-1.34	-1.72	-1.34	-1.46	0.31	0.00	-0.52	-1.24	1.90	-1.14	0.00
GENE192X	4226	*cathepsin B; Clone=261517	1	0.71	0.35	0.07	0.25	0.33	-0.07	0.51	0.72	1.52	0.39	0.70	-0.16	0.87	0.57	-0.40	-0.09	-0.34	-0.18	-0.31	-0.17	-0.60	-0.43	-0.28	0.21	-0.43	1.48	-0.29	-0.97
GENE105X	18495	*importin beta subunit=nuclear localization signal binding protein subunit; Clone=1335146	1	0.20	0.24	0.04	-0.34	0.22	0.22	0.29	0.28	0.52	0.15	0.04	-0.06	0.18	0.13	0.64	-0.06	-0.04	-0.09	-0.23	-0.39	-0.74	-0.09	-0.34	-0.13	0.15	-0.39	-0.09	-0.31
GENE142X	21182	*Unknown  UG Hs.29390  ESTs; Clone=1299785	1	-0.04	0.19	0.11	-0.17	-0.07	0.06	0.15	0.28	0.46	0.17	0.17	-0.04	0.35	0.53	0.44	0.04	-0.09	-0.07	-0.22	-0.22	-0.97	-0.37	-0.46	-0.07	0.09	-0.28	0.19	-0.31
GENE64X	16975	*importin beta subunit=nuclear localization signal binding protein subunit; Clone=488932	1	0.00	0.07	0.23	-0.02	0.10	0.16	0.31	0.32	0.31	0.23	-0.20	0.05		0.47	0.32	0.05	-0.15	0.10	-0.15	-0.38	-0.82	-0.18	-0.26	-0.15	-0.15	-0.41	-0.18	-0.23
GENE166X	23042	(Unknown; Clone=2108857)	1	0.07	0.11	0.20	0.09	0.24	0.48	0.07	0.32	0.58	-0.03	-0.11	0.32	0.03	0.55	0.57	-0.41	-0.09	-0.41	-0.28	-0.94	-1.31	-0.76	-0.36	-0.05	-0.07	-0.62	-0.03	0.05
GENE52X	16670	*Purine nucleoside phophorylase=Inosine phosphorylase=PNP; Clone=293109	1	0.00	0.24	0.09	-0.28	0.38	0.62	0.77	1.24	0.44	0.62	0.67		0.16	0.38	1.13	-0.18	-0.18	-0.28	-0.62	-0.28	-0.91	-0.76	-0.28	-0.08	-0.08	-0.38	-0.38	0.87
GENE56X	16792	*MAPKAP kinase (3pK); Clone=342647	1	0.60	0.36	0.09	0.49	0.34	0.67	0.54	0.32	0.76	0.67	-0.19	0.00	0.69	0.43	1.41	-0.44	-0.44	-0.06	0.00	-0.53	-0.44	-0.19	-0.26		-0.19	-0.49	-0.15	-0.49
GENE30X	14438	*Unknown  UG Hs.27021  hypothetical protein FLJ11159; Clone=1353192	1	0.35	0.00	0.05	0.63	0.00	0.35	0.52	0.37	0.21	0.63	-0.09	0.00	0.37	0.72	0.97	-0.28	-0.18	-0.06	-0.06	-0.21	-0.12	-0.18	-0.28		0.13	-0.09	0.03	-0.28
GENE78X	17456	(Cytidine deaminase; Clone=1142821)	1	1.08	-0.36	-0.08	0.16	0.16	0.48	0.64	0.64	0.69	0.48		0.30	-0.26	0.74	0.59		-0.26	-0.36	-0.08	-0.84		-0.36	-0.58	-0.26	-0.36		-0.16	0.08
GENE9X	11434	(Unknown; Clone=1288903)	1	0.13	0.09	-0.10	0.26	-0.20	0.33	0.60	-0.05	0.80	0.40	-0.15	0.26	0.29	0.60	0.51	0.09	-0.10	0.13	-0.05	-0.49	-0.10	-0.49	-0.15	-0.25	-0.37	-0.20	-0.15	0.05
GENE80X	17607	*CD26=dipeptidylpeptidase IV; Clone=267758	1	0.90	0.98	0.42	1.00	0.34	-0.20	-0.05	1.34	1.25	0.90	0.00	-0.05		0.90	0.59	-0.05	-0.10	0.00	-0.26	-0.66	-0.15	-0.05	-0.32		0.00	0.00	-0.05	0.00
GENE73X	17173	*alpha-galactosidase A; Clone=684879	1	0.44	0.07	0.03	0.20	0.07	0.00	-0.12	0.92	0.91	0.22	0.22	0.07		0.27	0.55	-0.14	0.07	-0.17	-0.33	-0.69	-0.17	-0.25	-0.25	-0.04	-0.07	-0.51	-0.27	-0.02
GENE177X	24094	(CD63=Lysosome associated membrane glycoprotein 3=ocular melanoma-associated antigen; Clone=2044613)	1	0.65	0.29	-0.11	0.17	0.00	0.35	1.11	0.84	0.82	1.75	0.62			-0.03	0.43	-0.35	0.00	-0.50	-0.18	-0.07			-0.45	0.00	-0.27	-0.31	-0.31	0.11
GENE157X	22172	*Unknown  UG Hs.47325  ESTs; Clone=1672104	1	0.49	0.43	0.28	-0.21	0.21	0.20	0.23	0.43	0.49	0.97	0.32			0.22	0.13	-0.10	0.00	-0.27	0.00	-0.07	-0.35		-0.24	-0.04	-0.19	-0.02	-0.05	-0.15
GENE95X	17939	*Adenylosuccinate synthase; Clone=1032997	1	0.70	0.25	-0.11	0.20	0.40	0.20	0.30	0.40	0.48	0.86	-0.03	-0.14		0.09	0.28	0.00	-0.45	-0.03	-0.22	-0.20	-0.40	-0.38	0.11	-0.13	-0.18	-0.11	-0.09	0.02
GENE202X	9881	(Unknown; Clone=1185473)	1	0.31	0.42	-0.22	0.27	0.17	0.24	0.19	0.55	0.73	1.08	0.00	-0.24		0.30	0.96	-0.40	-0.11	0.00	-0.04	-0.28	-0.33	0.04	-0.06	-0.20	-0.52	0.04	-0.11	-0.52
GENE50X	16636	(ER-60 protein disulfide isomerase; Clone=280250)	1	0.23	0.31	-0.10	0.33	0.03	0.72	0.28	0.52	0.56	0.85	0.38	-0.40	-0.17	0.09	0.63	-0.28	-0.35	-0.20	0.03	-0.57	-0.40	-0.03	-0.20	0.09	-0.24	-0.24	-0.17	-0.13
GENE197X	691	*Unknown  UG Hs.190141  ESTs; Clone=700867	1	0.40	0.22	-0.01	-0.01	0.25	0.52	0.40	0.37	0.95	0.52	0.03	0.03	0.27	0.15	0.31	-0.03	-0.03	-0.17	-0.01	-0.19	-0.37	-0.12	-0.17	-0.08	-0.27	-0.08	-0.05	0.01
GENE156X	22166	*Unknown  UG Hs.47325  ESTs; Clone=1672016	1	0.31	0.39	0.35	-0.16	0.43	0.62	0.10	0.41	0.58	0.56	-0.20			0.34	0.11	-0.19	-0.14	-0.15	-0.12	-0.20	-0.32		-0.40	0.08	0.00	-0.37	-0.11	-0.14
GENE12X	11537	(Unknown; Clone=1289862)	1	0.35	0.35	-0.16	0.12	0.19	0.79	0.26	0.44	0.94	0.49	0.23	0.26	-0.20	0.35	0.65	-0.72	0.12	-0.16	-0.16	-0.54	-0.39	-0.20	-0.24	-0.12	-0.16	-0.54	-0.29	-0.39
GENE72X	17157	(Angiopoietin-2; Clone=669424)	1	0.22	0.13	-0.25	0.13	-0.07	0.00	0.16	0.64	0.53	0.60	0.16			0.51	0.41	0.07	0.00	-0.21	-0.34	-0.18	-0.47	-0.25	-0.21	-0.30	0.00	-0.30	-0.30	-0.18
GENE7X	11131	(Unknown; Clone=1285920)	1	0.52	0.08	-0.07	0.23	0.04	0.32	0.40	0.57	0.81	0.86	-0.31	0.17		0.66	0.45	0.20	-0.04	-0.11	-0.11	-0.07	-0.27	-0.22	-0.54		-0.27	-0.44	-0.59	-0.54
GENE22X	13375	(Similar to PC4=p14=p15=Activated RNA polymerase II transcriptional coactivator; Clone=1334097)	1	0.25	0.36	-0.24	0.14	-0.40	0.25	0.36	0.75	0.97	1.01	-0.09	0.18	0.21	0.52	0.52	-0.14	-0.09	-0.40	-0.19	-0.09	-0.46	-0.40	0.09	-0.14	-0.40	-0.29	-0.58	0.36
GENE125X	20023	(Similar to friend of GATA-1 (FOG)=zinc finger GATA-1 coactivator in erythroid and megakaryocyte lineages; Clone=1671396)	1	0.26	0.46	-0.45	-0.11	0.29	0.22	0.29	0.81	0.65	1.10	-0.09	0.09	0.59	0.22	0.26	-0.27	0.11	-0.36	-0.24	-0.16	-0.77	-0.22	-0.55	-0.24	-0.52	-0.62	-0.14	0.13
GENE124X	19430	(Similar to arginine/aspartate-rich 37.3K protein; Clone=1289546)	1	0.47	0.25	-0.13	0.28	0.00	0.09	0.35	0.45	0.33	0.82	-0.27		0.28	0.49	0.12	-0.20	-0.06	-0.13	-0.09	-0.13	-0.31	0.00	-0.51	-0.20	-0.09	0.00	-0.06	0.20
GENE63X	16943	*ILK=integrin-linked kinase; Clone=471786	1	0.35	0.73	0.26	-0.08	0.21	0.48	0.47	0.68	0.34	0.88	-0.21	0.03	0.13	0.65	0.30	-0.13	-0.16	-0.08	-0.03	-0.13	-0.24	-0.33	-0.16	0.19	-0.05	-0.33	-0.36	-0.64
GENE69X	17086	*Putative oncogene protein similar to C. elegans ZC395.7 gene product; Clone=590942	1	0.36	0.34	0.18	0.18	-0.16	0.03	0.49	0.68	0.71	0.86	-0.11			0.74	0.38	-0.39	-0.16	0.03	-0.13	-0.08	-0.49	-0.06	-0.39	-0.03	0.20	-0.16	-0.13	-0.56
GENE65X	16991	*Adenylosuccinate lyase; Clone=501897	1	0.52	0.49	0.23	-0.04	0.12	0.12	0.60	0.78	0.40	0.76	-0.22		0.68	0.78	0.46	-0.17	-0.27	-0.08	-0.27	0.09	-0.32	-0.17	-0.22	0.00	-0.17	-0.27	-0.17	-0.66
GENE88X	17729	*Vitamin D (1,25- dihydroxyvitamin D3) receptor; Clone=843037	1	0.08	-0.12	0.18	0.37	0.04	0.89	0.40	1.20	-0.07	1.13	-0.29	1.00		0.15	1.40	-0.29	-0.39	-0.12	-0.39	-0.39	-0.44	-0.12	0.00	-0.20	-0.07	0.28	0.08	-0.03
GENE131X	20734	*Protein disulfide isomerase-related protein (PDIR); Clone=703707	1	0.31	-0.13	-0.04	0.41	-0.23	0.31	0.62	1.14	0.56	0.53	-0.04	0.64	0.13	0.56	1.16	-0.04	-0.91	-0.69	0.04	-0.28	-0.23		-0.76		-0.33	0.13	-0.38	-0.33
GENE54X	16752	(CTP synthetase; Clone=323644)	1	0.62	-0.18	0.00	0.44	0.09	0.16	0.82	0.82	0.24	0.38	-0.38	0.72	0.38	0.62	1.04	-0.50	-0.62	-0.28	-0.18	-0.08	-0.18	0.00	-0.38		0.00	-0.38	-0.18	-0.18
GENE165X	22965	(Unknown; Clone=2108230)	1	0.07	0.29	0.14	0.22	0.54	0.27	0.31	0.75	0.67	0.22	-1.03	0.64	-0.05	0.38	0.40	-0.56	-0.80	-0.64	-0.33	-0.53	-0.18	-0.60	-0.84	-0.56	0.05	-0.27	-0.30	-0.49
GENE82X	17653	(Uridine monophosphate kinase; Clone=344219)	1	0.18	0.00	0.12	0.12	0.06	0.18	0.12	0.06	0.00	0.12	-0.38	0.24		0.29	0.78	-0.56	-0.66	-0.66	-0.29	-0.22	-0.22	-0.07	-0.56		-0.22	-0.38	0.00	-0.56
GENE101X	18365	*HPRT=IMP:pyrophosphate phosphoribosyltransferase E.C. 2.4.2.8.; Clone=1273101	1	0.24	0.29	-0.22	0.29	0.00	0.06	-0.07	0.24	0.66	0.34	-0.07	0.49	0.06	0.00	0.66	-0.76	0.18	-0.22	-0.22	-0.38	-0.14	0.06	0.00	-0.46	-0.38	-0.14	0.12	-0.07
GENE16X	12891	(Unknown; Clone=1186269)	1	0.59	0.16	-0.23	-0.08	0.00	0.00	0.31	0.41	0.44	0.09	0.20	0.56		0.04	0.50	-0.62	0.24	-0.33	-0.33	-0.50	-0.04	-0.33	0.16	-0.38	-0.04	-0.33	0.04	-0.44
GENE87X	17725	*Superoxide dismutase 2, mitochondrial; Clone=840708	1	0.38	0.17	0.03	-0.08	0.07	0.23	0.20	0.53	1.10	0.29	0.00	1.33		0.23	0.48	-0.28	-0.11	-0.52	-0.42	-0.42	0.07	-0.08	-0.32	-0.24	-0.08	-0.08	-0.32	-0.24
GENE93X	17902	*Glutathione synthetase; Clone=713648	1	0.16	0.06	-0.13	0.37	-0.13	0.25	0.16	0.22	0.93	0.64	-0.30	0.37	0.75	0.62	0.69	-0.06	-0.49	-0.30	-0.39	-0.82	-0.64		-0.26		-0.17	-0.54	-0.39	0.09
GENE43X	16020	(progesterone receptor-associated p48 protein=putative tumor suppressor (SNC6); Clone=210887)	1	0.17	0.13	-0.06	0.36	0.20	0.45	0.10	-0.11	1.06	0.48	0.13	-0.19	0.45	0.39	0.50	0.24	-0.48	-0.43	-0.48	-0.91	-0.91	-0.15	-0.15	-0.19	-0.38	-0.65	-0.28	0.06
GENE117X	18593	*Receptor protein-tyrosine kinase EDDR1; Clone=1356393	1	-0.33	-0.05	0.14	-0.15	0.30	0.30	0.47	0.00	0.70	1.25	0.24		0.81	0.71	0.20	0.24	-0.33	-0.82	-0.68	-0.39	-0.07	-0.35	-0.30	0.11	-0.41	-0.98	-0.43	0.38
GENE126X	20325	(Cell division cycle 10 (homologous to CDC10 of S. cerevisiae); Clone=704416)	1	0.33	0.67	-0.13	0.22	0.25	0.29	-0.10	0.22	0.77	0.52	0.05		1.44	0.00	0.25	-0.13	0.08	-0.12	-0.13	-0.56	-0.43	-0.23	-0.34	-0.19	-0.26	-0.80	-0.06	0.07
GENE89X	17786	*TSC-22=TGF-beta-induced in mouse; Clone=135738	1	0.53	1.00	0.33	0.29	0.29	0.35	0.29	0.01	0.70	0.38	-0.20	-0.01	0.86	0.31	0.53	-0.09	-0.23	-0.01	-0.26	-0.42	-0.60	-0.01	-0.01	0.40	-0.09	-1.52	-0.23	-0.14
GENE108X	18510	(alkB=E.coli AlkB homolog, a protein involved in DNA alkylation damage repair; Clone=1337358)	1	-0.03	0.25	0.35	0.35	-0.19	-0.03	0.46	0.55	0.30	0.48	0.00	-0.23	0.50	0.35	0.39	0.14	0.00	-0.12	0.09	-0.50	-0.41	-0.06	-0.46	-0.16	-0.30	-0.23	0.06	-0.12
GENE188X	3218	(Similar to YDD5_SCHPO HYPOTHETICAL 28.8 KD PROTEIN C1B9.05C IN CHROMOSOME I; Clone=826532)	1	0.41	0.41	0.03	0.98	0.46	0.35	0.09	0.45	0.39	0.74	-0.03	-0.32	1.17	0.20	-0.11	-0.27	0.29	-0.81	-0.19	-0.83	-0.85	-0.58	-0.61	-0.42	-0.41	-0.38	0.78	-0.06
GENE110X	18540	*Protein tyrosine phosphatase, non-receptor type 9 (PTPase MEG2); Clone=1351159	1	0.39	0.24	0.02	0.41	0.19	-0.02	0.13	0.23	0.65	0.43	0.08	0.26	0.46	0.39	0.10	-0.17	-0.04	-0.29	-0.06	-0.48	-0.37	-0.32	-0.60	-0.17	-0.06	-0.08	-0.08	-0.27
GENE168X	23210	*Unknown  UG Hs.171098  EST; Clone=2116493	1	0.22	0.22	-0.19	0.17	0.33	0.00	-0.05	0.55	0.26	0.61	-0.08	0.30	0.50	0.13	0.61	-0.19		-0.19	-0.05	-0.22	-0.56	0.17	-0.05	-0.19	-0.31	-0.16	0.15	-0.34
GENE90X	17808	*SET=fused to can in acute undifferentiated leukemia; Clone=51973	1	0.11	0.33	-0.02	-0.07	0.29	-0.02	0.03	0.40	0.24	0.79	-0.17		0.81	0.07	0.57	-0.80	-0.42	0.05	0.00	-0.42	-0.39	0.03	0.00	-0.09	-0.27	-0.36	-0.22	-0.36
GENE172X	23466	*Unknown  UG Hs.147935  EST; Clone=2000265	1	0.34	0.37	0.00	-0.05	0.51	0.40	-0.08	0.54	0.16	0.50	-0.09		0.69	0.52	-0.06	-0.51	-0.47	-0.13	0.08	-0.34	-0.21	0.08	0.08	0.03	-0.23	-0.09	-0.23	-0.83
GENE173X	23651	*Unknown; Clone=2132407	1	0.30	0.27	-0.17	0.30	0.00	0.16	0.00	0.46	0.43	0.49	0.05	0.40	0.34	0.27	0.40	-0.42	-0.54	-0.12	-0.17	-0.27	-0.42	0.16	-0.32	-0.08	-0.04	-0.66	0.00	-0.04
GENE162X	22537	*Unknown; Clone=2073034	1	0.33	0.00	-0.33	0.00	-0.16	0.22	0.18	0.44	0.69	0.20	0.14	0.59	0.42	0.34	0.36	-0.71	-0.39	-0.08	-0.39	-0.46	-0.71	0.02	-0.21	0.00	0.12	-0.36	-0.39	-0.53
GENE171X	23393	(Unknown  UG Hs.175803  EST; Clone=2129279)	1	0.66	0.69	0.27	0.65	1.01	0.81	0.50	0.03	1.26	-0.13	-0.09	0.56	2.16	0.83	0.51	-1.05	-0.55	-0.62	-0.89	-1.38	-0.96	0.11	-0.44	-0.06	-0.03	-0.72	-0.68	-0.18
GENE149X	21426	*Unknown  UG Hs.117305  ESTs; Clone=1338864	1	0.29	0.02	0.11	0.36	0.26	-0.02	0.33	0.22	0.02	-0.11	-0.16	0.26	1.51	0.74	0.79	-0.26	-0.54	-0.21	-0.02	-0.36	-0.74	-0.16	-0.36	-0.06	-0.11	-0.21	0.11	0.02
GENE129X	20478	(Unknown; Clone=1272186)	1	0.22	0.55	0.25	-0.22	-0.04	0.48	0.35	-0.18	0.20	0.03	-0.08	0.21	0.66	0.11	0.07	-0.34	-0.42	-0.27	0.04	-0.05	-0.42	-0.03	-0.42	-0.16	-0.03	0.22	0.11	-0.18
GENE167X	23167	*Unknown  UG Hs.13501  pescadillo (zebrafish) homolog 1, containing BRCT domain; Clone=2109829	1	0.65	0.35	-0.11	0.03	-0.28	0.00	-0.08	0.14	0.35	0.29	0.14	0.40		0.29	-0.15	-0.74	-0.20	-0.28	-0.11	0.03	-0.57	0.00	-0.62	-0.24	-0.20	0.10	0.00	-0.42
GENE137X	20959	*Unknown  UG Hs.42954  ESTs, Weakly similar to AF151835_1 CGI-78 protein [H.sapiens]; Clone=1186406	1	0.72	0.31	0.59	0.00	-0.10	0.36	0.26	-0.08	0.27	0.64	0.67	0.33		0.71	-0.04	-1.28	-1.00	-0.90	-0.48	0.66	-0.37	-0.79	-0.78	-1.06	-0.75	-0.21	0.29	0.19
GENE182X	25237	*CD21=B-lymphocyte CR2-receptor (for complement factor C3d and Epstein-Barr virus); Clone=101	1	0.28	1.28	0.28	0.01	-0.04	0.47	-0.01	-0.90	0.50	0.01	0.69		1.25	1.35	0.76	-0.59	-0.77	-0.59	-0.19	-1.24	-0.42	-0.62	0.03		-0.77	1.20	-0.59	-0.86
GENE118X	18599	*MMAC1=PTEN=Tumor suppressor gene at 10q23.3 that is Mutated in Multiple Advanced Cancers=Phosphatase and tensin homolog; Clone=1357285	1	0.29	0.41	0.27	0.17	0.29	0.14	0.00	-0.61	-0.06	0.24	0.19		0.71	0.24	0.17	-0.09	-0.33	-0.29	-0.37	-0.19	-0.19	-0.19	-0.53	0.06	-0.81	0.17	-0.26	0.00
GENE18X	12982	*Similar to ferritin H chain; Clone=1287026	1	0.33	0.06	-0.04	-0.01	0.18	0.04	0.18	0.38	0.50	0.16	0.01	-0.17	1.09	-0.20	0.58	-0.60	0.01	-0.35	-0.12	-0.56	-0.06	-0.35	-0.26	0.16	-0.52	0.11	-0.04	-0.20
GENE92X	17846	*Protein tyrosine phosphatase, non-receptor type 9 (PTPase MEG2); Clone=342927	1	0.62	0.62	0.07	0.37	-0.17	0.00	0.26	0.20	0.42	0.89	0.00		0.62	0.29	0.70	-0.83	-0.34	-0.25	0.00	-0.15	-0.23	-0.17	-0.37	-0.23	-0.15	0.27	-0.10	-0.74
GENE58X	16794	*Protein tyrosine phosphatase, non-receptor type 9 (PTPase MEG2); Clone=342927	1	0.40	0.44	0.20	0.47	-0.02	0.05	0.26	0.31	0.49	0.62	0.00	-0.49	0.65	0.00	0.31	-1.05	-0.53	-0.20	0.00	-0.34	-0.43	-0.31	-0.56		-0.07	0.15	-0.17	-0.56
GENE187X	3184	*glycogenin-2 like mRNA; Clone=826311	1	1.16	-0.08	0.66	-0.08		0.86	0.63	0.66	1.27	1.01	-0.02	-0.62	1.15	0.07	0.70		-1.28	-0.44	-0.41	0.00	-0.02	-0.59	0.00	-0.53	-0.59	0.50	0.33	-0.47
GENE28X	13987	*Unknown  UG Hs.27021  hypothetical protein FLJ11159; Clone=1340103	1	0.62	0.03	0.12	0.84	0.09	0.66	0.09	-0.16	0.20	0.55	0.58	-0.16		-0.20	0.91	-1.09	-0.13	-0.31	-0.16	-0.03	0.00	-0.27	-0.20	-0.43	-0.38	0.15	0.06	-0.27
GENE11X	11527	*Similar to hypertension-related protein; Clone=1289822	1	0.32	0.22	-0.17	0.26	0.02	0.08	0.00	0.20		0.40	-0.30		0.76	0.35	0.53	-0.22	-0.30	-0.17	-0.05	-0.35	-0.41	-0.05	-0.32	-0.30	-0.63	0.00	0.24	0.22
GENE3X	10522	(KIAA0079; Clone=1270319)	1	0.33	0.36	-0.39	0.12	0.00	0.53	0.00	0.18		0.18	-0.33		0.38		0.31	-0.46	-0.46	-0.33	0.02	-0.16	-0.39	-0.67	-0.84	-0.39	-0.93	0.09	0.38	0.14
GENE2X	10321	(FMR1=Fragile X mental retardation 1; Clone=1268810)	1	0.30	0.15	0.14	0.00	0.17	0.50	-0.12	0.01	0.50	0.08	-0.32		0.24	0.41	0.06	-0.52	-0.15	-0.03	-0.23	-0.51	-0.30	-0.02	-0.37	-0.31	-0.88	0.08	0.13	-0.27
GENE196X	581	*calnexin; Clone=686932	1	-0.02	0.39	-0.40	0.45	0.14	0.14	-0.15	0.02	0.45	0.07	0.07	0.18	0.39	0.11	0.54	-0.30	-0.30	-0.10	-0.15	-0.02	-0.15	-0.15	0.02	-0.64	-0.30	-0.20	0.32	-0.35
GENE144X	21195	*Unknown  UG Hs.97275  ESTs; Clone=1301441	1	0.88	0.14	0.22	0.41	0.58	0.17	0.32	-0.12	0.00	-0.03	-0.37	1.00		0.27	1.02	-0.22	-0.09	-0.12	-0.26	-0.49	0.11	-0.29	-0.53	-0.57	-0.26	1.11	0.36	-0.12
GENE35X	14877	*KIAA0808; Clone=1357480	1	2.26	-0.08	1.56	-0.76	1.77	0.82	-0.38	0.92	1.38	0.00	-0.50	0.62		1.62	1.62	-1.08	0.00	-0.50	-0.38	-1.28	-0.76	-0.38	-0.91	-0.08	0.09	0.72	1.04	-0.76
GENE190X	3648	(Similar to early B-cell factor; Clone=704338)	1	0.26	0.07	1.02	0.64	-0.43	0.56		0.28	-0.08	0.63	-0.06		0.15	0.56	1.23	-0.14	-0.83	-0.57	0.17		-0.36	-0.46	-0.39	-0.29	0.00	0.68	-0.36	-1.03
GENE76X	17305	*TIMP-1=Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor); Clone=771755	1	0.36	-0.11	0.47	0.76	0.73	0.14	0.58	0.38	0.34	-0.01	0.14	0.10	0.01	1.74	1.01	-0.42	-0.90	-0.70	-0.19	-1.30	-0.77	-0.27	-0.59	-0.22	0.08	-0.04	-0.22	-0.62
