OS TB 12/05/95 C&D: Source x Nature-Inc.Rates '94




 Table R28.  Incidence rates(1) for  nonfatal occupational injuries and illnesses involving days away from work(2) per 10,000 full-time workers by source of injury or illness and selected natures of
 injury or illness, 1994
 __________________________________________________________________________________________________________________________________________________________________________________________________________
                                 |         |         |                                                                                                                                                     
                                 |         |         |                                                             Nature of injury or illness                                                             
                                 |         |         |_____________________________________________________________________________________________________________________________________________________
                                 |         |         |         |         |         |         |         |         |         |         |         |                             |                   |         
                                 |         |         |         |         |         |         |         |         |         |         |         | Multiple traumatic injuries |Back pain and pain,|         
                                 |         |         |         |         |         |         |         |         |         |         |         |        and disorders        |    except back    |         
              Source             |  Source |  Total  |         |         |         |         |         |         |         |         |         |_____________________________|___________________|   All   
                                 | code (3)|  cases  | Sprains,|         |  Cuts,  |         |   Heat  | Chemical| Amputa- |  Carpal | Tendon- |         |         |         |         |         |  other  
      glasses....................|    142  |    0.2  |    -    |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Dishes, drinking cups,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      beverage glasses, n.e.c. ..|    149  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Luggage, handbags.............|     15  |    0.6  |    0.5  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Luggage, unspecified........|    150  |    0.4  |    0.4  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Briefcases..................|    151  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Handbags, pocketbooks,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      wallets....................|    152  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Suitcases...................|    153  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Luggage, n.e.c. ............|    159  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Skids, pallets................|     16  |    3.1  |    1.6  |    0.2  |    0.1  |    0.6  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    0.2  |    0.1  |    0.4  
   Containers, n.e.c. ...........|     19  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
                                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
 Furniture and fixtures..........|      2  |   10.0  |    4.4  |    0.6  |    0.9  |    1.7  |    -    |    -    |    -    |    -    |    -    |    0.3  |    -    |    0.1  |    0.7  |    0.3  |    1.4  
   Furniture and fixtures,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    unspecified..................|     20  |    0.3  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Cases, cabinets, racks,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    shelves......................|     21  |    3.5  |    1.3  |    0.2  |    0.4  |    0.7  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    0.2  |    0.1  |    0.5  
     Cases, cabinets, racks,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      shelves, unspecified.......|    210  |    0.4  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Bookcases...................|    211  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cabinets, cases--display,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      storage....................|    212  |    1.0  |    0.4  |    0.1  |    0.1  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.1  
     Counters, counter tops......|    213  |    0.3  |    0.1  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Garment racks, other racks..|    214  |    1.1  |    0.4  |    0.1  |    0.1  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.2  
     Lockers.....................|    215  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Partitions..................|    216  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Shelving....................|    217  |    0.6  |    0.1  |    -    |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Cases, cabinets, racks,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      shelves, n.e.c. ...........|    219  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Floor, wall, and window       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    coverings....................|     22  |    0.3  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Floor, wall, and window     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      coverings,                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    220  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Floor coverings,            |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      nonstructural..............|    221  |    0.2  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Wall coverings..............|    222  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Window coverings, blinds,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      shades or                  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      draperies..................|    223  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Floor, wall, and window     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      coverings, n.e.c. .........|    229  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Furniture.....................|     23  |    4.7  |    2.3  |    0.2  |    0.2  |    0.8  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.1  |    0.4  |    0.2  |    0.6  
     Furniture, unspecified......|    230  |    0.3  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Beds, bedding, mattresses...|    231  |    1.1  |    0.6  |    0.1  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.1  
     Benches, workbenches, saw   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      horses.....................|    232  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Chairs......................|    233  |    0.6  |    0.3  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.1  
     Desks.......................|    234  |    0.5  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Sofas.......................|    235  |    0.3  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tables, worktables..........|    236  |    1.5  |    0.6  |    0.1  |    0.1  |    0.4  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.2  
     Furniture, n.e.c. ..........|    239  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Other fixtures................|     24  |    1.0  |    0.3  |    0.1  |    0.2  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
     Other fixtures, unspecified.|    240  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Lighting equipment..........|    241  |    0.3  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Lighting equipment,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   2410  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Lamps.....................|   2411  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Light bulbs...............|   2412  |    0.1  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Lighting equipment, n.e.c.|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        .........................|   2419  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Plumbing fixtures...........|    242  |    0.6  |    0.2  |    0.1  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Plumbing fixtures,        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   2420  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Bathtubs..................|   2421  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Sinks.....................|   2422  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Toilets...................|   2423  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Plumbing fixtures, n.e.c. |   2429  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other fixtures, n.e.c. .....|    249  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Furniture and fixtures, n.e.c.|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    .............................|     29  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
                                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
 Machinery.......................|      3  |   19.0  |    4.4  |    1.6  |    4.3  |    2.3  |    0.5  |    -    |    1.0  |    -    |    0.1  |    0.9  |    0.3  |    0.1  |    0.8  |    0.3  |    3.2  
   Machinery, unspecified........|     30  |    1.3  |    0.3  |    0.2  |    0.2  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    0.3  
   Agricultural and garden       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    machinery....................|     31  |    0.5  |    0.2  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Agricultural and garden     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      machinery,                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    310  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Harvesting and threshing    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      machinery..................|    311  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Balers....................|   3111  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Combines..................|   3112  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Harvesters, reapers.......|   3113  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Mowing machinery............|    312  |    0.4  |    0.1  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Mowing machinery,         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   3120  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Lawn mowers--nonriding,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        powered..................|   3121  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Lawn mowers--riding.......|   3122  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Mowers--tractor...........|   3123  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Mowing machinery, n.e.c. .|   3129  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Plowing, planting, and      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      fertilizing machinery......|    313  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Plowing and cultivating   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery................|   3131  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Spreading                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery--agricultural..|   3133  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Plowing, planting, and    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        fertilizing machinery,   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        n.e.c. ..................|   3139  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other agricultural and      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      garden machinery...........|    319  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Feed grinders, crushers,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        mixers--agricultural.....|   3192  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Spraying and dusting      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery--agricultural..|   3193  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Agricultural and garden   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery, n.e.c. .......|   3199  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Construction, logging, and    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    mining machinery.............|     32  |    1.0  |    0.3  |    0.2  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    0.2  
     Construction, logging, and  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      mining machinery,          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    320  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Excavating machinery........|    321  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Excavating machinery,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   3210  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Backhoes..................|   3211  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Bulldozers................|   3212  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Trenchers.................|   3214  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Excavating machinery,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        n.e.c. ..................|   3219  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Loaders.....................|    322  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Loaders, unspecified......|   3220  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Bucket loaders............|   3221  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       End loaders...............|   3222  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Front end loaders.........|   3223  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Loaders, n.e.c. ..........|   3229  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Logging and wood processing |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      machinery--                |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      specialized................|    323  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Logging and wood          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        processing               |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery--specialized,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   3230  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chippers..................|   3231  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Log loaders, including    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        heel boom................|   3234  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Forwarder/yarder, skidder.|   3235  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Skidder--cable and grapple|   3238  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Logging and wood          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        processing               |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery--specialized,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        n.e.c. ..................|   3239  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Mining and drilling         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      machinery..................|    324  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Mining and drilling       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery, unspecified...|   3240  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Drilling machines,        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        drilling augers..........|   3241  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Mineral sorters,          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        separators, concentrators|   3242  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Tunnelling machines.......|   3243  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Mining and drilling       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery, n.e.c. .......|   3249  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Road grading and surfacing  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      machinery..................|    325  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Road grading and surfacing|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery, unspecified...|   3250  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Asphalt and mortar        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        spreaders................|   3251  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Graders, levellers,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        planers, scrapers........|   3252  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Steam rollers, road pavers|   3254  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Road grading and surfacing|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery, n.e.c. .......|   3259  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other construction, logging,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      and mining machinery.......|    329  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Agitators, mixers--earth, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        mineral..................|   3291  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Compactors, crushers,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        pulverizers--earth,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        mineral..................|   3292  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Pile drivers, tamping     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery................|   3293  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Construction, logging, and|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        mining machinery, n.e.c. |   3299  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Heating, cooling, and cleaning|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    machinery and appliances.....|     33  |    2.9  |    1.1  |    0.1  |    0.3  |    0.2  |    0.3  |    -    |    -    |    -    |    -    |    0.1  |    0.1  |    -    |    0.2  |    0.1  |    0.5  
     Heating, cooling, and       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      cleaning machinery and     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      appliances, unspecified....|    330  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cooling and humidifying     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      machinery and appliances...|    331  |    1.1  |    0.5  |    -    |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.3  
       Cooling and humidifying   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery and appliances,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   3310  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Air conditioning units....|   3311  |    0.3  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Fans, blowers--wall,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        floor, ceiling,          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        ventilation..............|   3312  |    0.2  |    0.1  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Refrigerators, freezers,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        ice makers...............|   3314  |    0.6  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
       Cooling and humidifying   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        machinery and appliances,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        n.e.c....................|   3319  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Heating and cooking         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      machinery and appliances...|    332  |    1.0  |    0.4  |    -    |    0.1  |    -    |    0.3  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Heating and cooking       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
