Source	Reference
DATM, 1959	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DATM, 1961	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DATM, 1967	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DATM, 1970	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DATM, 1971	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DATM, 1975	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DC, 1957	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DC, 1963	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

De Lisle et al., 1986	De Lisle, H., G. Cantu, J. Feldner, P. O'Connor, M. Peterson, and P. Brown. 1986. Distribution and Present Status of the Herpetofauna of the Santa Monica Mountains of Los Angeles and Ventura Counties, California. Southwestern Herpetologists Society/Society for the Study of Amphibians and Reptiles.  94 pp.

Degenhardt et al., 1996	Degenhardt, W.G., C.W. Painter, and A.W. Price. 1996. Amphibians and Reptiles of New Mexico.

DeGraaf and Rudis, 1981	DeGraaf, R.M. and D.D. Rudis. 1981. Forest Habitat for Reptiles & Amphibians of the Northeast. Northeastern Forest Experiment Station and Eastern Region, Forest Service, US Department of Agriculture. 239 pp.

DeGraaf and Rudis, 1983	DeGraaf, R.M. and D.D. Rudis. 1983. Amphibians and Reptiles of New England. University of Massachusetts Press, Amherst. 85pp.

DePoe et al., 1961	DePoe, C.E., J.B. Funderburg Jr., and T.L. Quay. 1961. The reptiles and amphibians of North Carolina: A preliminary check list and bibliography. The Journal of the Elisha Mitchell Science Society 77: 125-136. 

Dixon, 1987	Dixon, J.R. 1987. Amphibians and Reptiles of Texas. Texas A & M University Press, College Station. 434 pp.

Dodd and Charest, 1988	Dodd Jr., C.K., and B.G. Charest. 1988. The herpetofaunal community of temporary ponds in north Florida sandhills: species composition, temporal use, and management implications. Pp. 87-97. In: R.C. Szaro, K.E. Severson, and D.R. Patton (Eds.), Management of Amphibians, Reptiles, and Small Mammals in North America, Proceedings of the Symposium. USDA Forest Service, Flagstaff.

Douglas, 1966	Douglas, C.L. 1966. Amphibians and reptiles of Mesa Verde National Park, Colorado. University of Kansas Publications Museum of Natural History 15: 711-744.

Dowling, 1957	Dowling, H.G. 1957. A Review of the Amphibians and Reptiles of Arkansas. University of Arkansas Museum, Occasional Papers Number 3. Fayetteville. 51 pp.

Drought, 1987	Drought, J.F. 1987. Notophthalmus viridescens louisianensis (central newt). Herpetological Review 18(1): 17-20.

Duellman and Schwartz, 1958	Duellman, W.E. and A. Schwartz. 1958. Amphibians and reptiles of southern Florida. Bulletin of the Florida State Museum, Biological Sciences 3: 181-325.

Duellman, 1951	Duellman, W.E. 1951. Notes on the reptiles and amphibians of Greene County, Ohio. The Ohio Journal of Science 51: 335-341.

Duellman, 1955	Duellman, W.E. 1955. Notes on reptiles and amphibians from Arizona. Occasional Papers of the Museum of Zoology, University of Michigan 569: 1-14.

Dundee and Rossman, 1989	Dundee, H.A. and D.A. Rossman. 1989. The amphibians and reptiles of Louisiana. Louisiana State University Press, Baton Rouge LA. 300 pp. 

Dunn, 1917	Dunn, E.R. 1917. Reptile and amphibian collections from the North Carolina Mountains, with especial refference to salamanders. Bulletin American Museum of Natural History 37: 593-634.

Dunn, 1920	Dunn, E.R. 1920. Some reptiles and amphibians from Virginia, North Carolina, Tennessee and Alabama. Proceedings of the Biological Society of Washington 33: 129-138.

Dunn, 1938	Dunn, E.R. 1938. Notes on frogs of the genus Acris. Proceedings of the Academy of Natural Sciences of Philadelphia 90: 153-154.

Dury and Williams, 1933	Dury, R. and R.S. Williams. 1933. Notes on some Kentucky amphibians and reptiles. Baker Hunt Foundation Museum Bulletin 1: 1-22.

Dury, 1932	Dury, R. 1932. Notes on reptiles and amphibians from Clifty Falls State Park, Jefferson County, Indiana. Proceedings of the Junior Society of Natural Sciences 3: 23-26.

Edgren and Stille, 1948	Edgren Jr., R.A. and W.T. Stille. 1948. Checklist of Chicago area amphibians and reptiles. Natural History Miscellanea, The Chicago Academy of Sciences 26: 1-7.

Esco and Jensen, 1996	Esco, K. and J. Jensen. 1996. Georgia Herp Atlas: matrix of Georgia's amphibians and reptiles. Version 1.0. Georgia Department of Natural Resources, Wildlife Resource Division, Nongame Endangered Wildlife Program, Forsyth.  

Fischer et al., 1999	Fischer, T.D., D.C. Backlund, K.F. Higgins, and D.E. Naugle. 1999. Field guide to South Dakota amphibians. SDAES Bulletin 733: 1-55.

FMNH, 1897	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

FMNH, 1902	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

FMNH, 1922	Field Museum of Natural History. 1922. *Hyla (Pseudacris) regilla voucher records.

FMNH, 1923	Field Museum of Natural History. 1923. *Hyla (Pseudacris) regilla, Rana catesbiana, and Rana pipiens voucher records.

FMNH, 1924	Field Museum of Natural History. 1924. *Hyla (Pseudacris) regilla voucher records.

FMNH, 1929	Field Museum of Natural History. 1929. *Acris gryllus (crepitans), Bufo boreas, and Pseudacris crucifer voucher records.

FMNH, 1930	Field Museum of Natural History. 1930. *Notophthalmus viridescens and Rana catesbeiana voucher records.

FMNH, 1932	Field Museum of Natural History. 1932. *Hyla versicolor and Notophthalmus viridescens voucher records.

FMNH, 1936	Field Museum of Natural History. 1936. *Acris gryllus (crepitans) voucher records.

FMNH, 1943	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

FMNH, 1946	Field Museum of Natural History. 1946. *Ascaphus truei, Bufo boreas, and Hyla (Pseudacris) regilla voucher records.

FMNH, 1957	Field Museum of Natural History. 1957. *Hyla versicolor, Pseudacris crucifer and Pseudacris triseriata voucher records.

FMNH, 1958	Field Museum of Natural History. 1958. *Hyla versicolor, Pseudacris crucifer, Pseudacris nigrita (triseriata), Rana catesbeiana and Siren intermedia voucher records.

FMNH, 1959	Field Museum of Natural History. 1959. *Notophthalmus viridescens voucher records.

FMNH, 1959	Field Museum of Natural History. 1959. *Notophthalmus viridescens, Pseudacris nigrita (triseriata) and Rana catesbeiana voucher records.

FMNH, 1960	Field Museum of Natural History. 1960. *Acris crepitans, Hyla versicolor, Notophthalmus viridescens, Pseudacris crucifer, Pseudacris triseriata and Rana catesbeiana voucher records.

FMNH, 1961	Field Museum of Natural History. 1961. *Acris crepitans, Notophthalmus viridescens, Pseudacris crucifer, Pseudacris triseriata, Rana catesbeiana and Siren intermediavoucher records.

FMNH, 1962	Field Museum of Natural History. 1962. *Ascaphus truei voucher records.

FMNH, 1962	Field Museum of Natural History. 1962. *Acris crepitans, Bufo americanus, Hyla versicolor, Notophthalmus viridescens, Pseudacris triseriata and Siren intermedia voucher records.

FMNH, 1963	Field Museum of Natural History. 1963. *Acris crepitans, Hyla versicolor, Notophthalmus viridescens, Pseudacris crucifer and Pseudacris triseriata voucher records.

FMNH, 1964	Field Museum of Natural History. 1964. *Bufo americanus, Hyla versicolor and Siren intermedia voucher records.

FMNH, 1965	Field Museum of Natural History. 1965. *Ascaphus truei voucher records.

FMNH, 1965	Field Museum of Natural History. 1936. *Pseudacris crucifer voucher records.

Franz et al., 1995	Franz, R., R.E. Ashton and W.W. Timmerman. 1995. Behavior and Movements of Certain Small Sandhill Amphibians and Reptiles in Response to Drift Fences. Florida Game and Freshwater Fish Commission, Nongame Wildlife Program, Gainesville. 42 pp. + attachments.

Fronzuto, 1997	Fronzuto, J.A. 1997. Ambystoma tigrinum melanostictum (blotched tiger salamander): Predation. Herpetological Review 28(2): 81.

Gaige, 1915	Gaige, H.T. 1915. The amphibians and reptiles collected by the Bryant Walker expedition to Schoolcraft County, Michigan. Occasional Papers of the Museum of Zoology, University of Michigan 17: 1-5.

Garman, 1892	Garman, H. 1892. A synopsis of the reptiles and amphibians of Illinois. Bulletin of the Illinois State Laboratory of Natural History 3: 216-385.

GCRL, 1955	Gulf Coast Research Laboratory collection. p.120  In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

GCRL, 1956	Gulf Coast Research Laboratory collection. p.120  In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

GCRL, 1961	Gulf Coast Research Laboratory collection. p.118  In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

GCRL, 1962	Gulf Coast Research Laboratory collection. p.120  In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

GCRL, 1963	Gulf Coast Research Laboratory collection. p.120  In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

Gentry, 1941	Gentry, G. 1941. Herpetological collections from the counties in the vicinity of the Obey River drainage of Tennessee. Journal of the Tennessee Academy of Science 16: 329-332.

George et al., 1977	George, C.J., C.W. Boylen, and R.B. Sheldon. 1977. The presence of the red-spotted newt, Notophthalmus viridescens Rafinesque (Amphibia, Urodela, Salamandridae), in waters exceeding 12 meters in Lake George, New York. Journal of Herpetology 11(1): 87-90.

Gibbons and Patterson, 1978	Gibbons, J.W. and K.K. Patterson. 1978. The Reptiles and Amphibians of the Savannah River Plant. Savannah River Ecology Laboratory, Aiken. 24 pp.

Gibbons and Semlitsch, 1991	Gibbons, J.W. and R.D. Semlitsch. 1991. Guide to the Reptiles and Amphibians of the Savannah River Site. University of Georgia Press, Athens. 131 pp.

Gillis and Breuer, 1984	Gillis, J.E. and W.J. Breuer. 1984. A comparison of rates of evaporative water loss and tolerance to dehydration in the red-eft and newt of Notophthalmus viridescens. Journal of Herpetolgy 18: 81-82.

Goin, 1957	Goin, C.J. 1957. Description of a new salamander of the genus Siren from the Rio Grande. Herpetologica 13: 37-42.

Green and Pauley, 1987	Green, N.B. and T.K. Pauley. 1987. Amphibians and Reptiles in West Virginia. University of Pittsburgh Press. 241 pp. 

Gunter and Brode, 1964	Gunter, G. and W.E. Brode. 1964. Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica 20: 114-126.

Gutberlet and Figueroa, 1995a	Gutberlet Jr., R.L. and D.S. Figueroa. 1995. Siren intermedia (lesser siren). Herpetological Review 26(4): 207.

Gutberlet and Figueroa, 1995b	Gutberlet Jr., R.L. and D.S. Figueroa. 1995. Pseudacris crucifer (spring peeper). Herpetological Review 26(4): 208.

Guy, 1931	Guy, K.C. 1931. Animal communities in Vaughn's Spring and spring branch. M.S. Thesis. George Peabody College for Teachers, Nashville. 36 pp.

Hammerson, 1986	Hammerson, G.A. 1986. Amphibians and Reptiles in Colorado. Colorado Division of Wildlife, Denver. 131 pp.

Harding and Holman, 1992	Harding, J.H. and J.A. Holman. 1992. Michigan Frogs, Toads, and Salamanders. Michigan State University, Cooperative Extension Service, East Lansing. 144 pp.

Hardy, 1979	Hardy, L.M. 1979. Checklist of the amphibians and reptiles of Caddo and Bossier Parishes, Louisiana. Bulletin of the Museum of Life Sciences 2: 1-11.

Hardy, 1995	Hardy, L.M. 1995. Checklist of the amphibians and reptiles of the Caddo Lake watershed in Texas and Louisiana. Bulletin of the Museum of Life Sciences 10: 1-31.

Harker et al., 1980	Harker Jr., D.F., M.E. Medley, W.C. Houtcooper, and A. Phillippi. 1980. Kentucky Natural Areas Plan: Appendix A. Kentucky Nature Preserves Commission, Frankfort. 

Harper, 1928	Harper, F. 1928. Voices of New England Toads. Bulletin of the Boston Society of Natural History 46: 1-19.

Harper, 1935	Harper, F. 1935. Records of amphibians in the southeastern states. American Midland Naturalist 16: 275-310.

Harris, 1975	Harris Jr., H.S. 1975. Distributional survey (Amphibia/Reptilia): Maryland and the District of Columbia. Bulletin of the Maryland Herpetological Society 11: 73-167.

Harris, 1981	Harris, R.N. 1981. Intrapond homing behavior in Notophthalmus viridescens. Journal of Herpetology 15(3): 355-356.

Harris, 1989	Harris, R.N. 1989. Ontogenetic changes in size and shape of the facultatively paedomorphic salamander Notophthalmus viridescens dorsalis. Copeia 1989(1): 35-42.

Healy, 1974	Healy, W.R. 1974. Population consequences of alternative life-histories in Notophthalmus v. viridescens. Copeia 1974(1): 221-229.

Heatwole and Getz, 1960	Heatwole, H. and L.L. Getz. 1960. Studies on the amphibians and reptiles of Mud Lake Bog in southern Michigan. The Jack-Pine Warbler 38: 107-112.

Hecht, 1958	Hecht, M.K. 1958. A synopsis of the mud puppies of eastern North America. Proceedings of the Staten Island Institute of Arts and Sciences 21: 1-38.

Hemesath, 1998	Hemesath, L.M. 1998. Iowa's frog and toad survey, 1991-1994. Pp. 207-216. In: M.J. Lannoo (Ed.), The Status and Conservation of Midwestern Amphibians. University of Iowa Press, Iowa City.

Henderson, 1979	Henderson, C. 1979. The Occurrence, Distribution, Legal Status, and Utilization of Reptiles and Amphibians in Minnesota. Minnesota Department of Natural Resources. 20 pp.

Henrich, 1968	Henrich, T.W. 1968. Morphological evidence of secondary intergradation between Bufo hemiophrys Cope and Bufo americanus Holbrook in eastern South Dakota. Herpetologica 24: 1-13.

Henry and Twitty, 1940	Henry, W.V. and V.C. Twitty. 1940. Contributions to the life histories of Dicamptodon ensatus and Ambystoma gracile. Copeia 1940(4): 247-250.

Highton, 1956	Highton, R. 1956. The relationships of the salamanders of the genus Plethodon. Dissertation, The University of Florida. 215 pp.

Highton, 1962	Highton, R. 1962. Revision of North American salamanders of the genus Plethodon. Bulletin of the Florida State Museum 6: 235-367.

Hoberg and Gause, 1989	Hobert, T. and C. Gause. 1989. Reptiles and Amphibians of North Dakota.  North Dakota Herpetological Society.

Hodge, 1976	Hodge, R.P. 1976. Amphibians and Reptiles in Alaska, the Yukon & Northwest Territories. Alaska Northwest Publishing Company, Anchorage. 89 pp.

Hodgson and Cochran, 1986	Hodgson, J.R. and P.A. Cochran. 1986. Hyla crucifer (spring peeper). Herpetological Review 17(1): 26.

Holland et al., 1995	Holland, R.L., H.M. Smith, and D. Chiszar. 1995. Ambystoma tigrinum mavortium (barred tiger salamander). Herpetological Review 26(4): 207.

Hudson, 1955	Hudson, R.G. 1955. Observations on the larvae of the salamander Eurycea bislineata bislineata. Herpetologica 11:202-204.

Hudson, 1972	Hudson, G.E. 1972. The Amphibians and Reptiles of Nebraska. Nebraska Conservation Bulletin No. 24. University of Nebraska, Lincoln. 146 pp.

Hulse and Hulse, 1992	Hulse, A.C. and K.L. Hulse. 1992. New county records for amphibians and reptiles from Pennsylvania. Herpetological Review 23: 62-64.

Hunter et al., 1999	Hunter Jr., M.L., A.J.K. Calhoun and M. McCollough. 1999. Maine Amphibians and Reptiles. University of Maine Press, Orono. 252 pp.

Hurlbert, 1970	Hurlbert, S.H. 1970. The post-larval migration of the red-spotted newt Notophthalmus viridescens (Rafinesque). Copeia 1970(3): 515-527.

Irwin, 1995	Irwin, K.J. 1995. Notophthalmus viridescens (eastern newt). Herpetological Review 26(2): 104.

Jacobs, 1987	Jacobs, J.F. 1987. A preliminary investigation of geographic genetic variation and systematics of the two-lined salamander, Eurycea bislineata (Green). Herpetologica 43(4): 423-446.

JEJ, 1967	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

JEJ, 1970	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Jennings and Hayes, 1994	Jennings, M.R. and M.P. Hayes. 1994. Amphibian and Reptile Species of Special Concern in California. California Department of Fish and Game, Rancho Cordova. 255 pp.

Johnson, 1977	Johnson, T.R. 1977. The Amphibians of Missouri. Public Education Series No. 6. University of Kansas Museum of Natural History, Lawrence. 134 pp.

Johnson, 1992	Johnson, T.R. 1992. The Amphibians and Reptiles of Missouri. Missouri Department of Conservation, Jefferson City. 369 pp.

Jopson, 1936	Jopson, H.G.M. 1936. A comparative study of the salamanders of the genus Triturus found in eastern North America. Ph. D. Dissertation, Cornell Universtiy, Ithaca. 75 pp.

Jordan et al., 1968	Jordan, O.R., J.S. Garton, and R.F. Ellis. 1968. The amphibians and reptiles of a middle Tennessee cedar glade. Journal of the Tennessee Academy of Science 43: 72-78.

Jordan, 1986	Jordan, O.R. 1986. The herpetofauna of the Cedars of Lebanon State Park, Forest, and Natural Area. ASB Bulletin 33: 206-215.

Killebrew et al., 1996	Killebrew, F.C., K.B. Blair, D. Chiszar, and H.M. Smith. 1996. New records for amphibians and reptiles from Texas. Herpetological Review 27(2): 90-91.

Klemens, 1993	Klemens, M.W. 1993. Amphibians and Reptiles of Connecticut and Adjacent Regions. State Geological and Natural History Survey of Connecticut, Hartford. 318 pp.

Kolozsvary, 1998	Kolozsvary, M.B.1998. Effects of agriculturally induced fragmentation on amphibian assemblages in west-central Indiana. M.S. Thesis, Purdue University.

KU, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

KU, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

KU, 1961	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

KU, 1962	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

KU, 1968	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Kupferberg, 1997	Kupferberg, S.J. 1997. Bullfrog (Rana catesbeiana) invasion of a California river: the role of larval competition. Ecology 78: 1736-1751.

LACM, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Lagler and Goellner, 1941	Lagler, K.F. and K.E. Goellner. 1941. Notes on Necturus maculosus (Rafinesque), from Evans Lake, Michigan. Copeia 1941(2): 96-98.

Lazell, 1976	Lazell Jr., J.D. 1976. This Broken Archipelago: Cape Cod and Islands, Amphibians and Reptiles. Quadrangle, New York. 260 pp. 

Leonard et al., 1993	Leonard, W.P., H.A. Brown, L.L.C. Jones, K.R. McAllister, R.M. Storm. 1993. Amphibians of Washington and Oregon. Seattle Audubon Society, Seattle. 168 pp.

Leonard et al., 1997	Leonard, W.P., K.R. McAllister, and L.A. Hallock. 1997. Autumn vocalizations by the red-legged frog (Rana aurora) and the Oregon spotted frog (Rana pretiosa). Northwestern Naturalist 78: 73-74.

Lewis and Murphy, 1974	Lewis, J.L. and G.G. Murphy. 1974. A study of a breeding population of American toads, Bufo americanus, on Short Mountain, Cannon County, Tennessee. Journal of the Tennessee Academy of Science 48: 58.

Lind and Welsh, 1990	Lind, A.J. and H.H. Welsh, Jr. 1990. Predation by Thamnophis couchii on Dicamptodon ensatus. Journal of Herpetology 24(1): 104-106.

Linder and Fichter, 1977	Linder, A.D. and E. Fichter. 1977. The Amphibians and Reptiles of Idaho. Idaho State University Press, Pocatello. 78 pp.

Linsdale, 1940	Linsdale, J.M. 1940. Amphibians and reptiles in Nevada. Proceedings of the American Academy of Arts and Sciences 73:197-257.

Livo et al., 1999	Livo, L.J., H.M. Smith, and D. Chiszar. 1999. County record tables for Colorado amphibians and reptiles. Colorado Division of Wildlife, Denver. 28 pp.

Llewellyn, 1940	Llewellyn, L.M. 1940. The amphibians and reptiles of Mineral County, West Virginia. Proceedings of West Virginia Academy of Science 14: 148-150.

Loding, 1922	Loding, H.P. 1922. A preliminary catalogue of Alabama amphibians and reptiles. Museum Paper Number 5, Alabama Museum of Natural History. Geological Survey of Alabama. 58 pp.

Lohre et al., 1999	Lohre, R.G., D.R. McCoy, and J.W. Ferner. 1999. Necturus maculosus (common mudpuppy). Herpetological Review 30(2): 105.

Lotter, 1977	Lotter, F. 1977. An unusual two-lined salamander, Eurycea bislineata (Amphibia, Urodela, Plethodontidae) and its implications regarding the developmental mechanism of the striped pattern in the Plethodontidae. Journal of Herpetology 11(1):100-102.

Lowe, 1964	Lowe, C.H. (Ed.) 1964. The Vertebrates of Arizona. The University of Arizona Press, Tuscon. 259 pp.

Luce et al., 1997	Luce, B., B. Oakleaf, A. Cerovski, L. Hunter and J. Priday (Eds.) 1997. Atlas of birds, mammals, reptiles and amphibians in Wyoming.

Lynch, 1964	Lynch, J.D. 1964. The toad Bufo americanus charlesmithi in Indiana, with remarks on the range of the subspecies. Journal of Ohio Herpetological Society 4: 103-104.

MacNamara, 1977	MacNamary, M.C. 1977. Food habits of terrestrial adult migrants and immature red efts of the red-spotted newt Notophthalmus viridescens. Herpetologica 33: 127-132.

Mahan and Biggers, 1977	Mahan, J.T. and C.J. Biggers. 1977. Electrophoretic investigation of blood and parotoid venom proteins in Bufo americanus americanus and Bufo woodhousei fowleri. Journal of Comparative Biochemistry and Physiology 57C: 121-126. 

Maldonado-Koerdell and Firschein, 1947	Maldonado-Koerdell, M. and I.L. Firschein. 1947. Notes on the ranges of some North American salamanders. Copeia 1947: 140.

Martof et al., 1980	Martof, B.S., W.M. Palmer, J.R. Bailey, and J.R. Harrison III. Amphibians and Reptiles of the Carolinas and Virginia. The University of North Carolina Press, Chapel Hill. 264 pp.

Massey, 1990	Massey, A. 1990. Notes on the reproductive ecology of red-spotted newts (Notophthalmus viridescens). Journal of Herpetology 24(1): 106-107.

Maxell, 1999	Maxell, B.A. 1999. Herpetology in Montana: a history, species checklist, dot distribution maps, museum records, and indexed bibliography. Unpublished Thesis, University of Montana, Missoula. 125 pp.

MC, 1962	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

McAllister and Bibb, 1991	McAllister, C.T. and D.K. Bibb. 1991. Notophthalmus viridescens lousianensis (central newt). Herpetological Review 22(2): 62.

McAllister, 1995	McAllister, K.R. 1995. Distribution of amphibians and reptiles in Washington state. Northwest Fauna 3: 81-112.

McCoy, 1982	McCoy, C.J. 1982. Amphibians and Reptiles in Pennsylvania. Special Publication 6. Carnegie Museum of Natural History, Pittsburgh. 91 pp.

McKeown, 1978	McKeown, S.  1978. Hawaiian Reptiles and Amphibians. The Oriental Publishing Company, Honolulu. 80 pp.

McKeown, 1996	McKeown, S. 1996. A Field Guide to Reptiles and Amphibians in the Hawaiian Islands. Diamond Head Publishing, Inc., Los Osos, California. 172 pp.

McLeod, 1999	McLeod, D.S. 1999. A Re-Survey of Amphibian Populations in Nebraska After Twenty Years: a test for declines. Unpublished Thesis, University of Nebraska, Lincoln. 84 pp.

Merkle and Kovacic, 1974	Merkle, D.A. and D.A. Kovacic. 1974. A new record for Necturus maculosus in the Great Smoky Mountains. Journal of the Tennessee Academy of Science 49: 142.

MGFCM, 1937	Mississippi Game and Fish Commission Museum. p.119 In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

MGFCM, 1941	Mississippi Game and Fish Commission Museum. p.119 In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

MGFCM, 1952	Mississippi Game and Fish Commission Museum. p.119 In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

Minton, 1972	Minton Jr., S.A. 1972. The Amphibians and Reptiles of Indiana. Indiana Academy of Science, Indianapolis. 346 pp.

Minton, in press	Minton Jr., S.A. In Press. Amphibians and Reptiles of Indiana. Indiana Academy of Science, Indianapolis. 386 pp.

Mitchell and Reay, 1999	Mitchell, J.C. and K.K. Reay. 1999. Atlas of Amphibians & Reptiles in Virginia. Special Publication No. 1, Wildlife Diversity Division. Virginia Department of Game and Inland Fisheries, Richmond. 122 pp.

Mittleman, 1947	Mittleman, M.B. 1947. Miscellaneous notes on Indiana amphibians and reptiles. American Midland Naturalist 38: 466-484.

Mittleman, 1949	Mittleman, M.B. 1949. American Caudata. VI. The races of Eurycea bislineata. Proceedings of the Biological Society of Washington 62: 89-96.

Moore and Matson, 1997	Moore, N.J. and A.G. Matson. 1997. Ambystoma texanum (smallmouth salamander): Reproduction. Herpetological Review 28(4): 199.

Mossman et al., 1998	Mossman, M.J., L.M. Hartman, R. Hay, J.R. Sauer, and B.J. Dhuey. 1998. Monitoring long-term trends in Wisconsin frog and toad populations. Pp. 169-198.  In: M.J. Lannoo (Ed.), The Status and Conservation of Midwestern Amphibians. University of Iowa Press, Iowa City.

Mount, 1975	Mount, R.H. 1975. Reptiles and Amphibians of Alabama. Auburn University Agricultural Experiment Station, Auburn. 347 pp.

MU, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1954	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1955	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

MU, 1965	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

