"Symbol","Scientific Name with Author","GSAT Common Name"
"CAHA13","Cardiospermum halicacabum L.","love in a puff"
"CAHE21","Calystegia hederacea Wall.","Japanese false bindweed"
"CAHE3","Callitriche heterophylla Pursh","twoheaded water-starwort"
"CAHEH","Callitriche heterophylla Pursh ssp. heterophylla","twoheaded water-starwort"
"CAHI3","Cardamine hirsuta L.","hairy bittercress"
"CAHI6","Carex hirsutella Mack.","fuzzy wuzzy sedge"
"CAHY2","Carex hyalina Boott","tissue sedge"
"CAHY3","Carex hyalinolepis Steud.","shoreline sedge"
"CAIL2","Carya illinoinensis (Wangenh.) K. Koch","pecan"
"CAIN12","Carex intumescens Rudge","greater bladder sedge"
"CAIN13","Castilleja indivisa Engelm.","entireleaf Indian paintbrush"
"CAIN19","Canna indica L.","Indian shot"
"CAIN2","Callirhoe involucrata (Torr. & A. Gray) A. Gray","purple poppymallow"
"CAINI4","Callirhoe involucrata (Torr. & A. Gray) A. Gray var. involucrata","purple poppymallow"
"CAJA7","Cayratia japonica (Thunb.) Gagnep.","bushkiller"
"CAJO2","Carex joorii L.H. Bailey","cypress swamp sedge"
"CAKIL","Cakile Mill.","searocket"
"CALA19","Carex laxiflora Lam.","broad looseflower sedge"
"CALA2","Cakile lanceolata (Willd.) O.E. Schulz","coastal searocket"
"CALA21","Carya laciniosa (Michx. f.) G. Don","shellbark hickory"
"CALAD","Caladium Vent.","caladium"
"CALAF","Cakile lanceolata (Willd.) O.E. Schulz ssp. fusiformis (Greene) Rodman","coastal searocket"
"CALAL2","Cakile lanceolata (Willd.) O.E. Schulz ssp. lanceolata","coastal searocket"
"CALAM","Calamagrostis Adans.","reedgrass"
"CALAP","Cakile lanceolata (Willd.) O.E. Schulz ssp. pseudoconstricta Rodman","coastal searocket"
"CALAS","Carex laxiflora Lam. var. serrulata F.J. Herm.","broad looseflower sedge"
"CALE10","Carex leptalea Wahlenb.","bristlystalked sedge"
"CALE6","Carex leavenworthii Dewey","Leavenworth's sedge"
"CALEH","Carex leptalea Wahlenb. ssp. harperi (Fernald) W. Stone","Harper's sedge"
"CALIB","Calibrachoa Llave & Lex.","calibrachoa"
"CALLI12","Callistemon R. Br.","bottlebrush"
"CALLI2","Callicarpa L.","beautyberry"
"CALLI3","Callirhoe Nutt.","poppymallow"
"CALLI4","Callisia Loefl.","roseling"
"CALLI6","Callitriche L.","water-starwort"
"CALO5","Carex longii Mack.","Long's sedge"
"CALO6","Carex louisianica L.H. Bailey","Louisiana sedge"
"CALO9","Carex lonchocarpa Willd.","southern long sedge"
"CALOP2","Calopogon R. Br.","grasspink"
"CALU3","Carex lupuliformis Sartwell ex Dewey","false hop sedge"
"CALU4","Carex lupulina Muhl. ex Willd.","hop sedge"
"CALU5","Carex lurida Wahlenb.","shallow sedge"
"CALY2","Calycocarpum lyonii (Pursh) A. Gray","cupseed"
"CALYC2","Calycocarpum (Nutt.) Spach","calycocarpum"
"CALYC5","Calycanthus L.","sweetshrub"
"CALYL","Calylophus Spach","sundrops"
"CALYP2","Calyptocarpus Less.","calyptocarpus"
"CALYS","Calystegia R. Br.","false bindweed"
"CAMA23","Calystegia macounii (Greene) Brummitt","Macoun's false bindweed"
"CAMAS","Camassia Lindl.","camas"
"CAME2","Carex meadii Dewey","Mead's sedge"
"CAMEL","Camelina Crantz","false flax"
"CAMI2","Camelina microcarpa Andrz. ex DC.","littlepod false flax"
"CAMI5","Carex microdonta Torr. & Hook.","littletooth sedge"
"CAMO11","Carex molesta Mack. ex Bright","troublesome sedge"
"CAMPA2","Campanulastrum Small","bellflower"
"CAMPS","Campsis Lour.","campsis"
"CAMU10","Calopogon multiflorus Lindl.","manyflower grasspink"
"CAMU4","Carex muehlenbergii Schkuhr ex Willd.","Muhlenberg's sedge"
"CAMUE","Carex muehlenbergii Schkuhr ex Willd. var. enervis Boott","Muhlenberg's sedge"
"CAMUM","Carex muehlenbergii Schkuhr ex Willd. var. muehlenbergii","Muhlenberg's sedge"
"CAMY","Carya myristiciformis (Michx. f.) Nutt.","nutmeg hickory"
"CANAV","Canavalia Adans.","jackbean"
"CANI3","Carex nigromarginata Schwein.","black edge sedge"
"CANNA","Cannabis L.","hemp"
"CANNA2","Canna L.","canna"
"CANU4","Carduus nutans L.","nodding plumeless thistle"
"CAOD3","Carphephorus odoratissimus (J.F. Gmel.) Herbert","vanillaleaf"
"CAOK2","Calopogon oklahomensis D.H. Goldman","Oklahoma grasspink"
"CAOV2","Carya ovata (Mill.) K. Koch","shagbark hickory"
"CAOV3","Carya ovalis (Wangenh.) Sarg.","red hickory"
"CAOX","Carex oxylepis Torr. & Hook.","sharpscale sedge"
"CAOXO","Carex oxylepis Torr. & Hook. var. oxylepis","sharpscale sedge"
"CAOZ2","Carex ozarkana P. Rothr. & Reznicek","Ozark sedge"
"CAPA11","Caperonia palustris (L.) A. St.-Hil.","sacatrapo"
"CAPA12","Cardamine parviflora L.","sand bittercress"
"CAPA2","Callirhoe papaver (Cav.) A. Gray","woodland poppymallow"
"CAPA24","Carya pallida (Ashe) Engl. & Graebn.","sand hickory"
"CAPA4","Calopogon pallidus Chapm.","pale grasspink"
"CAPA47","Calibrachoa parviflora (Juss.) D'Arcy","seaside petunia"
"CAPAA2","Cardamine parviflora L. var. arenicola (Britton) O.E. Schulz","sand bittercress"
"CAPE16","Callitriche peploides Nutt.","matted water-starwort"
"CAPE3","Cardamine pensylvanica Muhl. ex Willd.","Pennsylvania bittercress"
"CAPE44","Callitriche pedunculosa Nutt.","Nuttall's water-starwort"
"CAPER","Caperonia A. St.-Hil.","false croton"
"CAPI5","Carex picta Steud.","Boott's sedge"
"CAPL18","Carex planispicata Naczi","flat-spiked sedge"
"CAPS5","Carphephorus pseudoliatris Cass.","bristleleaf chaffhead"
"CAPSE","Capsella Medik.","capsella"
"CAPSI","Capsicum L.","pepper"
"CAPU9","Castanea pumila (L.) Mill.","chinkapin"
"CAPUO","Castanea pumila (L.) Mill. var. ozarkensis (Ashe) Tucker","Ozark chinkapin"
"CAPUP3","Castanea pumila (L.) Mill. var. pumila","chinkapin"
"CAQU3","Cayaponia quinqueloba (Raf.) Shinners","fivelobe cucumber"
"CARA2","Campsis radicans (L.) Seem. ex Bureau","trumpet creeper"
"CARDA","Cardamine L.","bittercress"
"CARDI2","Cardiospermum L.","balloonvine"
"CARDU","Carduus L.","plumeless thistle"
"CARE17","Carex reniformis (L.H. Bailey) Small","kidneyshape sedge"
"CARE8","Callisia repens (Jacq.) L.","creeping inchplant"
"CARE9","Carex retroflexa Muhl. ex Willd.","reflexed sedge"
"CAREX","Carex L.","sedge"
"CARI2","Catapodium rigidum (L.) C.E. Hubbard ex Dony","ferngrass"
"CARO14","Catharanthus roseus (L.) G. Don","Madagascar periwinkle"
"CARO22","Carex rosea Schkuhr ex Willd.","rosy sedge"
"CARO26","Canavalia rosea (Sw.) DC.","baybean"
"CARPH","Carphephorus Cass.","chaffhead"
"CARPI","Carpinus L.","hornbeam"
"CARUM","Carum L.","carum"
"CARYA","Carya Nutt.","hickory"
"CASA2","Camelina sativa (L.) Crantz","gold-of-pleasure"
"CASA3","Cannabis sativa L.","marijuana"
"CASAS2","Camelina sativa (L.) Crantz ssp. sativa","gold-of-pleasure"
"CASAS3","Cannabis sativa L. ssp. sativa","marijuana"
"CASAS9","Cannabis sativa L. ssp. sativa var. sativa","marijuana"
"CASC11","Carex scoparia Schkuhr ex Willd.","broom sedge"
"CASC5","Camassia scilloides (Raf.) Cory","Atlantic camas"
"CASCS","Carex scoparia Schkuhr ex Willd. var. scoparia","broom sedge"
"CASE13","Calystegia sepium (L.) R. Br.","hedge false bindweed"
"CASEA2","Calystegia sepium (L.) R. Br. ssp. americana (Sims) Brummitt","hedge false bindweed"
"CASEL","Calystegia sepium (L.) R. Br. ssp. limnophila (Greene) Brummitt","hedge false bindweed"
"CASI10","Calystegia silvatica (Kit.) Griseb.","shortstalk false bindweed"
"CASIF","Calystegia silvatica (Kit.) Griseb. ssp. fraterniflora (Mack. & Bush) Brummitt","shortstalk false bindweed"
"CASO","Carex socialis Mohlenbr. & Schwegm.","low woodland sedge"
"CASP8","Catalpa speciosa (Warder) Warder ex Engelm.","northern catalpa"
"CASQ2","Carex squarrosa L.","squarrose sedge"
"CAST17","Carex striatula Michx.","lined sedge"
"CAST5","Carex stipata Muhl. ex Willd.","owlfruit sedge"
"CAST8","Carex stricta Lam.","upright sedge"
"CAST9","Carex styloflexa Buckley","bent sedge"
"CASTA","Castanea Mill.","chestnut"
"CASTI2","Castilleja Mutis ex L. f.","Indian paintbrush"
"CASTM","Carex stipata Muhl. ex Willd. var. maxima Chapm.","stalkgrain sedge"
"CATAL","Catalpa Scop.","catalpa"
"CATE12","Carex tenax Chapm.","wire sedge"
"CATE19","Callitriche terrestris Raf.","terrestrial water-starwort"
"CATE29","Carex tetrastachya Scheele","Britton's sedge"
"CATE7","Carex texensis (Torr.) L.H. Bailey","Texas sedge"
"CATE9","Carya texana Buckley","black hickory"
"CATHA","Catharanthus G. Don","periwinkle"
"CATR6","Carex triangularis Boeckeler","eastern fox sedge"
"CATR7","Carex tribuloides Wahlenb.","blunt broom sedge"
"CATRS2","Carex tribuloides Wahlenb. var. sangamonensis Clokey","blunt broom sedge"
"CATRT2","Carex tribuloides Wahlenb. var. tribuloides","blunt broom sedge"
"CATU4","Carex turgescens Torr.","pine barren sedge"
"CATU5","Calopogon tuberosus (L.) Britton, Sterns & Poggenb.","tuberous grasspink"
"CATUT","Calopogon tuberosus (L.) Britton, Sterns & Poggenb. var. tuberosus","tuberous grasspink"
"CATY","Carex typhina Michx.","cattail sedge"
"CAUM4","Carex umbellata Schkuhr ex Willd.","parasol sedge"
"CAVE7","Carex venusta Dewey","darkgreen sedge"
"CAVE8","Carex verrucosa Muhl.","warty sedge"
"CAVEM","Carex venusta Dewey var. minor Boeckeler","darkgreen sedge"
"CAVI2","Calyptocarpus vialis Less.","straggler daisy"
"CAVU2","Carex vulpinoidea Michx.","fox sedge"
"CAVUV","Carex vulpinoidea Michx. var. vulpinoidea","fox sedge"
"CAYAP","Cayaponia Silva Manso","melonleaf"
"CAYRA","Cayratia Juss.","cayratia"
"CEAM","Ceanothus americanus L.","New Jersey tea"
"CEANO","Ceanothus L.","ceanothus"
"CEAR3","Celosia argentea L.","silver cock's comb"
"CEBR3","Cerastium brachypodum (Engelm. ex A. Gray) B.L. Rob.","shortstalk chickweed"
"CECA4","Cercis canadensis L.","eastern redbud"
"CECAC","Cercis canadensis L. var. canadensis","eastern redbud"
"CECY2","Centaurea cyanus L.","garden cornflower"
"CEDE4","Ceratophyllum demersum L.","coon's tail"
"CEEC","Cenchrus echinatus L.","southern sandbur"
"CEEC2","Ceratophyllum echinatum A. Gray","spineless hornwort"
"CEER2","Centella erecta (L. f.) Fernald","erect centella"
"CEFO2","Cerastium fontanum Baumg.","common mouse-ear chickweed"
"CEFOV2","Cerastium fontanum Baumg. ssp. vulgare (Hartm.) Greuter & Burdet","big chickweed"
"CEGL2","Cerastium glomeratum Thuill.","sticky chickweed"
"CEHE","Ceanothus herbaceus Raf.","Jersey tea"
"CELA","Celtis laevigata Willd.","sugarberry"
"CELAL","Celtis laevigata Willd. var. laevigata","sugarberry"
"CELAR","Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson","netleaf hackberry"
"CELAS","Celastrus L.","bittersweet"
"CELO3","Cenchrus longispinus (Hack.) Fernald","mat sandbur"
"CELOS","Celosia L.","cock's comb"
"CELTI","Celtis L.","hackberry"
"CEMY","Cenchrus myosuroides Kunth","big sandbur"
"CENCH","Cenchrus L.","sandbur"
"CENO","Cestrum nocturnum L.","night jessamine"
"CENTA","Centaurea L.","knapweed"
"CENTA2","Centaurium Hill","centaury"
"CENTE","Centella L.","centella"
"CENTR2","Centrosema (DC.) Benth.","butterfly pea"
"CEOC2","Cephalanthus occidentalis L.","common buttonbush"
"CEPHA","Cephalanthus L.","buttonbush"
"CEPT","Ceratopteris pteridoides (Hook.) Hieron.","floating antlerfern"
"CEPU3","Centaurium pulchellum (Sw.) Druce","branched centaury"
"CERAS","Cerastium L.","mouse-ear chickweed"
"CERAT","Ceratophyllum L.","hornwort"
"CERAT2","Ceratopteris Brongn.","antlerfern"
"CERCI2","Cercis L.","redbud"
"CERI2","Ceratopteris richardii Brongn.","triangle waterfern"
"CESC","Celastrus scandens L.","American bittersweet"
"CESE10","Cenchrus setiger Vahl","birdwood grass"
"CESE4","Cerastium semidecandrum L.","fivestamen chickweed"
"CESP4","Cenchrus spinifex Cav.","coastal sandbur"
"CEST8","Centaurea stoebe L.","spotted knapweed"
"CESTM","Centaurea stoebe L. ssp. micranthos (Gugler) Hayek","spotted knapweed"
"CESTR","Cestrum L.","jessamine"
"CETE","Celtis tenuifolia Nutt.","dwarf hackberry"
"CETE9","Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch","slender centaury"
"CETH2","Ceratopteris thalictroides (L.) Brongn.","watersprite"
"CETR","Cenchrus tribuloides L.","sanddune sandbur"
"CEVI2","Centrosema virginianum (L.) Benth.","spurred butterfly pea"
"CHAEN6","Chaenomeles Lindl.","flowering quince"
"CHAEN7","Chaenorhinum (DC.) Rchb.","dwarf snapdragon"
"CHAER","Chaerophyllum L.","chervil"
"CHAET2","Chaetopappa DC.","leastdaisy"
"CHAL11","Chamaesyce albomarginata (Torr. & A. Gray) Small","whitemargin sandmat"
"CHAL5","Cheilanthes alabamensis (Buckley) Kunze","Alabama lipfern"
"CHAL7","Chenopodium album L.","lambsquarters"
"CHALA","Chenopodium album L. var. album","lambsquarters"
"CHALM2","Chenopodium album L. var. missouriense (Aellen) I.J. Bassett & C.W. Crompton","Missouri lambsquarters"
"CHAM","Chenopodium ambrosioides L.","Mexican tea"
"CHAMA15","Chamaesyce Gray","sandmat"
"CHAMA16","Chenopodium ambrosioides L. var. ambrosioides","Mexican tea"
"CHAMA17","Chamaecrista (L.) Moench","sensitive pea"
"CHAMA6","Chamaelirium Willd.","chamaelirium"
"CHAPT","Chaptalia Vent.","sunbonnetts"
"CHAS","Chaetopappa asteroides Nutt. ex DC.","Arkansas leastdaisy"
"CHASA","Chaetopappa asteroides Nutt. ex DC. var. asteroides","Arkansas leastdaisy"
"CHASM","Chasmanthium Link","woodoats"
"CHBA10","Chloris barbata Sw.","swollen fingergrass"
"CHBE4","Chenopodium berlandieri Moq.","pitseed goosefoot"
"CHBEB","Chenopodium berlandieri Moq. var. boscianum (Moq.) Wahl","pitseed goosefoot"
"CHBEB2","Chenopodium berlandieri Moq. var. berlandieri","pitseed goosefoot"
"CHBEB3","Chenopodium berlandieri Moq. var. bushianum (Aellen) Cronquist","Bush's goosefoot"
"CHBEZ","Chenopodium berlandieri Moq. var. zschackii (Murr) Murr ex Asch.","Zschack's goosefoot"
"CHBO7","Chamaesyce bombensis (Jacq.) Dugand","dixie sandmat"
"CHCA6","Chloris canterai Arechav.","Paraguayan windmill grass"
"CHCAC5","Chloris canterai Arechav. var. canterai","Paraguayan windmill grass"
"CHCO11","Chamaesyce cordifolia (Elliot) Small","heartleaf sandmat"
"CHEIL","Cheilanthes Sw.","lipfern"
"CHENO","Chenopodium L.","goosefoot"
"CHFA2","Chamaecrista fasciculata (Michx.) Greene","partridge pea"
"CHFAF","Chamaecrista fasciculata (Michx.) Greene var. fasciculata","partridge pea"
"CHGA2","Chloris gayana Kunth","Rhodes grass"
"CHGE2","Chamaesyce geyeri (Engelm. & A. Gray) Small","Geyer's sandmat"
"CHGEG","Chamaesyce geyeri (Engelm. & A. Gray) Small var. geyeri","Geyer's sandmat"
"CHGL13","Chamaesyce glyptosperma (Engelm.) Small","ribseed sandmat"
"CHGL3","Chenopodium glaucum L.","oakleaf goosefoot"
"CHGO","Chrysopsis gossypina (Michx.) Elliot","cottony goldenaster"
"CHGOH","Chrysopsis gossypina (Michx.) Elliot ssp. hyssopifolia (Nutt.) Semple","cottony goldenaster"
"CHGR2","Chenopodium graveolens Willd.","fetid goosefoot"
"CHHI3","Chamaesyce hirta (L.) Millsp.","pillpod sandmat"
"CHHU3","Chamaesyce humistrata (Engelm. ex A. Gray) Small","spreading sandmat"
"CHHY2","Chamaesyce hypericifolia (L.) Millsp.","graceful sandmat"
"CHHY3","Chamaesyce hyssopifolia (L.) Small","hyssopleaf sandmat"
"CHION","Chionanthus L.","fringetree"
"CHIV","Chromolaena ivifolia (L.) King & H. Rob.","ivyleaf thoroughwort"
"CHLA2","Cheilanthes lanosa (Michx.) D.C. Eaton","hairy lipfern"
"CHLA5","Chasmanthium latifolium (Michx.) Yates","Indian woodoats"
"CHLA6","Chasmanthium laxum (L.) Yates","slender woodoats"
"CHLE4","Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson","narrowleaf goosefoot"
"CHLOR","Chloris Sw.","windmill grass"
"CHLOR6","Chloracantha G.L. Nesom","chloracantha"
"CHLU","Chamaelirium luteum (L.) A. Gray","fairywand"
"CHMA14","Chrysopsis mariana (L.) Elliot","Maryland goldenaster"
"CHMA15","Chamaesyce maculata (L.) Small","spotted sandmat"
"CHMI","Chaenorhinum minus (L.) Lange","dwarf snapdragon"
"CHMU2","Chenopodium murale L.","nettleleaf goosefoot"
"CHNI2","Chamaecrista nictitans (L.) Moench","sensitive partridge pea"
"CHNIN","Chamaecrista nictitans (L.) Moench ssp. nictitans","sensitive partridge pea"
"CHNIN2","Chamaecrista nictitans (L.) Moench ssp. nictitans var. nictitans","sensitive partridge pea"
"CHNU9","Chamaesyce nutans (Lag.) Small","eyebane"
"CHOP2","Chamaesyce ophthalmica (Pers.) Burch","Florida hammock sandmat"
"CHOR3","Chasmanthium ornithorhynchum (Steud.) Yates","birdbill woodoats"
"CHORI","Chorispora R. Br. ex DC.","chorispora"
"CHPI8","Chrysopsis pilosa Nutt.","soft goldenaster"
"CHPR5","Chenopodium pratericola Rydb.","desert goosefoot"
"CHPR6","Chamaesyce prostrata (Aiton) Small","prostrate sandmat"
"CHPU","Chenopodium pumilio R. Br.","clammy goosefoot"
"CHROM3","Chromolaena DC.","thoroughwort"
"CHRYS4","Chrysogonum L.","chrysogonum"
"CHRYS7","Chrysopsis (Nutt.) Elliot","goldenaster"
"CHSE2","Chasmanthium sessiliflorum (Poir.) Yates","longleaf woodoats"
"CHSE4","Chamaesyce serpens (Kunth) Small","matted sandmat"
"CHSE6","Chamaesyce serpyllifolia (Pers.) Small","thymeleaf sandmat"
"CHSES","Chamaesyce serpyllifolia (Pers.) Small ssp. serpyllifolia","thymeleaf sandmat"
"CHSI2","Chenopodium simplex (Torr.) Raf.","mapleleaf goosefoot"
"CHSP11","Chloracantha spinosa (Benth.) G.L. Nesom","spiny chloracantha"
"CHSP12","Chaenomeles speciosa (Sweet) Nakai","flowering quince"
"CHST2","Chenopodium standleyanum Aellen","Standley's goosefoot"
"CHSU3","Chloris ×subdolichostachya Müll. Berol. (pro sp.) [cucullata × verticillata]","shortspike windmill grass"
"CHTA","Chaerophyllum tainturieri Hook.","hairyfruit chervil"
"CHTAD","Chaerophyllum tainturieri Hook. var. dasycarpum Hook. ex S. Watson","hairyfruit chervil"
"CHTAT","Chaerophyllum tainturieri Hook. var. tainturieri","hairyfruit chervil"
"CHTE10","Chrysopsis texana G.L. Nesom","Texas chrysopsis"
"CHTE2","Chorispora tenella (Pall.) DC.","crossflower"
"CHTH4","Chamaesyce thymifolia (L.) Millsp.","gulf sandmat"
"CHTO","Chaptalia tomentosa Vent.","woolly sunbonnets"
"CHVE2","Chloris verticillata Nutt.","tumble windmill grass"
"CHVI3","Chionanthus virginicus L.","white fringetree"
"CHVI4","Chloris virgata Sw.","feather fingergrass"
"CHVI5","Chrysogonum virginianum L.","green and gold"
"CHVIA","Chrysogonum virginianum L. var. australe (Alexander ex Small) H.E. Ahles","green and gold"
"CIAL2","Cirsium altissimum (L.) Hill","tall thistle"
"CIAR2","Cinna arundinacea L.","sweet woodreed"
"CICA","Cinnamomum camphora (L.) J. Presl","camphortree"
"CICA7","Cirsium carolinianum (Walter) Fernald & B.G. Schub.","soft thistle"
"CICHO","Cichorium L.","chicory"
"CICUT","Cicuta L.","water hemlock"
"CIDI","Cirsium discolor (Muhl. ex Willd.) Spreng.","field thistle"
"CIEN2","Cirsium engelmannii Rydb.","Engelmann's thistle"
"CIHO2","Cirsium horridulum Michx.","yellow thistle"
"CIHOH","Cirsium horridulum Michx. var. horridulum","yellow thistle"
"CIIN","Cichorium intybus L.","chicory"
"CILA3","Citrullus lanatus (Thunb.) Matsum. & Nakai","watermelon"
"CILAL","Citrullus lanatus (Thunb.) Matsum. & Nakai var. lanatus","watermelon"
"CILE2","Cirsium lecontei Torr. & A. Gray","Le Conte's thistle"
"CILU","Circaea lutetiana L.","broadleaf enchanter's nightshade"
"CILUC","Circaea lutetiana L. ssp. canadensis (L.) Asch. & Magnus","broadleaf enchanter's nightshade"
"CIMA2","Cicuta maculata L.","spotted water hemlock"
"CIMAB","Cicuta maculata L. var. bolanderi (S. Watson) G. Mulligan","spotted water hemlock"
"CIMAM","Cicuta maculata L. var. maculata","spotted water hemlock"
"CIMU","Cirsium muticum Michx.","swamp thistle"
"CINNA","Cinna L.","woodreed"
"CINNA2","Cinnamomum Schaeff.","cinnamon"
"CINU","Cirsium nuttallii DC.","Nuttall's thistle"
"CIRCA","Circaea L.","enchanter's nightshade"
"CIRSI","Cirsium Mill.","thistle"
"CISI3","Citrus ×sinensis (L.) Osbeck (pro sp.) [maxima × reticulata]","sweet orange"
"CISSU","Cissus L.","treebine"
"CITR2","Cissus trifoliata (L.) L.","sorrelvine"
"CITRU","Citrullus Schrad.","watermelon"
"CITRU2","Citrus L.","citrus"
"CIVU","Cirsium vulgare (Savi) Ten.","bull thistle"
"CLADI","Cladium P. Br.","sawgrass"
"CLADR","Cladrastis Raf.","yellowwood"
"CLAL3","Clethra alnifolia L.","coastal sweetpepperbush"
"CLAYT","Claytonia L.","springbeauty"
"CLBI3","Cleistes bifaria (Fernald) Catling & Gregg","small spreading pogonia"
"CLBR7","Clinopodium brownei (Sw.) Kuntze","Browne's savory"
"CLBU","Clerodendrum bungei Steud.","rose glorybower"
"CLCA3","Clematis catesbyana Pursh","satincurls"
"CLCR","Clematis crispa L.","swamp leather flower"
"CLEIS","Cleistes Rich. ex Lindl.","rosebud orchid"
"CLEMA","Clematis L.","leather flower"
"CLEOM","Cleome L.","spiderflower"
"CLERO2","Clerodendrum L.","glorybower"
"CLETH","Clethra L.","sweetpepperbush"
"CLGE","Clinopodium georgianum Harper","Georgia calamint"
"CLGL","Clematis glaucophylla Small","whiteleaf leather flower"
"CLGR4","Clinopodium gracile (Benth.) Kuntze","slender wild basil"
"CLGY","Cleome gynandra L.","spiderwisp"
"CLHA","Cleome hassleriana Chod.","pink queen"
"CLIFT","Cliftonia Banks ex C.F. Gaertn.","cliftonia"
"CLIN","Clerodendrum indicum (L.) Kuntze","turk's turbin"
"CLINO","Clinopodium L.","clinopodium"
"CLITO","Clitoria L.","pigeonwings"
"CLKE","Cladrastis kentukea (Dum. Cours.) Rudd","Kentucky yellowwood"
"CLLI6","Clerodendrum lindleyi Decne.","Lindley's clerodendrum"
"CLLIP","Clerodendrum lindleyi Decne. var. paniculatum Moldenke","Lindley's clerodendrum"
"CLMA10","Cladium mariscus (L.) Pohl","swamp sawgrass"
"CLMA4","Clitoria mariana L.","Atlantic pigeonwings"
"CLMAJ","Cladium mariscus (L.) Pohl ssp. jamaicense (Crantz) Kük.","Jamaica swamp sawgrass"
"CLMO2","Cliftonia monophylla (Lam.) Britton ex Sarg.","buckwheat tree"
"CLRE","Clematis reticulata Walter","netleaf leather flower"
"CLTE4","Clematis terniflora DC.","sweet autumn virginsbower"
"CLTR","Clerodendrum trichotomum Thunb.","harlequin glorybower"
"CLTRF","Clerodendrum trichotomum Thunb. var. ferrugineum Nakai","ferruginous clerodendrum"
"CLVI3","Claytonia virginica L.","Virginia springbeauty"
"CLVI5","Clematis virginiana L.","devil's darning needles"
"CLVI9","Cleome viscosa L.","Asian spiderflower"
"CLVIA","Claytonia virginica L. var. acutiflora DC.","Virginia springbeauty"
"CLVIV","Claytonia virginica L. var. virginica","Virginia springbeauty"
"CNIDO","Cnidoscolus Pohl","cnidoscolus"
"CNTE","Cnidoscolus texanus (Müll. Arg.) Small","Texas bullnettle"
"CNUR","Cnidoscolus urens (L.) Arthur","cnidoscolus"
"CNURS","Cnidoscolus urens (L.) Arthur var. stimulosus (Michx.) Govaerts","finger rot"
"COAE","Corchorus aestuans L.","jute"
"COAJ","Consolida ajacis (L.) Schur","doubtful knight's-spur"
"COAM3","Corylus americana Walter","American hazelnut"
"COAR4","Convolvulus arvensis L.","field bindweed"
"COAU","Coreopsis auriculata L.","lobed tickseed"
"COBA2","Coreopsis basalis (A. Dietr.) S.F. Blake","goldenmane tickseed"
"COBE2","Commelina benghalensis L.","jio"
"COBI2","Cosmos bipinnatus Cav.","garden cosmos"
"COBO","Conyza bonariensis (L.) Cronquist","asthmaweed"
"COCA","Cocculus carolinus (L.) DC.","Carolina coralbead"
"COCA17","Commelina caroliniana Walter","Carolina dayflower"
"COCA4","Collinsonia canadensis L.","richweed"
"COCA5","Conyza canadensis (L.) Cronquist","Canadian horseweed"
"COCAC3","Conyza canadensis (L.) Cronquist var. canadensis","Canadian horseweed"
"COCAP3","Conyza canadensis (L.) Cronquist var. pusilla (Nutt.) Cronquist","Canadian horseweed"
"COCCU","Cocculus DC.","coralbead"
"COCH2","Conioselinum chinense (L.) Britton, Sterns & Poggenb.","Chinese hemlockparsley"
"COCO13","Conoclinium coelestinum (L.) DC.","blue mistflower"
"COCO3","Commelina communis L.","Asiatic dayflower"
"COCR2","Corydalis crystallina Engelm.","mealy fumewort"
"COCY","Coelorachis cylindrica (Michx.) Nash","cylinder jointtail grass"
"CODI5","Commelina diffusa Burm. f.","climbing dayflower"
"CODI6","Coronopus didymus (L.) Sm.","lesser swinecress"
"CODID3","Commelina diffusa Burm. f. var. diffusa","climbing dayflower"
"CODR","Cornus drummondii C.A. Mey.","roughleaf dogwood"
"CODR2","Cooperia drummondii Herbert","evening rainlily"
"COELO","Coelorachis Brongn.","jointtail grass"
"COER","Commelina erecta L.","whitemouth dayflower"
"COERA","Commelina erecta L. var. angustifolia (Michx.) Fernald","whitemouth dayflower"
"COERD","Commelina erecta L. var. deamiana Fernald","whitemouth dayflower"
"COERE","Commelina erecta L. var. erecta","whitemouth dayflower"
"COES","Colocasia esculenta (L.) Schott","coco yam"
"COESE","Colocasia esculenta (L.) Schott var. esculenta","coco yam"
"COFL2","Cornus florida L.","flowering dogwood"
"COFL3","Corydalis flavula (Raf.) DC.","yellow fumewort"
"COFO","Cornus foemina Mill.","stiff dogwood"
"COGL2","Coreopsis gladiata Walter","coastal plain tickseed"
"COGR5","Coreopsis grandiflora Hogg ex Sweet","largeflower tickseed"
"COGRG","Coreopsis grandiflora Hogg ex Sweet var. grandiflora","largeflower tickseed"
"COGRH","Coreopsis grandiflora Hogg ex Sweet var. harveyana (A. Gray) Sherff","largeflower tickseed"
"COHI3","Corchorus hirsutus L.","jackswitch"
"COIN2","Coreopsis intermedia Sherff","goldenwave tickseed"
"COIX","Coix L.","Job's tears"
"COLA","Coix lacryma-jobi L.","Job's tears"
"COLA5","Coreopsis lanceolata L.","lanceleaf tickseed"
"COLI5","Coreopsis linifolia Nutt.","Texas tickseed"
"COLLI","Collinsia Nutt.","blue eyed Mary"
"COLLI2","Collinsonia L.","horsebalm"
"COLOC","Colocasia Schott","colocasia"
"COMA2","Conium maculatum L.","poison hemlock"
"COMA6","Coreopsis major Walter","greater tickseed"
"COMI2","Corydalis micrantha (Engelm. ex A. Gray) A. Gray","smallflower fumewort"
