,,,,,,,,,,,,
"LEMA9322.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,
"Table 22a.  Policies pertaining to citizen complaints of officer use of excessive force ",,,,,,,,,,,,
"maintained by local law enforcement agencies, 1993",,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
"Sedgwick","Wichita Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"Shawnee","Topeka Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Wyandotte","Kansas City Police","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"KENTUCKY",,,,,,,,,,,,
,,,,,,,,,,,,
"Fayette","Lexington-Fayette County Police","X",,"-","-",,"-",,"OTH",,"X","X"
"Jefferson","Jefferson County Police","X",,"X","OTH",,"X",,"LEX",,"X","X"
"Jefferson","Louisville Police","X",,"-","-",,"X",,"GEX",,"X","X"
,,,,,,,,,,,,
"LOUISIANA",,,,,,,,,,,,
,,,,,,,,,,,,
"Bossier","Bossier Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Caddo","Caddo Parish Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Caddo","Shreveport Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Calcasieu","Calcasieu Parish Sheriff","-",,"-","-",,"X",,"LEX",,"-","-"
"Calcasieu","Lake Charles Police","X",,"-","-",,"-",,"LEX",,"X","X"
"E. Baton Rouge","E. Baton Rouge Parish Sheriff","-",,"-","-",,"-",,"LEX",,"-","-"
"E. Baton Rouge","Baton Rouge Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Jefferson","Jefferson Parish Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Jefferson","Kenner Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Lafayette","Lafayette Parish Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Lafayette","Lafayette Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Lafourche","Lafourche Parish Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Livingston","Livingston Parish Sheriff","X",,"-","-",,"X",,"LEX",,"-","-"
"Orleans","New Orleans Police","X",,"X","GVT",,"-",,"LEX",,"X","-"
"Ouachita","Ouachita Parish Sheriff","-",,"-","-",,"X",,"LEX",,"-","-"
"Ouachita","Monroe Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Rapides","Rapides Parish Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Rapides","Alexandria Police","-",,"-","-",,"X",,"LEX",,"X","X"
"St. Charles","St. Charles Parish Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"St. John the Baptist","St. John the Baptist Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"St. Tammany","St. Tammany Parish Sheriff","X",,"X","LEX",,"X",,"LEX",,"X","X"
"Tangipahoa","Tangipahoa Parish Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
,,,,,,,,,"                    Policies and programs   257",,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"MAINE",,,,,,,,,,,,
,,,,,,,,,,,,
"Cumberland","Portland Police","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"MARYLAND",,,,,,,,,,,,
,,,,,,,,,,,,
"Anne Arundel","Anne Arundel County Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Anne Arundel","Annapolis Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Baltimore(city)","Baltimore Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"Baltimore(city)","Baltimore School Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Baltimore","Baltimore County Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Charles","Charles County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Harford","Harford County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Howard","Howard County Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Montgomery","Montgomery County Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Prince George's ","Prince George's County Police","X",,"X","GVT",,"X",,"LEX",,"X","-"
"Prince George's ","Prince George's County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"MASSACHUSETTS",,,,,,,,,,,,
,,,,,,,,,,,,
"Bristol","New Bedford Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Essex","Lawrence Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Essex","Lynn Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Hampden","Chicopee Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Hampden","Holyoke Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Hampden","Springfield Police","X",,"-","-",,"-",,"BPC",,"X","-"
"Middlesex","Cambridge Police","X",,"X","GEX",,"X",,"GEX",,"X","X"
"Middlesex","Lowell Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Middlesex","Newton Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Middlesex","Somerville Police","X",,"-","-",,"X",,"GEX",,"X","-"
"Middlesex","Waltham Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Norfolk","Brookline Police","X",,"-","-",,"X",,"BPC",,"X","X"
"Norfolk","Quincy Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Plymouth","Brockton Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Suffolk","Boston Police","X",,"X","LEX",,"X",,"LEX",,"X","X"
"Suffolk","Mass. Bay Transit Authority","X",,"-","-",,"X",,"LEX",,"X","X"
"Worcester ","Worcester Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"MICHIGAN",,,,,,,,,,,,
,,,,,,,,,,,,
"Calhoun","Battle Creek Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Genesee","Flint Police","X",,"-","-",,"X",,"LEX",,"-","X"
"Ingham","Lansing Police","X",,"X","GEX",,"-",,"LEX",,"X","-"
"Kalamazoo","Kalamazoo Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Kent","Kent County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Kent","Grand Rapids Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Macomb","Macomb County Sheriff","X",,"-","-",,"-",,"GEX",,"X","X"
"Macomb","Sterling Heights Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Macomb","Warren Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Oakland ","Oakland County Sheriff","X",,"-","-",,"X",,"LEX",,"-","-"
"Oakland","Pontiac Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Oakland","Southfield Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Oakland","Troy Police","X",,"-","-",,"-",,"GEX",,"X","X"
"Saginaw","Saginaw Police","X",,"X","GVT",,"X",,"GEX",,"X","X"
"Washtenaw","Washtenaw County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Washtenaw","Ann Arbor Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Wayne","Dearborn Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Wayne","Detroit Police","X",,"X","GVT",,"X",,"LEX",,"X","-"
"Wayne","Livonia Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Wayne","Taylor Police","X",,"X","LEX",,"-",,"LEX",,"X","-"
"Wayne","Westland Police","X",,"-","-",,"-",,"GEX",,"X","X"
,,,,,,,,,,,,
"MINNESOTA",,,,,,,,,,,,
,,,,,,,,,,,,
"Hennepin","Minneapolis Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"Ramsey","Ramsey County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Ramsey","St. Paul Police","X",,"X","LEX",,"X",,"LEX",,"X","X"
"St. Louis ","Duluth Police","X",,"-","-",,"-",,"LEX",,"X","X"
,,,,,,,,,,,,
"MISSISSIPPI",,,,,,,,,,,,
,,,,,,,,,,,,
"Hinds","Jackson Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"258   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"MISSOURI",,,,,,,,,,,,
,,,,,,,,,,,,
"Boone","Columbia Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Greene","Springfield Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Jackson","Independence Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Jackson","Kansas City Police","X",,"X","OTH",,"X",,"LEX",,"X","-"
"Jefferson","Jefferson County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"St. Louis(city)","St. Louis Police","X",,"-","-",,"X",,"OSP",,"X","-"
"St. Louis","St. Louis County Police","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"MONTANA",,,,,,,,,,,,
,,,,,,,,,,,,
"Yellowstone","Billings Police","X",,"X","LEX",,"-",,"LEX",,"X","X"
,,,,,,,,,,,,
"NEBRASKA",,,,,,,,,,,,
,,,,,,,,,,,,
"Douglas","Omaha Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Lancaster","Lincoln Police","X",,"X","GVT",,"X",,"LEX",,"-","X"
,,,,,,,,,,,,
"NEVADA",,,,,,,,,,,,
,,,,,,,,,,,,
"Clark","Las Vegas Metropolitan Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Clark","North Las Vegas Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Washoe ","Washoe County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Washoe","Reno Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"NEW HAMPSHIRE",,,,,,,,,,,,
,,,,,,,,,,,,
"Hillsborough","Manchester Police","X",,"X","GVT",,"-",,"LEX",,"X","X"
"Hillsborough","Nashua Police","X",,"-","-",,"-",,"LEX",,"X","-"
,,,,,,,,,,,,
"NEW JERSEY",,,,,,,,,,,,
,,,,,,,,,,,,
"Atlantic","Atlantic City Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Bergen","Hackensack Police","X",,"-","-",,"X",,"GEX",,"X","-"
"Camden","Camden County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Camden","Camden Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Camden","Cherry Hill Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Camden","Delaware River Port Authority","X",,"-","-",,"-",,"LEX",,"X","X"
"Cumberland","Vineland Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Essex","Bloomfield Police","-",,"-","-",,"X",,"LEX",,"X","X"
"Essex","East Orange Police","X",,"X","GVT",,"X",,"SDP",,"X","X"
"Essex","Irvington Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Essex","Newark Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Hudson","Hudson County Sheriff","X",,"-","-",,"-",,"SDP",,"X","X"
"Hudson","Bayonne Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Hudson","Hoboken Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Hudson","Jersey City Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Hudson","Kearny Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Hudson","North Bergen Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Hudson","Union City Police","X",,"-","-",,"-",,"GEX",,"X","-"
"Hudson","West New York Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Mercer","Hamilton Township Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Mercer","Trenton Police","X",,"-","-",,"-",,"OTH",,"X","X"
"Middlesex","Edison Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Middlesex","New Brunswick Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Middlesex","Perth Amboy Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Middlesex","Woodbridge Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Morris","Parsippany-Troy Hills Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Ocean","Dover Township Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Passaic","Clifton Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Passaic","Passaic Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Passaic","Paterson Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Union","Elizabeth Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Union","Linden Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Union","Plainfield Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Union","Union Township Police","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"NEW MEXICO",,,,,,,,,,,,
,,,,,,,,,,,,
"Bernalillo","Bernalillo County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Bernalillo","Albuquerque Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Dona Ana","Las Cruces Police","X",,"-","-",,"X",,"GEX",,"X","-"
"Santa Fe ","Santa Fe Police","X",,"-","-",,"-",,"GEX",,"X","-"
,,,,,,,,,,,,
,,,,,,,,,"                    Policies and programs   259",,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"NEW YORK",,,,,,,,,,,,
,,,,,,,,,,,,
"Albany","Albany Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Albany","Colonie Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Broome","Binghamton Police","X",,"X","GVT",,"-",,"LEX",,"X","X"
"Erie","Erie County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Erie","Amherst Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Erie","Buffalo Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Erie","Cheektowaga Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Erie","Tonawanda Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Monroe","Monroe County Sheriff","X",,"X","OTH",,"X",,"LEX",,"X","-"
"Monroe","Rochester Police","X",,"X","LEX",,"-",,"LEX",,"X","-"
"Nassau","Nassau County Police","X",,"-","-",,"X",,"LEX",,"X","X"
"New York City","New York City Police","X",,"X","GEX",,"X",,"OTH",,"X","X"
"New York City","New York City Sheriff","X",,"X","OTH",,"X",,"LEX",,"X","-"
"New York City","New York City Fire Department","X",,"X","GEX",,"-",,"OTH",,"X","X"
"New York City","New York City Housing Police","X",,"X","GVT",,"X",,"LEX",,"-","-"
"New York City","New York City School Police","-",,"-","-",,"-",,"LEX",,"-","-"
"New York City","New York City Social Services","X",,"X","GEX",,"X",,"OTH",,"X","-"
"New York City","New York City Transit Police","X",,"X","OTH",,"X",,"LEX",,"X","X"
"New York City","Long Island Railroad Police","X",,"-","-",,"-",,"LEX",,"X","-"
"New York City","Metro-North Railroad Police","-",,"X","GVT",,"-",,"LEX",,"X","X"
"New York City","Port Authority of NY-NJ","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Niagara","Niagara Falls Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Onondaga","Onondaga County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Onondaga","Syracuse Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Rensselaer","Troy Police","X",,"-","-",,"X",,"GEX",,"-","-"
"Rockland","Clarkstown Police","X",,"X","GVT",,"X",,"BPC",,"X","X"
"Rockland","Ramapo Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Schenectady ","Schenectady Police","X",,"X","GEX",,"-",,"LEX",,"-","-"
"Suffolk","Suffolk County Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Suffolk","Suffolk County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Westchester","Westchester County Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Westchester","Mt. Vernon Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Westchester","New Rochelle Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Westchester","White Plains Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Westchester","Yonkers Police","X",,"-","-",,"X",,"LEX",,"-","-"
,,,,,,,,,,,,
"NORTH CAROLINA",,,,,,,,,,,,
,,,,,,,,,,,,
"Buncombe","Buncombe County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Buncombe","Asheville Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Cumberland","Cumberland County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Cumberland","Fayetteville Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Durham","Durham County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Durham","Durham Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Forsyth","Winston-Salem Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"Gaston","Gastonia Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Guilford","Greensboro Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Guilford","High Point Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Mecklenburg","Charlotte Police","X",,"X","GVT",,"-",,"CRB",,"X","X"
"Nash","Rocky Mount Police","X",,"-","-",,"-",,"LEX",,"X","-"
"New Hanover","Wilmington Police","X",,"X","LEX",,"X",,"LEX",,"X","-"
"Pitt","Greenville Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Wake","Raleigh Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"OHIO",,,,,,,,,,,,
,,,,,,,,,,,,
"Butler","Hamilton Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Clark","Springfield Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Cuyahoga","Cleveland Police","X",,"X","GEX",,"-",,"GEX",,"-","-"
"Franklin","Franklin County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Franklin","Columbus Police","X",,"-","-",,"X",,"OTH",,"X","-"
"Hamilton","Hamilton County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Hamilton","Cincinnati Police","X",,"X","GEX",,"-",,"GEX",,"X","X"
"Lucas","Toledo Police","X",,"X","GVT",,"X",,"LEX",,"X","X"
"Mahoning","Youngstown Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"Montgomery","Montgomery County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Montgomery","Dayton Police","X",,"X","GVT",,"-",,"LEX",,"X","X"
"Stark","Canton Police","X",,"-","-",,"-",,"OTH",,"X","-"
"Summit","Summit County Sheriff","-",,"-","-",,"-",,"LEX",,"-","-"
"Summit","Akron Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"260   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"OKLAHOMA",,,,,,,,,,,,
,,,,,,,,,,,,
"Cleveland","Norman Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Comanche","Lawton Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"Oklahoma","Oklahoma City Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Tulsa ","Tulsa County Sheriff","-",,"-","-",,"X",,"LEX",,"-","-"
"Tulsa","Tulsa Police","X",,"-","-",,"-",,"LEX",,"X","-"
,,,,,,,,,,,,
"OREGON",,,,,,,,,,,,
,,,,,,,,,,,,
"Clackamas","Clackamas County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Lane ","Lane County Sheriff","X",,"-","-",,"-",,"ISP",,"X","-"
"Lane ","Eugene Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Marion","Salem Police","X",,"-","-",,"-",,"ISP",,"X","X"
"Multnomah","Portland Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Washington","Washington County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
,,,,,,,,,,,,
"PENNSYLVANIA",,,,,,,,,,,,
,,,,,,,,,,,,
"Allegheny","Allegheny County Police","-",,"-","-",,"X",,"LEX",,"X","X"
"Allegheny","Pittsburgh Police","X",,"X","OTH",,"X",,"LEX",,"X","X"
"Berks","Reading Police","X",,"-","-",,"X",,"GEX",,"X","-"
"Dauphin","Harrisburg Police","X",,"-","-",,"X",,"OSP",,"X","-"
"Erie","Erie Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Lackawanna","Scranton Police","-",,"-","-",,"-",,"LEX",,"X","X"
"Lancaster","Lancaster Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Lehigh","Allentown Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Montgomery","Lower Merion Township Police","X",,"-","-",,"X",,"BPC",,"X","-"
"Philadelphia","Philadelphia Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Philadelphia","Philadelphia Housing Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Philadelphia","S.E. Penn. Transit Authority","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"RHODE ISLAND",,,,,,,,,,,,
,,,,,,,,,,,,
"Kent ","Warwick Police","X",,"-","-",,"-",,"BPC",,"X","-"
"Providence","Cranston Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Providence","Pawtucket Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Providence","Providence Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"SOUTH CAROLINA",,,,,,,,,,,,
,,,,,,,,,,,,
"Beaufort","Beaufort County Sheriff","X",,"-","-",,"X",,"LEX",,"-","-"
"Charleston","Charleston County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Charleston","Charleston Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Charleston","North Charleston Police","X",,"-","-",,"-",,"LEX",,"-","-"
"Greenville","Greenville County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Greenville","Greenville Police","X",,"X","GVT",,"X",,"LEX",,"X","-"
"Horry","Horry County Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Lexington","Lexington County Sheriff","X",,"-","-",,"-",,"ISP",,"X","-"
"Richland","Richland County Sheriff","X",,"-","-",,"-",,"LEX",,"-","-"
"Richland","Columbia Police","X",,"-","-",,"X",,"LEX",,"-","-"
"Spartanburg","Spartanburg County Sheriff","-",,"-","-",,"-",,"LEX",,"X","-"
"Spartanburg","Spartanburg Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"SOUTH DAKOTA",,,,,,,,,,,,
,,,,,,,,,,,,
"Minnehaha","Sioux Falls Police","X",,"-","-",,"-",,"OTH",,"X","-"
,,,,,,,,,,,,
"TENNESSEE",,,,,,,,,,,,
,,,,,,,,,,,,
"Davidson","Nashville Metropolitan Police","X",,"-","-",,"-",,"LEX",,"-","X"
"Hamilton","Hamilton County Sheriff","X",,"X","LEX",,"X",,"LEX",,"X","X"
"Hamilton","Chattanooga Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Knox","Knox County Sheriff","-",,"-","-",,"X",,"LEX",,"-","-"
"Knox","Knoxville Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Madison","Jackson Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Montgomery","Clarksville Police","X",,"-","-",,"-",,"GEX",,"X","X"
"Shelby","Shelby County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Shelby","Memphis Police","X",,"X","GEX",,"-",,"LEX",,"X","-"
"Washington","Johnson City Police","X",,"-","-",,"X",,"GEX",,"X","-"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,"                    Policies and programs   261",,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"TEXAS",,,,,,,,,,,,
,,,,,,,,,,,,
"Bell","Killeen Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Bexar","Bexar County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Bexar","San Antonio Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Brazoria","Brazoria County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Cameron","Brownsville Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Collin","Plano Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Dallas ","Carrollton Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Dallas","Dallas Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"Dallas","Dallas-Ft. Worth Airport Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Dallas","Garland Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Dallas","Grand Prairie Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Dallas","Irving Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Dallas","Mesquite Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Dallas","Richardson Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Denton","Denton Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Ector","Odessa Police","X",,"-","-",,"X",,"LEX",,"X","X"
"El Paso","El Paso County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"El Paso","El Paso Police","X",,"-","-",,"-",,"IAU",,"X","X"
"Fort Bend","Fort Bend County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
