Row #,Cruise,Core,Longitude (decimal degree),Latitude (decimal degree),Longitude (decimal-minute),Latitude (decimal-minute),Year of sample collection,Water depth (m),Core length [as measured at sea] (cm),X-ray available,Water content available,Texture data available,MSCL data available,Midpoint of interval (cm),Top of interval (cm),Bottom of interval (cm),Size of interval (cm),Water content (weight fraction),Comments,Color (based on Munsell¨ Soil Color Chart),Core sectioning comments (Note: not standardized),Lab ID number for texture analysis (SED LAB #),Sample ID used by sed lab (Field ID),Texture analytical methods & operator (MOMS=Method of Moments Statistics),Analysis month,Analysis day,Analysis year,Sample weight (g) of texture aliquot processed ,Gravel (wt%) ,Sand (wt% ),Silt (wt%),Clay (wt %),Fines [silt + clay] (wt %),Verbal Equivalent of sediment texture,Median grain size using Method of Moment Statistics (MOMS),MOMS mean grain size,MOMS standard deviation of mean grain size,MOMS skewness of grain size distribution,MOMS kurtosis of grain size distribution,Mode 1,Mode 1 Frequency ,Mode 2,Mode 2 Frequency ,Mode 3,Mode 3 Frequency ,Number of Modes,Fraction of sample in 11 phi size range (%),Cumulative frequency of sample in 11 phi or smaller (%),Fraction of sample in 10  phi size range (%),Cumulative frequency of sample in 10  phi or smaller (%),Fraction of sample in 9  phi size range (%),Cumulative frequency of sample in 9  phi or smaller (%),Fraction of sample in 8  phi size range (%),Cumulative frequency of sample in 8  phi or smaller (%),Fraction of sample in 7  phi size range (%),Cumulative frequency of sample in 7  phi or smaller (%),Fraction of sample in 6  phi size range (%),Cumulative frequency of sample in 6  phi or smaller (%),Fraction of sample in 5  phi size range (%),Cumulative frequency of sample in 5  phi or smaller (%),Fraction of sample in 4  phi size range (%),Cumulative frequency of sample in 4  phi or smaller (%),Fraction of sample in 3  phi size range (%),Cumulative frequency of sample in 3  phi or smaller (%),Fraction of sample in 2  phi size range (%),Cumulative frequency of sample in 2  phi or smaller (%),Fraction of sample in 1  phi size range (%),Cumulative frequency of sample in 1  phi or smaller (%),Fraction of sample in 0  phi size range (%),Cumulative frequency of sample in 0  phi or smaller (%),Fraction of sample in -1  phi size range (%),Cumulative frequency of sample in -1  phi or smaller (%),Fraction of sample in -2  phi size range (%),Cumulative frequency of sample in -2  phi or smaller (%),Fraction of sample in -3  phi size range (%),Cumulative frequency of sample in -3  phi or smaller (%),Fraction of sample in -4  phi size range (%),Cumulative frequency of sample in -4  phi or smaller (%),Fraction of sample in -5  phi size range (%),Cumulative frequency of sample in -5  phi or smaller (%),Sort description of grain size,Inclusive Graphics Statistics (IGS): median,IGS mean,IGS standard deviation,IGS skewness,IGS kurtosis
54,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,26.75,26.5,27,0.5,0.24,,5y 3/1,same sand. a little drier,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,27.25,27,27.5,0.5,na,,5y 3/1,same sand. a little drier,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,27.75,27.5,28,0.5,0.24,,5y 3/1,same sand. a little drier,AQ302,I1C1/27.5-28,MOMS- D. Walsh,11,22,1999,16.58,0.00,69.53,22.45,8.02,30.47,SILTY SAND  ,3.6,4.35,1.99,0.69,0.93,3.50,49.0,6.50,7.5,0.00,0.0,2.00,1.61,100,2.73,98.39,3.68,95.66,5.25,91.98,7.52,86.73,7.37,79.21,2.31,71.84,48.99,69.53,19.85,20.54,0.63,0.69,0.05,0.06,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.54,4.34,1.92,0.66,1.14
57,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,28.25,28,28.5,0.5,0.25,,5y 3/1,same sand. a little drier,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,28.75,28.5,29,0.5,0.25,,5y 3/1,same sand. a little drier.   shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,29.25,29,29.5,0.5,0.25,,5y 3/1,same sand. a little drier,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,29.75,29.5,30,0.5,0.25,,5y 3/1,same sand. a little drier,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,30.25,30,30.5,0.5,0.25,,5y 3/1,same sand and color. shells,AQ303,I1C1/30-30.5,MOMS- D. Walsh,11,22,1999,15.01,0.03,66.53,25.73,7.71,33.44,SILTY SAND  ,3.64,4.43,2.02,0.59,0.54,3.50,45.9,6.50,9.3,0.00,0.0,2.00,1.63,100,2.54,98.37,3.54,95.83,5.98,92.29,9.26,86.31,8.86,77.05,1.63,68.19,45.93,66.56,19.66,20.63,0.61,0.97,0.24,0.36,0.09,0.12,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, mesokurtic",3.57,4.39,1.94,0.65,0.98
62,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,30.75,30.5,31,0.5,0.25,,5y 3/1,same sand and color. shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,31.25,31,31.5,0.5,0.25,,5y 3/1,same sand and color. shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,31.75,31.5,32,0.5,0.24,,5y 3/1,same sand and color. shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,32.25,32,32.5,0.5,0.25,,5y 3/1,same sand and color. shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,32.75,32.5,33,0.5,0.24,,5y 3/1,same sand and color. shells,AQ304,I1C1/32.5-33,MOMS- D. Walsh,11,22,1999,16.36,0.00,69.65,23.66,6.69,30.35,SILTY SAND  ,3.59,4.27,1.88,0.71,1.14,3.50,48.4,5.50,8.3,0.00,0.0,2.00,1.09,100,2.18,98.91,3.42,96.73,5.02,93.31,7.15,88.29,8.31,81.14,3.18,72.83,48.43,69.65,20.67,21.22,0.52,0.55,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.54,4.25,1.81,0.64,1.15
67,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,33.25,33,33.5,0.5,0.24,,5y 3/1,same sand and color. shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,33.75,33.5,34,0.5,0.25,,5y 3/1,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,34.25,34,34.5,0.5,0.25,,5y 3/1,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,34.75,34.5,35,0.5,0.25,,5y 3/1,no shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,35.25,35,35.5,0.5,0.25,,5y 3/1,no shells,AQ305,I1C1/35-35.5,MOMS- D. Walsh,11,22,1999,15.23,0.00,68.60,24.35,7.05,31.40,SILTY SAND  ,3.61,4.29,1.91,0.71,1.20,3.50,47.2,5.50,7.6,0.00,0.0,2.00,1.34,100,2.38,98.66,3.33,96.28,4.97,92.95,6.96,87.98,7.56,81.02,4.86,73.46,47.19,68.60,20.65,21.41,0.66,0.76,0.08,0.10,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.54,4.26,1.84,0.64,1.21
72,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,35.75,35.5,36,0.5,0.25,,5y 3/1,no shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,36.25,36,36.5,0.5,0.25,,5y 3/1,no shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,36.75,36.5,37,0.5,0.26,,5y 3/1,no shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,37.25,37,37.5,0.5,0.25,,5y 3/1,no shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,37.75,37.5,38,0.5,0.25,,5y 3/1,same sand,AQ306,I1C1/37.5-38,MOMS- D. Walsh,11,22,1999,16.54,0.00,68.70,24.73,6.56,31.29,SILTY SAND  ,3.6,4.33,1.93,0.67,0.90,3.50,46.5,5.50,9.1,0.00,0.0,2.00,1.45,100,2.12,98.55,2.99,96.43,5.39,93.44,8.74,88.05,9.11,79.31,1.50,70.20,46.53,68.70,21.61,22.17,0.53,0.56,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, mesokurtic",3.54,4.29,1.86,0.63,1.02
77,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,38.25,38,38.5,0.5,0.26,,5y 3/1,same sand. shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,38.75,38.5,39,0.5,0.25,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,39.25,39,39.5,0.5,0.25,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,39.75,39.5,40,0.5,0.25,,5y 3/1,no shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,40.25,40,40.5,0.5,0.25,,5y 3/1,same sand,AQ307,I1C1/40-40.5,MOMS- D. Walsh,11,22,1999,15.43,0.00,71.00,25.43,3.57,29.00,SILTY SAND  ,3.56,3.98,1.57,0.88,3.16,3.50,47.2,0.00,0.0,0.00,0.0,1.00,0.67,100,1.17,99.33,1.73,98.16,2.76,96.43,5.02,93.67,8.39,88.65,9.26,80.26,47.20,71.00,22.99,23.80,0.70,0.81,0.10,0.11,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.50,3.90,1.44,0.52,1.49
82,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,40.75,40.5,41,0.5,0.24,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,41.25,41,41.5,0.5,0.24,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,41.75,41.5,42,0.5,0.25,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,42.25,42,42.5,0.5,0.25,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,42.75,42.5,43,0.5,0.25,,5y 3/1,same sand,AQ308,I1C1/42.5-43,MOMS- D. Walsh,11,22,1999,14.65,0.00,70.68,22.86,6.46,29.32,SILTY SAND  ,3.56,4.20,1.87,0.78,1.65,3.50,47.5,5.50,7.5,0.00,0.0,2.00,1.37,100,2.32,98.63,2.77,96.31,4.28,93.54,6.65,89.26,7.46,82.61,4.47,75.15,47.46,70.68,22.63,23.22,0.55,0.59,0.03,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.50,4.16,1.79,0.62,1.30
87,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,43.25,43,43.5,0.5,0.25,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,43.75,43.5,44,0.5,0.24,,5y 3/1,shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,44.25,44,44.5,0.5,0.24,,5y 3/1,shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,44.75,44.5,45,0.5,0.24,,5y 3/1,"sand: v. fine grained, damp, a couple of 1cm shell frags",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,45.25,45,45.5,0.5,0.24,,5y 3/1,"sand: v. fine grained, damp, trace shell frags",AQ309,I1C1/45-45.5,MOMS- D. Walsh,11,22,1999,14.73,0.00,72.48,22.15,5.37,27.52,SILTY SAND  ,3.54,4.10,1.77,0.81,2.07,3.50,48.9,5.50,8.3,0.00,0.0,2.00,1.04,99.99,1.81,98.95,2.52,97.14,3.90,94.62,5.96,90.72,8.32,84.76,3.97,76.44,48.88,72.47,22.73,23.59,0.72,0.86,0.13,0.14,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.49,4.05,1.66,0.59,1.44
92,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,45.75,45.5,46,0.5,0.23,,5y 3/1,as above,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,46.25,46,46.5,0.5,0.23,,5y 3/1,"""",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,46.75,46.5,47,0.5,0.23,,5y 3/1,"""",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,47.25,47,47.5,0.5,0.23,,5y 3/1,"""",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,47.75,47.5,48,0.5,0.22,,5y 3/1,"""",AQ310,I1C1/47.5-48,MOMS- D. Walsh,11,22,1999,15.23,0.00,73.45,20.79,5.76,26.55,SILTY SAND  ,3.52,4.06,1.78,0.87,2.47,3.50,49.1,5.50,7.4,0.00,0.0,2.00,1.15,100,2.00,98.85,2.61,96.85,3.65,94.24,4.71,90.59,7.36,85.88,5.07,78.52,49.06,73.45,23.51,24.39,0.77,0.88,0.08,0.11,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, very leptokurtic",3.47,3.97,1.64,0.59,2.00
97,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,48.25,48,48.5,0.5,0.22,,5y 3/1,"""",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,48.75,48.5,49,0.5,0.22,,5y 3/1,"""",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,49.25,49,49.5,0.5,0.21,,5y 3/1,"""",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,49.75,49.5,50,0.5,0.20,,5y 3/2,"""  . sample was touching plastic wrap",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
