'ICD-9-CM Code','CCS-MHSA Category','CCS-MHSA Category Description','ICD-9-CM Code Description'
'29570','659','Schizophrenia and other psychotic disorders','SCHIZOAFFECTIVE-UNSPEC'
'29571','659','Schizophrenia and other psychotic disorders','SCHIZOAFFECTIVE-SUBCHR'
'29572','659','Schizophrenia and other psychotic disorders','SCHIZOAFFECTIVE-CHRONIC'
'29573','659','Schizophrenia and other psychotic disorders','SCHIZOAFF-SUBCHREXACER'
'29574','659','Schizophrenia and other psychotic disorders','SCHIZOAFFECT-CHREXACER'
'29575','659','Schizophrenia and other psychotic disorders','SCHIZOAFFECTIVE-REMISS'
'29580','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NEC-UNSPEC'
'29581','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NEC-SUBCHR'
'29582','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NEC-CHR'
'29583','659','Schizophrenia and other psychotic disorders','SCHIZO NEC-SUBCHREXACER'
'29584','659','Schizophrenia and other psychotic disorders','SCHIZO NEC-CHREXACERB'
'29585','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NEC-REMISS'
'29590','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NOS-UNSPEC'
'29591','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NOS-SUBCHR'
'29592','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NOS-CHR'
'29593','659','Schizophrenia and other psychotic disorders','SCHIZO NOS-SUBCHREXACER'
'29594','659','Schizophrenia and other psychotic disorders','SCHIZO NOS-CHREXACERB'
'29595','659','Schizophrenia and other psychotic disorders','SCHIZOPHRENIA NOS-REMISS'
'2970 ','659','Schizophrenia and other psychotic disorders','PARANOID STATE/ SIMPLE'
'2971 ','659','Schizophrenia and other psychotic disorders','PARANOIA'
'2972 ','659','Schizophrenia and other psychotic disorders','PARAPHRENIA'
'2973 ','659','Schizophrenia and other psychotic disorders','SHARED PARANOID DISORDER'
'2978 ','659','Schizophrenia and other psychotic disorders','PARANOID STATES NEC'
'2979 ','659','Schizophrenia and other psychotic disorders','PARANOID STATE NOS'
'2980 ','659','Schizophrenia and other psychotic disorders','REACT DEPRESS PSYCHOSIS'
'2981 ','659','Schizophrenia and other psychotic disorders','EXCITATIV TYPE PSYCHOSIS'
'2982 ','659','Schizophrenia and other psychotic disorders','REACTIVE CONFUSION'
'2983 ','659','Schizophrenia and other psychotic disorders','ACUTE PARANOID REACTION'
'2984 ','659','Schizophrenia and other psychotic disorders','PSYCHOGEN PARANOID PSYCH'
'2988 ','659','Schizophrenia and other psychotic disorders','REACT PSYCHOSIS NECNOS'
'2989 ','659','Schizophrenia and other psychotic disorders','-PSYCHOSIS NOS-'
'33392','663','Screening and history of mental health and substance abuse codes','NEUROLEPTIC MALIGNANT SYNDROME'
'V110 ','663','Screening and history of mental health and substance abuse codes','PERSONAL HX SCHIZ'
'V111 ','663','Screening and history of mental health and substance abuse codes','PERSONAL HX AFFECTIVE DIS'
'V112 ','663','Screening and history of mental health and substance abuse codes','PERSONAL HISTORY NEUROSIS'
'V118 ','663','Screening and history of mental health and substance abuse codes','PERSONAL HX MENTAL DIS - OTHER'
'V119 ','663','Screening and history of mental health and substance abuse codes','PERSONAL HX - MENTAL DIS - UNSPEC'
'V154 ','663','Screening and history of mental health and substance abuse codes','PSYCHOLOGICAL TRAUMA'
'V1541','663','Screening and history of mental health and substance abuse codes','HISTORY OF PHYSICAL ABUSE'
'V1542','663','Screening and history of mental health and substance abuse codes','HISTORY OF EMOTIONAL ABUSE'
'V1549','663','Screening and history of mental health and substance abuse codes','PSYCHOLOGICAL TRAUMA - OTHER'
'V1582','663','Screening and history of mental health and substance abuse codes','HISTORY OF TOBACCO USE'
'V663 ','663','Screening and history of mental health and substance abuse codes','PALLIATIVE CARE FOLLOWING PSYCHOTHERAPY AND OTH'
'V701 ','663','Screening and history of mental health and substance abuse codes','PSYCH EXAM REQ BY AUTHORITY'
'V702 ','663','Screening and history of mental health and substance abuse codes','OTHER GENERAL PSYCH EXAM'
'V7101','663','Screening and history of mental health and substance abuse codes','OBSERV FOR ADULT ANTISOCIAL'
'V7102','663','Screening and history of mental health and substance abuse codes','OBSERV FOR CHILD ANTISOCIAL'
'V7109','663','Screening and history of mental health and substance abuse codes','OBSERV FOR OTH SUSP MENTAL DIS'
'V790 ','663','Screening and history of mental health and substance abuse codes','SCREEN FOR DEPRESSION'
'V792 ','663','Screening and history of mental health and substance abuse codes','SCREEN FOR MENTAL RETARDATION'
'V793 ','663','Screening and history of mental health and substance abuse codes','SCREEN FOR DEV PROBLEMS'
'V798 ','663','Screening and history of mental health and substance abuse codes','SCREEN FOR MENTAL DISORDER/ NOT ELSEWHERE CLASSI'
'V799 ','663','Screening and history of mental health and substance abuse codes','SCREEN FOR MENTAL DISORDER/ NOT OTHERWISE SPECIF'
'3051 ','663','Screening and history of mental health and substance abuse codes','TOBACCO USE DISORDER OCT 94'
'30510','663','Screening and history of mental health and substance abuse codes','TOBACCO ABUSE-UNSPEC'
'30511','663','Screening and history of mental health and substance abuse codes','TOBACCO ABUSE-CONTINUOUS'
'30512','663','Screening and history of mental health and substance abuse codes','TOBACCO ABUSE-EPISODIC'
'30513','663','Screening and history of mental health and substance abuse codes','TOBACCO ABUSE-IN REMISS'
'3575 ','663','Screening and history of mental health and substance abuse codes','ALCOHOL POLYNEUROPATHY'
'4255 ','663','Screening and history of mental health and substance abuse codes','ALCOHOL CARDIOMYOPATHY'
'5353 ','663','Screening and history of mental health and substance abuse codes','ALCOHOL GASTRITIS'
'5710 ','663','Screening and history of mental health and substance abuse codes','ALCHOL FATTY LIVER'
'5711 ','663','Screening and history of mental health and substance abuse codes','ACUTE ALCOHOL HEPATITIS'
'5712 ','663','Screening and history of mental health and substance abuse codes','ALCOHOL CIRRHOSIS LIVER'
'5713 ','663','Screening and history of mental health and substance abuse codes','ALCOHOL LIVER DAMAGE UNSPEC'
'76071','663','Screening and history of mental health and substance abuse codes','ALC AFF FETUS VIA BREAST PLACENTA'
'7903 ','663','Screening and history of mental health and substance abuse codes','EXCESS BLOOD ALCOHOL - LAB'
'V113 ','663','Screening and history of mental health and substance abuse codes','PERSONAL HX ALCOHOLISM'
'V791 ','663','Screening and history of mental health and substance abuse codes','SCREEN FOR ALCOHOLISM'
'2910 ','660','Substance-related disorders','DELIRIUM TREMENS'
'2911 ','660','Substance-related disorders','ALCOHOL AMNESTIC SYND'
'2912 ','660','Substance-related disorders','ALCOHOLIC DEMENTIA NEC'
'2913 ','660','Substance-related disorders','ALCOHOL HALLUCINOSIS'
'2914 ','660','Substance-related disorders','PATHOLOGIC ALCOHOL INTOX'
'2915 ','660','Substance-related disorders','ALCOHOLIC JEALOUSY'
'2918 ','660','Substance-related disorders','ALCOHOLIC PSYCHOSIS NEC'
'29181','660','Substance-related disorders','ALCOHOL WITHDRAWAL OCT96--'
'29189','660','Substance-related disorders','OT ALCOHOL PSYCHOSIS OCT96--'
'2919 ','660','Substance-related disorders','ALCOHOLIC PSYCHOSIS NOS'
'30300','660','Substance-related disorders','AC ALCOHOL INTOX-UNSPEC'
'30301','660','Substance-related disorders','AC ALCOHOL INTOX-CONTIN'
'30302','660','Substance-related disorders','AC ALCOHOL INTOX-EPISOD'
'30303','660','Substance-related disorders','AC ALCOHOL INTOX-REMISS'
'30390','660','Substance-related disorders','ALCOH DEP NECNOS-UNSPEC'
'30391','660','Substance-related disorders','ALCOH DEP NECNOS-CONTIN'
'30392','660','Substance-related disorders','ALCOH DEP NECNOS-EPISOD'
'30393','660','Substance-related disorders','ALCOH DEP NECNOS-REMISS'
'30500','660','Substance-related disorders','ALCOHOL ABUSE-UNSPEC'
'30501','660','Substance-related disorders','ALCOHOL ABUSE-CONTINUOUS'
'30502','660','Substance-related disorders','ALCOHOL ABUSE-EPISODIC'
'30503','660','Substance-related disorders','-ALCOHOL ABUSE-IN REMISS-'
'2920 ','660','Substance-related disorders','DRUG WITHDRAWAL SYNDROME'
'29211','660','Substance-related disorders','DRUG PARANOID STATE'
'29212','660','Substance-related disorders','DRUG HALLUCINOSIS'
'2922 ','660','Substance-related disorders','PATHOLOGIC DRUG INTOX'
'29281','660','Substance-related disorders','DRUG-INDUCED DELIRIUM'
'29282','660','Substance-related disorders','DRUG-INDUCED DEMENTIA'
'29283','660','Substance-related disorders','DRUG AMNESTIC SYNDROME'
'29284','660','Substance-related disorders','DRUG DEPRESSIVE SYNDROME'
'29289','660','Substance-related disorders','DRUG MENTAL DISORDER NEC'
'2929 ','660','Substance-related disorders','DRUG MENTAL DISORDER NOS'
'30400','660','Substance-related disorders','OPIOID DEPENDENCE-UNSPEC'
'30401','660','Substance-related disorders','OPIOID DEPENDENCE-CONTIN'
'30402','660','Substance-related disorders','OPIOID DEPENDENCE-EPISOD'
'30403','660','Substance-related disorders','OPIOID DEPENDENCE-REMISS'
'30410','660','Substance-related disorders','BARBITURAT DEPEND-UNSPEC'
'30411','660','Substance-related disorders','BARBITURAT DEPEND-CONTIN'
'30412','660','Substance-related disorders','BARBITURAT DEPEND-EPISOD'
'30413','660','Substance-related disorders','BARBITURAT DEPEND-REMISS'
'30420','660','Substance-related disorders','COCAINE DEPEND-UNSPEC'
'30421','660','Substance-related disorders','COCAINE DEPEND-CONTIN'
'30422','660','Substance-related disorders','COCAINE DEPEND-EPISODIC'
'30423','660','Substance-related disorders','COCAINE DEPEND-REMISS'
'30430','660','Substance-related disorders','CANNABIS DEPEND-UNSPEC'
'30431','660','Substance-related disorders','CANNABIS DEPEND-CONTIN'
'30432','660','Substance-related disorders','CANNABIS DEPEND-EPISODIC'
'30433','660','Substance-related disorders','CANNABIS DEPEND-REMISS'
'30440','660','Substance-related disorders','AMPHETAMIN DEPEND-UNSPEC'
'30441','660','Substance-related disorders','AMPHETAMIN DEPEND-CONTIN'
'30442','660','Substance-related disorders','AMPHETAMIN DEPEND-EPISOD'
'30443','660','Substance-related disorders','AMPHETAMIN DEPEND-REMISS'
'30450','660','Substance-related disorders','HALLUCINOGEN DEP-UNSPEC'
'30451','660','Substance-related disorders','HALLUCINOGEN DEP-CONTIN'
'30452','660','Substance-related disorders','HALLUCINOGEN DEP-EPISOD'
'30453','660','Substance-related disorders','HALLUCINOGEN DEP-REMISS'
'30460','660','Substance-related disorders','DRUG DEPEND NEC-UNSPEC'
'30461','660','Substance-related disorders','DRUG DEPEND NEC-CONTIN'
'30462','660','Substance-related disorders','DRUG DEPEND NEC-EPISODIC'
'30463','660','Substance-related disorders','DRUG DEPEND NEC-IN REM'
'30470','660','Substance-related disorders','OPIOIDOTHER DEP-UNSPEC'
'30471','660','Substance-related disorders','OPIOIDOTHER DEP-CONTIN'
'30472','660','Substance-related disorders','OPIOIDOTHER DEP-EPISOD'
'30473','660','Substance-related disorders','OPIOIDOTHER DEP-REMISS'
'30480','660','Substance-related disorders','COMB DRUG DEP NEC-UNSPEC'
'30481','660','Substance-related disorders','COMB DRUG DEP NEC-CONTIN'
'30482','660','Substance-related disorders','COMB DRUG DEP NEC-EPISOD'
'30483','660','Substance-related disorders','COMB DRUG DEP NEC-REMISS'
'30490','660','Substance-related disorders','DRUG DEPEND NOS-UNSPEC'
'30491','660','Substance-related disorders','DRUG DEPEND NOS-CONTIN'
'30492','660','Substance-related disorders','DRUG DEPEND NOS-EPISODIC'
'30493','660','Substance-related disorders','DRUG DEPEND NOS-REMISS'
'30520','660','Substance-related disorders','CANNABIS ABUSE-UNSPEC'
'30521','660','Substance-related disorders','CANNABIS ABUSE-CONTIN'
'30522','660','Substance-related disorders','CANNABIS ABUSE-EPISODIC'
'30523','660','Substance-related disorders','CANNABIS ABUSE-IN REMISS'
'30530','660','Substance-related disorders','HALLUCINOG ABUSE-UNSPEC'
'30531','660','Substance-related disorders','HALLUCINOG ABUSE-CONTIN'
'30532','660','Substance-related disorders','HALLUCINOG ABUSE-EPISOD'
'30533','660','Substance-related disorders','HALLUCINOG ABUSE-REMISS'
'30540','660','Substance-related disorders','BARBITURATE ABUSE-UNSPEC'
'30541','660','Substance-related disorders','BARBITURATE ABUSE-CONTIN'
'30542','660','Substance-related disorders','BARBITURATE ABUSE-EPISOD'
'30543','660','Substance-related disorders','BARBITURATE ABUSE-REMISS'
'30550','660','Substance-related disorders','OPIOID ABUSE-UNSPEC'
'30551','660','Substance-related disorders','OPIOID ABUSE-CONTINUOUS'
'30552','660','Substance-related disorders','OPIOID ABUSE-EPISODIC'
'30553','660','Substance-related disorders','OPIOID ABUSE-IN REMISS'
'30560','660','Substance-related disorders','COCAINE ABUSE-UNSPEC'
'30561','660','Substance-related disorders','COCAINE ABUSE-CONTINUOUS'
'30562','660','Substance-related disorders','COCAINE ABUSE-EPISODIC'
'30563','660','Substance-related disorders','COCAINE ABUSE-IN REMISS'
'30570','660','Substance-related disorders','AMPHETAMINE ABUSE-UNSPEC'
'30571','660','Substance-related disorders','AMPHETAMINE ABUSE-CONTIN'
'30572','660','Substance-related disorders','AMPHETAMINE ABUSE-EPISOD'
'30573','660','Substance-related disorders','AMPHETAMINE ABUSE-REMISS'
'30580','660','Substance-related disorders','ANTIDEPRESS ABUSE-UNSPEC'
'30581','660','Substance-related disorders','ANTIDEPRESS ABUSE-CONTIN'
'30582','660','Substance-related disorders','ANTIDEPRESS ABUSE-EPISOD'
'30583','660','Substance-related disorders','ANTIDEPRESS ABUSE-REMISS'
'30590','660','Substance-related disorders','DRUG ABUSE NEC-UNSPEC'
'30591','660','Substance-related disorders','DRUG ABUSE NEC-CONTIN'
'30592','660','Substance-related disorders','DRUG ABUSE NEC-EPISODIC'
'30593','660','Substance-related disorders','-DRUG ABUSE NEC-IN REMISS-'
'64830','660','Substance-related disorders','DRUG DEPENDENCY IN PREGNANCY UNSPECIFIED'
'64831','660','Substance-related disorders','DRUG DEPENDENCY IN PREGNANCY DELIVERED/ ANTEPAR'
'64832','660','Substance-related disorders','DRUG DEPENDENCY IN PREGNANCY DELIVERED/ POSTPAR'
'64833','660','Substance-related disorders','DRUG DEPENDENCY IN PREGNANCY/ ANTEPARTUM COND'
'64834','660','Substance-related disorders','DRUG DEPENDENCY IN PREGNANCY/ POSTPARTUM COND'
'65550','660','Substance-related disorders','SUSPECT DAMAGE TO FETUS - DRUGS UNSPECIFIED'
'65551','660','Substance-related disorders','SUSPECT DAMAGE TO FETUS - DRUGS DELIVERED ANTEP'
'65553','660','Substance-related disorders','SUSPECT DAMAGE TO FETUS - ANTEPARTUM'
'76072','660','Substance-related disorders','NARCOTICS AFFECT FETUS'
'76073','660','Substance-related disorders','HALLUCINOGENS AFFECT FETUS'
'76075','660','Substance-related disorders','COCAINE AFFECTS FETUS'
'7795 ','660','Substance-related disorders','DRUG WITHDRAWAL IN NEWBORN'
'96500','660','Substance-related disorders','POISONING BY OPIUM'
'96501','660','Substance-related disorders','POISONING BY HEROIN'
'96502','660','Substance-related disorders','POISONING BY METHADONE'
'96509','660','Substance-related disorders','POISONING BY OTH NARCOTICS'
'V6542','660','Substance-related disorders','COUNSELING FOR SUBSTANCE ABUSE'
'E9500','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ ANALGES'
'E9501','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ BARBITURATES'
'E9502','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTH SEDATIVES'
'E9503','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ TRANQUILIZERS'
'E9504','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTHER SPEC DRUGS'
'E9505','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ UNSPECIFIED DRUGS'
'E9506','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ AGRI CHEMICALS'
'E9507','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ CORROS CAUSTICS'
'E9508','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ ARSENIC'
'E9509','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTH SOLIDS AND LIQUIDS'
'E9510','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ GAS IN PIPELINE'
'E9511','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ LP GAS I'
'E9518','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTHER UTILITY GAS'
'E9520','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ MV EXHAUST GAS'
'E9521','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTH CARBON MONOXIDE'
'E9528','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTH SPEC GAS'
'E9529','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ UNSPEC GAS'
'E9530','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ HANGING'
'E9531','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ SUFFOCAT PLASTIC BAG'
'E9538','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTH STRANGUL/ SUFFOC'
'E9539','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ UNSP STRANGUL SUFFOC'
'E954 ','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ DROWNING'
'E9550','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ HANDGUN'
'E9551','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ SHOTGUN'
'E9552','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ HUNTING RIFLE'
'E9553','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ MILITARY FIREARM'
'E9554','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTHER UNSPEC FIREARM'
'E9555','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ EXPLOSIVES'
'E9556','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ AIR GUN'
'E9557','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ PAINTBALL GUN'
'E9559','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ UNSPEC FIREARM EXPL'
'E956 ','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ CUTTING PIERCING'
'E9570','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ JUMP FROM RESIDENCE'
'E9571','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ JUMP FROM OTH STRUCT'
'E9572','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ JUMP FROM NATURAL SITE'
'E9579','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ UNSPEC JUMP'
'E9580','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ MOVING OBJECT'
'E9581','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ BURNS/ FIRE'
'E9582','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ SCALD'
'E9583','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ COLD'
'E9584','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ ELECTROCUTION'
'E9585','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ CRASHING MV'
'E9586','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ CRASHING AIRCRAFT'
'E9587','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ CAUST SUBST EXC POISON'
'E9588','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ OTHER SPEC'
'E9589','662','Suicide and intentional self-inflicted injury','SELF-INFL INJ UNSPEC MEANS'
'E959 ','662','Suicide and intentional self-inflicted injury','LATE EFFECTS SELF-INFLICTED INJURY'
