Pjt No,Pjt Name,Terrty,Office,Main Grp,Catgy No,Catgy Name,Subcatgy,SoA,NC/Refi,Mtg Amt,Units,Pjt Street,Pjt City,Pjt ST,Pjt Zip,Cty No,County,MSA No,MSA Name,Lat,Lon,IE FY,Orig No,Orig Name,Hldr No,Holder Name,Serv No,Servicer Name,Serv ST
10135439,PRESERVE APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$16,566,900 ",278,DRAKE ROAD,FORT COLLINS,CO,80521,69,Larimer,2670,"FORT COLLINS-LOVELAND, CO",40.5766,-105.1059,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10135440,AMERICANA LAKEWOOD II,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$5,963,400 ",144,12598 W. DAKOTA AVENUE,LAKEWOOD,CO,80228,59,Jefferson,2080,"DENVER, CO",39.7087,-105.1425,FY95,09632,AMERICAN CAPITAL RESOURCE INC,09632,AMERICAN CAPITAL RESOURCE INC,09632,AMERICAN CAPITAL RESOURCE INC,GA
10135441,CANYON POINT COTTAGES,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$13,004,600 ",196,WASHINGTON AVE & IOWA ST,GOLDEN,CO,80403,59,Jefferson,2080,"DENVER, CO",39.7656,-105.2304,FY95,05366,COLORADO HOUSING FINANCE AUTHTY,05366,COLORADO HOUSING FINANCE AUTHTY,05366,COLORADO HOUSING FINANCE AUTHTY,CO
10135447,THE HEIGHTS-AKA-MANSFIEL,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$13,091,900 ",220,CORNER MANSFIELD & WADSW,LAKEWOOD,CO,80235,59,Jefferson,2080,"DENVER, CO",39.6476,-105.0787,FY95,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
10135449,WALNUT CREEK APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$13,326,400 ",220,S E CORNER-104TH & WADSW,WESTMINSTER,CO,80020,13,Boulder,1125,"BOULDER-LONGMONT, CO",39.9244,-105.0604,FY96,05366,COLORADO HOUSING FINANCE AUTHTY,05366,COLORADO HOUSING FINANCE AUTHTY,05366,COLORADO HOUSING FINANCE AUTHTY,CO
10135450,FLYING W RANCH ROAD APTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$9,423,300 ",140,6575 FLYING W RANCH ROAD,COLORADO SPRINGS,CO,80919,41,El Paso,1720,"COLORADO SPRINGS, CO",38.928,-104.8638,FY95,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
10135457,OAK HILL APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$11,591,800 ",210,SEC OAKRIDGE & BOARDWALK,FORT COLLINS,CO,80525,69,Larimer,2670,"FORT COLLINS-LOVELAND, CO",40.5389,-105.0556,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10135460,SUNSET RIDGE APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$14,548,600 ",240,SOUTH SIDE VICKERS DR AT,COLORADO SPRINGS,CO,80918,41,El Paso,1720,"COLORADO SPRINGS, CO",38.9129,-104.773,FY96,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10135466,PEAK VIEW APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$10,413,900 ",160,JCT-MALORY & SO BOULDER,LAFAYETTE,CO,80026,13,Boulder,1125,"BOULDER-LONGMONT, CO",39.9964,-105.0964,FY96,37056,BANK ONE COLUMBUS NA,37056,BANK ONE COLUMBUS NA,37056,BANK ONE COLUMBUS NA,OH
10135467,EASTGLEN,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$6,038,400 ",102,CORNER OF ST CLAIR & LAS,LONGMONT,CO,80501,13,Boulder,1125,"BOULDER-LONGMONT, CO",40.1786,-105.0999,FY96,37056,BANK ONE COLUMBUS NA,37056,BANK ONE COLUMBUS NA,37056,BANK ONE COLUMBUS NA,OH
10135474,LEGACY APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$13,451,800 ",200,2727 NELSON ROAD,LONGMONT,CO,80503,13,Boulder,1125,"BOULDER-LONGMONT, CO",40.1562,-105.1613,FY96,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
10141001,VILLAGE 88 APARTMENTS,8,Denver,Presv 241f,7,Presv 241f,241f 236,ZFR,,"$2,816,438 ",180,388 EAST 88TH AVENUE,THORNTON,CO,80229,1,Adams,2080,"DENVER, CO",39.8565,-104.9838,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
101EE001,GRAND JUNCTION VOA ELDER,8,Denver,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,411,600 ",60,1ST STREET & INDEPENDENC,GRAND JUNCTION,CO,81505,77,Mesa,2995,"GRAND JUNCTION, CO",39.0809,-108.5703,FY94,,,,,,,
101EE003,EAST BAY SENIOR HOUSING,8,Denver,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$5,106,700 ",81,3720 WEST 68TH AVENUE,WESTMINSTER,CO,80030,1,Adams,2080,"DENVER, CO",39.82,-105.0357,FY95,,,,,,,
101EE006,MONTROSE VOA ELDERLY HSG,8,Denver,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,653,300 ",41,212 S. 12TH STREET,MONTROSE,CO,81401,85,Montrose,0,NM,38.4722,-107.8669,FY95,,,,,,,
101EE008,BROOMFIELD SILVERCREST,8,Denver,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$5,290,600 ",84,EAST 10TH AVE & SHERIDAN,BROOMFIELD,CO,80020,13,Boulder,1125,"BOULDER-LONGMONT, CO",39.9318,-105.0522,FY96,,,,,,,
101EE012,GREELEY SENIOR HOUSING,8,Denver,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,350,700 ",40,1711-1715 30TH STREET,GREELEY,CO,80631,123,Weld,3060,"GREELEY, CO",40.3883,-104.7064,FY95,,,,,,,
101EE019,CLARE OF ASSISI-WESTMINS,8,Denver,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$4,233,800 ",60,83RD & ZUNI STREET,WESTMINSTER,CO,80030,1,Adams,2080,"DENVER, CO",39.8544,-105.0372,FY95,,,,,,,
101HD002,CREATING POSSIBILITIES,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$479,800 ",10,SCATTERED SITES,LITTLETON,CO,80120,5,Arapahoe,2080,"DENVER, CO",39.5997,-105.0048,FY94,,,,,,,
101HD004,OUR HOUSE II,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$280,580 ",8,3930 Jason St,Denver,CO,80211,31,Denver,2080,"DENVER, CO",39.770951,-104.999051,FY95,,,,,,,
101HD006,VISTA ALEGRE,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$235,000 ",5,309 E Elder St,Walsenburg,CO,81089,55,Huerfano,0,NM,37.635146,-104.784066,FY95,,,,,,,
101HD010,BETHPHAGE MISSION WEST,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$974,300 ",21,3613 ROYAL DRIVE,FORT COLLINS,CO,80526,69,Larimer,2670,"FORT COLLINS-LOVELAND, CO",40.5377,-105.1075,FY96,,,,,,,
10511006,FOX POINT APARTMENTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$12,325,000 ",398,514 E 4090 S,Salt Lake City,UT,84107,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.682562,-111.874954,FY94,38372,DELTA NATIONAL MORTGAGE CORP,38372,DELTA NATIONAL MORTGAGE CORP,38372,DELTA NATIONAL MORTGAGE CORP,OH
10511008,SPRING MEADOWS APTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$5,278,400 ",247,4120 S 500 E,Salt Lake City,UT,84107,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.68236,-111.875608,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10511011,BROOKWOOD PARK APTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,430,000 ",216,3854 Rockwood Way,West Valley City,UT,84120,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.69917,-111.982055,FY95,60188,LOVE FUNDING CORPORATION,24038,HEARTLAND SAVINGS BANK FSB,24038,HEARTLAND SAVINGS BANK FSB,MO
10511012,BROADWAY TOWERS,8,Denver,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$2,891,267 ",96,230 E Broadway,Salt Lake City,UT,84111,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.757,-111.8779,FY96,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,20660,CONTINENTAL WINGATE ASSOC INC,MA
10535096,AMBERLEY VILLAGE,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$5,543,400 ",107,525 S 900 E,Salt Lake City,UT,84102,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.75755,-111.86423,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10535097,COUNTRY SPRINGS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$8,234,900 ",164,650 OREM BLVD.,OREM,UT,84058,49,Utah,6520,"PROVO-OREM, UT",40.2848,-111.6911,FY96,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10535099,COLONIAL POINTE APTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$4,694,400 ",93,625 WEST 2727 SOUTH,BOUNTIFUL,UT,84010,11,Davis,7160,"SALT LAKE CITY-OGDEN, UT",40.8763,-111.8717,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10535102,ORCHARD PARK APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$9,098,700 ",144,800 N 900 W,Orem,UT,84057,49,Utah,6520,"PROVO-OREM, UT",40.312054,-111.716372,FY96,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
10541001,VILLAGE APARTMENTS,8,Denver,Presv 241f,7,Presv 241f,241f 236,ZFR,,"$415,500 ",24,250 N 200 W,Salt Lake City,UT,84103,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.77372,-111.88073,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10541002,ST GEORGE VILLA APTS,8,Denver,Presv 241f,7,Presv 241f,241f 236,ZFR,,"$821,102 ",40,351 TABERNACLE,ST. GEORGE,UT,84770,53,Washington,0,NM,37.10822,-113.58873,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10543022,PARKLANE MANOR,8,Denver,Basic FHA,3,232 Health Care,NH 232,RNF,NC/SR,"$2,511,000 ",54,661 E 100 S,Salt Lake City,UT,84102,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.754627,-111.861426,FY94,75600,SILVERSTATE FINANCIAL CORP,75600,SILVERSTATE FINANCIAL CORP,75600,SILVERSTATE FINANCIAL CORP,CO
105EE004,HAMILTON PLACE ELDERLY H,8,Denver,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,764,800 ",65,755 E 800 S,Salt Lake City,UT,84102,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.752499,-111.867091,FY95,,,,,,,
105HD002,VALLEY VILLA,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$1,066,300 ",20,1800 SO. MAIN STREET,SALT LAKE CITY,UT,84115,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.7305,-111.89,FY95,,,,,,,
105HD003,VALLEY CROSSROADS,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$1,227,900 ",20,3300 BLOCK - 11TH WEST,SALT LAKE CITY,UT,84119,35,Salt Lake,7160,"SALT LAKE CITY-OGDEN, UT",40.6932,-111.9533,FY96,,,,,,,
10911002,MOUNTAIN VIEW ESTATES,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,870,000 ",144,2404 FOOTHILLS BLVD.,GILLETTE,WY,82716,5,Campbell,0,NM,44.3013,-105.5326,FY94,22999,GLASER FINANCIAL GROUP INC,22999,GLASER FINANCIAL GROUP INC,22999,GLASER FINANCIAL GROUP INC,MN
10911004,WESTGATE VILLAGE APTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,122,500 ",207,5711 EDUCATION DRIVE,CHEYENNE,WY,82009,21,Laramie,1580,"CHEYENNE, WY",41.1719,-104.8325,FY94,09632,AMERICAN CAPITAL RESOURCE INC,09632,AMERICAN CAPITAL RESOURCE INC,75148,GE CAPITAL ASSET MGTMT CORP,TX
10911005,SOUTH VALLEY APARTMENTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,912,500 ",120,251 SOUTH VALLEY DR.,EVANSTON,WY,82930,41,Uinta,0,NM,41.2462,-110.9357,FY96,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
109HD003,"CHEYENNE H.A.V.EN., INC.",8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$239,300 ",5,5420 YELLOWSTONE RD,CHEYENNE,WY,82009,21,Laramie,1580,"CHEYENNE, WY",41.1688,-104.8281,FY95,,,,,,,
11211062,ARBORS ON THE LAKE,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$27,200,000 ",857,9837 NO. CENTRAL EXPRESS,DALLAS,TX,75230,113,Dallas,1920,"DALLAS, TX",32.901,-96.7902,FY94,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
11211065,WALNUT BEND APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,692,000 ",260,9944 WALNUT ST.,DALLAS,TX,75243,113,Dallas,1920,"DALLAS, TX",32.9211,-96.7145,FY94,09632,AMERICAN CAPITAL RESOURCE INC,09632,AMERICAN CAPITAL RESOURCE INC,75148,GE CAPITAL ASSET MGTMT CORP,TX
11211066,VINEYARD APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,045,000 ",350,4299 PLEASANT RUN RD.,IRVING,TX,75038,113,Dallas,1920,"DALLAS, TX",32.8641,-96.9884,FY94,72429,NEWPORT MORTGAGE CORPORATION,72429,NEWPORT MORTGAGE CORPORATION,76317,NEWPORT MORTGAGE COMPANY LP,TX
11211068,CHIVAS SQUARE APTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,292,900 ",200,1900 CARL ROAD,IRVING,TX,75061,113,Dallas,1920,"DALLAS, TX",32.8338,-96.93,FY94,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
11211071,WINDTREE APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$534,100 ",60,151 EBO STREET,KAUFMAN,TX,75142,257,Kaufman,1920,"DALLAS, TX",32.5891,-96.3151,FY95,71574,FUNDING INCORPORATED,71574,FUNDING INCORPORATED,71574,FUNDING INCORPORATED,TX
11211075,GREEN OAKS APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$252,000 ",16,720 SOUTH CHARLES,LEWISVILLE,TX,75067,121,Denton,1920,"DALLAS, TX",33.03553,-96.996298,FY95,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,FL
11211076,LA ARBOLEDA,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,391,600 ",144,7777 E R L Thornton Fwy,Dallas,TX,75228,113,Dallas,1920,"DALLAS, TX",32.794392,-96.70368,FY96,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,VA
11211077,GARDEN HOUSE APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,250,000 ",368,2500 E Meadows Blvd,Mesquite,TX,75150,113,Dallas,1920,"DALLAS, TX",32.796781,-96.66332,FY95,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11211079,CLIFF PARK VILLAGE APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$6,897,700 ",360,220 E. OVERTON ROAD,Dallas,TX,75216,113,Dallas,1920,"DALLAS, TX",32.70007,-96.81706,FY96,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11211083,DEERWOOD APARTMENTS,6,Fort Worth,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$2,150,000 ",164,2801 Calloway Rd,Tyler,TX,75707,423,Smith,8640,"TYLER, TX",32.306327,-95.262322,FY96,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
11235351,MAPLESHADE RESIDENCES,6,Fort Worth,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$10,901,400 ",148,6700 MAPLESHADE LANE,DALLAS,TX,75252,85,Collin,1920,"DALLAS, TX",32.9968,-96.7919,FY95,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11235353,WINDSONG VILLAGE APARTME,6,Fort Worth,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$13,498,700 ",280,JUPITER & MCDERMITT,ALLEN,TX,75229,113,Dallas,1920,"DALLAS, TX",32.8952,-96.8595,FY96,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11243056,IRVING LIVING CENTER,6,Fort Worth,Basic FHA,3,232 Health Care,NH 232,RNF,NC/SR,"$5,507,300 ",330,2021 SHOAF DRIVE,IRVING,TX,75061,113,Dallas,1920,"DALLAS, TX",32.835,-96.9466,FY94,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11243060,COLLIN CARE CENTER,6,Fort Worth,Basic FHA,3,232 Health Care,NH 232,RNF,NC/SR,"$1,719,800 ",120,3100 So. Rigsbee DR,Plano,TX,75074,85,Collin,1920,"DALLAS, TX",33.0284,-96.6775,FY95,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
112EE003,SUN RAY COMMUNITY,6,Fort Worth,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,352,900 ",50,515 CUSTER,CARROLLTON,TX,75080,113,Dallas,1920,"DALLAS, TX",32.955958,-96.734975,FY94,,,,,,,
112EE005,"NCR OF GRAND PRAIRIE, TX",6,Fort Worth,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$1,971,900 ",40,110 NW 2ND STREET,GRAND PRAIRIE,TX,75050,113,Dallas,1920,"DALLAS, TX",32.7453,-97.0044,FY94,,,,,,,
112EE007,PLANO COMMUNITY HOME III,6,Fort Worth,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,146,500 ",61,AMERICAN DRIVE,PLANO,TX,75093,85,Collin,1920,"DALLAS, TX",33.0334,-96.8186,FY95,,,,,,,
112HD004,PEGUES HOME,6,Fort Worth,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$248,100 ",7,HOLLYBROOK & TARYON ROAD,LONGVIEW,TX,75601,183,Gregg,4420,"LONGVIEW-MARSHALL, TX",32.5319,-94.7164,FY95,,,,,,,
11311022,OAK VALLEY APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,203,200 ",188,708 WOODARD WAY,ARLINGTON,TX,76011,439,Tarrant,2800,"FORT WORTH-ARLINGTON, TX",32.7725,-97.0988,FY95,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
11311023,PARK SPRINGS APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$3,123,000 ",280,2115 W Park Row Dr,Arlington,TX,76013,439,Tarrant,2800,"FORT WORTH-ARLINGTON, TX",32.721182,-97.140021,FY94,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
11311024,WHISPERING RUN APARTMENT,6,Fort Worth,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$1,644,900 ",108,600 Bellaire Dr,Hurst,TX,76053,439,Tarrant,2800,"FORT WORTH-ARLINGTON, TX",32.818595,-97.159302,FY94,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,PA
11311025,WELLESLEY PARK APARTMENT,6,Fort Worth,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$3,178,600 ",197,365 E. PECAN DRIVE,HURST,TX,76053,439,Tarrant,2800,"FORT WORTH-ARLINGTON, TX",32.8218,-97.166,FY94,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,PA
11311026,COPPER COMMONS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,205,400 ",154,1300 MARTIN LUTHER KING,COPPERAS COVE,TX,76522,99,Coryell,3810,"KILLEEN-TEMPLE, TX",31.1243,-97.9129,FY94,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11311031,DEPOT APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$637,500 ",44,8824 OLD MCGREGOR ROAD,WACO,TX,76712,309,McLennan,8800,"WACO, TX",31.4904,-97.2247,FY95,71574,FUNDING INCORPORATED,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,FL
11311032,HUNTERWOOD APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,020,000 ",64,225 LONDONBERRY DRIVE,WACO,TX,76712,309,McLennan,8800,"WACO, TX",31.5096,-97.1998,FY95,71574,FUNDING INCORPORATED,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,FL
11311033,COLONIAL APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,001,500 ",94,825 Norwood Dr,Hurst,TX,76053,439,Tarrant,2800,"FORT WORTH-ARLINGTON, TX",32.824875,-97.167781,FY95,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,75364,MAIN STREET MORTGAGE COMPANY L,FL
11311034,COMMANDER'S PALACE APTS.,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,641,200 ",117,702 Santa Rosa Dr,Killeen,TX,76541,27,Bell,3810,"KILLEEN-TEMPLE, TX",31.114794,-97.741982,FY95,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11311035,CENTURY PLAZA APARTMENTS,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,672,900 ",258,3300 E Rancier Ave,Killeen,TX,76543,27,Bell,3810,"KILLEEN-TEMPLE, TX",31.11787,-97.69786,FY95,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11311036,CAESAR'S PALACE APARTMEN,6,Fort Worth,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,223,600 ",249,600 W Hallmark Ave,Killeen,TX,76541,27,Bell,3810,"KILLEEN-TEMPLE, TX",31.114282,-97.739583,FY95,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
11335086,CURRY OAKS APTS,6,Fort Worth,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$4,943,100 ",160,W O CURRY DRIVE,KILLEEN,TX,76541,27,Bell,3810,"KILLEEN-TEMPLE, TX",31.1199,-97.7294,FY95,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
